Índices;Valor
Média de docentes total;42
Média de docentes permanentes;33
Média de orientações de mestrado por docente permanente;1,45
Média de orientações de mestrado por docente (total);1,43
Média de orientações de doutorado por docente permanente;1,45
Média de orientações de doutorado por docente (total);1,19
Média de orientações de (mestrado + doutorado) por docente permanente;2,91
Média de orientações de (mestrado + doutorado) por docente (total);2,62
* Média de orientações (mest*1 + dout*1) por docente permanente (ponderado);2,91
* Média de orientações (mest*1 + dout*1) por docente (total) (ponderado);2,62
Total de artigos / total teses  + dissertações;4,69
Total de artigos (A1+A2+A3+A4) / total teses  + dissertações;4,13
Porcentagem de artigos publicados no estrato ""A1"";40,12%
Total de artigos docentes / total teses  + dissertações;4,69
Total de artigos docentes (A1) / total teses  + dissertações;1,88
Total de artigos docentes (A1+A2) / total teses  + dissertações;3,12
Total de artigos docentes (A1+A2+A3+A4) / total teses  + dissertações;4,13
Total de artigos docentes permanentes / total teses  + dissertações;4,40
Total de artigos docentes permanentes (A1) / total teses  + dissertações;1,75
Total de artigos docentes permanentes (A1+A2) / total teses  + dissertações;2,93
Total de artigos docentes permanentes(A1+A2+A3+A4) / total teses  + dissertações;3,88
Total de artigos discentes ou egressos / total teses  + dissertações;2,27
Total de artigos discentes ou egressos (A1) / total teses  + dissertações;0,92
Total de artigos discentes ou egressos (A1+A2) / total teses  + dissertações;1,60
Total de artigos discentes ou egressos(A1+A2+A3+A4) / total teses  + dissertações;2,07
Total de artigos discentes / total teses  + dissertações;1,45
Total de artigos discentes (A1) / total teses  + dissertações;0,58
Total de artigos discentes (A1+A2) / total teses  + dissertações;1,02
Total de artigos discentes(A1+A2+A3+A4) / total teses  + dissertações;1,33
