nome,lattes_url,ano_publicacao,titulo_publicacao,periodico,issn,qualis,pontos,area,ano_base
"Alessandra Aparecida Guarneri",http://lattes.cnpq.br/5565463591721568,2024,"The interplay between temperature, Trypanosoma cruzi parasite load, and nutrition: Their effects on the development and life-cycle of the Chagas disease vector Rhodnius prolixus","PLOS NEGLECTED TROPICAL DISEASES",1935-2735,A1,,,2020
"Alessandra Aparecida Guarneri",http://lattes.cnpq.br/5565463591721568,2023,"Global characterization of gene expression in the brain of starved immature Rhodnius prolixus","PLOS ONE",1932-6203,A1,,,2020
"Alessandra Aparecida Guarneri",http://lattes.cnpq.br/5565463591721568,2023,"Trypanosoma rangeli</i> infection impairs reproductive success of Rhodnius prolixus</i>","PARASITOLOGY",0031-1820,A1,,,2020
"Alessandra Aparecida Guarneri",http://lattes.cnpq.br/5565463591721568,2023,"Effects of mating on female reproductive physiology in the insect model, Rhodnius prolixus, a vector of the causative parasite of Chagas disease","PLOS NEGLECTED TROPICAL DISEASES",1935-2735,A1,,,2020
"Alessandra Aparecida Guarneri",http://lattes.cnpq.br/5565463591721568,2023,"Alterations in energy metabolism of Rhodnius prolixus induced by Trypanosoma rangeli infection","INSECT BIOCHEMISTRY AND MOLECULAR BIOLOGY",0965-1748,A1,,,2020
"Alessandra Aparecida Guarneri",http://lattes.cnpq.br/5565463591721568,2022,"Exposure to Trypanosoma parasites induces changes in the microbiome of the Chagas disease vector Rhodnius prolixus","MICROBIOME",2049-2618,A1,,,2020
"Alessandra Aparecida Guarneri",http://lattes.cnpq.br/5565463591721568,2022,"A fat body transcriptome analysis of the immune responses of Rhodnius prolixus to artificial infections with bacteria","PARASITES & VECTORS",1756-3305,A2,,,2020
"Alessandra Aparecida Guarneri",http://lattes.cnpq.br/5565463591721568,2022,"Trypanosoma rangeli</i> infection increases the exposure and predation endured by Rhodnius prolixus</i>","PARASITOLOGY",0031-1820,A1,,,2020
"Alessandra Aparecida Guarneri",http://lattes.cnpq.br/5565463591721568,2021,"Modulation of IMD, Toll, and Jak/STAT Immune Pathways Genes in the Fat Body of Rhodnius prolixus During Trypanosoma rangeli Infection","FRONTIERS IN CELLULAR AND INFECTION MICROBIOLOGY",2235-2988,A2,,,2020
"Alessandra Aparecida Guarneri",http://lattes.cnpq.br/5565463591721568,2021,"Triatoma infestans</i> susceptibility to different Trypanosoma cruzi</i> strains: parasite development and early escape from anterior midgut","PARASITOLOGY",0031-1820,A1,,,2020
"Alessandra Aparecida Guarneri",http://lattes.cnpq.br/5565463591721568,2021,"Metabolites as predictive biomarkers for Trypanosoma cruzi exposure in triatomine bugs","COMPUTATIONAL AND STRUCTURAL BIOTECHNOLOGY JOURNAL",2001-0370,A2,,,2020
"Alessandra Aparecida Guarneri",http://lattes.cnpq.br/5565463591721568,2021,"Trypanosoma cruzi-infected Rhodnius prolixus endure increased predation facilitating parasite transmission to mammal hosts","PLOS NEGLECTED TROPICAL DISEASES",1935-2735,A1,,,2020
"Alessandra Aparecida Guarneri",http://lattes.cnpq.br/5565463591721568,2020,"Co-existing locomotory activity and gene expression profiles in a kissing-bug vector of Chagas disease","JOURNAL OF INSECT PHYSIOLOGY",0022-1910,A1,,,2020
"Alessandra Aparecida Guarneri",http://lattes.cnpq.br/5565463591721568,2020,"The Influence of Environmental Cues on the Development of Trypanosoma cruzi in Triatominae Vector","FRONTIERS IN CELLULAR AND INFECTION MICROBIOLOGY",2235-2988,A2,,,2020
"Alessandra Aparecida Guarneri",http://lattes.cnpq.br/5565463591721568,2020,"Enzymatic biosynthesis of B-complex vitamins is supplied by diverse microbiota in the Rhodnius prolixus anterior midgut following Trypanosoma cruzi infection","COMPUTATIONAL AND STRUCTURAL BIOTECHNOLOGY JOURNAL",2001-0370,A2,,,2020
"Alessandra Aparecida Guarneri",http://lattes.cnpq.br/5565463591721568,2020,"A Trypanosoma cruzi zinc finger protein that is implicated in the control of epimastigote specific gene expression and metacyclogenesis","PARASITOLOGY",0031-1820,A1,,,2020
"Alessandra Aparecida Guarneri",http://lattes.cnpq.br/5565463591721568,2020,"New features on the survival of human-infective Trypanosoma rangeli in a murine model: Parasite accumulation is observed in lymphoid organs","PLOS NEGLECTED TROPICAL DISEASES",1935-2735,A1,,,2020
"Alessandra Aparecida Guarneri",http://lattes.cnpq.br/5565463591721568,2019,"Rhodnius prolixus: Identification of missing components of the IMD immune signaling pathway and functional characterization of its role in eliminating bacteria","PLOS ONE",1932-6203,A1,,,2020
"Alessandra Aparecida Guarneri",http://lattes.cnpq.br/5565463591721568,2019,"Activity and shelter-related behaviour in Rhodnius prolixus: The role of host odours shelter use in Rhodnius prolixus","ACTA TROPICA",0001-706X,A2,,,2020
"Alessandra Aparecida Guarneri",http://lattes.cnpq.br/5565463591721568,2019,"Extracellular vesicles isolated from Trypanosoma cruzi affect early parasite migration in the gut of Rhodnius prolixus but not in Triatoma infestans","MEMÓRIAS DO INSTITUTO OSWALDO CRUZ",1678-8060,A4,,,2020
"Alessandra Aparecida Guarneri",http://lattes.cnpq.br/5565463591721568,2018,"Knockout of the CCCH zinc finger protein TcZC3H31 blocks Trypanosoma cruzi differentiation into the infective metacyclic form","MOLECULAR AND BIOCHEMICAL PARASITOLOGY",0166-6851,A4,,,2020
"Alessandra Aparecida Guarneri",http://lattes.cnpq.br/5565463591721568,2018,"Effect of temperature and vector nutrition on the development and multiplication of Trypanosoma rangeli in Rhodnius prolixus","PARASITOLOGY RESEARCH",0932-0113,A1,,,2020
"Alessandra Aparecida Guarneri",http://lattes.cnpq.br/5565463591721568,2018,"The recombinase Rad51 plays a key role in events of genetic exchange in Trypanosoma cruzi","SCIENTIFIC REPORTS",2045-2322,A1,,,2020
"Alessandra Aparecida Guarneri",http://lattes.cnpq.br/5565463591721568,2017,"The molecular sensory machinery of a Chagas disease vector: expression changes through imaginal moult and sexually dimorphic features","SCIENTIFIC REPORTS",2045-2322,A1,,,2020
"Alessandra Aparecida Guarneri",http://lattes.cnpq.br/5565463591721568,2017,"Recently differentiated epimastigotes from are infective to the mammalian host","MOLECULAR MICROBIOLOGY",0950-382X,A2,,,2020
"Alessandra Aparecida Guarneri",http://lattes.cnpq.br/5565463591721568,2017,"Catalase expression impairs oxidative stress-mediated signalling in Trypanosoma cruzi","PARASITOLOGY",0031-1820,A1,,,2020
"Alessandra Aparecida Guarneri",http://lattes.cnpq.br/5565463591721568,2017,"Triatomine physiology in the context of trypanosome infection","JOURNAL OF INSECT PHYSIOLOGY",0022-1910,A1,,,2020
"Alessandra Aparecida Guarneri",http://lattes.cnpq.br/5565463591721568,2016,"A new antimicrobial protein from the anterior midgut of Triatoma infestans mediates Trypanosoma cruzi establishment by controlling the microbiota","BIOCHIMIE (PARIS. PRINT)",0300-9084,A2,,,2020
