nome,lattes_url,ano_publicacao,titulo_publicacao,periodico,issn,qualis,pontos,area,ano_base
"Alexandre de Magalhaes Vieira Machado",http://lattes.cnpq.br/5804297852066640,2022,"Promotion of neutralizing antibody-independent immunity to wild-type and SARS-CoV-2 variants of concern using an RBD-Nucleocapsid fusion protein","NATURE COMMUNICATIONS",2041-1723,A1,,,2020
"Alexandre de Magalhaes Vieira Machado",http://lattes.cnpq.br/5804297852066640,2021,"Relevance of angiotensin-(1-7) and its receptor Mas in pneumonia caused by influenza virus and post-influenza pneumococcal infection","PHARMACOLOGICAL RESEARCH",1043-6618,A1,,,2020
"Alexandre de Magalhaes Vieira Machado",http://lattes.cnpq.br/5804297852066640,2021,"Swine influenza A virus subtypes circulating in Brazilian commercial pig herds from 2012 to 2019","BRAZILIAN JOURNAL OF MICROBIOLOGY",1517-8382,A2,,,2020
"Alexandre de Magalhaes Vieira Machado",http://lattes.cnpq.br/5804297852066640,2020,"ACKR2 contributes to pulmonary dysfunction by shaping CCL5:CCR5-dependent recruitment of lymphocytes during Influenza A infection in mice","AMERICAN JOURNAL OF PHYSIOLOGY-LUNG CELLULAR AND MOLECULAR PHYSIOLOGY",1040-0605,A1,,,2020
"Alexandre de Magalhaes Vieira Machado",http://lattes.cnpq.br/5804297852066640,2019,"Therapeutical effects of vaccine from Trypanosoma cruzi</i> amastigote surface protein 2 by simultaneous inoculation with live parasites","JOURNAL OF CELLULAR BIOCHEMISTRY",0730-2312,A3,,,2020
"Alexandre de Magalhaes Vieira Machado",http://lattes.cnpq.br/5804297852066640,2019,"CXCR3 chemokine receptor guides Trypanosoma cruzi-specific T-cells triggered by DNA/adenovirus ASP2 vaccine to heart tissue after challenge","PLOS NEGLECTED TROPICAL DISEASES",1935-2735,A1,,,2020
"Alexandre de Magalhaes Vieira Machado",http://lattes.cnpq.br/5804297852066640,2018,"Phosphatidyl Inositol 3 Kinase-Gamma Balances Antiviral and Inflammatory Responses During Influenza A H1N1 Infection: From Murine Model to Genetic Association in Patients","FRONTIERS IN IMMUNOLOGY",1664-3224,A2,,,2020
"Alexandre de Magalhaes Vieira Machado",http://lattes.cnpq.br/5804297852066640,2018,"Subcutaneous Model for the Study of Dengue Virus Infection in Immune Competent Mice","JOURNAL OF BIOSCIENCES AND MEDICINES",2327-5081,B4,,,2020
"Alexandre de Magalhaes Vieira Machado",http://lattes.cnpq.br/5804297852066640,2017,"Dendritic cells, macrophages, NK and CD8+ T lymphocytes play pivotal roles in controlling HSV-1 in the trigeminal ganglia by producing IL1-beta, iNOS and granzyme B","VIROLOGY JOURNAL",1743-422X,A3,,,2020
"Alexandre de Magalhaes Vieira Machado",http://lattes.cnpq.br/5804297852066640,2017,"Distinct patterns of cellular immune response elicited by influenza non-adjuvanted and AS03-adjuvanted monovalent H1N1(pdm09) vaccine","ANTIVIRAL RESEARCH",0166-3542,A2,,,2020
"Alexandre de Magalhaes Vieira Machado",http://lattes.cnpq.br/5804297852066640,2017,"Influenza A Virus as a Predisposing Factor for Cryptococcosis","FRONTIERS IN CELLULAR AND INFECTION MICROBIOLOGY",2235-2988,A2,,,2020
