nome,lattes_url,ano_publicacao,titulo_publicacao,periodico,issn,qualis,pontos,area,ano_base
"Álvaro Gil Araújo Ferreira",http://lattes.cnpq.br/2621628661003591,2023,"Mosquito vector competence for dengue is modulated by insect-specific viruses","NATURE MICROBIOLOGY",2058-5276,A1,,,2020
"Álvaro Gil Araújo Ferreira",http://lattes.cnpq.br/2621628661003591,2023,"Genomic epidemiology unveils the dynamics and spatial corridor behind the Yellow Fever virus outbreak in Southern Brazil","SCIENCE ADVANCES",2375-2548,A1,,,2020
"Álvaro Gil Araújo Ferreira",http://lattes.cnpq.br/2621628661003591,2022,"AG129 Mice as a Comprehensive Model for the Experimental Assessment of Mosquito Vector Competence for Arboviruses","PATHOGENS",2076-0817,A3,,,2020
"Álvaro Gil Araújo Ferreira",http://lattes.cnpq.br/2621628661003591,2021,"Evaluation of Aedes aegypti, Aedes albopictus, and Culex quinquefasciatus Mosquitoes Competence to Oropouche virus Infection","VIRUSES-BASEL",1999-4915,A2,,,2020
"Álvaro Gil Araújo Ferreira",http://lattes.cnpq.br/2621628661003591,2021,"Distinct Roles of Hemocytes at Different Stages of Infection by Dengue and Zika Viruses in Aedes aegypti Mosquitoes","FRONTIERS IN IMMUNOLOGY",1664-3224,A2,,,2020
"Álvaro Gil Araújo Ferreira",http://lattes.cnpq.br/2621628661003591,2021,"Wolbachia as translational science: controlling mosquito-borne pathogens","TRENDS IN PARASITOLOGY",1471-4922,A1,,,2020
"Álvaro Gil Araújo Ferreira",http://lattes.cnpq.br/2621628661003591,2020,"Insect vectors endosymbionts as solutions against diseases","CURRENT OPINION IN INSECT SCIENCE",2214-5745,A1,,,2020
"Álvaro Gil Araújo Ferreira",http://lattes.cnpq.br/2621628661003591,2020,"The RNAi Pathway Is Important to Control Mayaro Virus Infection in Aedes aegypti but not for Wolbachia-Mediated Protection","VIRUSES-BASEL",1999-4915,A2,,,2020
"Álvaro Gil Araújo Ferreira",http://lattes.cnpq.br/2621628661003591,2019,"Detection and clearance of a mosquito densovirus contaminant from laboratory stocks of Zika virus","MEMÓRIAS DO INSTITUTO OSWALDO CRUZ",1678-8060,A4,,,2020
"Álvaro Gil Araújo Ferreira",http://lattes.cnpq.br/2621628661003591,2018,"Control of dengue virus in the midgut of Aedes aegypti by ectopic expression of the dsRNA-binding protein Loqs2","NATURE MICROBIOLOGY",2058-5276,A1,,,2020
"Álvaro Gil Araújo Ferreira",http://lattes.cnpq.br/2621628661003591,2014,"The Toll-Dorsal Pathway Is Required for Resistance to Viral Oral Infection in Drosophila","PLOS PATHOGENS",1553-7374,A1,,,2020
"Álvaro Gil Araújo Ferreira",http://lattes.cnpq.br/2621628661003591,2011,"Trypanosomatids are common and diverse parasites of Drosophila","PARASITOLOGY (CAMBRIDGE. ONLINE)",1469-8161,A1,,,2020
"Álvaro Gil Araújo Ferreira",http://lattes.cnpq.br/2621628661003591,2008,"The Bacterial Symbiont Wolbachia Induces Resistance to RNA Viral Infections in Drosophila melanogaster","PLOS BIOLOGY",1545-7885,A1,,,2020
"Álvaro Gil Araújo Ferreira",http://lattes.cnpq.br/2621628661003591,2006,"Inbreeding depression and multiple regions showing heterozygote advantage in Drosophila melanogaster exposed to stress","MOLECULAR ECOLOGY",0962-1083,A1,,,2020
