nome,lattes_url,ano_publicacao,titulo_publicacao,periodico,issn,qualis,pontos,area,ano_base
"Andréa Teixeira de Carvalho",http://lattes.cnpq.br/3798623797837575,2024,"Expression of <scp>SmATPDases</scp> 1 and 2 in Schistosoma mansoni</i> eggs favours <scp>IL</scp> -10 production in infected individuals","PARASITE IMMUNOLOGY",0141-9838,A2,,,2020
"Andréa Teixeira de Carvalho",http://lattes.cnpq.br/3798623797837575,2024,"Nanoparticle-based DNA vaccine protects against SARS-CoV-2 variants in female preclinical models","NATURE COMMUNICATIONS",2041-1723,A1,,,2020
"Andréa Teixeira de Carvalho",http://lattes.cnpq.br/3798623797837575,2024,"Plaque Reduction Neutralization Test (PRNT) Accuracy in Evaluating Humoral Immune Response to SARS-CoV-2","DISEASES",2079-9721,C,,,2020
"Andréa Teixeira de Carvalho",http://lattes.cnpq.br/3798623797837575,2024,"Trypanosoma cruzi antigen detection in blood to assess treatment efficacy and cure in mice models of Chagas disease","FRONTIERS IN IMMUNOLOGY",1664-3224,A2,,,2020
"Andréa Teixeira de Carvalho",http://lattes.cnpq.br/3798623797837575,2023,"Serum biomarkers in patients with unilateral or bilateral active pulmonary tuberculosis: Immunological networks and promising diagnostic applications","CYTOKINE",1043-4666,A4,,,2020
"Andréa Teixeira de Carvalho",http://lattes.cnpq.br/3798623797837575,2023,"Plasma immune mediators as laboratorial biomarkers for Sickle Cell Disease patients according to the hydroxyurea therapy and disease severity","BLOOD CELLS MOLECULES AND DISEASES",1079-9796,A4,,,2020
"Andréa Teixeira de Carvalho",http://lattes.cnpq.br/3798623797837575,2023,"Systemic immune mediators reflect tumour-infiltrating lymphocyte intensity and predict therapeutic response in triple-negative breast cancer","IMMUNOLOGY",0019-2805,A1,,,2020
"Andréa Teixeira de Carvalho",http://lattes.cnpq.br/3798623797837575,2023,"A functional assay using human whole blood and flow cytometry analysis to evaluate cytotoxicity and immunomodulatory effect of anti-Trypanosoma cruzi drugs","EXPERIMENTAL PARASITOLOGY",0014-4894,A4,,,2020
"Andréa Teixeira de Carvalho",http://lattes.cnpq.br/3798623797837575,2023,"Serum soluble mediators as prognostic biomarkers for morbidity, disease outcome, and late-relapsing hepatitis in yellow fever patients","CLINICAL IMMUNOLOGY",1521-6616,A3,,,2020
"Andréa Teixeira de Carvalho",http://lattes.cnpq.br/3798623797837575,2023,"Characterization and Investigation of Risk Factors for Late-Relapsing Hepatitis After Yellow Fever","CLINICAL INFECTIOUS DISEASES",1058-4838,A1,,,2020
