nome,lattes_url,ano_publicacao,titulo_publicacao,periodico,issn,qualis,pontos,area,ano_base
"Antonio Mauro Rezende",http://lattes.cnpq.br/8641629843495094,2024,"Culex quinquefasciatus Resistant to the Binary Toxin from Lysinibacillus sphaericus Displays a Consistent Downregulation of Pantetheinase Transcripts","BIOMOLECULES",2218-273X,B2,,,2020
"Antonio Mauro Rezende",http://lattes.cnpq.br/8641629843495094,2023,"Aedes aegypti Strain Subjected to Long-Term Exposure to Bacillus thuringiensis svar. israelensis Larvicides Displays an Altered Transcriptional Response to Zika Virus Infection","VIRUSES-BASEL",1999-4915,A2,,,2020
"Antonio Mauro Rezende",http://lattes.cnpq.br/8641629843495094,2023,"Human Genome Polymorphisms and Computational Intelligence Approach Revealed a Complex Genomic Signature for COVID-19 Severity in Brazilian Patients","VIRUSES-BASEL",1999-4915,A2,,,2020
"Antonio Mauro Rezende",http://lattes.cnpq.br/8641629843495094,2023,"Detection of mpox virus in ambient air in a sexual health clinic","ARCHIVES OF VIROLOGY",0304-8608,B1,,,2020
"Antonio Mauro Rezende",http://lattes.cnpq.br/8641629843495094,2023,"Tecovirimat Resistance in an Immunocompromised Patient With Mpox and Prolonged Viral Shedding","ANNALS OF INTERNAL MEDICINE",0003-4819,A1,,,2020
"Antonio Mauro Rezende",http://lattes.cnpq.br/8641629843495094,2023,"Genomic Analysis of Yersinia pestis Strains from Brazil: Search for Virulence Factors and Association with Epidemiological Data","PATHOGENS",2076-0817,A3,,,2020
"Antonio Mauro Rezende",http://lattes.cnpq.br/8641629843495094,2023,"Alternative sampling specimens for the molecular detection of mpox (formerly monkeypox) virus","JOURNAL OF CLINICAL VIROLOGY",1386-6532,A3,,,2020
"Antonio Mauro Rezende",http://lattes.cnpq.br/8641629843495094,2022,"Retrospective detection of asymptomatic monkeypox virus infections among male sexual health clinic attendees in Belgium","NATURE MEDICINE",1078-8956,A1,,,2020
"Antonio Mauro Rezende",http://lattes.cnpq.br/8641629843495094,2022,"Occurrence of blaNDM-7 and association with blaKPC-2, blaCTX-M15, aac, aph, mph(A), catB3 and virulence genes in a clinical isolate of Klebsiella pneumoniae with different plasmids in Brazil","ARCHIVES OF MICROBIOLOGY",0302-8933,B1,,,2020
"Antonio Mauro Rezende",http://lattes.cnpq.br/8641629843495094,2022,"Distinct mRNA and protein interactomes highlight functional differentiation of major eIF4F-like complexes from Trypanosoma brucei","FRONTIERS IN MOLECULAR BIOSCIENCES",2296-889X,A2,,,2020
"Antonio Mauro Rezende",http://lattes.cnpq.br/8641629843495094,2022,"Severe mpox (formerly monkeypox) disease in five patients after recent vaccination with MVA-BN vaccine, Belgium, July to October 2022","EUROSURVEILLANCE",1560-7917,A1,,,2020
"Antonio Mauro Rezende",http://lattes.cnpq.br/8641629843495094,2022,"Caracterização de genes relacionados a bacteriófagos em Enterobacter aerogenes proveniente de infecção em paciente de hospital de Recife-PE, Brasil","RESEARCH, SOCIETY AND DEVELOPMENT",2525-3409,C,,,2020
"Antonio Mauro Rezende",http://lattes.cnpq.br/8641629843495094,2021,"Epitranscriptome machinery in Trypanosomatids: new players on the table?","MOLECULAR MICROBIOLOGY",0950-382X,A2,,,2020
"Antonio Mauro Rezende",http://lattes.cnpq.br/8641629843495094,2021,"Characterization of the Rhipicephalus (Boophilus) microplus Sialotranscriptome Profile in Response to Theileria equi Infection","PATHOGENS",2076-0817,A3,,,2020
"Antonio Mauro Rezende",http://lattes.cnpq.br/8641629843495094,2021,"Systematic in silico Evaluation of Leishmania spp. Proteomes for Drug Discovery","FRONTIERS IN CHEMISTRY",2296-2646,A3,,,2020
"Antonio Mauro Rezende",http://lattes.cnpq.br/8641629843495094,2021,"NDM-1-encoding plasmid in Acinetobacter chengduensis isolated from coastal water","INFECTION GENETICS AND EVOLUTION",1567-1348,A2,,,2020
"Antonio Mauro Rezende",http://lattes.cnpq.br/8641629843495094,2021,"In silico</i> predictions of protein interactions between Zika virus and human host","PEERJ",2167-8359,A2,,,2020
"Antonio Mauro Rezende",http://lattes.cnpq.br/8641629843495094,2021,"Identification of novel proteins and mRNAs differentially bound to the Leishmania Poly(A) Binding Proteins reveals a direct association between PABP1, the RNA-binding protein RBP23 and mRNAs encoding ribosomal proteins","PLOS NEGLECTED TROPICAL DISEASES",1935-2735,A1,,,2020
"Antonio Mauro Rezende",http://lattes.cnpq.br/8641629843495094,2021,"Proteus mirabilis carrying NTEKPC-IId, blaNDM-1, blaOXA-10, aph(3')-VI, qnrD1 and IncQ and Col3M plasmids from a hospital in Recife-PE, Brazil","RESEARCH, SOCIETY AND DEVELOPMENT",2525-3409,C,,,2020
"Antonio Mauro Rezende",http://lattes.cnpq.br/8641629843495094,2020,"Immunogenicity of Potential CD4+ and CD8+ T Cell Epitopes Derived From the Proteome of Leishmania braziliensis","FRONTIERS IN IMMUNOLOGY",1664-3224,A2,,,2020
"Antonio Mauro Rezende",http://lattes.cnpq.br/8641629843495094,2020,"Multidrug-resistant Klebsiella aerogenes clinical isolates from Brazil carrying IncQ1 plasmids containing the blaKPC-2 gene associated with non-Tn4401 elements (NTEKPC-IId)","JOURNAL OF GLOBAL ANTIMICROBIAL RESISTANCE",2213-7165,A3,,,2020
"Antonio Mauro Rezende",http://lattes.cnpq.br/8641629843495094,2020,"Comparative Genomics of Acinetobacter baumannii Clinical Strains From Brazil Reveals Polyclonal Dissemination and Selective Exchange of Mobile Genetic Elements Associated With Resistance Genes","FRONTIERS IN MICROBIOLOGY",1664-302X,A2,,,2020
"Antonio Mauro Rezende",http://lattes.cnpq.br/8641629843495094,2020,"Identification of plasmid IncQ1 and NTEKPC-IId harboring bla KPC-2 in isolates from Klebsiella pneumoniae infections in patients from Recife-PE, Brazil","SOCIEDADE BRASILEIRA DE MEDICINA TROPICAL. REVISTA",1678-9849,B1,,,2020
"Antonio Mauro Rezende",http://lattes.cnpq.br/8641629843495094,2020,"Identification of Lysinibacillus sphaericus Binary toxin binding proteins in a malarial mosquito cell line by proteomics: A novel approach towards improving mosquito control","JOURNAL OF PROTEOMICS",1874-3919,A1,,,2020
"Antonio Mauro Rezende",http://lattes.cnpq.br/8641629843495094,2020,"Gene design, optimization of protein expression and preliminary evaluation of a new chimeric protein for the serological diagnosis of both human and canine visceral leishmaniasis","PLOS NEGLECTED TROPICAL DISEASES",1935-2735,A1,,,2020
"Antonio Mauro Rezende",http://lattes.cnpq.br/8641629843495094,2020,"Analysis of the IGS rRNA Region and Applicability for Leishmania</i> ( V</i> .) braziliensis</i> Characterization","JOURNAL OF PARASITOLOGY RESEARCH (PRINT)",2090-0023,B1,,,2020
"Antonio Mauro Rezende",http://lattes.cnpq.br/8641629843495094,2020,"In and Outs of Chuviridae Endogenous Viral Elements: Origin of a Potentially New Retrovirus and Signature of Ancient and Ongoing Arms Race in Mosquito Genomes","FRONTIERS IN GENETICS",1664-8021,A4,,,2020
"Antonio Mauro Rezende",http://lattes.cnpq.br/8641629843495094,2020,"Multiple Introductions Followed by Ongoing Community Spread of SARS-CoV-2 at One of the Largest Metropolitan Areas of Northeast Brazil","VIRUSES-BASEL",1999-4915,A2,,,2020
"Antonio Mauro Rezende",http://lattes.cnpq.br/8641629843495094,2019,"A single introduction of Yersinia pestis to Brazil during the 3rd plague pandemic","PLOS ONE",1932-6203,A1,,,2020
"Antonio Mauro Rezende",http://lattes.cnpq.br/8641629843495094,2019,"In silico characterization of multiple genes encoding the GP63 virulence protein from Leishmania braziliensis: identification of sources of variation and putative roles in immune evasion","BMC GENOMICS",1471-2164,A2,,,2020
"Antonio Mauro Rezende",http://lattes.cnpq.br/8641629843495094,2019,"Analysis of direct repeats and spacers of CRISPR/Cas systems type I-F in Brazilian clinical strains of Pseudomonas aeruginosa","MOLECULAR GENETICS AND GENOMICS",1617-4615,A3,,,2020
"Antonio Mauro Rezende",http://lattes.cnpq.br/8641629843495094,2019,"Identification of divergent Leishmania (Viannia) braziliensis ecotypes derived from a geographically restricted area through whole genome analysis","PLOS NEGLECTED TROPICAL DISEASES",1935-2735,A1,,,2020
"Antonio Mauro Rezende",http://lattes.cnpq.br/8641629843495094,2019,"The Transcriptional and Protein Profile From Human Infected Neuroprogenitor Cells Is Strongly Correlated to Zika Virus Microcephaly Cytokines Phenotype Evidencing a Persistent Inflammation in the CNS","FRONTIERS IN IMMUNOLOGY",1664-3224,A2,,,2020
"Antonio Mauro Rezende",http://lattes.cnpq.br/8641629843495094,2019,"A differential transcriptional profile by Culex quinquefasciatus larvae resistant to Lysinibacillus sphaericus IAB59 highlights genes and pathways associated with the resistance phenotype","PARASITES & VECTORS",1756-3305,A2,,,2020
"Antonio Mauro Rezende",http://lattes.cnpq.br/8641629843495094,2018,"HTT-DB: new features and updates","DATABASE-THE JOURNAL OF BIOLOGICAL DATABASES AND CURATION",1758-0463,A1,,,2020
"Antonio Mauro Rezende",http://lattes.cnpq.br/8641629843495094,2018,"Building protein-protein interaction networks for Leishmania species through protein structural information","BMC BIOINFORMATICS",1471-2105,A1,,,2020
"Antonio Mauro Rezende",http://lattes.cnpq.br/8641629843495094,2018,"Phosphorylation and interactions associated with the control of the Leishmania</i> Poly-A Binding Protein 1 (PABP1) function during translation initiation","RNA BIOLOGY",1547-6286,A2,,,2020
"Antonio Mauro Rezende",http://lattes.cnpq.br/8641629843495094,2018,"Evaluation of the recombinant antigens Wb14 and WbT for the capture antibody diagnosis of lymphatic filariasis","MEMÓRIAS DO INSTITUTO OSWALDO CRUZ",1678-8060,A4,,,2020
"Antonio Mauro Rezende",http://lattes.cnpq.br/8641629843495094,2018,"Revisiting Key Entry Routes of Human Epidemic Arboviruses into the Mainland Americas through Large-Scale Phylogenomics","INTERNATIONAL JOURNAL OF GENOMICS",2314-436X,A3,,,2020
"Antonio Mauro Rezende",http://lattes.cnpq.br/8641629843495094,2017,"Ciprofloxacin-resistant and extended-spectrum β-lactamase-producing Escherichia coli ST410 strain carrying the mcr-1 gene associated with bloodstream infection","INTERNATIONAL JOURNAL OF ANTIMICROBIAL AGENTS (PRINT)",0924-8579,A1,,,2020
"Antonio Mauro Rezende",http://lattes.cnpq.br/8641629843495094,2017,"Genetic diversity and virulence potential of clinical and environmental Aeromonas spp. isolates from a diarrhea outbreak","BMC MICROBIOLOGY",1471-2180,A2,,,2020
"Antonio Mauro Rezende",http://lattes.cnpq.br/8641629843495094,2017,"Trypanosoma brucei EIF4E2 cap-binding protein binds a homolog of the histone-mRNA stem-loop-binding protein","CURRENT GENETICS",0172-8083,A3,,,2020
"Antonio Mauro Rezende",http://lattes.cnpq.br/8641629843495094,2016,"Combination of In Silico Methods in the Search for Potential CD4+ and CD8+ T Cell Epitopes in the Proteome of Leishmania braziliensis","FRONTIERS IN IMMUNOLOGY (ONLINE)",1664-3224,A2,,,2020
"Antonio Mauro Rezende",http://lattes.cnpq.br/8641629843495094,2016,"N-glycosylation influences the catalytic activity of mosquito α-glucosidases associated with susceptibility or refractoriness to Lysinibacillus sphaericus","INSECT BIOCHEMISTRY AND MOLECULAR BIOLOGY",0965-1748,A1,,,2020
