nome,lattes_url,ano_publicacao,titulo_publicacao,periodico,issn,qualis,pontos,area,ano_base
"Carina Margonari de Souza",http://lattes.cnpq.br/1722996582628218,2023,"Ecology and natural infection of phlebotomine sand flies in different ecotopes and environments in the municipality of Pains, Minas Gerais, Brazil","ACTA TROPICA",0001-706X,A2,,,2020
"Carina Margonari de Souza",http://lattes.cnpq.br/1722996582628218,2022,"Sand fly bioecological aspects and risk mapping of leishmaniasis by geographical information systems approach in a mineral exploration area of Brazil","ACTA TROPICA",0001-706X,A2,,,2020
"Carina Margonari de Souza",http://lattes.cnpq.br/1722996582628218,2021,"Analyzing Spatial Patterns of Health Vulnerability to Drought in the Brazilian Semiarid Region","INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH",1660-4601,A1,,,2020
"Carina Margonari de Souza",http://lattes.cnpq.br/1722996582628218,2021,"Sand fly behavior: much more than weak-flying","MEMORIAS DO INSTITUTO OSWALDO CRUZ",0074-0276,A4,,,2020
"Carina Margonari de Souza",http://lattes.cnpq.br/1722996582628218,2021,"The sand fly (Diptera: Psychodidae) fauna of the urban area of Lassance, Northeast Minas Gerais, Brazil","PLOS ONE",1932-6203,A1,,,2020
"Carina Margonari de Souza",http://lattes.cnpq.br/1722996582628218,2021,"Examination of the interior of sand fly (Diptera: Psychodidae) abdomen reveals novel cuticular structures involved in pheromone release: Discovering the manifold","PLOS NEGLECTED TROPICAL DISEASES",1935-2735,A1,,,2020
"Carina Margonari de Souza",http://lattes.cnpq.br/1722996582628218,2020,"Vigilância em saúde e desastres de origem natural: uma revisão da literatura","SAÚDE EM DEBATE",0103-1104,A4,,,2020
"Carina Margonari de Souza",http://lattes.cnpq.br/1722996582628218,2020,"Level of Knowledge and Risk Factors for Visceral Leishmaniasis in a Mining Area of Minas Gerais State, Brazil","INTERDISCIPLINARY PERSPECTIVES ON INFECTIOUS DISEASES (ONLINE)",1687-7098,A4,,,2020
"Carina Margonari de Souza",http://lattes.cnpq.br/1722996582628218,2019,"Construção e aplicação de um índice de vulnerabilidade humana à mudança do clima para o contexto brasileiro: a experiência do estado do Espírito Santo1","SAÚDE E SOCIEDADE (ONLINE)",1984-0470,A3,,,2020
"Carina Margonari de Souza",http://lattes.cnpq.br/1722996582628218,2018,"Mapping human vulnerability to climate change in the Brazilian Amazon: The construction of a municipal vulnerability index","PLOS ONE",1932-6203,A1,,,2020
"Carina Margonari de Souza",http://lattes.cnpq.br/1722996582628218,2018,"Visceral leishmaniasis: situation diagnosis from the perspective of disease control in Brazil","JOURNAL OF MICROBIOLOGY AND EXPERIMENTATION",2373-437X,B3,,,2020
