nome,lattes_url,ano_publicacao,titulo_publicacao,periodico,issn,qualis,pontos,area,ano_base
"Carlos Eduardo Calzavara Silva",http://lattes.cnpq.br/8454953908544325,2023,"Reprogramming of tumor-associated macrophages by polyaniline-coated iron oxide nanoparticles applied to treatment of breast cancer","INTERNATIONAL JOURNAL OF PHARMACEUTICS",0378-5173,A1,,,2020
"Carlos Eduardo Calzavara Silva",http://lattes.cnpq.br/8454953908544325,2023,"Serum soluble mediators as prognostic biomarkers for morbidity, disease outcome, and late-relapsing hepatitis in yellow fever patients","CLINICAL IMMUNOLOGY",1521-6616,A3,,,2020
"Carlos Eduardo Calzavara Silva",http://lattes.cnpq.br/8454953908544325,2023,"Iron oxide polyaniline-coated nanoparticles modulate tumor microenvironment in breast cancer: an in vitro study on the reprogramming of tumor-associated macrophages","CANCER NANOTECHNOLOGY",1868-6966,A1,,,2020
"Carlos Eduardo Calzavara Silva",http://lattes.cnpq.br/8454953908544325,2023,"Serum soluble mediators as prognostic biomarkers for morbidity, disease outcome, and late-relapsing hepatitis in yellow fever patients","CLINICAL IMMUNOLOGY",1521-6616,A3,,,2020
"Carlos Eduardo Calzavara Silva",http://lattes.cnpq.br/8454953908544325,2022,"Yellow Fever Molecular Diagnosis Using Urine Specimens during Acute and Convalescent Phases of the Disease","JOURNAL OF CLINICAL MICROBIOLOGY",0095-1137,A1,,,2020
"Carlos Eduardo Calzavara Silva",http://lattes.cnpq.br/8454953908544325,2022,"Mapping and Validation of Peptides Differentially Recognized by Antibodies from the Serum of Yellow Fever Virus-Infected or 17DD-Vaccinated Patients","VIRUSES-BASEL",1999-4915,A2,,,2020
"Carlos Eduardo Calzavara Silva",http://lattes.cnpq.br/8454953908544325,2022,"Molecular characterization of a new SARS-CoV-2 recombinant cluster XAG identified in Brazil","FRONTIERS IN MEDICINE",2296-858X,A1,,,2020
"Carlos Eduardo Calzavara Silva",http://lattes.cnpq.br/8454953908544325,2022,"The role of T-cells in head and neck squamous cell carcinoma: From immunity to immunotherapy","FRONTIERS IN ONCOLOGY",2234-943X,A4,,,2020
"Carlos Eduardo Calzavara Silva",http://lattes.cnpq.br/8454953908544325,2022,"Hypoxanthine guanine phosphoribosyl transferases SmHGPRTases functional roles in Schistosoma mansoni","FRONTIERS IN MICROBIOLOGY",1664-302X,A2,,,2020
"Carlos Eduardo Calzavara Silva",http://lattes.cnpq.br/8454953908544325,2022,"Searching for plant-derived antivirals against dengue virus and Zika virus","VIROLOGY JOURNAL",1743-422X,A3,,,2020
"Carlos Eduardo Calzavara Silva",http://lattes.cnpq.br/8454953908544325,2022,"Wild-type Yellow fever virus in cerebrospinal fluid from fatal cases in Brazil, 2018","FRONTIERS IN VIROLOGY",2673-818X,N,,,
"Carlos Eduardo Calzavara Silva",http://lattes.cnpq.br/8454953908544325,2021,"Immunotherapy for cancer: effects of iron oxide nanoparticles on polarization of tumor-associated macrophages","NANOMEDICINE",1743-5889,A1,,,2020
"Carlos Eduardo Calzavara Silva",http://lattes.cnpq.br/8454953908544325,2020,"Late-Relapsing Hepatitis after Yellow Fever","VIRUSES-BASEL",1999-4915,A2,,,2020
"Carlos Eduardo Calzavara Silva",http://lattes.cnpq.br/8454953908544325,2020,"Liver damage in schistosomiasis is reduced by adipose tissue-derived stem cell therapy after praziquantel treatment","PLOS NEGLECTED TROPICAL DISEASES",1935-2735,A1,,,2020
"Carlos Eduardo Calzavara Silva",http://lattes.cnpq.br/8454953908544325,2020,"Gene expression signatures in AML-12 hepatocytes cells upon DENV infection and APAP treatment","VIRUSES-BASEL",1999-4915,A2,,,2020
"Carlos Eduardo Calzavara Silva",http://lattes.cnpq.br/8454953908544325,2020,"Design and production of dengue virus chimeric proteins useful for developing tetravalent vaccines","VACCINE",0264-410X,A2,,,2020
"Carlos Eduardo Calzavara Silva",http://lattes.cnpq.br/8454953908544325,2019,"Yellow Fever Virus Genotyping Tool and Investigation of Suspected Adverse Events Following Yellow Fever Vaccination","VACCINES",2076-393X,A3,,,2020
"Carlos Eduardo Calzavara Silva",http://lattes.cnpq.br/8454953908544325,2018,"Increased Levels of Txa2 Induced by Dengue Virus Infection in IgM Positive Individuals Is Related to the Mild Symptoms of Dengue","VIRUSES-BASEL",1999-4915,A2,,,2020
