nome,lattes_url,ano_publicacao,titulo_publicacao,periodico,issn,qualis,pontos,area,ano_base
"Caroline Furtado Junqueira",http://lattes.cnpq.br/9405337414047265,2023,"The NK cell receptor NKp46 recognizes ecto-calreticulin on ER-stressed cells","NATURE",0028-0836,A1,,,2020
"Caroline Furtado Junqueira",http://lattes.cnpq.br/9405337414047265,2023,"ASP-2/Trans-sialidase chimeric protein induces robust protective immunity in experimental models of Chagas? disease","NPJ VACCINES",2059-0105,A1,,,2020
"Caroline Furtado Junqueira",http://lattes.cnpq.br/9405337414047265,2023,"Relationship between clinical-epidemiological parameters and outcomes of patients with COVID-19 admitted to the intensive care unit: a report from a Brazilian hospital","FRONTIERS IN PUBLIC HEALTH",2296-2565,A1,,,2020
"Caroline Furtado Junqueira",http://lattes.cnpq.br/9405337414047265,2023,"Gasdermin D permeabilization of mitochondrial inner and outer membranes accelerates and enhances pyroptosis","IMMUNITY",1074-7613,A1,,,2020
"Caroline Furtado Junqueira",http://lattes.cnpq.br/9405337414047265,2023,"Accumulation of Neutrophil Phagocytic Antibody Features Tracks With Naturally Acquired Immunity Against Malaria in Children","JOURNAL OF INFECTIOUS DISEASES",0022-1899,A1,,,2020
"Caroline Furtado Junqueira",http://lattes.cnpq.br/9405337414047265,2022,"FcγR-mediated SARS-CoV-2 infection of monocytes activates inflammation","NATURE",0028-0836,A1,,,2020
"Caroline Furtado Junqueira",http://lattes.cnpq.br/9405337414047265,2022,"Inflammasome activation in infected macrophages drives COVID-19 pathology","NATURE",0028-0836,A1,,,2020
"Caroline Furtado Junqueira",http://lattes.cnpq.br/9405337414047265,2022,"In Vitro</em> Assay of Plasmodium</em>-Infected Red Blood Cell Killing by Cytotoxic Lymphocytes","JOVE-JOURNAL OF VISUALIZED EXPERIMENTS",1940-087X,B1,,,2020
"Caroline Furtado Junqueira",http://lattes.cnpq.br/9405337414047265,2021,"γδ T cells suppress Plasmodium falciparum blood-stage infection by direct killing and phagocytosis","NATURE IMMUNOLOGY",1529-2908,A1,,,2020
"Caroline Furtado Junqueira",http://lattes.cnpq.br/9405337414047265,2021,"Immunotherapy for breast cancer using EpCAM aptamer tumor-targeted gene knockdown","PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA",0027-8424,A1,,,2020
"Caroline Furtado Junqueira",http://lattes.cnpq.br/9405337414047265,2021,"Improved Performance of ELISA and Immunochromatographic Tests Using a New Chimeric A2-Based Protein for Human Visceral Leishmaniasis Diagnosis","JOURNAL OF IMMUNOLOGY RESEARCH",2314-7156,A3,,,2020
"Caroline Furtado Junqueira",http://lattes.cnpq.br/9405337414047265,2020,"Gasdermin E suppresses tumour growth by activating anti-tumour immunity","NATURE",0028-0836,A1,,,2020
"Caroline Furtado Junqueira",http://lattes.cnpq.br/9405337414047265,2020,"Decidual NK Cells Transfer Granulysin to Selectively Kill Bacteria in Trophoblasts","CELL",0092-8674,A1,,,2020
"Caroline Furtado Junqueira",http://lattes.cnpq.br/9405337414047265,2020,"Contributions of IFN-γ and granulysin to the clearance of Plasmodium yoelii blood stage","PLOS PATHOGENS",1553-7374,A1,,,2020
"Caroline Furtado Junqueira",http://lattes.cnpq.br/9405337414047265,2020,"Caspase-8 mediates inflammation and disease in rodent malaria","NATURE COMMUNICATIONS",2041-1723,A1,,,2020
"Caroline Furtado Junqueira",http://lattes.cnpq.br/9405337414047265,2019,"The immunology of Plasmodium vivax malaria","IMMUNOLOGICAL REVIEWS",1600-065X,A1,,,2020
"Caroline Furtado Junqueira",http://lattes.cnpq.br/9405337414047265,2018,"New Vaccine Formulations Containing a Modified Version of the Amastigote 2 Antigen and the Non-Virulent Trypanosoma cruzi CL-14 Strain Are Highly Antigenic and Protective against Leishmania infantum Challenge","FRONTIERS IN IMMUNOLOGY",1664-3224,A2,,,2020
"Caroline Furtado Junqueira",http://lattes.cnpq.br/9405337414047265,2018,"Cytotoxic CD8+ T cells recognize and kill Plasmodium vivax-infected reticulocytes","NATURE MEDICINE",1078-8956,A1,,,2020
"Caroline Furtado Junqueira",http://lattes.cnpq.br/9405337414047265,2017,"Virus-like Particle Display of the α-Gal Carbohydrate for Vaccination against Leishmania</i> Infection","ACS CENTRAL SCIENCE",2374-7943,A1,,,2020
"Caroline Furtado Junqueira",http://lattes.cnpq.br/9405337414047265,2017,"Down Modulation of Host Immune Response by Amino Acid Repeats Present in a Trypanosoma cruzi Ribosomal Antigen","FRONTIERS IN MICROBIOLOGY",1664-302X,A2,,,2020
"Caroline Furtado Junqueira",http://lattes.cnpq.br/9405337414047265,2017,"Comparative transcriptome profiling of virulent and non-virulent Trypanosoma cruzi underlines the role of surface proteins during infection","PLOS PATHOGENS",1553-7374,A1,,,2020
"Caroline Furtado Junqueira",http://lattes.cnpq.br/9405337414047265,2015,"Induction of inhibitory receptors on T cells during Plasmodium vivax malaria impairs cytokine production","THE JOURNAL OF INFECTIOUS DISEASES",0022-1899,A1,,,2020
