nome,lattes_url,ano_publicacao,titulo_publicacao,periodico,issn,qualis,pontos,area,ano_base
"Celia Maria Ferreira Gontijo",http://lattes.cnpq.br/7004385035447880,2023,"Increased Risk of American Tegumentary Leishmaniasis in an Urban and Rural Area of Caratinga, Brazil between 2016 and 2021","AMERICAN JOURNAL OF TROPICAL MEDICINE AND HYGIENE",0002-9637,A3,,,2020
"Celia Maria Ferreira Gontijo",http://lattes.cnpq.br/7004385035447880,2023,"First report of putative Leishmania RNA virus 2 (LRV2) in Leishmania infantum strains from canine and human visceral leishmaniasis cases in the southeast of Brazil","MEMÓRIAS DO INSTITUTO OSWALDO CRUZ",1678-8060,A4,,,2020
"Celia Maria Ferreira Gontijo",http://lattes.cnpq.br/7004385035447880,2023,"Leishmania species infection of bats: A systematic review","ACTA TROPICA",0001-706X,A2,,,2020
"Celia Maria Ferreira Gontijo",http://lattes.cnpq.br/7004385035447880,2023,"Clinical and Laboratory Response of Domiciled Dogs with Visceral Leishmaniasis Treated with Miltefosine and Allopurinol","TROPICAL MEDICINE AND INFECTIOUS DISEASE",2414-6366,A2,,,2020
"Celia Maria Ferreira Gontijo",http://lattes.cnpq.br/7004385035447880,2022,"Trypanosomatids in Phlebotomine Sand Flies (Diptera: Phlebotominae) From Anthropic and Sinantropic Landscapes in a Rural Settlement in the Brazilian Amazon","JOURNAL OF MEDICAL ENTOMOLOGY",0022-2585,A1,,,2020
"Celia Maria Ferreira Gontijo",http://lattes.cnpq.br/7004385035447880,2022,"Characterization of Differentially Abundant Proteins Among Leishmania (Viannia) braziliensis Strains Isolated From Atypical or Typical Lesions","FRONTIERS IN CELLULAR AND INFECTION MICROBIOLOGY",2235-2988,A2,,,2020
"Celia Maria Ferreira Gontijo",http://lattes.cnpq.br/7004385035447880,2022,"Leishmania diversity in bats from an endemic area for visceral and cutaneous leishmaniasis in Southeastern Brazil","ACTA TROPICA",0001-706X,A2,,,2020
"Celia Maria Ferreira Gontijo",http://lattes.cnpq.br/7004385035447880,2022,"Molecular survey of Leishmania spp. in skin samples of capybaras (Hydrochoerus hydrochaeris) from different areas of Brazil","BRAZILIAN JOURNAL VETERINARY RES. AND ANIMAL SCIENCE",1678-4456,B1,,,2020
"Celia Maria Ferreira Gontijo",http://lattes.cnpq.br/7004385035447880,2022,"Leishmania infection in seropositive dogs in the Mucuri Valley Region, Minas Gerais, Brazil","RESEARCH, SOCIETY AND DEVELOPMENT",2525-3409,C,,,2020
"Celia Maria Ferreira Gontijo",http://lattes.cnpq.br/7004385035447880,2021,"Correlations between tissue parasite load and common clinical signs in dogs naturally infected by Leishmania infantum","VETERINARY PARASITOLOGY",0304-4017,A1,,,2020
"Celia Maria Ferreira Gontijo",http://lattes.cnpq.br/7004385035447880,2021,"A follow-up study (2007-2018) on American Tegumentary Leishmaniasis in the municipality of Caratinga, Minas Gerais State, Brazil: Spatial analyses and sand fly collection","PLOS NEGLECTED TROPICAL DISEASES",1935-2735,A1,,,2020
"Celia Maria Ferreira Gontijo",http://lattes.cnpq.br/7004385035447880,2021,"Cross-sectional study on Brucella spp., Leptospira spp. and Salmonella spp. in bats from Montes Claros, Minas Gerais, Brazil","COMPARATIVE IMMUNOLOGY MICROBIOLOGY AND INFECTIOUS DISEASES",0147-9571,A2,,,2020
"Celia Maria Ferreira Gontijo",http://lattes.cnpq.br/7004385035447880,2021,"Notes on the sand fly fauna (Diptera: Psychodidae) in a region of Brazil","RESEARCH, SOCIETY AND DEVELOPMENT",2525-3409,C,,,2020
"Celia Maria Ferreira Gontijo",http://lattes.cnpq.br/7004385035447880,2020,"Leishmania PRESENCE IN BATS IN AREAS ENDEMIC FOR LEISHMANIASIS IN CENTRAL-WEST BRAZIL","INTERNATIONAL JOURNAL FOR PARASITOLOGY: PARASITES AND WILDLIFE",2213-2244,A2,,,2020
"Celia Maria Ferreira Gontijo",http://lattes.cnpq.br/7004385035447880,2020,"Comparative PCR-based diagnosis for the detection of Leishmaniainfantumin naturally infected dogs.","ACTA TROPICA",0001-706X,A2,,,2020
