nome,lattes_url,ano_publicacao,titulo_publicacao,periodico,issn,qualis,pontos,area,ano_base
"Cristiana Couto Garcia",http://lattes.cnpq.br/1125391664500711,2023,"Severe influenza infection is associated with inflammatory programmed cell death in infected macrophages","FRONTIERS IN CELLULAR AND INFECTION MICROBIOLOGY",2235-2988,A2,,,2020
"Cristiana Couto Garcia",http://lattes.cnpq.br/1125391664500711,2023,"A case report of vaccine-induced immune thrombotic thrombocytopenia (VITT) with genetic analysis","FRONTIERS IN CARDIOVASCULAR MEDICINE",2297-055X,A3,,,2020
"Cristiana Couto Garcia",http://lattes.cnpq.br/1125391664500711,2023,"Preventing Occludin Tight-Junction Disruption via Inhibition of microRNA-193b-5p Attenuates Viral Load and Influenza-induced Lung Injury","MOLECULAR THERAPY",1525-0016,A1,,,2020
"Cristiana Couto Garcia",http://lattes.cnpq.br/1125391664500711,2023,"Evaluation of a rapid diagnostic test for measles IgM detection; accuracy and the reliability of visual reading using sera from the measles surveillance programme in Brazil, 2015","EPIDEMIOLOGY AND INFECTION",0950-2688,A4,,,2020
"Cristiana Couto Garcia",http://lattes.cnpq.br/1125391664500711,2023,"Serotype-associated immune response and network immunoclusters in children and adults during acute Dengue virus infection","CYTOKINE",1043-4666,A4,,,2020
"Cristiana Couto Garcia",http://lattes.cnpq.br/1125391664500711,2023,"Gut microbiota from patients with COVID-19 cause alterations in mice that resemble post-COVID symptoms","GUT MICROBES",1949-0976,A1,,,2020
"Cristiana Couto Garcia",http://lattes.cnpq.br/1125391664500711,2023,"Timeline kinetics of protective immunity to SARS-CoV-2 upon primary vaccination and humoral response to variants after booster dose","VACCINE",0264-410X,A2,,,2020
"Cristiana Couto Garcia",http://lattes.cnpq.br/1125391664500711,2023,"Rhythmic profile of memory T and B-cells along childhood and adolescence","SCIENTIFIC REPORTS",2045-2322,A1,,,2020
"Cristiana Couto Garcia",http://lattes.cnpq.br/1125391664500711,2023,"Safety and immunogenicity of influenza A(H3N2) component vaccine in juvenile systemic lupus erythematosus","ADVANCES IN RHEUMATOLOGY",2523-3106,B2,,,2020
"Cristiana Couto Garcia",http://lattes.cnpq.br/1125391664500711,2022,"The Dual Role of CCR5 in the Course of Influenza Infection: Exploring Treatment Opportunities","FRONTIERS IN IMMUNOLOGY",1664-3224,A2,,,2020
