nome,lattes_url,ano_publicacao,titulo_publicacao,periodico,issn,qualis,pontos,area,ano_base
"Cristiana Ferreira Alves de Brito",http://lattes.cnpq.br/0553918889655570,2023,"Detection of Plasmodium simium gametocytes in non-human primates from the Brazilian Atlantic Forest","MALARIA JOURNAL",1475-2875,A2,,,2020
"Cristiana Ferreira Alves de Brito",http://lattes.cnpq.br/0553918889655570,2023,"Malaria mitochondrial diagnosis: challenges and pitfalls","FRONTIERS IN TROPICAL DISEASES",2673-7515,N,,,
"Cristiana Ferreira Alves de Brito",http://lattes.cnpq.br/0553918889655570,2023,"IgM antibody responses against Plasmodium antigens in neotropical primates in the Brazilian Atlantic Forest","FRONTIERS IN CELLULAR AND INFECTION MICROBIOLOGY",2235-2988,A2,,,2020
"Cristiana Ferreira Alves de Brito",http://lattes.cnpq.br/0553918889655570,2023,"Plasmodium simium dans la forêt Atlantique de Rio de Janeiro : le paludisme zoonotique brésilien","BULLETIN DE L ACADEMIE NATIONALE DE MEDECINE",0001-4079,B3,,,2020
"Cristiana Ferreira Alves de Brito",http://lattes.cnpq.br/0553918889655570,2022,"Is zoonotic Plasmodium vivax malaria an obstacle for disease elimination?","MALARIA JOURNAL",1475-2875,A2,,,2020
"Cristiana Ferreira Alves de Brito",http://lattes.cnpq.br/0553918889655570,2022,"Improving the Molecular Diagnosis of Malaria: Droplet Digital PCR-Based Method Using Saliva as a DNA Source","FRONTIERS IN MICROBIOLOGY",1664-302X,A2,,,2020
"Cristiana Ferreira Alves de Brito",http://lattes.cnpq.br/0553918889655570,2022,"MaHPIC malaria systems biology data from Plasmodium cynomolgi sporozoite longitudinal infections in macaques","SCIENTIFIC DATA",2052-4463,A1,,,2021
"Cristiana Ferreira Alves de Brito",http://lattes.cnpq.br/0553918889655570,2021,"Profiling Humoral Immune Response Against Pre-Erythrocytic and Erythrocytic Antigens of Malaria Parasites Among Neotropical Primates in the Brazilian Atlantic Forest","FRONTIERS IN CELLULAR AND INFECTION MICROBIOLOGY",2235-2988,A2,,,2020
"Cristiana Ferreira Alves de Brito",http://lattes.cnpq.br/0553918889655570,2021,"The genome of the zoonotic malaria parasite Plasmodium simium reveals adaptations to host switching","BMC BIOLOGY",1741-7007,A1,,,2020
"Cristiana Ferreira Alves de Brito",http://lattes.cnpq.br/0553918889655570,2021,"A Comprehensive Analysis of the Genetic Diversity of Plasmodium falciparum Histidine-Rich Protein 2 (PfHRP2) in the Brazilian Amazon","FRONTIERS IN CELLULAR AND INFECTION MICROBIOLOGY",2235-2988,A2,,,2020
"Cristiana Ferreira Alves de Brito",http://lattes.cnpq.br/0553918889655570,2021,"Clinical recovery of Macaca fascicularis infected with Plasmodium knowlesi","MALARIA JOURNAL",1475-2875,A2,,,2020
"Cristiana Ferreira Alves de Brito",http://lattes.cnpq.br/0553918889655570,2020,"Novel Insights into Plasmodium vivax</i> Therapeutic Failure: CYP2D6 Activity and Time of Exposure to Malaria Modulate the Risk of Recurrence","ANTIMICROBIAL AGENTS AND CHEMOTHERAPY",0066-4804,A1,,,2020
"Cristiana Ferreira Alves de Brito",http://lattes.cnpq.br/0553918889655570,2020,"Prospective assessment of malaria infection in a semi-isolated Amazonian indigenous Yanomami community: Transmission heterogeneity and predominance of submicroscopic infection","PLOS ONE",1932-6203,A1,,,2020
"Cristiana Ferreira Alves de Brito",http://lattes.cnpq.br/0553918889655570,2020,"Dynamics of IgM and IgG responses to the next generation of engineered Duffy binding protein II immunogen: Strain-specific and strain-transcending immune responses over a nine-year period","PLOS ONE",1932-6203,A1,,,2020
"Cristiana Ferreira Alves de Brito",http://lattes.cnpq.br/0553918889655570,2019,"[PROVISIONAL] A systematic scoping review of the genetic ancestry of the Brazilian population","GENETICS AND MOLECULAR BIOLOGY (ONLINE VERSION)",1678-4685,A3,,,2020
"Cristiana Ferreira Alves de Brito",http://lattes.cnpq.br/0553918889655570,2019,"Ribosomal and non-ribosomal PCR targets for the detection of low-density and mixed malaria infections","MALARIA JOURNAL",1475-2875,A2,,,2020
"Cristiana Ferreira Alves de Brito",http://lattes.cnpq.br/0553918889655570,2019,"A malária na Mata Atlântica do Rio de Janeiro","ANAIS DA ACADEMIA NACIONAL DE MEDICINA",0104-4885,C,,,2020
"Cristiana Ferreira Alves de Brito",http://lattes.cnpq.br/0553918889655570,2019,"Humoral immunity prevents clinical malaria during Plasmodium relapses without eliminating gametocytes","PLOS PATHOGENS",1553-7374,A1,,,2020
"Cristiana Ferreira Alves de Brito",http://lattes.cnpq.br/0553918889655570,2019,"Improvement of antimalarial activity of a 3-alkylpiridine alkaloid analog by replacing the pyridine ring to a thiazole-containing heterocycle: Mode of action, mutagenicity profile, and Caco-2 cell-based permeability","EUROPEAN JOURNAL OF PHARMACEUTICAL SCIENCES",0928-0987,A1,,,2020
"Cristiana Ferreira Alves de Brito",http://lattes.cnpq.br/0553918889655570,2019,"Pharmacokinetics/pharmacodynamics of chloroquine and artemisinin-based combination therapy with primaquine","MALARIA JOURNAL",1475-2875,A2,,,2020
"Cristiana Ferreira Alves de Brito",http://lattes.cnpq.br/0553918889655570,2019,"Howler monkeys are the reservoir of malarial parasites causing zoonotic infections in the Atlantic forest of Rio de Janeiro","PLOS NEGLECTED TROPICAL DISEASES",1935-2735,A1,,,2020
"Cristiana Ferreira Alves de Brito",http://lattes.cnpq.br/0553918889655570,2019,"Plasmodium infection and its association with biochemical and hematological parameters in free-living Alouatta guariba clamitans (Cabrera, 1940) (Primates: Atelidae) in southern Brazil","MEMORIAS DO INSTITUTO OSWALDO CRUZ",0074-0276,A4,,,2020
"Cristiana Ferreira Alves de Brito",http://lattes.cnpq.br/0553918889655570,2018,"An assay for the identification of Plasmodium simium infection for diagnosis of zoonotic malaria in the Brazilian Atlantic Forest","SCIENTIFIC REPORTS",2045-2322,A1,,,2020
"Cristiana Ferreira Alves de Brito",http://lattes.cnpq.br/0553918889655570,2018,"Human migration and the spread of malaria parasites to the New World","SCIENTIFIC REPORTS",2045-2322,A1,,,2020
"Cristiana Ferreira Alves de Brito",http://lattes.cnpq.br/0553918889655570,2018,"Distinct genetic profiles of Leishmania (Viannia) braziliensis associate with clinical variations in cutaneous-leishmaniasis patients from an endemic area in Brazil","PARASITOLOGY",0031-1820,A1,,,2020
"Cristiana Ferreira Alves de Brito",http://lattes.cnpq.br/0553918889655570,2018,"In silico analysis of putative dormancy genes in Plasmodium vivax","ACTA TROPICA",0001-706X,A2,,,2020
"Cristiana Ferreira Alves de Brito",http://lattes.cnpq.br/0553918889655570,2018,"Susceptibility to Plasmodium vivax malaria associated with DARC (Duffy antigen) polymorphisms is influenced by the time of exposure to malaria","SCIENTIFIC REPORTS",2045-2322,A1,,,2020
"Cristiana Ferreira Alves de Brito",http://lattes.cnpq.br/0553918889655570,2017,"New potential Plasmodium brasilianum hosts: tamarin and marmoset monkeys (family Callitrichidae)","MALARIA JOURNAL (ONLINE)",1475-2875,A2,,,2020
"Cristiana Ferreira Alves de Brito",http://lattes.cnpq.br/0553918889655570,2017,"Increased susceptibility of blood type O individuals to develop anemia in  Plasmodium vivax  infection","INFECTION GENETICS AND EVOLUTION",1567-1348,A2,,,2020
"Cristiana Ferreira Alves de Brito",http://lattes.cnpq.br/0553918889655570,2017,"Assessment of copy number variation in genes related to drug resistance in Plasmodium vivax and Plasmodium falciparum isolates from the Brazilian Amazon and a systematic review of the literature","MALARIA JOURNAL",1475-2875,A2,,,2020
"Cristiana Ferreira Alves de Brito",http://lattes.cnpq.br/0553918889655570,2017,"Target-Guided Synthesis and Antiplasmodial Evaluation of a New Fluorinated 3-Alkylpyridine Marine Alkaloid Analog","ACS OMEGA",2470-1343,A4,,,2020
"Cristiana Ferreira Alves de Brito",http://lattes.cnpq.br/0553918889655570,2017,"Outbreak of human malaria caused by Plasmodium simium in the Atlantic Forest in Rio de Janeiro: a molecular epidemiological investigation","LANCET GLOBAL HEALTH",2214-109X,A1,,,2020
"Cristiana Ferreira Alves de Brito",http://lattes.cnpq.br/0553918889655570,2016,"Contribution of inflammasome genetics in Plasmodium vivax malaria","INFECTION, GENETICS AND EVOLUTION (PRINT)",1567-1348,A2,,,2020
"Cristiana Ferreira Alves de Brito",http://lattes.cnpq.br/0553918889655570,2016,"Detection of Plasmodium in faeces of the New World primate Alouatta clamitans","MEMÓRIAS DO INSTITUTO OSWALDO CRUZ (ONLINE)",1678-8060,A4,,,2020
