nome,lattes_url,ano_publicacao,titulo_publicacao,periodico,issn,qualis,pontos,area,ano_base
"Cristina Toscano Fonseca",http://lattes.cnpq.br/7920312439713999,2023,"A review of serological tests available in Brazil for intestinal schistosomiasis diagnosis","MEMORIAS DO INSTITUTO OSWALDO CRUZ",0074-0276,A4,,,2020
"Cristina Toscano Fonseca",http://lattes.cnpq.br/7920312439713999,2023,"Comparison of diagnostic performance of RT-qPCR, RT-LAMP and IgM/IgG rapid tests for detection of SARS-CoV-2 among healthcare workers in Brazil","JOURNAL OF INFECTION AND PUBLIC HEALTH",1876-0341,A3,,,2020
"Cristina Toscano Fonseca",http://lattes.cnpq.br/7920312439713999,2023,"Longitudinal study of humoral immunity against SARS-CoV-2 of health professionals in Brazil: the impact of booster dose and reinfection on antibody dynamics","FRONTIERS IN IMMUNOLOGY",1664-3224,A2,,,2020
"Cristina Toscano Fonseca",http://lattes.cnpq.br/7920312439713999,2023,"FioSchisto?s expert perspective on implementing WHO guidelines for schistosomiasis control and transmission elimination in Brazil","FRONTIERS IN IMMUNOLOGY",1664-3224,A2,,,2020
"Cristina Toscano Fonseca",http://lattes.cnpq.br/7920312439713999,2023,"Rhythmic profile of memory T and B-cells along childhood and adolescence","SCIENTIFIC REPORTS",2045-2322,A1,,,2020
"Cristina Toscano Fonseca",http://lattes.cnpq.br/7920312439713999,2022,"Development of real-time and lateral flow recombinase polymerase amplification assays for rapid detection of Schistosoma mansoni","FRONTIERS IN MICROBIOLOGY",1664-302X,A2,,,2020
"Cristina Toscano Fonseca",http://lattes.cnpq.br/7920312439713999,2022,"Assessment of the accuracy of 11 different diagnostic tests for the detection of Schistosomiasis mansoni in individuals from a Brazilian area of low endemicity using latent class analysis","FRONTIERS IN MICROBIOLOGY",1664-302X,A2,,,2020
"Cristina Toscano Fonseca",http://lattes.cnpq.br/7920312439713999,2022,"SmTAL-9, a member of the Schistosoma mansoni tegument allergen-like family, is important for parasite survival and a putative target for drug/vaccine development.","FRONTIERS IN IMMUNOLOGY",1664-3224,A2,,,2020
"Cristina Toscano Fonseca",http://lattes.cnpq.br/7920312439713999,2021,"Schistosoma mansoni Infection Is Impacted by Malnutrition","FRONTIERS IN MICROBIOLOGY",1664-302X,A2,,,2020
"Cristina Toscano Fonseca",http://lattes.cnpq.br/7920312439713999,2021,"A loop-mediated isothermal amplification assay for Schistosoma mansoni detection in Biomphalaria spp. from schistosomiasis-endemic areas in Minas Gerais, Brazil","PARASITES & VECTORS",1756-3305,A2,,,2020
"Cristina Toscano Fonseca",http://lattes.cnpq.br/7920312439713999,2021,"Editorial: Pre-Conference Research Topic: 16th International Symposium on Schistosomiasis","FRONTIERS IN IMMUNOLOGY",1664-3224,A2,,,2020
"Cristina Toscano Fonseca",http://lattes.cnpq.br/7920312439713999,2020,"Recombinant micro-exon gene 3 (MEG-3) antigens from Schistosoma mansoni failed to induce protection against infection but show potential for serological diagnosis.","ACTA TROPICA",0001-706X,A2,,,2020
"Cristina Toscano Fonseca",http://lattes.cnpq.br/7920312439713999,2019,"The Schistosoma mansoni cyclophilin A epitope 107-121 induces a protective immune response against schistosomiasis","MOLECULAR IMMUNOLOGY",0161-5890,A4,,,2020
"Cristina Toscano Fonseca",http://lattes.cnpq.br/7920312439713999,2019,"Short-Lived Immunity After 17DD Yellow Fever Single Dose Indicates That Booster Vaccination May Be Required to Guarantee Protective Immunity in Children","FRONTIERS IN IMMUNOLOGY",1664-3224,A2,,,2020
"Cristina Toscano Fonseca",http://lattes.cnpq.br/7920312439713999,2019,"Sm16, A Immunomodulatory Protein, Fails to Elicit a Protective Immune Response and Does Not Have an Essential Role in Parasite Survival in the Definitive Host","JOURNAL OF IMMUNOLOGY RESEARCH",2314-8861,A3,,,2020
"Cristina Toscano Fonseca",http://lattes.cnpq.br/7920312439713999,2018,"Rational selection of immunodominant and preserved epitope Sm043300e from Schistosoma mansoni and design of a chimeric molecule for biotechnological purposes","MOLECULAR IMMUNOLOGY",0161-5890,A4,,,2020
"Cristina Toscano Fonseca",http://lattes.cnpq.br/7920312439713999,2018,"Multi-parameter approach to evaluate the timing of memory status after 17DD-YF primary vaccination","PLOS NEGLECTED TROPICAL DISEASES",1935-2735,A1,,,2020
"Cristina Toscano Fonseca",http://lattes.cnpq.br/7920312439713999,2018,"A Strong Humoral Immune Response Induced by a Vaccine Formulation Containing rSm29 Adsorbed to Alum Is Associated With Protection Against Schistosoma mansoni Reinfection in Mice","FRONTIERS IN IMMUNOLOGY",1664-3224,A2,,,2020
"Cristina Toscano Fonseca",http://lattes.cnpq.br/7920312439713999,2017,"Epitopes rationally selected through computational analyses induce T-cell proliferation in mice and are recognized by serum from individuals infected with Schistosoma mansoni</i>","BIOTECHNOLOGY PROGRESS",8756-7938,A3,,,2020
"Cristina Toscano Fonseca",http://lattes.cnpq.br/7920312439713999,2017,"Selecting targets for the diagnosis of Schistosoma mansoni infection: An integrative approach using multi-omic and immunoinformatics data","PLOS ONE",1932-6203,A1,,,2020
"Cristina Toscano Fonseca",http://lattes.cnpq.br/7920312439713999,2016,"Booster dose after 10 years is recommended following 17DD-YF primary vaccination","HUMAN VACCINES & IMMUNOTHERAPEUTICS",2164-5515,A3,,,2020
"Cristina Toscano Fonseca",http://lattes.cnpq.br/7920312439713999,2016,"PARASITOLOGICAL, PATHOLOGICAL AND IMMUNOLOGICAL PARAMETERS ASSOCIATED TO SCHISTOSOMA MANSONI INFECTION AND REINFECTION IN BALB/C AND C57BL-6 MICE.","JOURNAL OF PARASITOLOGY",0022-3395,B1,,,2020
"Cristina Toscano Fonseca",http://lattes.cnpq.br/7920312439713999,2016,"Schistosoma mansoni Tegument (Smteg) Induces IL-10 and Modulates Experimental Airway Inflammation","PLOS ONE",1932-6203,A1,,,2020
"Cristina Toscano Fonseca",http://lattes.cnpq.br/7920312439713999,2016,"The Use of Reverse Vaccinology and Molecular Modeling Associated with Cell Proliferation Stimulation Approach to Select Promiscuous Epitopes from Schistosoma mansoni","APPLIED BIOCHEMISTRY AND BIOTECHNOLOGY",0273-2289,A2,,,2020
"Cristina Toscano Fonseca",http://lattes.cnpq.br/7920312439713999,2015,"Kicking in the Guts: Schistosoma mansoni Digestive Tract Proteins are Potential Candidates for Vaccine Development","FRONTIERS IN IMMUNOLOGY",1664-3224,A2,,,2020
"Cristina Toscano Fonseca",http://lattes.cnpq.br/7920312439713999,2015,"Sm29, but Not Sm22.6 Retains its Ability to Induce a Protective Immune Response in Mice Previously Exposed to a Schistosoma mansoni Infection","PLOS NEGLECTED TROPICAL DISEASES",1935-2735,A1,,,2020
"Cristina Toscano Fonseca",http://lattes.cnpq.br/7920312439713999,2015,"Eliminating Schistosomes through Vaccination: What are the Best Immune Weapons?","FRONTIERS IN IMMUNOLOGY",1664-3224,A2,,,2020
"Cristina Toscano Fonseca",http://lattes.cnpq.br/7920312439713999,2014,"Evaluation of the use of C-terminal part of the Schistosoma mansoni 200kDa tegumental protein in schistosomiasis diagnosis and vaccine formulation","EXPERIMENTAL PARASITOLOGY",0014-4894,A4,,,2020
"Cristina Toscano Fonseca",http://lattes.cnpq.br/7920312439713999,2014,"Antibodies are involved in the protective immunity induced in mice by              Schistosoma mansoni</i>              schistosomula tegument (Smteg) immunization.","PARASITE IMMUNOLOGY",0141-9838,A2,,,2020
"Cristina Toscano Fonseca",http://lattes.cnpq.br/7920312439713999,2014,"Duration of post-vaccination immunity against yellow fever in adults","VACCINE",0264-410X,A2,,,2020
"Cristina Toscano Fonseca",http://lattes.cnpq.br/7920312439713999,2013,"THE SCHISTOSOMULA TEGUMENT ANTIGEN AS A POTENTIAL CANDIDATE FOR THE EARLY SEROLOGICAL DIAGNOSIS OF SCHISTOSOMIASIS MANSONI","REVISTA DO INSTITUTO DE MEDICINA TROPICAL DE SAO PAULO",0036-4665,B1,,,2020
"Cristina Toscano Fonseca",http://lattes.cnpq.br/7920312439713999,2013,"Advances in the Study of Schistosomiasis: The Postgenomic Era","JOURNAL OF PARASITOLOGY RESEARCH (PRINT)",2090-0023,B1,,,2020
"Cristina Toscano Fonseca",http://lattes.cnpq.br/7920312439713999,2013,"Evaluation of the protective immune response induced in mice by immunization with Schistosoma mansoni schistosomula tegument (Smteg) in association with CpG-ODN","MICROBES AND INFECTION",1286-4579,A3,,,2020
"Cristina Toscano Fonseca",http://lattes.cnpq.br/7920312439713999,2013,"Acute schistosomiasis diagnosis: a new tool for the diagnosis of schistosomiasis in a group of travelers recently infected in a new focus of Schistosoma mansoni","REVISTA DA SOCIEDADE BRASILEIRA DE MEDICINA TROPICAL",0037-8682,B1,,,2020
"Cristina Toscano Fonseca",http://lattes.cnpq.br/7920312439713999,2012,"Schistosoma mansoni schistosomula tegument (Smteg) immunization in absence of adjuvant induce IL-10 production by CD4+ cells and failed to protect mice against challenge infection","ACTA TROPICA",0001-706X,A2,,,2020
"Cristina Toscano Fonseca",http://lattes.cnpq.br/7920312439713999,2012,"Schistosoma Tegument Proteins in Vaccine and Diagnosis Development: An Update","JOURNAL OF PARASITOLOGY RESEARCH (PRINT)",2090-0023,B1,,,2020
"Cristina Toscano Fonseca",http://lattes.cnpq.br/7920312439713999,2011,"Molecular characterization of the Corynebacterium pseudotuberculosis hsp60-hsp10 operon, and evaluation of the immune response and protective efficacy induced by hsp60 DNA vaccination in mice","BMC RESEARCH NOTES",1756-0500,B1,,,2020
"Cristina Toscano Fonseca",http://lattes.cnpq.br/7920312439713999,2011,"Identification of Schistosoma mansoni candidate antigens for diagnosis of schistosomiasis","MEMORIAS DO INSTITUTO OSWALDO CRUZ",0074-0276,A4,,,2020
"Cristina Toscano Fonseca",http://lattes.cnpq.br/7920312439713999,2010,"An intranasal administration of Lactococcus lactis strains expressing recombinant interleukin-10 modulates acute allergic airway inflammation in a murine model","CLINICAL AND EXPERIMENTAL ALLERGY",0954-7894,A2,,,2020
"Cristina Toscano Fonseca",http://lattes.cnpq.br/7920312439713999,2010,"Immunization with newly transformed Schistosoma mansoni schistosomula tegument elicits tegument damage, reduction in egg and parasite burden","PARASITE IMMUNOLOGY",0141-9838,A2,,,2020
"Cristina Toscano Fonseca",http://lattes.cnpq.br/7920312439713999,2010,"Schistosoma mansoni antigens modulate the allergic response in a murine model of ovalbumin-induced airway inflammation","CLINICAL AND EXPERIMENTAL IMMUNOLOGY",0009-9104,A3,,,2020
"Cristina Toscano Fonseca",http://lattes.cnpq.br/7920312439713999,2009,"Immunization with Recombinant Corynebacterium pseudotuberculosis Heat-Shock Protein (Hsp)-60 is Able to Induce an Immune Response in Mice, But Fails to Confer Protection Against Infection","THE OPEN VETERINARY SCIENCE JOURNAL",1874-3188,N,,,
"Cristina Toscano Fonseca",http://lattes.cnpq.br/7920312439713999,2009,"IL-12 and TNF-Î± production by dendritic cells stimulated with Schistosoma mansoni schistosomula tegument is TLR4- and MyD88-dependent","IMMUNOLOGY LETTERS",0165-2478,A3,,,2020
"Cristina Toscano Fonseca",http://lattes.cnpq.br/7920312439713999,2008,"Peptides containing T cell epitopes, derived from Sm14, but not from paramyosin, induce a Th1 type of immune response, reduction in liver pathology and partial protection against Schistosoma mansoni infection in mice.","ACTA TROPICA",0001-706X,A2,,,2020
"Cristina Toscano Fonseca",http://lattes.cnpq.br/7920312439713999,2008,"Schistosoma mansoni Antigens Modulate Experimental Allergic Asthma in a Murine Model: a Major Role for CD4+ CD25+ Foxp3+ T Cells Independent of Interleukin-10","INFECTION AND IMMUNITY",0019-9567,A2,,,2020
