nome,lattes_url,ano_publicacao,titulo_publicacao,periodico,issn,qualis,pontos,area,ano_base
"Daniel Moreira de Avelar",http://lattes.cnpq.br/3544791535477213,2023,"Accuracy of serological tests in diagnosing mucosal leishmaniasis","PARASITOLOGY RESEARCH",0932-0113,A1,,,2020
"Daniel Moreira de Avelar",http://lattes.cnpq.br/3544791535477213,2023,"Developments in Leishmaniasis diagnosis: A patent landscape from 2010 to 2022","PLOS GLOBAL PUBLIC HEALTH",2767-3375,N,,,
"Daniel Moreira de Avelar",http://lattes.cnpq.br/3544791535477213,2022,"Diagnosis of visceral and cutaneous leishmaniasis using loop-mediated isothermal amplification (LAMP) protocols: a systematic review and meta-analysis","PARASITES & VECTORS",1756-3305,A2,,,2020
"Daniel Moreira de Avelar",http://lattes.cnpq.br/3544791535477213,2022,"Anti-mitochondrial Tryparedoxin Peroxidase Monoclonal Antibody-Based Immunohistochemistry for Diagnosis of Cutaneous Leishmaniasis","FRONTIERS IN MICROBIOLOGY",1664-302X,A2,,,2020
"Daniel Moreira de Avelar",http://lattes.cnpq.br/3544791535477213,2022,"Performance differences among commercially available antigen rapid tests for COVID-19 in Brazil","PLOS ONE",1932-6203,A1,,,2020
"Daniel Moreira de Avelar",http://lattes.cnpq.br/3544791535477213,2021,"IMPACT ASSESSMENT OF DIFFERENT DNA EXTRACTION METHODS FOR NON-INVASIVE MOLECULAR DIAGNOSIS OF TEGUMENTARY LEISHMANIASIS","ACTA TROPICA",0001-706X,A2,,,2020
"Daniel Moreira de Avelar",http://lattes.cnpq.br/3544791535477213,2021,"Notes on the sand fly fauna (Diptera: Psychodidae) in a region of Brazil","RESEARCH, SOCIETY AND DEVELOPMENT",2525-3409,C,,,2020
"Daniel Moreira de Avelar",http://lattes.cnpq.br/3544791535477213,2021,"Correlations between tissue parasite load and common clinical signs in dogs naturally infected by Leishmania infantum","VETERINARY PARASITOLOGY",0304-4017,A1,,,2020
"Daniel Moreira de Avelar",http://lattes.cnpq.br/3544791535477213,2020,"Diagnostic performance of commercially available COVID-19 serology tests in Brazil","INTERNATIONAL JOURNAL OF INFECTIOUS DISEASES",1201-9712,A2,,,2020
"Daniel Moreira de Avelar",http://lattes.cnpq.br/3544791535477213,2020,"Canine visceral leishmaniasis in area with recent Leishmania transmission: prevalence, diagnosis, and molecular identification of the infecting species","SOCIEDADE BRASILEIRA DE MEDICINA TROPICAL. REVISTA",1678-9849,B1,,,2020
"Daniel Moreira de Avelar",http://lattes.cnpq.br/3544791535477213,2019,"Evaluation of three recombinant proteins for the development of ELISA and immunochromatographic tests for visceral leishmaniasis serodiagnosis","MEMÓRIAS DO INSTITUTO OSWALDO CRUZ",1678-8060,A4,,,2020
"Daniel Moreira de Avelar",http://lattes.cnpq.br/3544791535477213,2019,"Development and Clinical Evaluation of Loop-Mediated Isothermal Amplification (LAMP) Assay for the Diagnosis of Human Visceral Leishmaniasis in Brazil","BIOMED RESEARCH INTERNATIONAL",2314-6133,A3,,,2020
"Daniel Moreira de Avelar",http://lattes.cnpq.br/3544791535477213,2019,"Performance of serological tests available in Brazil for the diagnosis of human visceral leishmaniasis","PLOS NEGLECTED TROPICAL DISEASES",1935-2735,A1,,,2020
"Daniel Moreira de Avelar",http://lattes.cnpq.br/3544791535477213,2018,"Aves de paisagem rural na região Centro-oeste do estado de Minas Gerais, Brasil","NEOTROPICAL BIOLOGYAND CONSERVATION",2236-3777,B2,,,2020
"Daniel Moreira de Avelar",http://lattes.cnpq.br/3544791535477213,2018,"Evaluation of a new brand of immunochromatographic test for visceral leishmaniasis in Brazil made available from 2018","REVISTA DO INSTITUTO DE MEDICINA TROPICAL DE SÃO PAULO",1678-9946,B1,,,2020
"Daniel Moreira de Avelar",http://lattes.cnpq.br/3544791535477213,2018,"Meglumine antimoniate intralesional infiltration for localised cutaneous leishmaniasis: a single arm, open label, phase II clinical trial","MEMÓRIAS DO INSTITUTO OSWALDO CRUZ",1678-8060,A4,,,2020
"Daniel Moreira de Avelar",http://lattes.cnpq.br/3544791535477213,2017,"Seroprevalence and molecular characterization of Leishmania in dogs from an endemic area of zoonotic visceral leishmaniasis in Brazil","INTERNATIONAL JOURNAL OF VETERINARY SCIENCE AND MEDICINE",2314-4599,B1,,,2020
"Daniel Moreira de Avelar",http://lattes.cnpq.br/3544791535477213,2015,"A new species of perforating the osteoderms of its armadillo host in Argentina and redescription of the male of","MEDICAL AND VETERINARY ENTOMOLOGY (PRINT)",0269-283X,A1,,,2020
"Daniel Moreira de Avelar",http://lattes.cnpq.br/3544791535477213,2015,"Phlebotomine Sand Fly Fauna and Infection in the Vicinity of the Serra do Cipó National Park, a Natural Brazilian Heritage Site","BIOMED RES INT",2314-6133,A3,,,2020
"Daniel Moreira de Avelar",http://lattes.cnpq.br/3544791535477213,2015,"Dynamics of Ctenocephalides felis felis (Siphonaptera: Pulicidae) Infestations on Urban Dogs in Southeastern Brazil","JOURNAL OF MEDICAL ENTOMOLOGY",0022-2585,A1,,,2020
"Daniel Moreira de Avelar",http://lattes.cnpq.br/3544791535477213,2015,"Epidemiological aspects of vector, parasite, and domestic reservoir in areas of recent transmission and no reported human cases of visceral leishmaniasis in Brazil","ACTA TROPICA",0001-706X,A2,,,2020
"Daniel Moreira de Avelar",http://lattes.cnpq.br/3544791535477213,2015,"Leishmania, Babesia and Ehrlichia in urban pet dogs: co-infection or cross-reaction in serological methods?","REVISTA DA SOCIEDADE BRASILEIRA DE MEDICINA TROPICAL",0037-8682,B1,,,2020
"Daniel Moreira de Avelar",http://lattes.cnpq.br/3544791535477213,2014,"Infection with Leishmania (Leishmania) infantum of 0 to 18-Month-Old Children Living in a Visceral Leishmaniasis-Endemic Area in Brazil","THE AMERICAN JOURNAL OF TROPICAL MEDICINE AND HYGIENE",0002-9637,A3,,,2020
"Daniel Moreira de Avelar",http://lattes.cnpq.br/3544791535477213,2014,"Antibody responses induced by Leish-Tec®, an A2-based vaccine for visceral leishmaniasis, in a heterogeneous canine population","VETERINARY PARASITOLOGY (PRINT)",0304-4017,A1,,,2020
"Daniel Moreira de Avelar",http://lattes.cnpq.br/3544791535477213,2014,"Neosomes of tungid fleas on wild and domestic animals","PARASITOLOGY RESEARCH (1987. PRINT)",0932-0113,A1,,,2020
"Daniel Moreira de Avelar",http://lattes.cnpq.br/3544791535477213,2014,"Notes on the genus (Siphonaptera: Tungidae) II - neosomes, morphology, classification, and other taxonomic notes","PARASITE",1776-1042,A3,,,2020
"Daniel Moreira de Avelar",http://lattes.cnpq.br/3544791535477213,2013,"Establishment of Tunga trimamillata (Siphonaptera: Tungidae) in Brazil","PARASITOLOGY RESEARCH (1987. INTERNET)",1432-1955,A1,,,2020
"Daniel Moreira de Avelar",http://lattes.cnpq.br/3544791535477213,2013,"A New Species of Tunga</I> (Siphonaptera: Tungidae) Parasitizing Cattle From Brazil","JOURNAL OF MEDICAL ENTOMOLOGY",0022-2585,A1,,,2020
"Daniel Moreira de Avelar",http://lattes.cnpq.br/3544791535477213,2013,"Ectoparasites and anti-Leishmania antibodies: Association in an observational case-control study of dogs from a Brazilian endemic area","PREVENTIVE VETERINARY MEDICINE (PRINT)",0167-5877,A1,,,2020
"Daniel Moreira de Avelar",http://lattes.cnpq.br/3544791535477213,2013,"ENTEROPARASITOS EM MANIPULADORES DE ALIMENTOS DE ALGUMAS ESCOLAS PÚBLICAS DAS CIDADES DE LUZ E DORES DO INDAIÁ, MINAS GERAIS, BRASIL","REVISTA SCIENCE IN HEALTH",2176-9095,N,,,
"Daniel Moreira de Avelar",http://lattes.cnpq.br/3544791535477213,2012,"A new species of Tunga (Siphonaptera: Tungidae) from Brazil with a key to the adult species and neosomes","JOURNAL OF MEDICAL ENTOMOLOGY",0022-2585,A1,,,2020
"Daniel Moreira de Avelar",http://lattes.cnpq.br/3544791535477213,2011,"Morphology and growth characteristics of cultured Leptomonas ctenocephali from Ctenocephalides felis felis (Siphonaptera: Pulicidae) of dogs in Brazil","VETERINARY PARASITOLOGY",0304-4017,A1,,,2020
"Daniel Moreira de Avelar",http://lattes.cnpq.br/3544791535477213,2010,"Use of Multiple Displacement Amplification as Pre-polymerase Chain Reaction (Pre-PCR) to amplify genomic DNA of siphonapterids preserved for long periods in scientific collections","PARASITES & VECTORS",1756-3305,A2,,,2020
"Daniel Moreira de Avelar",http://lattes.cnpq.br/3544791535477213,2008,"Seasonality and Prevalence Rates of Steinina sp. (Eugregarinorida: Actinocephalidae) in Ctenocephalides felis felis (Siphonaptera: Pulicidae) from Dogs Captured in Belo Horizonte, Minas Gerais, Brazil","JOURNAL OF MEDICAL ENTOMOLOGY",0022-2585,A1,,,2020
"Daniel Moreira de Avelar",http://lattes.cnpq.br/3544791535477213,2007,"Endosymbionts of Ctenocephalides felis felis (Siphonaptera: Pulicidae) obtained from dogs captured in Belo Horizonte, Minas Gerais, Brazil.","JOURNAL OF INVERTEBRATE PATHOLOGY",0022-2011,A2,,,2020
