nome,lattes_url,ano_publicacao,titulo_publicacao,periodico,issn,qualis,pontos,area,ano_base
"Edelberto Santos Dias",http://lattes.cnpq.br/0492208637289837,2023,"Transmission-blocking vaccines for Canine visceral leishman-iasis: new challenges for vaccine development","VACCINE",0264-410X,A2,,,2020
"Edelberto Santos Dias",http://lattes.cnpq.br/0492208637289837,2023,"Survey of phlebotomine sand fly fauna in a public Zoo in Brazil: Species diversity, seasonality, and host variety","VETERINARY PARASITOLOGY: REGIONAL STUDIES AND REPORTS",2405-9390,A3,,,2020
"Edelberto Santos Dias",http://lattes.cnpq.br/0492208637289837,2023,"The Program for the Control of Visceral Leishmaniasis in Brazil: The Effect of the Systematic Euthanasia of Seropositive Dogs as a Single Control Action in Porteirinha, a Brazilian City with an Intense Transmission of Visceral Leishmaniasis","PATHOGENS",2076-0817,A3,,,2020
"Edelberto Santos Dias",http://lattes.cnpq.br/0492208637289837,2022,"Impact of vector control actions in the abundance of Lutzomyia longipalpis in Montes Claros, Brazil","ACTA TROPICA",0001-706X,A2,,,2020
"Edelberto Santos Dias",http://lattes.cnpq.br/0492208637289837,2020,"Dogs with divergent serology for visceral leishmaniasis as sources of Leishmania infection for Lutzomyia longipalpis phlebotomine sand flies - an observational study in an endemic area in Brazil","PLOS NEGLECTED TROPICAL DISEASES",1935-2735,A1,,,2020
"Edelberto Santos Dias",http://lattes.cnpq.br/0492208637289837,2020,"Ecology of phlebotomine sand flies in a Brazilian area with recent leishmaniasis transmission (Itaúna, in Minas Gerais state)","REVISTA DA SOCIEDADE BRASILEIRA DE MEDICINA TROPICAL",0037-8682,B1,,,2020
"Edelberto Santos Dias",http://lattes.cnpq.br/0492208637289837,2020,"Canine visceral leishmaniasis in area with recent Leishmania transmission - prevalence, diagnosis, and molecular identification of the infecting species","REVISTA DA SOCIEDADE BRASILEIRA DE MEDICINA TROPICAL",0037-8682,B1,,,2020
"Edelberto Santos Dias",http://lattes.cnpq.br/0492208637289837,2019,"Ecology of phlebotomine sand flies in an area of leishmaniasis occurrence in the Xakriabá Indigenous Reserve, Minas Gerais, Brazil","SOCIEDADE BRASILEIRA DE MEDICINA TROPICAL. REVISTA",1678-9849,B1,,,2020
"Edelberto Santos Dias",http://lattes.cnpq.br/0492208637289837,2019,"Eco-epidemiological study on sandflies and environmental aspects related to the transmission of leishmaniasis in a municipality of Minas Gerais, Brazil, 2015-2016","ARQUIVO BRASILEIRO DE MEDICINA VETERINÁRIA E ZOOTECNIA (ONLINE)",1678-4162,B1,,,2020
"Edelberto Santos Dias",http://lattes.cnpq.br/0492208637289837,2019,"Entomological Studies in Itaúna, Brazil, an Area With Visceral Leishmaniasis Transmission: Fauna Survey, Natural Leishmania Infection, and Molecular Characterization of the Species Circulating in Phlebotomine Sand Flies (Diptera: Psychodidae)","JOURNAL OF MEDICAL ENTOMOLOGY",1938-2928,N,,,
"Edelberto Santos Dias",http://lattes.cnpq.br/0492208637289837,2019,"Competence of non-human primates to transmit Leishmania infantum to the invertebrate vector Lutzomyia longipalpis","PLOS NEGLECTED TROPICAL DISEASES",1935-2735,A1,,,2020
"Edelberto Santos Dias",http://lattes.cnpq.br/0492208637289837,2019,"Natural infection by Leishmania infantum in the Lutzomyia longipalpis population of an endemic coastal area to visceral leishmaniasis in Brazil is not associated with bioclimatic factors","PLOS NEGLECTED TROPICAL DISEASES",1935-2735,A1,,,2020
"Edelberto Santos Dias",http://lattes.cnpq.br/0492208637289837,2019,"Study on Culicidae mosquitoes in urban and forest areas under influence of mining in Minas Gerais State, Brazil","VECTOR BIOLOGY JORUNAL",2473-4810,C,,,2020
"Edelberto Santos Dias",http://lattes.cnpq.br/0492208637289837,2018,"Aspects on the ecology of phlebotomine sand flies and natural infection by  Leishmania hertigi  in the Southeastern Amazon Basin of Brazil","ACTA TROPICA",0001-706X,A2,,,2020
"Edelberto Santos Dias",http://lattes.cnpq.br/0492208637289837,2018,"Ecoepidemiological aspects of visceral leishmaniasis in an endemic area in the Steel Valley in Brazil: An ecological approach with spatial analysis","PLOS ONE",1932-6203,A1,,,2020
"Edelberto Santos Dias",http://lattes.cnpq.br/0492208637289837,2017,"Seroprevalence and molecular characterization of Leishmania in dogs from an endemic area of zoonotic visceral leishmaniasis in Brazil","INTERNATIONAL JOURNAL OF VETERINARY SCIENCE AND MEDICINE",2314-4599,B1,,,2020
"Edelberto Santos Dias",http://lattes.cnpq.br/0492208637289837,2017,"Evaluation of chemical spraying and environmental management efficacy in areas with minor previous application of integrated control actions for visceral leishmaniasis in Brazil","ACTA TROPICA",0001-706X,A2,,,2020
"Edelberto Santos Dias",http://lattes.cnpq.br/0492208637289837,2016,"A PROTOTYPE OF THE DIRECT AGGLUTINATION TEST KIT (DAT-Canis) FOR THE SEROLOGICAL DIAGNOSIS OF CANINE VISCERAL LEISHMANIASIS","VETERINARY PARASITOLOGY (PRINT)",0304-4017,A1,,,2020
"Edelberto Santos Dias",http://lattes.cnpq.br/0492208637289837,2016,"Field randomized trial to evaluate the efficacy of the Leish-Tec® vaccine against canine visceral leishmaniasis in an endemic area of Brazil","VACCINE (GUILDFORD)",0264-410X,A2,,,2020
"Edelberto Santos Dias",http://lattes.cnpq.br/0492208637289837,2016,"Abundance of Lutzomyia longipalpis in urban households as risk factor of transmission of visceral leishmaniasis","MEMÓRIAS DO INSTITUTO OSWALDO CRUZ (ONLINE)",1678-8060,A4,,,2020
"Edelberto Santos Dias",http://lattes.cnpq.br/0492208637289837,2016,"Frequency and diversity of phlebotomine sand flies (Diptera: Psychodidae) in Sinop, State of Mato Grosso, Brazil","SOCIEDADE BRASILEIRA DE MEDICINA TROPICAL. REVISTA",1678-9849,B1,,,2020
"Edelberto Santos Dias",http://lattes.cnpq.br/0492208637289837,2016,"Standardization of a molecular method for epidemiologic identification of Leishmania strains","GENETICS AND MOLECULAR RESEARCH",1676-5680,B2,,,2020
"Edelberto Santos Dias",http://lattes.cnpq.br/0492208637289837,2016,"Transmission of visceral leishmaniasis in dogs in a risk area of the metropolitan region of Belo Horizonte, Minas Gerais, Brazil","ARQUIVO BRASILEIRO DE MEDICINA VETERINÁRIA E ZOOTECNIA (ONLINE)",1678-4162,B1,,,2020
"Edelberto Santos Dias",http://lattes.cnpq.br/0492208637289837,2015,"Phlebotomine Sand Fly Fauna and              Leishmania</i>              Infection in the Vicinity of the Serra do Cipó National Park, a Natural Brazilian Heritage Site","BIOMED RES INT",2314-6133,A3,,,2020
"Edelberto Santos Dias",http://lattes.cnpq.br/0492208637289837,2015,"Epidemiological aspects of vector, parasite, and domestic reservoir in areas of recent transmission and no reported human cases of visceral leishmaniasis in Brazil","ACTA TROPICA",0001-706X,A2,,,2020
"Edelberto Santos Dias",http://lattes.cnpq.br/0492208637289837,2015,"Baseline susceptibility to alpha-cypermethrin in Lutzomyia longipalpis (Lutz & Neiva, 1912) from Lapinha Cave (Brazil)","PARASITES & VECTORS",1756-3305,A2,,,2020
"Edelberto Santos Dias",http://lattes.cnpq.br/0492208637289837,2014,"Ecological aspects of the Phlebotominae fauna (Diptera: Psychodidae) in the Xakriaba Indigenous Reserve, Brazil","PARASITES & VECTORS",1756-3305,A2,,,2020
"Edelberto Santos Dias",http://lattes.cnpq.br/0492208637289837,2014,"Evaluation of parasitological examination, kDNA polymeras chain reaction and rK39-based immunochromatography for the diagnosis of visceral leishmaniasis in seropositive dogs from the screening-culling program in Brazil.","REVISTA DA SOCIEDADE BRASILEIRA DE MEDICINA TROPICAL (IMPRESSO)",0037-8682,B1,,,2020
"Edelberto Santos Dias",http://lattes.cnpq.br/0492208637289837,2014,"Rattus norvegicus (Rodentia: Muridae) Infected by Leishmania (Leishmania) infantum (syn. Le. chagasi) in Brazil","BIOMED RESEARCH INTERNATIONAL",2314-6133,A3,,,2020
"Edelberto Santos Dias",http://lattes.cnpq.br/0492208637289837,2013,"Detection of              Leishmania infantum</i>              , the etiological agent of visceral leishmaniasis, in              Lutzomyia neivai</i>              , a putative vector of cutaneous leishmaniasis","JOURNAL OF VECTOR ECOLOGY",1081-1710,A4,,,2020
