nome,lattes_url,ano_publicacao,titulo_publicacao,periodico,issn,qualis,pontos,area,ano_base
"Edward José de Oliveira",http://lattes.cnpq.br/4533303011981452,2023,"A review of serological tests available in Brazil for intestinal schistosomiasis diagnosis","MEMÓRIAS DO INSTITUTO OSWALDO CRUZ",1678-8060,A4,,,2020
"Edward José de Oliveira",http://lattes.cnpq.br/4533303011981452,2023,"Development and evaluation of an indirect ELISA using a multiepitope antigen for the diagnosis of intestinal schistosomiasis","PARASITOLOGY",0031-1820,A1,,,2020
"Edward José de Oliveira",http://lattes.cnpq.br/4533303011981452,2023,"Accuracy of serological tests in diagnosing mucosal leishmaniasis","PARASITOLOGY RESEARCH",0932-0113,A1,,,2020
"Edward José de Oliveira",http://lattes.cnpq.br/4533303011981452,2023,"Anti- Leishmania</i> compounds can be screened using Leishmania</i> spp. expressing red fluorescence ( tdTomato</i> )","ANTIMICROBIAL AGENTS AND CHEMOTHERAPY",0066-4804,A1,,,2020
"Edward José de Oliveira",http://lattes.cnpq.br/4533303011981452,2023,"FioSchisto?s expert perspective on implementing WHO guidelines for schistosomiasis control and transmission elimination in Brazil","FRONTIERS IN IMMUNOLOGY",1664-3224,A2,,,2020
"Edward José de Oliveira",http://lattes.cnpq.br/4533303011981452,2022,"Pulmonary hemorrhage in dengue: differential diagnosis with acute viral respiratory syndromes including COVID-19","REVISTA DO INSTITUTO DE MEDICINA TROPICAL DE SAO PAULO",0036-4665,B1,,,2020
"Edward José de Oliveira",http://lattes.cnpq.br/4533303011981452,2022,"Anti-mitochondrial Tryparedoxin Peroxidase Monoclonal Antibody-Based Immunohistochemistry for Diagnosis of Cutaneous Leishmaniasis","FRONTIERS IN MICROBIOLOGY",1664-302X,A2,,,2020
"Edward José de Oliveira",http://lattes.cnpq.br/4533303011981452,2022,"Characterization of agglutinating antibodies detected by the direct agglutination test for visceral leishmaniasis diagnosis","PARASITOLOGY RESEARCH",0932-0113,A1,,,2020
"Edward José de Oliveira",http://lattes.cnpq.br/4533303011981452,2022,"Pamidronate, a promising repositioning drug to treat leishmaniasis, displays antileishmanial and immunomodulatory potential","INTERNATIONAL IMMUNOPHARMACOLOGY",1567-5769,A2,,,2020
"Edward José de Oliveira",http://lattes.cnpq.br/4533303011981452,2022,"Assessment of the accuracy of 11 different diagnostic tests for the detection of Schistosomiasis mansoni in individuals from a Brazilian area of low endemicity using latent class analysis","FRONTIERS IN MICROBIOLOGY",1664-302X,A2,,,2020
"Edward José de Oliveira",http://lattes.cnpq.br/4533303011981452,2021,"A Real-Time PCR Assay for the Diagnosis of Intestinal Schistosomiasis and Cure Assessment After the Treatment of Individuals With Low Parasite Burden","FRONTIERS IN IMMUNOLOGY",1664-3224,A2,,,2020
"Edward José de Oliveira",http://lattes.cnpq.br/4533303011981452,2021,"Improved Performance of ELISA and Immunochromatographic Tests Using a New Chimeric A2-Based Protein for Human Visceral Leishmaniasis Diagnosis","JOURNAL OF IMMUNOLOGY RESEARCH",2314-7156,A3,,,2020
"Edward José de Oliveira",http://lattes.cnpq.br/4533303011981452,2021,"Potential antigenic targets used inimmunological tests for diagnosis oftegumentary leishmaniasis: A systematicreview","PLOS ONE",1932-6203,A1,,,2020
"Edward José de Oliveira",http://lattes.cnpq.br/4533303011981452,2020,"Expression of NLRP3 inflammasome in leprosy indicates immune evasion of Mycobacterium leprae","MEMÓRIAS DO INSTITUTO OSWALDO CRUZ",1678-8060,A4,,,2020
"Edward José de Oliveira",http://lattes.cnpq.br/4533303011981452,2020,"Laboratorial algorithm for serological diagnosis of visceral leishmaniasis using rK39-ICT, DAT-LPC and FC-Simplex IgG1","JOURNAL OF IMMUNOLOGICAL METHODS",0022-1759,B2,,,2020
"Edward José de Oliveira",http://lattes.cnpq.br/4533303011981452,2020,"Leishmania infantum induces high phagocytic capacity and intracellular NO production by human proinflammatory monocyte","MEMORIAS DO INSTITUTO OSWALDO CRUZ",0074-0276,A4,,,2020
"Edward José de Oliveira",http://lattes.cnpq.br/4533303011981452,2020,"Accuracy of real-time polymerase chain reaction to detect Schistosoma mansoni -</i> infected individuals from an endemic area with low parasite loads","PARASITOLOGY",0031-1820,A1,,,2020
"Edward José de Oliveira",http://lattes.cnpq.br/4533303011981452,2020,"Desafios da implantação de testes rápidos para o diagnóstico da leishmaniose visceral em serviços de saúde de município endêmico para a doença","REVISTA DE APS (IMPRESSO)",1516-7704,B1,,,2020
"Edward José de Oliveira",http://lattes.cnpq.br/4533303011981452,2020,"Prospection of immunological biomarkers for characterization and monitoring of asymptomatic Leishmania</i> ( Leishmania</i> ) infantum</i> infection","PARASITOLOGY",0031-1820,A1,,,2020
"Edward José de Oliveira",http://lattes.cnpq.br/4533303011981452,2020,"LeishCare®: A Software Designed for the Management of Individuals with Leishmaniases","AMERICAN JOURNAL OF TROPICAL MEDICINE AND HYGIENE",0002-9637,A3,,,2020
"Edward José de Oliveira",http://lattes.cnpq.br/4533303011981452,2020,"Development of a software for mobile devices designed to help with the management of individuals with neglected tropical diseases","RESEARCH ON BIOMEDICAL ENGINEERING",2446-4732,A4,,,2020
"Edward José de Oliveira",http://lattes.cnpq.br/4533303011981452,2020,"The heterologous expression of Escherichia coli MutT enzyme is involved in the protection against oxidative stress in Leishmania braziliensis","MEMÓRIAS DO INSTITUTO OSWALDO CRUZ",1678-8060,A4,,,2020
"Edward José de Oliveira",http://lattes.cnpq.br/4533303011981452,2019,"Modulation of Allergic Reactivity in Humans Is Dependent on Schistosoma mansoni Parasite Burden, Low Levels of IL-33 or TNF-α and High Levels of IL-10 in Serum","FRONTIERS IN IMMUNOLOGY",1664-3224,A2,,,2020
"Edward José de Oliveira",http://lattes.cnpq.br/4533303011981452,2019,"Improving the reference standard for the diagnosis of canine visceral leishmaniasis: a challenge for current and future tests","MEMÓRIAS DO INSTITUTO OSWALDO CRUZ",1678-8060,A4,,,2020
"Edward José de Oliveira",http://lattes.cnpq.br/4533303011981452,2019,"Evaluation of three recombinant proteins for the development of ELISA and immunochromatographic tests for visceral leishmaniasis serodiagnosis","MEMÓRIAS DO INSTITUTO OSWALDO CRUZ",1678-8060,A4,,,2020
"Edward José de Oliveira",http://lattes.cnpq.br/4533303011981452,2019,"Leishmania infantum exo-antigens: application toward serological diagnosis of visceral leishmaniasis","PARASITOLOGY RESEARCH",0932-0113,A1,,,2020
"Edward José de Oliveira",http://lattes.cnpq.br/4533303011981452,2019,"Performance of serological tests available in Brazil for the diagnosis of human visceral leishmaniasis","PLOS NEGLECTED TROPICAL DISEASES",1935-2735,A1,,,2020
"Edward José de Oliveira",http://lattes.cnpq.br/4533303011981452,2019,"Development of a natural molluscicide prototype kit (MoluSchall) for the control of schistosomiasis mansoni transmission","SOCIEDADE BRASILEIRA DE MEDICINA TROPICAL. REVISTA",1678-9849,B1,,,2020
"Edward José de Oliveira",http://lattes.cnpq.br/4533303011981452,2019,"Transmission control of schistosomiasis mansoni in a low endemicity area through a single intervention with rigorous prospection of infected cases treated with praziquantel: evaluation after 7 years of intervention","REVISTA DO INSTITUTO DE MEDICINA TROPICAL DE SÃO PAULO",1678-9946,B1,,,2020
"Edward José de Oliveira",http://lattes.cnpq.br/4533303011981452,2018,"Development of a laboratorial platform for diagnosis of schistosomiasis mansoni by PCR-ELISA","BMC RESEARCH NOTES",1756-0500,B1,,,2020
"Edward José de Oliveira",http://lattes.cnpq.br/4533303011981452,2018,"Effectiveness of the Brazilian Visceral Leishmaniasis Surveillance and Control Programme in reducing the prevalence and incidence of Leishmania infantum infection","PARASITES & VECTORS",1756-3305,A2,,,2020
"Edward José de Oliveira",http://lattes.cnpq.br/4533303011981452,2017,"Development and Validation of a PCR-ELISA for the Diagnosis of Symptomatic and Asymptomatic Infection by Leishmania (Leishmania) infantum</i>","JOURNAL OF TROPICAL MEDICINE",1687-9686,B1,,,2020
"Edward José de Oliveira",http://lattes.cnpq.br/4533303011981452,2017,"Multicentre evaluation of a direct agglutination test prototype kit (DAT-LPC) for diagnosis of visceral leishmaniasis","PARASITOLOGY",0031-1820,A1,,,2020
"Edward José de Oliveira",http://lattes.cnpq.br/4533303011981452,2016,"A PROTOTYPE OF THE DIRECT AGGLUTINATION TEST KIT (DAT-Canis) FOR THE SEROLOGICAL DIAGNOSIS OF CANINE VISCERAL LEISHMANIASIS","VETERINARY PARASITOLOGY (PRINT)",0304-4017,A1,,,2020
"Edward José de Oliveira",http://lattes.cnpq.br/4533303011981452,2016,"Acceptance and potential barriers to effective use of diagnostic tests for visceral leishmaniasis in an urban area in Brazil","SOCIEDADE BRASILEIRA DE MEDICINA TROPICAL. REVISTA",1678-9849,B1,,,2020
"Edward José de Oliveira",http://lattes.cnpq.br/4533303011981452,2016,"Performance of POC-CCA® in diagnosis of schistosomiasis mansoni in individuals with low parasite burden","SOCIEDADE BRASILEIRA DE MEDICINA TROPICAL. REVISTA",1678-9849,B1,,,2020
"Edward José de Oliveira",http://lattes.cnpq.br/4533303011981452,2016,"A Proteomic Road To Acquire An Accurate Serological Diagnosis For Human Tegumentary Leishmaniasis","JOURNAL OF PROTEOMICS (PRINT)",1874-3919,A1,,,2020
"Edward José de Oliveira",http://lattes.cnpq.br/4533303011981452,2016,"Leishmania infantum: illness, transmission profile and risk factors for asymptomatic infection in an endemic metropolis in Brazil","PARASITOLOGY (LONDON. PRINT)",0031-1820,A1,,,2020
"Edward José de Oliveira",http://lattes.cnpq.br/4533303011981452,2016,"Improvement of POC-CCA Interpretation by Using Lyophilization of Urine from Patients with Schistosoma mansoni Low Worm Burden: Towards an Elimination of Doubts about the Concept of Trace","PLOS NEGLECTED TROPICAL DISEASES",0378-6978,B4,,,2020
"Edward José de Oliveira",http://lattes.cnpq.br/4533303011981452,2015,"Evaluation of parasitological and molecular techniques for the diagnosis and assessment of cure of schistosomiasis mansoni in a low transmission area","MEMÓRIAS DO INSTITUTO OSWALDO CRUZ (IMPRESSO)",0074-0276,A4,,,2020
"Edward José de Oliveira",http://lattes.cnpq.br/4533303011981452,2015,"Genetic homogeneity among Leishmania (Leishmania) infantum isolates from dog and human samples in Belo Horizonte Metropolitan Area (BHMA), Minas Gerais, Brazil","PARASITES & VECTORS",1756-3305,A2,,,2020
"Edward José de Oliveira",http://lattes.cnpq.br/4533303011981452,2015,"Study of implementation and direct cost estimates for diagnostic tests for human visceral leishmaniasis in an urban area in Brazil","CADERNOS DE SAÚDE PÚBLICA (ONLINE)",1678-4464,A1,,,2020
"Edward José de Oliveira",http://lattes.cnpq.br/4533303011981452,2014,"Infection with Leishmania (Leishmania) infantum of 0 to 18-Month-Old Children Living in a Visceral Leishmaniasis-Endemic Area in Brazil","THE AMERICAN JOURNAL OF TROPICAL MEDICINE AND HYGIENE",0002-9637,A3,,,2020
"Edward José de Oliveira",http://lattes.cnpq.br/4533303011981452,2013,"Schistosomula tegument antigen as potential candidate for the early serological diagnosis of schistosomiasis mansoni","REVISTA DO INSTITUTO DE MEDICINA TROPICAL DE SÃO PAULO (IMPRESSO)",0036-4665,B1,,,2020
"Edward José de Oliveira",http://lattes.cnpq.br/4533303011981452,2013,"Validation of a direct agglutination test prototype kit for the diagnosis of visceral leishmaniasis","TRANSACTIONS OF THE ROYAL SOCIETY OF TROPICAL MEDICINE AND HYGIENE",0035-9203,A3,,,2020
"Edward José de Oliveira",http://lattes.cnpq.br/4533303011981452,2013,"Comparison of Parasitological, Serological, and Molecular Tests for Visceral Leishmaniasis in HIV-Infected Patients: A Cross-Sectional Delayed-Type Study","THE AMERICAN JOURNAL OF TROPICAL MEDICINE AND HYGIENE",0002-9637,A3,,,2020
"Edward José de Oliveira",http://lattes.cnpq.br/4533303011981452,2013,"Schistosoma mansoni in a low-prevalence area in Brazil: the importance of additional methods for the diagnosis of hard-to-detect individual carriers by low-cost immunological assays","MEMÓRIAS DO INSTITUTO OSWALDO CRUZ (ONLINE)",1678-8060,A4,,,2020
"Edward José de Oliveira",http://lattes.cnpq.br/4533303011981452,2013,"Acute schistosomiasis diagnosis: a new tool for the diagnosis of schistosomiasis in a group of travelers recently infected in a new focus of Schistosoma mansoni","REVISTA DA SOCIEDADE BRASILEIRA DE MEDICINA TROPICAL (IMPRESSO)",0037-8682,B1,,,2020
"Edward José de Oliveira",http://lattes.cnpq.br/4533303011981452,2012,"Antigens of worms and eggs showed a differentiated detection of specific IgG according to the time of Schistosoma mansoni infection in mice","REVISTA DA SOCIEDADE BRASILEIRA DE MEDICINA TROPICAL (IMPRESSO)",0037-8682,B1,,,2020
"Edward José de Oliveira",http://lattes.cnpq.br/4533303011981452,2012,"Global comparative evaluation of commercial immunochromatographic rapid diagnostic tests for visceral leishmaniasis","CLINICAL INFECTIOUS DISEASES",1537-6591,A1,,,2020
"Edward José de Oliveira",http://lattes.cnpq.br/4533303011981452,2012,"Low parasite load estimated by qPCR in a cohort of children living in urban area endemic for visceral leishmaniasis in Brazil","PLOS NEGLECTED TROPICAL DISEASES (ONLINE)",1935-2735,A1,,,2020
"Edward José de Oliveira",http://lattes.cnpq.br/4533303011981452,2011,"Direct agglutination test (DAT): improvement of biosafety for laboratory diagnosis of visceral leishmaniasis","TRANSACTIONS OF THE ROYAL SOCIETY OF TROPICAL MEDICINE AND HYGIENE",0035-9203,A3,,,2020
"Edward José de Oliveira",http://lattes.cnpq.br/4533303011981452,2010,"Multi-centric prospective evaluation of rk39 rapid test and direct agglutination test for the diagnosis of visceral leishmaniasis in Brazil","TRANSACTIONS OF THE ROYAL SOCIETY OF TROPICAL MEDICINE AND HYGIENE",0035-9203,A3,,,2020
"Edward José de Oliveira",http://lattes.cnpq.br/4533303011981452,2009,"Lesion aspirate culture for the diagnosis and isolation of Leishmania spp. from patients with cutaneous leishmaniasis","MEMÓRIAS DO INSTITUTO OSWALDO CRUZ (ONLINE)",1678-8060,A4,,,2020
"Edward José de Oliveira",http://lattes.cnpq.br/4533303011981452,2009,"Improvement of direct agglutination test (DAT) for laboratory diagnosis of visceral leishmaniasis in Brazil","TRANSACTIONS OF THE ROYAL SOCIETY OF TROPICAL MEDICINE AND HYGIENE",0035-9203,A3,,,2020
"Edward José de Oliveira",http://lattes.cnpq.br/4533303011981452,2008,"Comparative evaluation of direct agglutination test, rK39 and soluble antigen ELISA and IFAT for the diagnosis of visceral leishmaniasis","TRANSACTIONS OF THE ROYAL SOCIETY OF TROPICAL MEDICINE AND HYGIENE",0035-9203,A3,,,2020
"Edward José de Oliveira",http://lattes.cnpq.br/4533303011981452,2008,"Synthetic peptides as antigenic base in an Enzyme-linked immunosorbent assay for laboratory diagnosis of schistosomiasis mansoni","TRANSACTIONS OF THE ROYAL SOCIETY OF TROPICAL MEDICINE AND HYGIENE",0035-9203,A3,,,2020
"Edward José de Oliveira",http://lattes.cnpq.br/4533303011981452,2007,"Characterization of a clone from an adult cDNA library selected with anti-Schistosoma mansoni human antibodies dissociated from immune complexes: A preliminary report","REVISTA DO INSTITUTO DE MEDICINA TROPICAL DE SÃO PAULO",0036-4665,B1,,,2020
"Edward José de Oliveira",http://lattes.cnpq.br/4533303011981452,2006,"Application of synthetic peptides in development of a serologic method for laboratory diagnosis of schistosomiasis mansoni","MEMÓRIAS DO INSTITUTO OSWALDO CRUZ",0074-0276,A4,,,2020
"Edward José de Oliveira",http://lattes.cnpq.br/4533303011981452,2005,"Efficacy of an enzyme-linked immunosorbent assay as a diagnostic tool for schistosomiasis mansoni in individuals with low worm burden","MEMÓRIAS DO INSTITUTO OSWALDO CRUZ (ONLINE)",1678-8060,A4,,,2020
"Edward José de Oliveira",http://lattes.cnpq.br/4533303011981452,2003,"ELISA-IgM para diagnóstico da esquistossomose mansoni em área de baixa endemicidade","CADERNOS DE SAÚDE PÚBLICA (FIOCRUZ)",0102-311X,A1,,,2020
"Edward José de Oliveira",http://lattes.cnpq.br/4533303011981452,2003,"Schistosomiasis mansoni: Follow-up of control program based on parasitologic and serologic methods in a brasilian community of low endemicity","MEMÓRIAS DO INSTITUTO OSWALDO CRUZ (ONLINE)",1678-8060,A4,,,2020
