nome,lattes_url,ano_publicacao,titulo_publicacao,periodico,issn,qualis,pontos,area,ano_base
"Érica Alessandra Rocha Alves",http://lattes.cnpq.br/9853093673691832,2023,"Reprogramming of tumor-associated macrophages by polyaniline-coated iron oxide nanoparticles applied to treatment of breast cancer","INTERNATIONAL JOURNAL OF PHARMACEUTICS",0378-5173,A1,,,2020
"Érica Alessandra Rocha Alves",http://lattes.cnpq.br/9853093673691832,2023,"Deletion of MIF gene from live attenuated LdCen−/− parasites enhances protective CD4+ T cell immunity","SCIENTIFIC REPORTS",2045-2322,A1,,,2020
"Érica Alessandra Rocha Alves",http://lattes.cnpq.br/9853093673691832,2023,"Iron oxide polyaniline-coated nanoparticles modulate tumor microenvironment in breast cancer: an in vitro study on the reprogramming of tumor-associated macrophages","CANCER NANOTECHNOLOGY",1868-6966,A1,,,2020
"Érica Alessandra Rocha Alves",http://lattes.cnpq.br/9853093673691832,2022,"Searching for plant-derived antivirals against dengue virus and Zika virus","VIROLOGY JOURNAL",1743-422X,A3,,,2020
"Érica Alessandra Rocha Alves",http://lattes.cnpq.br/9853093673691832,2021,"Crude Necator americanus worm extract diminishes pancreatic islet destruction in diabetic non-obese mice (NOD)","CURRENT TRENDS IN IMMUNOLOGY",0972-4567,B4,,,2020
"Érica Alessandra Rocha Alves",http://lattes.cnpq.br/9853093673691832,2021,"Immunotherapy for cancer: effects of iron oxide nanoparticles on polarization of tumor-associated macrophages","NANOMEDICINE",1743-5889,A1,,,2020
"Érica Alessandra Rocha Alves",http://lattes.cnpq.br/9853093673691832,2021,"Desenvolvimento de um modelo experimental In Vitro de Co-cultivo de Células-tronco Mesenquimais e Hepatócitos para avaliação dos efeitos hepatoprotetores frente a toxicidade de antígenos secretados  por ovos de Schistosoma mansoni","ACTA BIOMEDICA BRASILIENSIA",2236-0867,B4,,,2020
"Érica Alessandra Rocha Alves",http://lattes.cnpq.br/9853093673691832,2020,"Design and production of dengue virus chimeric proteins useful for developing tetravalent vaccines","VACCINE",0264-410X,A2,,,2020
"Érica Alessandra Rocha Alves",http://lattes.cnpq.br/9853093673691832,2020,"Mechanical Periodontal Therapy Recovered the Phagocytic Function of Monocytes in Periodontitis","INTERNATIONAL JOURNAL OF DENTISTRY (PRINT)",1687-8728,A3,,,2020
"Érica Alessandra Rocha Alves",http://lattes.cnpq.br/9853093673691832,2020,"Liver damage in schistosomiasis is reduced by adipose tissue-derived stem cell therapy after praziquantel treatment","PLOS NEGLECTED TROPICAL DISEASES",1935-2735,A1,,,2020
"Érica Alessandra Rocha Alves",http://lattes.cnpq.br/9853093673691832,2018,"Increased Levels of Txa2 Induced by Dengue Virus Infection in IgM Positive Individuals Is Related to the Mild Symptoms of Dengue","VIRUSES-BASEL",1999-4915,A2,,,2020
"Érica Alessandra Rocha Alves",http://lattes.cnpq.br/9853093673691832,2018,"Subcutaneous Model for the Study of Dengue Virus Infection in Immune Competent Mice","JOURNAL OF BIOSCIENCES AND MEDICINES",2327-5081,B4,,,2020
"Érica Alessandra Rocha Alves",http://lattes.cnpq.br/9853093673691832,2018,"HIV aspartyl protease inhibitors modify the percentage of activated leukocytes, as well as serum levels of IL-17A and NO during experimental leishmaniasis","INTERNATIONAL IMMUNOPHARMACOLOGY",1567-5769,A2,,,2020
"Érica Alessandra Rocha Alves",http://lattes.cnpq.br/9853093673691832,2017,"Differences in the modulation of reactive species, lipid bodies, cyclooxygenase-2, 5-lipoxygenase and PPAR-γ in cerebral malaria-susceptible and resistant mice","IMMUNOBIOLOGY",0171-2985,A2,,,2020
"Érica Alessandra Rocha Alves",http://lattes.cnpq.br/9853093673691832,2017,"Enhanced activation of eosinophils in peripheral blood and implications for eosinophilic esophagitis diagnosis","JOURNAL OF GASTROENTEROLOGY AND HEPATOLOGY",0815-9319,A3,,,2020
"Érica Alessandra Rocha Alves",http://lattes.cnpq.br/9853093673691832,2015,"Anti-HIV drugs, lopinavir/ritonavir and atazanavir, modulate innate immune response triggered by Leishmania in macrophages: The role of NFκB and PPARγ","INTERNATIONAL IMMUNOPHARMACOLOGY (PRINT)",1567-5769,A2,,,2020
"Érica Alessandra Rocha Alves",http://lattes.cnpq.br/9853093673691832,2012,"Miltefosine enhances phagocytosis but decreases nitric oxide production by peritoneal macrophages of C57BL/6 mice","INTERNATIONAL IMMUNOPHARMACOLOGY (PRINT)",1567-5769,A2,,,2020
