nome,lattes_url,ano_publicacao,titulo_publicacao,periodico,issn,qualis,pontos,area,ano_base
"Erika Michalsky Monteiro",http://lattes.cnpq.br/1476232727069800,2023,"Survey of phlebotomine sand fly fauna in a public Zoo in Brazil: Species diversity, seasonality, and host variety","VETERINARY PARASITOLOGY: REGIONAL STUDIES AND REPORTS",2405-9390,A3,,,2020
"Erika Michalsky Monteiro",http://lattes.cnpq.br/1476232727069800,2023,"The Program for the Control of Visceral Leishmaniasis in Brazil: The Effect of the Systematic Euthanasia of Seropositive Dogs as a Single Control Action in Porteirinha, a Brazilian City with an Intense Transmission of Visceral Leishmaniasis","PATHOGENS",2076-0817,A3,,,2020
"Erika Michalsky Monteiro",http://lattes.cnpq.br/1476232727069800,2022,"Impact of vector control actions in the abundance of Lutzomyia longipalpis in Montes Claros, Brazil","ACTA TROPICA",0001-706X,A2,,,2020
"Erika Michalsky Monteiro",http://lattes.cnpq.br/1476232727069800,2020,"Dogs with divergent serology for visceral leishmaniasis as sources of Leishmania infection for Lutzomyia longipalpis phlebotomine sand flies - an observational study in an endemic area in Brazil","PLOS NEGLECTED TROPICAL DISEASES",1935-2735,A1,,,2020
"Erika Michalsky Monteiro",http://lattes.cnpq.br/1476232727069800,2020,"Ecology of phlebotomine sand flies in a Brazilian area with recent leishmaniasis transmission (Itaúna, in Minas Gerais state).","REVISTA DA SOCIEDADE BRASILEIRA DE MEDICINA TROPICAL",0037-8682,B1,,,2020
"Erika Michalsky Monteiro",http://lattes.cnpq.br/1476232727069800,2020,"Canine visceral leishmaniasis in area with recent Leishmania transmission: prevalence, diagnosis, and molecular identification of the infecting species","SOCIEDADE BRASILEIRA DE MEDICINA TROPICAL. REVISTA",1678-9849,B1,,,2020
"Erika Michalsky Monteiro",http://lattes.cnpq.br/1476232727069800,2019,"Competence of non-human primates to transmit Leishmania infantum to the invertebrate vector Lutzomyia longipalpis","PLOS NEGLECTED TROPICAL DISEASES",1935-2735,A1,,,2020
"Erika Michalsky Monteiro",http://lattes.cnpq.br/1476232727069800,2019,"Entomological Studies in Itaúna, Brazil, an Area With Visceral Leishmaniasis Transmission: Fauna Survey, Natural Leishmania Infection, and Molecular Characterization of the Species Circulating in Phlebotomine Sand Flies (Diptera: Psychodidae)","JOURNAL OF MEDICAL ENTOMOLOGY",0022-2585,A1,,,2020
"Erika Michalsky Monteiro",http://lattes.cnpq.br/1476232727069800,2019,"Eco-epidemiological study on sandflies and environmental aspects related to the transmission of leishmaniasis in a municipality of Minas Gerais, Brazil, 2015-2016","ARQUIVO BRASILEIRO DE MEDICINA VETERINÁRIA E ZOOTECNIA (ONLINE)",1678-4162,B1,,,2020
"Erika Michalsky Monteiro",http://lattes.cnpq.br/1476232727069800,2019,"Study on Culicidae mosquitoes in urban and forest areas under influence of mining in Minas Gerais State, Brazil","VECTOR BIOLOGY",2473-4810,C,,,2020
"Erika Michalsky Monteiro",http://lattes.cnpq.br/1476232727069800,2018,"Aspects on the ecology of phlebotomine sand flies and natural infection by Leishmania hertigi in the Southeastern Amazon Basin of Brazil","ACTA TROPICA",0001-706X,A2,,,2020
"Erika Michalsky Monteiro",http://lattes.cnpq.br/1476232727069800,2018,"Ecoepidemiological aspects of visceral leishmaniasis in an endemic area in the Steel Valley in Brazil: An ecological approach with spatial analysis","PLOS ONE",1932-6203,A1,,,2020
"Erika Michalsky Monteiro",http://lattes.cnpq.br/1476232727069800,2017,"Seroprevalence and molecular characterization of Leishmania in dogs from an endemic area of zoonotic visceral leishmaniasis in Brazil","JOURNAL OF VETERINARY SCIENCE AND MEDICINE",2314-4599,B1,,,2020
"Erika Michalsky Monteiro",http://lattes.cnpq.br/1476232727069800,2017,"Evaluation of chemical spraying and environmental management efficacy in areas with minor previous application of integrated control actions for visceral leishmaniasis in Brazil","ACTA TROPICA",0001-706X,A2,,,2020
"Erika Michalsky Monteiro",http://lattes.cnpq.br/1476232727069800,2016,"Field randomized trial to evaluate the efficacy of the Leish-Tec® vaccine against canine visceral leishmaniasis in an endemic area of Brazil","VACCINE (GUILDFORD)",0264-410X,A2,,,2020
"Erika Michalsky Monteiro",http://lattes.cnpq.br/1476232727069800,2016,"Standardization of a molecular method for epidemiologic identification of Leishmania strains","GENETICS AND MOLECULAR RESEARCH",1676-5680,B2,,,2020
"Erika Michalsky Monteiro",http://lattes.cnpq.br/1476232727069800,2015,"Phlebotomine Sand Fly Fauna and Infection in the Vicinity of the Serra do Cipó National Park, a Natural Brazilian Heritage Site","BIOMED RES INT",2314-6133,A3,,,2020
"Erika Michalsky Monteiro",http://lattes.cnpq.br/1476232727069800,2015,"Epidemiological aspects of vector, parasite, and domestic reservoir in areas of recent transmission and no reported human cases of visceral leishmaniasis in Brazil","ACTA TROPICA",0001-706X,A2,,,2020
"Erika Michalsky Monteiro",http://lattes.cnpq.br/1476232727069800,2015,"Baseline susceptibility to alpha-cypermethrin in Lutzomyia longipalpis (Lutz & Neiva, 1912) from Lapinha Cave (Brazil)","PARASITES & VECTORS",1756-3305,A2,,,2020
"Erika Michalsky Monteiro",http://lattes.cnpq.br/1476232727069800,2014,"Rattus norvegicus (Rodentia: Muridae) Infected by","HTTP://DX.DOI.ORG/10.1155/2014/592986",2314-6133,A3,,,2020
"Erika Michalsky Monteiro",http://lattes.cnpq.br/1476232727069800,2014,"Evaluation of parasitological examination, kDNA polymerase chain reaction and rK39-based immunochromatography for the diagnosis of visceral leishmaniasis in seropositive dogs from the screening-culling program in Brazil.","REVISTA DA SOCIEDADE BRASILEIRA DE MEDICINA TROPICAL (IMPRESSO)",0037-8682,B1,,,2020
"Erika Michalsky Monteiro",http://lattes.cnpq.br/1476232727069800,2013,"Detection of Leishmania infantum</i> , the etiological agent of visceral leishmaniasis, in Lutzomyia neivai</i> , a putative vector of cutaneous leishmaniasis","JOURNAL OF VECTOR ECOLOGY",1081-1710,A4,,,2020
"Erika Michalsky Monteiro",http://lattes.cnpq.br/1476232727069800,2013,"Phlebotomine sandfly fauna and natural Leishmania infection rates in a rural area of Cerrado (tropical savannah) in Nova Mutum, State of Mato Grosso in Brazil","REVISTA DA SOCIEDADE BRASILEIRA DE MEDICINA TROPICAL (IMPRESSO)",0037-8682,B1,,,2020
"Erika Michalsky Monteiro",http://lattes.cnpq.br/1476232727069800,2011,"Phlebotomine sandflies (Diptera: Psychodidae) in Governador Valadares, a transmission area for American tegumentary leishmaniasis in State of Minas Gerais, Brazil","REVISTA DA SOCIEDADE BRASILEIRA DE MEDICINA TROPICAL (IMPRESSO)",0037-8682,B1,,,2020
"Erika Michalsky Monteiro",http://lattes.cnpq.br/1476232727069800,2011,"Assessment of sand fly (Diptera, Psychodidae) control using cypermethrin in an endemic area for visceral leishmaniasis, Montes Claros, Minas Gerais State, Brazil","CADERNOS DE SAÚDE PÚBLICA (ENSP. IMPRESSO)",0102-311X,A1,,,2020
"Erika Michalsky Monteiro",http://lattes.cnpq.br/1476232727069800,2011,"Infecção natural de Lutzomyia (Lutzomyia) longipalpis (Diptera: Psychodidae) por Leishmania infantum chagasi em flebotomíneos capturados no município de Janaúba, Estado de Minas Gerais, Brasil","REVISTA DA SOCIEDADE BRASILEIRA DE MEDICINA TROPICAL (IMPRESSO)",0037-8682,B1,,,2020
"Erika Michalsky Monteiro",http://lattes.cnpq.br/1476232727069800,2011,"Eco-epidemiology of visceral leishmaniasis in the urban area of Paracatu, state of Minas Gerais, Brazil","VETERINARY PARASITOLOGY (PRINT)",0304-4017,A1,,,2020
"Erika Michalsky Monteiro",http://lattes.cnpq.br/1476232727069800,2011,"Evidência de transmissão de leishmaniose visceral por Lutzomyia cruzi no município de Jaciara, Estado de Mato Grosso, Brasil","REVISTA DA SOCIEDADE BRASILEIRA DE MEDICINA TROPICAL (IMPRESSO)",0037-8682,B1,,,2020
"Erika Michalsky Monteiro",http://lattes.cnpq.br/1476232727069800,2010,"Evaluation of the vectorial capacity of Rhipicephalus sanguineus (Acari: Ixodidae) in the transmission of canine visceral leishmaniasis","PARASITOLOGY RESEARCH",0932-0113,A1,,,2020
"Erika Michalsky Monteiro",http://lattes.cnpq.br/1476232727069800,2010,"Lutzomyia longipalpis naturally infected by Leishmania (L.) chagasi in Várzea Grande, Mato Grosso State, Brazil, an area of intense transmission of visceral leishmaniasis","CADERNOS DE SAÚDE PÚBLICA (ENSP. IMPRESSO)",0102-311X,A1,,,2020
"Erika Michalsky Monteiro",http://lattes.cnpq.br/1476232727069800,2009,"Phlebotominae distribution in Janaúba, an area of transmission for visceral leishmaniasis in Brazil","MEMÓRIAS DO INSTITUTO OSWALDO CRUZ (IMPRESSO)",0074-0276,A4,,,2020
"Erika Michalsky Monteiro",http://lattes.cnpq.br/1476232727069800,2009,"Association of Lutzomyia longipalpis (Diptera: Psychodidae) population density with climate variables in Montes Claros, an area of American visceral leishmaniasis transmission in the state of Minas Gerais, Brazil","MEMÓRIAS DO INSTITUTO OSWALDO CRUZ (IMPRESSO)",0074-0276,A4,,,2020
"Erika Michalsky Monteiro",http://lattes.cnpq.br/1476232727069800,2007,"Flebotomíneos (Diptera: Psychodidae) de um foco de leishmaniose tegumentar no Estado de Minas Gerais","REVISTA DA SOCIEDADE BRASILEIRA DE MEDICINA TROPICAL (IMPRESSO)",0037-8682,B1,,,2020
"Erika Michalsky Monteiro",http://lattes.cnpq.br/1476232727069800,2007,"Infectivity of seropositive dogs, showing different clinical forms of leishmaniasis, to Lutzomyia longipalpis phlebotomine sand flies","VETERINARY PARASITOLOGY (PRINT)",0304-4017,A1,,,2020
"Erika Michalsky Monteiro",http://lattes.cnpq.br/1476232727069800,2005,"Importance of Lutzomyia longipalpis in the dynamics of transmission of canine visceral leishmaniasis in the endemic area of Porteirinha Municipality, Minas Gerais, Brazil","VETERINARY PARASITOLOGY (PRINT)",0304-4017,A1,,,2020
"Erika Michalsky Monteiro",http://lattes.cnpq.br/1476232727069800,2004,"Study on phlebotomine sand fly (Diptera: Psychodidae) fauna in Belo Horizonte, state of Minas Gerais, Brazil","MEMÓRIAS DO INSTITUTO OSWALDO CRUZ (IMPRESSO)",0074-0276,A4,,,2020
"Erika Michalsky Monteiro",http://lattes.cnpq.br/1476232727069800,2004,"Epidemiologia molecular da Leishmaniose Tegumentar no município de Araçuaí, Minas Gerais, Brasil.","SIICSALUD (BUENOS AIRES)",1667-9008,N,,,
"Erika Michalsky Monteiro",http://lattes.cnpq.br/1476232727069800,2004,"Phlebotomine sand flies in Porteirinha, an area of American visceral leishmaniasis transmission in the State of Minas Gerais, Brazil","MEMORIAS DO INSTITUTO OSWALDO CRUZ",0074-0276,A4,,,2020
"Erika Michalsky Monteiro",http://lattes.cnpq.br/1476232727069800,2002,"Assessment of PCR in the detection of Leishmania spp in experimentally infected individual phlebotomine sandflies (Diptera: Psychodidae: Phlebotominae)","REVISTA DO INSTITUTO DE MEDICINA TROPICAL DE SÃO PAULO (IMPRESSO)",0036-4665,B1,,,2020
