nome,lattes_url,ano_publicacao,titulo_publicacao,periodico,issn,qualis,pontos,area,ano_base
"Flora Satiko Kano",http://lattes.cnpq.br/8688961957105096,2023,"IgM antibody responses against Plasmodium antigens in neotropical primates in the Brazilian Atlantic Forest","FRONTIERS IN CELLULAR AND INFECTION MICROBIOLOGY",2235-2988,A2,,,2020
"Flora Satiko Kano",http://lattes.cnpq.br/8688961957105096,2022,"Antibody response to a new member of the DBL family (EBP2) after a brief Plasmodium vivax exposure","PLOS NEGLECTED TROPICAL DISEASES",1935-2735,A1,,,2020
"Flora Satiko Kano",http://lattes.cnpq.br/8688961957105096,2022,"Impact of Epstein-Barr virus co-infection on natural acquired Plasmodium vivax antibody response","PLOS NEGLECTED TROPICAL DISEASES",1935-2735,A1,,,2020
"Flora Satiko Kano",http://lattes.cnpq.br/8688961957105096,2021,"Profiling Humoral Immune Response Against Pre-Erythrocytic and Erythrocytic Antigens of Malaria Parasites Among Neotropical Primates in the Brazilian Atlantic Forest","FRONTIERS IN CELLULAR AND INFECTION MICROBIOLOGY",2235-2988,A2,,,2020
"Flora Satiko Kano",http://lattes.cnpq.br/8688961957105096,2021,"Multiplexed Microsphere-Based Flow Cytometric Assay to Assess Strain Transcending Antibodies to Plasmodium vivax Duffy Binding Protein II Reveals an Efficient Tool to Identify Binding-Inhibitory Antibody Responders","FRONTIERS IN IMMUNOLOGY",1664-3224,A2,,,2020
"Flora Satiko Kano",http://lattes.cnpq.br/8688961957105096,2021,"Asymptomatic Plasmodium vivax malaria in the Brazilian Amazon: Submicroscopic parasitemic blood infects Nyssorhynchus darlingi","PLOS NEGLECTED TROPICAL DISEASES",1935-2735,A1,,,2020
"Flora Satiko Kano",http://lattes.cnpq.br/8688961957105096,2020,"A First Plasmodium vivax Natural Infection Induces Increased Activity of the Interferon Gamma-Driven Tryptophan Catabolism Pathway","FRONTIERS IN MICROBIOLOGY",1664-302X,A2,,,2020
"Flora Satiko Kano",http://lattes.cnpq.br/8688961957105096,2020,"Novel Insights into              Plasmodium vivax</i>              Therapeutic Failure: CYP2D6 Activity and Time of Exposure to Malaria Modulate the Risk of Recurrence","ANTIMICROBIAL AGENTS AND CHEMOTHERAPY",0066-4804,A1,,,2020
"Flora Satiko Kano",http://lattes.cnpq.br/8688961957105096,2020,"Dynamics of IgM and IgG responses to the next generation of engineered Duffy binding protein II immunogen: Strain-specific and strain-transcending immune responses over a nine-year period","PLOS ONE",1932-6203,A1,,,2020
"Flora Satiko Kano",http://lattes.cnpq.br/8688961957105096,2019,"Ribosomal and non-ribosomal PCR targets for the detection of low-density and mixed malaria infections","MALARIA JOURNAL",1475-2875,A2,,,2020
