nome,lattes_url,ano_publicacao,titulo_publicacao,periodico,issn,qualis,pontos,area,ano_base
"Gabriel da Rocha Fernandes",http://lattes.cnpq.br/8989178759075946,2024,"Methotrexate and Non-Surgical Periodontal Treatment Change the Oral-Gut Microbiota in Rheumatoid Arthritis: A Prospective Cohort Study","MICROORGANISMS",2076-2607,A3,,,2020
"Gabriel da Rocha Fernandes",http://lattes.cnpq.br/8989178759075946,2024,"Evaluation of gut microbiota predictive potential associated with phenotypic characteristics to identify multifactorial diseases","GUT MICROBES",1949-0976,A1,,,2020
"Gabriel da Rocha Fernandes",http://lattes.cnpq.br/8989178759075946,2023,"Red Meat Intake, Indole-3-Acetate, and Dorea longicatena Together Affect Insulin Resistance after Gastric Bypass","NUTRIENTS",2072-6643,A1,,,2020
"Gabriel da Rocha Fernandes",http://lattes.cnpq.br/8989178759075946,2023,"Global Molecular Response of Paracoccidioides brasiliensis to Zinc Deprivation: Analyses at Transcript, Protein and MicroRNA Levels","JOURNAL OF FUNGI",2309-608X,A2,,,2020
"Gabriel da Rocha Fernandes",http://lattes.cnpq.br/8989178759075946,2023,"Bacteria, yeasts, and fungi associated with larval food of Brazilian native stingless bees","SCIENTIFIC REPORTS",2045-2322,A1,,,2020
"Gabriel da Rocha Fernandes",http://lattes.cnpq.br/8989178759075946,2023,"Global characterization of gene expression in the brain of starved immature Rhodnius prolixus","PLOS ONE",1932-6203,A1,,,2020
"Gabriel da Rocha Fernandes",http://lattes.cnpq.br/8989178759075946,2023,"Egg-laying by female Aedes aegypti shapes the bacterial communities of breeding sites","BMC BIOLOGY",1741-7007,A1,,,2020
"Gabriel da Rocha Fernandes",http://lattes.cnpq.br/8989178759075946,2023,"Organotypic hippocampal culture model reveals differential responses to highly similar Zika virus isolates","JOURNAL OF NEUROINFLAMMATION",1742-2094,A1,,,2020
"Gabriel da Rocha Fernandes",http://lattes.cnpq.br/8989178759075946,2023,"Rapid antigen test as a tool for the identification of SARS-CoV-2 infection and its potential as a self-testing device","SOCIEDADE BRASILEIRA DE MEDICINA TROPICAL. REVISTA",1678-9849,B1,,,2020
"Gabriel da Rocha Fernandes",http://lattes.cnpq.br/8989178759075946,2023,"Identification and characterization of microRNAs in Biomphalaria tenagophila and comparative analysis of their expression in Schistosoma mansoni-resistant and -susceptible snail populations","GENE",0378-1119,A4,,,2020
"Gabriel da Rocha Fernandes",http://lattes.cnpq.br/8989178759075946,2023,"Uncovering the neuroprotective effect of vitamin B12 in pneumococcal meningitis: insights into its pleiotropic mode of action at the transcriptional level","FRONTIERS IN IMMUNOLOGY",1664-3224,A2,,,2020
"Gabriel da Rocha Fernandes",http://lattes.cnpq.br/8989178759075946,2023,"Comparative metatranscriptome analysis of Brazilian milk and water kefir beverages","INTERNATIONAL MICROBIOLOGY",1618-1905,B2,,,2020
"Gabriel da Rocha Fernandes",http://lattes.cnpq.br/8989178759075946,2023,"Longitudinal study of humoral immunity against SARS-CoV-2 of health professionals in Brazil: the impact of booster dose and reinfection on antibody dynamics","FRONTIERS IN IMMUNOLOGY",1664-3224,A2,,,2020
"Gabriel da Rocha Fernandes",http://lattes.cnpq.br/8989178759075946,2022,"Effects of activated sludge and UV disinfection processes on the bacterial community and antibiotic resistance profile in a municipal wastewater treatment plant","ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH",0944-1344,A2,,,2020
"Gabriel da Rocha Fernandes",http://lattes.cnpq.br/8989178759075946,2022,"Changes in antennal gene expression underlying sensory system maturation in Rhodnius prolixus","INSECT BIOCHEMISTRY AND MOLECULAR BIOLOGY",0965-1748,A1,,,2020
"Gabriel da Rocha Fernandes",http://lattes.cnpq.br/8989178759075946,2022,"Methotrexate promotes recovery of arthritis-induced alveolar bone loss and modifies the composition of the oral-gut microbiota","ANAEROBE",1075-9964,A2,,,2020
"Gabriel da Rocha Fernandes",http://lattes.cnpq.br/8989178759075946,2022,"Long COVID-19 syndrome: a 14-months longitudinal study during the two first epidemic peaks in Southeast Brazil","TRANSACTIONS OF THE ROYAL SOCIETY OF TROPICAL MEDICINE AND HYGIENE",0035-9203,A3,,,2020
"Gabriel da Rocha Fernandes",http://lattes.cnpq.br/8989178759075946,2022,"COVID-19 Rapid Antigen Test at Hospital Admission Associated to the Knowledge of Individual Risk Factors Allow Overcoming the Difficulty of Managing Suspected Patients in Hospitals","FORTUNE JOURNAL OF HEALTH SCIENCES",2644-2906,N,,,
"Gabriel da Rocha Fernandes",http://lattes.cnpq.br/8989178759075946,2022,"Associations of Blautia Genus With Early-Life Events and Later Phenotype in the NutriHS","FRONTIERS IN CELLULAR AND INFECTION MICROBIOLOGY",2235-2988,A2,,,2020
"Gabriel da Rocha Fernandes",http://lattes.cnpq.br/8989178759075946,2022,"Evaluating hierarchical machine learning approaches to classify biological databases","BRIEFINGS IN BIOINFORMATICS",1467-5463,A1,,,2020
"Gabriel da Rocha Fernandes",http://lattes.cnpq.br/8989178759075946,2022,"Booster dose of BNT162b2 after two doses of CoronaVac improves neutralization of SARS-CoV-2 Omicron variant","COMMUNICATIONS MEDICINE",2730-664X,N,,,
"Gabriel da Rocha Fernandes",http://lattes.cnpq.br/8989178759075946,2022,"Transcriptomic modulation in response to an intoxication with deltamethrin in a population of Triatoma infestans with low resistance to pyrethroids","PLOS NEGLECTED TROPICAL DISEASES",1935-2735,A1,,,2020
"Gabriel da Rocha Fernandes",http://lattes.cnpq.br/8989178759075946,2022,"Gut Microbiota across Normal Gestation and Gestational Diabetes Mellitus: A Cohort Analysis","METABOLITES",2218-1989,A3,,,2020
"Gabriel da Rocha Fernandes",http://lattes.cnpq.br/8989178759075946,2022,"Molecular characterization of a new SARS-CoV-2 recombinant cluster XAG identified in Brazil","FRONTIERS IN MEDICINE",2296-858X,A1,,,2020
"Gabriel da Rocha Fernandes",http://lattes.cnpq.br/8989178759075946,2022,"Are studies of human gut microbiome the new fad following the SNP mainstream?","ARCHIVES OF ENDOCRINOLOGY METABOLISM",2359-3997,B2,,,2020
"Gabriel da Rocha Fernandes",http://lattes.cnpq.br/8989178759075946,2022,"Gestational weight gain and visceral adiposity in adult offspring: Is there a link with the fecal abundance of Acidaminococcus genus?","EUROPEAN JOURNAL OF CLINICAL NUTRITION",0954-3007,A1,,,2020
"Gabriel da Rocha Fernandes",http://lattes.cnpq.br/8989178759075946,2021,"Microbiome of industrialized Minas Frescal Cheese reveals high prevalence of putative bacteria: A concern in the One Health context","LWT-FOOD SCIENCE AND TECHNOLOGY",0023-6438,A1,,,2020
"Gabriel da Rocha Fernandes",http://lattes.cnpq.br/8989178759075946,2021,"Fatores associados ao adoecimento por hanseníase em contatos: revisão sistemática e metanálise","REVISTA BRASILEIRA DE EPIDEMIOLOGIA",1980-5497,A3,,,2020
"Gabriel da Rocha Fernandes",http://lattes.cnpq.br/8989178759075946,2020,"Exploring the resistome, virulome and microbiome of drinking water in environmental and clinical settings","WATER RESEARCH",0043-1354,A1,,,2020
"Gabriel da Rocha Fernandes",http://lattes.cnpq.br/8989178759075946,2020,"Soil Acidobacteria Strain AB23 Resistance to Oxidative Stress Through Production of Carotenoids","MICROBIAL ECOLOGY (ONLINE)",1432-184X,A1,,,2020
