nome,lattes_url,ano_publicacao,titulo_publicacao,periodico,issn,qualis,pontos,area,ano_base
"Glaucia Fernandes Cota",http://lattes.cnpq.br/9894162318774616,2024,"Implementation of health technologies in Brazil: analysis of federal guidelines for the public health system","CIÊNCIA & SAÚDE COLETIVA",1678-4561,A1,,,2020
"Glaucia Fernandes Cota",http://lattes.cnpq.br/9894162318774616,2024,"Quality of life of patients with cutaneous leishmaniasis: A comparative analysis of the EQ-5D-3L and CLIQ questionnaires","PLOS ONE",1932-6203,A1,,,2020
"Glaucia Fernandes Cota",http://lattes.cnpq.br/9894162318774616,2024,"Involving patients in drug development for Neglected Tropical Diseases (NTDs): A qualitative study exploring and incorporating preferences of patients with cutaneous leishmaniasis into Target Product Profile development","PLOS NEGLECTED TROPICAL DISEASES",1935-2735,A1,,,2020
"Glaucia Fernandes Cota",http://lattes.cnpq.br/9894162318774616,2024,"Diagnosis of human brucellosis: Systematic review and meta-analysis","PLOS NEGLECTED TROPICAL DISEASES",1935-2735,A1,,,2020
"Glaucia Fernandes Cota",http://lattes.cnpq.br/9894162318774616,2023,"Cutaneous leishmaniasis treatment and therapeutic outcomes in special populations: A collaborative retrospective study","PLOS NEGLECTED TROPICAL DISEASES",1935-2735,A1,,,2020
"Glaucia Fernandes Cota",http://lattes.cnpq.br/9894162318774616,2023,"Serology for visceral leishmaniasis: How trusty is the accuracy reported by the manufacturers?","SOCIEDADE BRASILEIRA DE MEDICINA TROPICAL. REVISTA",1678-9849,B1,,,2020
"Glaucia Fernandes Cota",http://lattes.cnpq.br/9894162318774616,2023,"A randomized, controlled, non-inferiority, multicenter trial of systemic versus intralesional treatment with meglumine antimoniate for cutaneous leishmaniasis in Brazil","CLINICAL INFECTIOUS DISEASES",1058-4838,A1,,,2020
"Glaucia Fernandes Cota",http://lattes.cnpq.br/9894162318774616,2023,"Accuracy of serological tests in diagnosing mucosal leishmaniasis","PARASITOLOGY RESEARCH",0932-0113,A1,,,2020
"Glaucia Fernandes Cota",http://lattes.cnpq.br/9894162318774616,2022,"Diagnosis of visceral and cutaneous leishmaniasis using loop-mediated isothermal amplification (LAMP) protocols: a systematic review and meta-analysis","PARASITES & VECTORS",1756-3305,A2,,,2020
"Glaucia Fernandes Cota",http://lattes.cnpq.br/9894162318774616,2022,"Performance differences among commercially available antigen rapid tests for COVID-19 in Brazil","PLOS ONE",1932-6203,A1,,,2020
"Glaucia Fernandes Cota",http://lattes.cnpq.br/9894162318774616,2022,"Cost-effectiveness of anti-SARS-CoV-2 antibody diagnostic tests in Brazil","PLOS ONE",1932-6203,A1,,,2020
"Glaucia Fernandes Cota",http://lattes.cnpq.br/9894162318774616,2022,"The cure rate after different treatments for mucosal leishmaniasis in the Americas: A systematic review","PLOS NEGLECTED TROPICAL DISEASES",1935-2735,A1,,,2020
"Glaucia Fernandes Cota",http://lattes.cnpq.br/9894162318774616,2022,"Anti-mitochondrial Tryparedoxin Peroxidase Monoclonal Antibody-Based Immunohistochemistry for Diagnosis of Cutaneous Leishmaniasis","FRONTIERS IN MICROBIOLOGY",1664-302X,A2,,,2020
"Glaucia Fernandes Cota",http://lattes.cnpq.br/9894162318774616,2021,"Comparison of burst versus ramp anti-tachycardia pacing therapy for ventricular tachycardia: a meta-analysis.","JOURNAL OF CARDIOVASCULAR ELECTROPHYSIOLOGY",1045-3873,A3,,,2020
"Glaucia Fernandes Cota",http://lattes.cnpq.br/9894162318774616,2021,"Estimating direct costs of the treatment for mucosal leishmaniasis in Brazil","SOCIEDADE BRASILEIRA DE MEDICINA TROPICAL. REVISTA",1678-9849,B1,,,2020
"Glaucia Fernandes Cota",http://lattes.cnpq.br/9894162318774616,2021,"High levels of anti-Leishmania IgG3 and low CD4+ T cells count were associated with relapses in visceral leishmaniasis","BMC INFECTIOUS DISEASES",1471-2334,A3,,,2020
"Glaucia Fernandes Cota",http://lattes.cnpq.br/9894162318774616,2021,"Economic evaluations addressing diagnosis and treatment strategies for neglected tropical diseases: an overview","REVISTA DO INSTITUTO DE MEDICINA TROPICAL DE SÃO PAULO",1678-9946,B1,,,2020
"Glaucia Fernandes Cota",http://lattes.cnpq.br/9894162318774616,2021,"Inequalities of visceral leishmaniasis case-fatality in Brazil: A multilevel modeling considering space, time, individual and contextual factors","PLOS NEGLECTED TROPICAL DISEASES",1935-2735,A1,,,2020
"Glaucia Fernandes Cota",http://lattes.cnpq.br/9894162318774616,2021,"Potential antigenic targets used in immunological tests for diagnosis of tegumentary leishmaniasis: A systematic review","PLOS ONE",1932-6203,A1,,,2020
"Glaucia Fernandes Cota",http://lattes.cnpq.br/9894162318774616,2021,"Diagnostic application of sensitive and specific phage-exposed epitopes for visceral leishmaniasis and human immunodeficiency virus coinfection","PARASITOLOGY",0031-1820,A1,,,2020
"Glaucia Fernandes Cota",http://lattes.cnpq.br/9894162318774616,2021,"Potential of recombinant LiHyQ, a novel Leishmania infantum protein, for the diagnosis of canine visceral leishmaniasis and as a diagnostic and prognostic marker for human leishmaniasis and human immunodeficiency virus co-infection: a preliminary study","ACTA TROPICA",0001-706X,A2,,,2020
"Glaucia Fernandes Cota",http://lattes.cnpq.br/9894162318774616,2021,"Donor-Derived Tuberculosis: A Case Report and the Role of Communication Gaps in Transplantation Safety","CASE REPORTS IN TRANSPLANTATION",2090-6951,N,,,
"Glaucia Fernandes Cota",http://lattes.cnpq.br/9894162318774616,2021,"A phase IV, prospective, observational study of the clinical safety of snake antivenoms","REVISTA DO INSTITUTO DE MEDICINA TROPICAL DE SÃO PAULO",1678-9946,B1,,,2020
"Glaucia Fernandes Cota",http://lattes.cnpq.br/9894162318774616,2021,"IMPACT ASSESSMENT OF DIFFERENT DNA EXTRACTION METHODS FOR NON-INVASIVE MOLECULAR DIAGNOSIS OF TEGUMENTARY LEISHMANIASIS","ACTA TROPICA",0001-706X,A2,,,2020
"Glaucia Fernandes Cota",http://lattes.cnpq.br/9894162318774616,2020,"Safety profile of meglumine antimoniate intralesional infiltration for cutaneous leishmaniasis","EXPERT REVIEW OF ANTI-INFECTIVE THERAPY",1478-7210,A2,,,2020
"Glaucia Fernandes Cota",http://lattes.cnpq.br/9894162318774616,2020,"Patients? preferences of cutaneous leishmaniasis treatment outcomes: Findings from an international qualitative study","PLOS NEGLECTED TROPICAL DISEASES",1935-2735,A1,,,2020
"Glaucia Fernandes Cota",http://lattes.cnpq.br/9894162318774616,2020,"Impaired Thymic Output Can Be Related to the Low Immune Reconstitution and T Cell Repertoire Disturbances in Relapsing Visceral Leishmaniasis Associated HIV/AIDS Patients","FRONTIERS IN IMMUNOLOGY",1664-3224,A2,,,2020
"Glaucia Fernandes Cota",http://lattes.cnpq.br/9894162318774616,2020,"An immunoproteomics approach to identify Leishmania infantum</i> proteins to be applied for the diagnosis of visceral leishmaniasis and human immunodeficiency virus co-infection","PARASITOLOGY",0031-1820,A1,,,2020
"Glaucia Fernandes Cota",http://lattes.cnpq.br/9894162318774616,2020,"Economic impact of localized cutaneous leishmaniasis on adult patients of a referral service in Belo Horizonte, Minas Gerais State, Brazil","CADERNOS DE SAUDE PUBLICA",0102-311X,A1,,,2020
"Glaucia Fernandes Cota",http://lattes.cnpq.br/9894162318774616,2020,"Cost-effectiveness of serological tests for human visceral leishmaniasis in the Brazilian scenario","PLOS NEGLECTED TROPICAL DISEASES",1935-2735,A1,,,2020
"Glaucia Fernandes Cota",http://lattes.cnpq.br/9894162318774616,2020,"Cost-effectiveness of a canine visceral leishmaniasis control program in Brazil based on insecticide-impregnated collars","SOCIEDADE BRASILEIRA DE MEDICINA TROPICAL. REVISTA",1678-9849,B1,,,2020
