nome,lattes_url,ano_publicacao,titulo_publicacao,periodico,issn,qualis,pontos,area,ano_base
"Gustavo Fontes Paz",http://lattes.cnpq.br/7529793133786376,2023,"Development of quantitative PCR and digital PCR for the quantification of Leishmania infantum in dogs","MOLECULAR AND CELLULAR BIOCHEMISTRY",0300-8177,A3,,,2020
"Gustavo Fontes Paz",http://lattes.cnpq.br/7529793133786376,2022,"Absence of yellow fever virus circulation in wildlife rodents from Brazil","BRAZILIAN JOURNAL OF MICROBIOLOGY",1517-8382,A2,,,2020
"Gustavo Fontes Paz",http://lattes.cnpq.br/7529793133786376,2022,"Molecular survey of Leishmania spp. in skin samples of capybaras (Hydrochoerus hydrochaeris) from different areas of Brazil","BRAZILIAN JOURNAL VETERINARY RES. AND ANIMAL SCIENCE",1678-4456,B1,,,2020
"Gustavo Fontes Paz",http://lattes.cnpq.br/7529793133786376,2022,"Leishmania infantum infection rate in dogs housed in open-admission shelters is higher than of domiciled dogs in an endemic area of canine visceral leishmaniasis. Epidemiological implications.","ACTA TROPICA",0001-706X,A2,,,2020
"Gustavo Fontes Paz",http://lattes.cnpq.br/7529793133786376,2022,"Sand fly bioecological aspects and risk mapping of leishmaniasis by geographical information systems approach in a mineral exploration area of Brazil.  ","ACTA TROPICA",0001-706X,A2,,,2020
"Gustavo Fontes Paz",http://lattes.cnpq.br/7529793133786376,2022,"Report of the presence of Leishmania infantum in the milk of a naturally infected female dog in Brazil","VETERINARY PARASITOLOGY: REGIONAL STUDIES AND REPORTS",2405-9390,A3,,,2020
"Gustavo Fontes Paz",http://lattes.cnpq.br/7529793133786376,2021,"Phase II validation study of the rK39 ELISA prototype for the diagnosis of canine visceral leishmaniasis in Brazil","CADERNOS DE SAÚDE PÚBLICA",1678-4464,A1,,,2020
"Gustavo Fontes Paz",http://lattes.cnpq.br/7529793133786376,2021,"Correlations between tissue parasite load and common clinical signs in dogs naturally infected by Leishmania infantum","VETERINARY PARASITOLOGY",0304-4017,A1,,,2020
"Gustavo Fontes Paz",http://lattes.cnpq.br/7529793133786376,2020,"Visceral leishmaniasis: a practical strategy for quantitative molecular diagnosis in naturally infected dogs","PARASITOLOGY RESEARCH",0932-0113,A1,,,2020
"Gustavo Fontes Paz",http://lattes.cnpq.br/7529793133786376,2020,"Comparative PCR-based diagnosis for the detection of Leishmania infantum in naturally infected dogs","ACTA TROPICA",0001-706X,A2,,,2020
"Gustavo Fontes Paz",http://lattes.cnpq.br/7529793133786376,2020,"AN EPIDEMIOLOGICAL INVESTIGATION OF A BRAZILIAN SPOTTED FEVER- ENDEMIC FOCUS IN MINAS GERAIS, SOUTHEASTERN BRAZIL","REVISTA SAÚDE E MEIO AMBIENTE",2447-8822,C,,,2020
"Gustavo Fontes Paz",http://lattes.cnpq.br/7529793133786376,2020,"Diversity of phlebotomine sand flies and molecular detection of trypanosomatids in Brumadinho, Minas Gerais, Brazil","PLOS ONE",1932-6203,A1,,,2020
"Gustavo Fontes Paz",http://lattes.cnpq.br/7529793133786376,2019,"Performance of different serological tests in the diagnosis of natural infection by Leishmania infantum in dogs","VETERINARY PARASITOLOGY",0304-4017,A1,,,2020
"Gustavo Fontes Paz",http://lattes.cnpq.br/7529793133786376,2018,"Implications of the use of serological and molecular methods to detect infection by Leishmania spp. in urban pet dogs","ACTA TROPICA",0001-706X,A2,,,2020
"Gustavo Fontes Paz",http://lattes.cnpq.br/7529793133786376,2018,"Serological, molecular, and microscopic detection of Leishmania in cats (Felis catus) in Belo Horizonte, Minas Gerais State, Brazil","REVISTA BRASILEIRA DE PARASITOLOGIA VETERINARIA",1984-2961,A2,,,2020
"Gustavo Fontes Paz",http://lattes.cnpq.br/7529793133786376,2018,"IgG avidity index and complete blood count as biomarkers of clinical disease in naturally infected dogs with Leishmania infantum","VETERINARY PARASITOLOGY",0304-4017,A1,,,2020
