nome,lattes_url,ano_publicacao,titulo_publicacao,periodico,issn,qualis,pontos,area,ano_base
"Jaquelline Germano de Oliveira",http://lattes.cnpq.br/2427045424896409,2022,"Searching for plant-derived antivirals against dengue virus and Zika virus","VIROLOGY JOURNAL",1743-422X,A3,,,2020
"Jaquelline Germano de Oliveira",http://lattes.cnpq.br/2427045424896409,2022,"Immunogenicity, effectiveness, and safety of inactivated virus (CoronaVac) vaccine in a two-dose primary protocol and BNT162b2 heterologous booster in Brazil (Immunita-001): A one year period follow up phase 4 study","FRONTIERS IN IMMUNOLOGY",1664-3224,A2,,,2020
"Jaquelline Germano de Oliveira",http://lattes.cnpq.br/2427045424896409,2022,"Booster dose of BNT162b2 after two doses of CoronaVac improves neutralization of SARS-CoV-2 Omicron variant","COMMUNICATIONS MEDICINE",2730-664X,N,,,
"Jaquelline Germano de Oliveira",http://lattes.cnpq.br/2427045424896409,2020,"Free-living amoebae and its relationship with air quality in hospital environments: Isolation and characterization of Acanthamoeba</i> spp. from air-conditioning system","PARASITOLOGY",0031-1820,A1,,,2020
"Jaquelline Germano de Oliveira",http://lattes.cnpq.br/2427045424896409,2020,"Diversity and bioprospecting of cultivable fungal assemblages in sediments of lakes in the Antarctic Peninsula","FUNGAL BIOLOGY",1878-6146,A2,,,2020
"Jaquelline Germano de Oliveira",http://lattes.cnpq.br/2427045424896409,2020,"Diversity, ecology, and bioprospecting of culturable fungi in lakes impacted by anthropogenic activities in Maritime Antarctica","EXTREMOPHILES",1431-0651,A4,,,2020
"Jaquelline Germano de Oliveira",http://lattes.cnpq.br/2427045424896409,2020,"Design and production of dengue virus chimeric proteins useful for developing tetravalent vaccines","VACCINE",0264-410X,A2,,,2020
"Jaquelline Germano de Oliveira",http://lattes.cnpq.br/2427045424896409,2019,"Cultivable fungi present in deep-sea sediments of Antarctica: taxonomy, diversity, and bioprospecting of bioactive compounds","EXTREMOPHILES",1433-4909,A4,,,2020
"Jaquelline Germano de Oliveira",http://lattes.cnpq.br/2427045424896409,2019,"Yellow Fever Virus Genotyping Tool and Investigation of Suspected Adverse Events Following Yellow Fever Vaccination","VACCINES",2076-393X,A3,,,2020
"Jaquelline Germano de Oliveira",http://lattes.cnpq.br/2427045424896409,2018,"Cultivable fungi present in Antarctic soils: taxonomy, phylogeny, diversity, and bioprospecting of antiparasitic and herbicidal metabolites","EXTREMOPHILES",1433-4909,A4,,,2020
"Jaquelline Germano de Oliveira",http://lattes.cnpq.br/2427045424896409,2018,"PCR-RFLP assay as an option for primary HPV test","BRAZILIAN JOURNAL OF MEDICAL AND BIOLOGICAL RESEARCH (ON LINE)",1414-431X,A3,,,2020
"Jaquelline Germano de Oliveira",http://lattes.cnpq.br/2427045424896409,2018,"HIV aspartyl protease inhibitors modify the percentage of activated leukocytes, as well as serum levels of IL-17A and NO during experimental leishmaniasis","INTERNATIONAL IMMUNOPHARMACOLOGY",1567-5769,A2,,,2020
"Jaquelline Germano de Oliveira",http://lattes.cnpq.br/2427045424896409,2018,"Equine infectious anemia virus in naturally infected horses from the Brazilian Pantanal","ARCHIVES OF VIROLOGY",0304-8608,B1,,,2020
"Jaquelline Germano de Oliveira",http://lattes.cnpq.br/2427045424896409,2016,"Spatial-temporal co-circulation of Dengue virus 1, 2, 3 and 4 associated with co-infection cases in a hyperendemic area of Brazil: a four week survey","AMERICAN JOURNAL OF TROPICAL MEDICINE AND HYGINE",1476-1645,A3,,,2020
"Jaquelline Germano de Oliveira",http://lattes.cnpq.br/2427045424896409,2015,"RAP1 GTPase Overexpression is Associated with Cervical Intraepithelial Neoplasia","PLOS ONE",1932-6203,A1,,,2020
"Jaquelline Germano de Oliveira",http://lattes.cnpq.br/2427045424896409,2015,"Diversity and bioprospection of fungal community present in oligotrophic soil of continental Antarctica","EXTREMOPHILES (TOKYO. PRINT)",1431-0651,A4,,,2020
"Jaquelline Germano de Oliveira",http://lattes.cnpq.br/2427045424896409,2015,"Fungi associated with rocks of the Atacama Desert: taxonomy, distribution, diversity, ecology and bioprospection for bioactive compounds","ENVIRONMENTAL MICROBIOLOGY (PRINT)",1462-2912,A1,,,2020
"Jaquelline Germano de Oliveira",http://lattes.cnpq.br/2427045424896409,2015,"Molecular profiling of drug resistant isolates of Mycobacterium tuberculosis in the state of Santa Catarina, southern Brazil","MEMÓRIAS DO INSTITUTO OSWALDO CRUZ (ONLINE)",1678-8060,A4,,,2020
"Jaquelline Germano de Oliveira",http://lattes.cnpq.br/2427045424896409,2015,"Booster dose after 10 years is recommended following 17DD-YF primary vaccination","HUMAN VACCINES & IMMUNOTHERAPEUTICS",2164-554X,A3,,,2020
"Jaquelline Germano de Oliveira",http://lattes.cnpq.br/2427045424896409,2014,"Mycobacteria mobility shift assay: a method for the rapid identification of Mycobacterium tuberculosis and nontuberculous mycobacteria","MEMÓRIAS DO INSTITUTO OSWALDO CRUZ (IMPRESSO)",0074-0276,A4,,,2020
"Jaquelline Germano de Oliveira",http://lattes.cnpq.br/2427045424896409,2014,"Dengue Virus 2 American-Asian Genotype Identified during the 2006/2007 Outbreak in Piauí, Brazil Reveals a Caribbean Route of Introduction and Dissemination of Dengue Virus in Brazil","PLOS ONE",1932-6203,A1,,,2020
"Jaquelline Germano de Oliveira",http://lattes.cnpq.br/2427045424896409,2013,"Nitric oxide synthase expression correlates with death in an experimental mouse model of dengue with CNS involvement","VIROLOGY JOURNAL",1743-422X,A3,,,2020
"Jaquelline Germano de Oliveira",http://lattes.cnpq.br/2427045424896409,2012,"Recombinant envelope protein-based enzyme immunoassay for IgG antibodies is comparable to neutralization tests for epidemiological studies of dengue infection","JOURNAL OF VIROLOGICAL METHODS",0166-0934,B2,,,2020
"Jaquelline Germano de Oliveira",http://lattes.cnpq.br/2427045424896409,2008,"Interferons and scleroderma-A new clue to understanding the pathogenesis of scleroderma?","IMMUNOLOGY LETTERS",0165-2478,A3,,,2020
"Jaquelline Germano de Oliveira",http://lattes.cnpq.br/2427045424896409,2008,"Dengue Virus 3 Genotype 1 Associated with Dengue Fever and Dengue Hemorrhagic Fever, Brazil","EMERGING INFECTIOUS DISEASES (PRINT)",1080-6040,A1,,,2020
"Jaquelline Germano de Oliveira",http://lattes.cnpq.br/2427045424896409,2007,"Increased expression of 2?5? Oligoadenilate synthetase and double-stranded RNA dependent protein kinase messenger RNAs on affected skin of systemic sclerosis patients","ARCHIVES OF DERMATOLOGICAL RESEARCH (PRINT)",0340-3696,A2,,,2020
"Jaquelline Germano de Oliveira",http://lattes.cnpq.br/2427045424896409,2006,"Variations in the association of papillomavirus E2 proteins with mitotic chromosomes","PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA",0027-8424,A1,,,2020
"Jaquelline Germano de Oliveira",http://lattes.cnpq.br/2427045424896409,2006,"Integrin alpha 11 is a novel type I interferon stimulated gene","CYTOKINE (PHILADELPHIA) (CESSOU EM 2000. CONT. CYTOKINE+)",1043-4666,A4,,,2020
"Jaquelline Germano de Oliveira",http://lattes.cnpq.br/2427045424896409,2006,"Partitioning Viral Genomes in Mitosis: Same Idea, Different Targets","CELL CYCLE (GEORGETOWN, TEX.)",1538-4101,A3,,,2020
"Jaquelline Germano de Oliveira",http://lattes.cnpq.br/2427045424896409,2006,"Brd4 is required for E2-mediated transcriptional activation but not genome partitioning of all papillomaviruses","JOURNAL OF VIROLOGY (PRINT)",0022-538X,A1,,,2020
"Jaquelline Germano de Oliveira",http://lattes.cnpq.br/2427045424896409,2004,"Brd4: tethering, segregation and beyond.","TRENDS IN MICROBIOLOGY (REGULAR ED.)",0966-842X,A1,,,2020
"Jaquelline Germano de Oliveira",http://lattes.cnpq.br/2427045424896409,2003,"The complete genome sequence of Chromobacterium violaceum reveals remarkable and exploitable bacterial adaptability","PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA",0027-8424,A1,,,2020
"Jaquelline Germano de Oliveira",http://lattes.cnpq.br/2427045424896409,2002,"Protease nexin-1 messenger level is not affected by serum nor interferon beta in cultured systemic sclerosis fibroblasts.","ARCHIVES OF DERMATOLOGICAL RESEARCH",0340-3696,A2,,,2020
"Jaquelline Germano de Oliveira",http://lattes.cnpq.br/2427045424896409,2000,"Comparison of virus isolation and various PCR methods in the diagnosis of mucocutaneous herpesvirus infections.","ACTA VIROLOGICA",,N,,,
"Jaquelline Germano de Oliveira",http://lattes.cnpq.br/2427045424896409,1999,"The housekeeping gene glyceraldehyde-3-phosphate dehydrogenase is inappropriate as internal control in comparative studies between skin tissue and cultured skin fibroblasts using Northern blot analysis","ARCHIVES OF DERMATOLOGICAL RESEARCH",0340-3696,A2,,,2020
"Jaquelline Germano de Oliveira",http://lattes.cnpq.br/2427045424896409,1999,"Recovering cDNA bands from differential display RT-PCR gels using a transparency film mask","MOLECULAR BIOTECHNOLOGY",1073-6085,A4,,,2020
"Jaquelline Germano de Oliveira",http://lattes.cnpq.br/2427045424896409,1997,"The low proliferation rates of human amniotic cells are neither associated to deregulated proto-oncogenes' expression nor to the effect of IFNα2","PLACENTA",0143-4004,A2,,,2020
"Jaquelline Germano de Oliveira",http://lattes.cnpq.br/2427045424896409,1988,"Participação de rotavirus e adenovirus na diarréia aguda da infância, em Belo Horizonte.","REVISTA DE MICROBIOLOGIA",0001-3714,N,,,
