nome,lattes_url,ano_publicacao,titulo_publicacao,periodico,issn,qualis,pontos,area,ano_base
"Jeronimo Conceição Ruiz",http://lattes.cnpq.br/7769547194874833,2022,"Expression Profile of Genes Related to the Th17 Pathway in Macrophages Infected by Leishmania major and Leishmania amazonensis: The Use of Gene Regulatory Networks in Modeling This Pathway","FRONTIERS IN CELLULAR AND INFECTION MICROBIOLOGY",2235-2988,A2,,,2020
"Jeronimo Conceição Ruiz",http://lattes.cnpq.br/7769547194874833,2021,"Perspectives From Systems Biology to Improve Knowledge of Leishmania Drug Resistance","FRONTIERS IN CELLULAR AND INFECTION MICROBIOLOGY",2235-2988,A2,,,2020
"Jeronimo Conceição Ruiz",http://lattes.cnpq.br/7769547194874833,2021,"A chimeric vaccine combined with adjuvant system induces immunogenicity and protection against visceral leishmaniasis in BALB/c mice","VACCINE",0264-410X,A2,,,2020
"Jeronimo Conceição Ruiz",http://lattes.cnpq.br/7769547194874833,2021,"Proteomic analysis reveals differentially abundant proteins probably involved in the virulence of amastigote and promastigote forms of Leishmania infantum","PARASITOLOGY RESEARCH",0932-0113,A1,,,2020
"Jeronimo Conceição Ruiz",http://lattes.cnpq.br/7769547194874833,2021,"Identification and characterization of microsatellite markers for population genetic studies of Panstrongylus megistus (Burmeister, 1835) (Triatominae: Reduviidae)","PARASITES & VECTORS",1756-3305,A2,,,2020
"Jeronimo Conceição Ruiz",http://lattes.cnpq.br/7769547194874833,2020,"Chimeric Vaccines Designed by Immunoinformatics-Activated Polyfunctional and Memory T Cells That Trigger Protection against Experimental Visceral Leishmaniasis","VACCINES",2076-393X,A3,,,2020
"Jeronimo Conceição Ruiz",http://lattes.cnpq.br/7769547194874833,2020,"Diversity and genome mapping assessment of disordered and functional domains in trypanosomatids","JOURNAL OF PROTEOMICS",1874-3919,A1,,,2020
"Jeronimo Conceição Ruiz",http://lattes.cnpq.br/7769547194874833,2020,"Microfluidics and organ-on-a-chip technologies: A systematic review of the methods used to mimic bone marrow","PLOS ONE",1932-6203,A1,,,2020
"Jeronimo Conceição Ruiz",http://lattes.cnpq.br/7769547194874833,2020,"Comparative transcriptomic analysis of antimony resistant and susceptible Leishmania infantum lines","PARASITES & VECTORS",1756-3305,A2,,,2020
"Jeronimo Conceição Ruiz",http://lattes.cnpq.br/7769547194874833,2020,"Hypervirulence and cross-resistance to a clinical antifungal are induced by an environmental fungicide in Cryptococcus gattii","SCIENCE OF THE TOTAL ENVIRONMENT",0048-9697,A1,,,2020
"Jeronimo Conceição Ruiz",http://lattes.cnpq.br/7769547194874833,2019,"Synthetic Peptides Elicit Strong Cellular Immunity in Visceral Leishmaniasis Natural Reservoir and Contribute to Long-Lasting Polyfunctional T-Cells in BALB/c Mice","VACCINES",2076-393X,A3,,,2020
"Jeronimo Conceição Ruiz",http://lattes.cnpq.br/7769547194874833,2018,"Peptide Vaccines for Leishmaniasis","FRONTIERS IN IMMUNOLOGY",1664-3224,A2,,,2020
"Jeronimo Conceição Ruiz",http://lattes.cnpq.br/7769547194874833,2018,"In silico analysis of putative dormancy genes in Plasmodium vivax","ACTA TROPICA",0001-706X,A2,,,2020
