nome,lattes_url,ano_publicacao,titulo_publicacao,periodico,issn,qualis,pontos,area,ano_base
"José Dilermando Andrade Filho",http://lattes.cnpq.br/7374065738760207,2023,"Molecular detection of Leishmania and blood meal analysis in sand flies from Corumbá, Mato Grosso do Sul, Brazil","ACTA TROPICA",0001-706X,A2,,,2020
"José Dilermando Andrade Filho",http://lattes.cnpq.br/7374065738760207,2023,"Increased Risk of American Tegumentary Leishmaniasis in an Urban and Rural Area of Caratinga, Brazil between 2016 and 2021","AMERICAN JOURNAL OF TROPICAL MEDICINE AND HYGIENE",0002-9637,A3,,,2020
"José Dilermando Andrade Filho",http://lattes.cnpq.br/7374065738760207,2023,"Natural infection of Lutzomyia longipalpis (Lutz & Neiva, 1912) by Leishmania infantum in a municipality with a high incidence of visceral leishmaniasis in the Brazilian Midwest","REVISTA DA SOCIEDADE BRASILEIRA DE MEDICINA TROPICAL",0037-8682,B1,,,2020
"José Dilermando Andrade Filho",http://lattes.cnpq.br/7374065738760207,2023,"Ecology and natural infection of phlebotomine sand flies in different ecotopes and environments in the municipality of Pains, Minas Gerais, Brazil","ACTA TROPICA",0001-706X,A2,,,2020
"José Dilermando Andrade Filho",http://lattes.cnpq.br/7374065738760207,2022,"Absence of yellow fever virus circulation in wildlife rodents from Brazil","BRAZILIAN JOURNAL OF MICROBIOLOGY",1517-8382,A2,,,2020
"José Dilermando Andrade Filho",http://lattes.cnpq.br/7374065738760207,2022,"Phlebotominae Fauna (Diptera: Psychodidae) and Molecular Detection of Leishmania</i> (Kinetoplastida: Trypanosomatidae) in Urban Caves of Belo Horizonte, Minas Gerais, Brazil","JOURNAL OF MEDICAL ENTOMOLOGY",0022-2585,A1,,,2020
"José Dilermando Andrade Filho",http://lattes.cnpq.br/7374065738760207,2022,"Revisiting the cave-dwelling sand flies (Diptera, Psychodidae, Phlebotominae) from Brazil: Diversity and potential role in the transmission of Leishmania</i> Ross, 1903 (Kinetoplastida: Trypanosomatidae)","MEDICAL AND VETERINARY ENTOMOLOGY",0269-283X,A1,,,2020
"José Dilermando Andrade Filho",http://lattes.cnpq.br/7374065738760207,2022,"Leishmania infantum infection rate in dogs housed in open-admission shelters is higher than of domiciled dogs in an endemic area of canine visceral leishmaniasis. Epidemiological implications","ACTA TROPICA",0001-706X,A2,,,2020
"José Dilermando Andrade Filho",http://lattes.cnpq.br/7374065738760207,2022,"Sand fly bioecological aspects and risk mapping of leishmaniasis by geographical information systems approach in a mineral exploration area of Brazil","ACTA TROPICA",0001-706X,A2,,,2020
"José Dilermando Andrade Filho",http://lattes.cnpq.br/7374065738760207,2022,"Online catalogue of the Coleção de Flebotomíneos (FIOCRUZ/COLFLEB), a biological collection of American sand flies (Diptera: Psychodidae, Phlebotominae) held at Fiocruz Minas, Brazil","GIGABYTE",2709-4715,C,,,2020
"José Dilermando Andrade Filho",http://lattes.cnpq.br/7374065738760207,2022,"Publishing data to support the fight against human vector-borne diseases","GIGASCIENCE",2047-217X,A1,,,2020
"José Dilermando Andrade Filho",http://lattes.cnpq.br/7374065738760207,2022,"A one health approach to leishmaniasis in a slum: another piece of a global scenario.","BRAZILIAN JOURNAL OF GLOBAL HEALTH",2763-5368,C,,,2020
"José Dilermando Andrade Filho",http://lattes.cnpq.br/7374065738760207,2021,"Description of Evandromyia cristacapita</i> sp. nov., a new sand fly species of the Argentinian Chaco","MEDICAL AND VETERINARY ENTOMOLOGY",0269-283X,A1,,,2020
"José Dilermando Andrade Filho",http://lattes.cnpq.br/7374065738760207,2021,"Large-scale Degradation of the Tocantins-Araguaia River Basin","ENVIRONMENTAL MANAGEMENT",0364-152X,A2,,,2020
"José Dilermando Andrade Filho",http://lattes.cnpq.br/7374065738760207,2021,"The sand fly (Diptera: Psychodidae) fauna of the urban area of Lassance, Northeast Minas Gerais, Brazil","PLOS ONE",1932-6203,A1,,,2020
"José Dilermando Andrade Filho",http://lattes.cnpq.br/7374065738760207,2021,"SAND FLY BEHAVIOR: MUCH MORE THAN WEAK-FLYING","MEMORIAS DO INSTITUTO OSWALDO CRUZ",0074-0276,A4,,,2020
"José Dilermando Andrade Filho",http://lattes.cnpq.br/7374065738760207,2021,"Examination of the interior of sand fly (Diptera: Psychodidae) abdomen reveals novel cuticular structures involved in pheromone release: Discovering the manifold","PLOS NEGLECTED TROPICAL DISEASES",1935-2735,A1,,,2020
"José Dilermando Andrade Filho",http://lattes.cnpq.br/7374065738760207,2021,"Bilateral Anomaly in a Male of Evandromyia lenti</i> (Diptera: Psychodidae) in Pernambuco, Brazil","JOURNAL OF THE AMERICAN MOSQUITO CONTROL ASSOCIATION",8756-971X,B1,,,2020
"José Dilermando Andrade Filho",http://lattes.cnpq.br/7374065738760207,2020,"Potential Vectors of Leishmania Parasites in a Recent Focus of Visceral Leishmaniasis in Neighborhoods of Porto Alegre, State of Rio Grande do Sul, Brazil","JOURNAL OF MEDICAL ENTOMOLOGY",0022-2585,A1,,,2020
"José Dilermando Andrade Filho",http://lattes.cnpq.br/7374065738760207,2020,"Biodiversity of Hematophagous Diptera (Culicidae and Psychodidae) in a Small Hydroelectric Power Station and Surrounding Area in the State of Minas Gerais, Brazil","JOURNAL OF MEDICAL ENTOMOLOGY",0022-2585,A1,,,2020
"José Dilermando Andrade Filho",http://lattes.cnpq.br/7374065738760207,2020,"Species composition of sand flies (Diptera: Psychodidae) in caves of Quadrilátero Ferrífero, state of Minas Gerais, Brazil","PLOS ONE",1932-6203,A1,,,2020
"José Dilermando Andrade Filho",http://lattes.cnpq.br/7374065738760207,2020,"Diversity of phlebotomine sand flies and molecular detection of trypanosomatids in Brumadinho, Minas Gerais, Brazil","PLOS ONE",1932-6203,A1,,,2020
"José Dilermando Andrade Filho",http://lattes.cnpq.br/7374065738760207,2020,"Level of Knowledge and Risk Factors for Visceral Leishmaniasis in a Mining Area of Minas Gerais State, Brazil","INTERDISCIPLINARY PERSPECTIVES ON INFECTIOUS DISEASES (ONLINE)",1687-7098,A4,,,2020
