nome,lattes_url,ano_publicacao,titulo_publicacao,periodico,issn,qualis,pontos,area,ano_base
"Lileia Gonçalves Diotaiuti",http://lattes.cnpq.br/9211345386050612,2023,"Vigilância à saúde da doença de Chagas em municípios endêmicos de Minas Gerais: percepção e conhecimento de profissionais da vigilância entomológica","PHYSIS. REVISTA DE SAÚDE COLETIVA (ONLINE)",1809-4481,A3,,,2020
"Lileia Gonçalves Diotaiuti",http://lattes.cnpq.br/9211345386050612,2022,"Response to Chagas disease in Brazil: strategic milestones for achieving comprehensive health care","REVISTA DA SOCIEDADE BRASILEIRA DE MEDICINA TROPICAL",0037-8682,B1,,,2020
"Lileia Gonçalves Diotaiuti",http://lattes.cnpq.br/9211345386050612,2022,"High Parasitic Loads Quantified in Sylvatic Triatoma melanica, a Chagas Disease Vector","PATHOGENS",2076-0817,A3,,,2020
"Lileia Gonçalves Diotaiuti",http://lattes.cnpq.br/9211345386050612,2022,"Different profiles and epidemiological scenarios: past, present and future","MEMÓRIAS DO INSTITUTO OSWALDO CRUZ",1678-8060,A4,,,2020
"Lileia Gonçalves Diotaiuti",http://lattes.cnpq.br/9211345386050612,2022,"Chagas disease in the context of the 2030 agenda: global warming and vectors","MEMÓRIAS DO INSTITUTO OSWALDO CRUZ",1678-8060,A4,,,2020
"Lileia Gonçalves Diotaiuti",http://lattes.cnpq.br/9211345386050612,2022,"Dynamics of Panstrongylus megistus infestation, the primary vector of Trypanosoma cruzi in Minas Gerais, Brazil","ACTA TROPICA",0001-706X,A2,,,2020
"Lileia Gonçalves Diotaiuti",http://lattes.cnpq.br/9211345386050612,2021,"Occurrence of Panstrongylus megistus (Burmeister, 1835) in an area under entomological surveillance in the Southeast Region of Brazil","SOCIEDADE BRASILEIRA DE MEDICINA TROPICAL. REVISTA",1678-9849,B1,,,2020
"Lileia Gonçalves Diotaiuti",http://lattes.cnpq.br/9211345386050612,2021,"Effect of salivary <scp>CYP4EM1</scp> and <scp>CYP4EM2</scp> gene silencing on the life span of Chagas disease vector Rhodnius prolixus</i> (Hemiptera, Reduviidae) exposed to sublethal dose of deltamethrin","INSECT MOLECULAR BIOLOGY",0962-1075,A1,,,2020
"Lileia Gonçalves Diotaiuti",http://lattes.cnpq.br/9211345386050612,2021,"Bedbug salivation patterns during hematophagy in the skin of a mammalian host","JOURNAL OF INSECT PHYSIOLOGY",0022-1910,A1,,,2020
"Lileia Gonçalves Diotaiuti",http://lattes.cnpq.br/9211345386050612,2020,"Microsatellite variation revealed panmictic pattern for Triatoma brasiliensis (Triatominae: Reduviidae) in rural northeastern Brazil: the control measures implications","BMC GENETICS",1471-2156,A2,,,2020
"Lileia Gonçalves Diotaiuti",http://lattes.cnpq.br/9211345386050612,2020,"Fast recovery of house infestation with Triatoma brasiliensis after residual insecticide spraying in a semiarid region of Northeastern Brazil","PLOS NEGLECTED TROPICAL DISEASES",1935-2735,A1,,,2020
"Lileia Gonçalves Diotaiuti",http://lattes.cnpq.br/9211345386050612,2020,"Agentes comunitários de saúde: percepção sobre os serviços de saúde relacionados à doença de Chagas","CADERNOS SAÚDE COLETIVA",2358-291X,B1,,,2020
"Lileia Gonçalves Diotaiuti",http://lattes.cnpq.br/9211345386050612,2020,"Equipe de enfermagem: percepção sobre a doença de Chagas","REVISTA RECIEN - REVISTA CIENTÍFICA DE ENFERMAGEM",2358-3088,B2,,,2020
"Lileia Gonçalves Diotaiuti",http://lattes.cnpq.br/9211345386050612,2019,"IMPLANTAÇÃO EXPERIMENTAL DO GERENCIADOR DE AMBIENTE LABORATORIAL (GAL), MÓDULO ANIMAL INVERTEBRADO, NA MICRORREGIONAL DE SAÚDE DE ITAÚNA, MINAS GERAIS, BRASIL","ALICERCES E ADVERSIDADES DAS CIÊNCIAS DA SAÚDE NO BRASIL 5",7441-9021,N,,,
"Lileia Gonçalves Diotaiuti",http://lattes.cnpq.br/9211345386050612,2019,"Synanthropic triatomines (Hemiptera: Reduviidae): infestation, colonization, and natural infection by trypanosomatids in the State of Rio Grande do Norte, Brazil","SOCIEDADE BRASILEIRA DE MEDICINA TROPICAL. REVISTA",1678-9849,B1,,,2020
"Lileia Gonçalves Diotaiuti",http://lattes.cnpq.br/9211345386050612,2018,"Resistance to deltamethrin by domestic and wild Triatoma infestans populations in the municipality of Toro Toro, Potosi, Bolivia","PARASITES & VECTORS",1756-3305,A2,,,2020
"Lileia Gonçalves Diotaiuti",http://lattes.cnpq.br/9211345386050612,2018,"DESCRIPTION OF AN AMAZING NEST OF CAATINGA CACHALOTE Pseudoseisura cristata INFESTED BY Psammolestes tertius IN TAUA, STATE OF CEARA, NORTHEASTERN BRAZIL","REVISTA DE PATOLOGIA TROPICAL (ONLINE)",1980-8178,B4,,,2020
"Lileia Gonçalves Diotaiuti",http://lattes.cnpq.br/9211345386050612,2018,"First report of Psammolestes tertius Lent & Jurberg, 1965 (Hemiptera, Reduviidae, Triatominae) in Rio Grande do Norte state, Brazil","CHECK LIST, JOURNAL OF SPECIES LIST AND DISTRIBUTION",1809-127X,B2,,,2020
"Lileia Gonçalves Diotaiuti",http://lattes.cnpq.br/9211345386050612,2018,"Triatoma brasiliensis Neiva, 1911: food sources and diversity of Trypanosoma cruzi in wild and artificial environments of the semiarid region of Ceará, northeastern Brazil","PARASITES & VECTORS",1756-3305,A2,,,2020
"Lileia Gonçalves Diotaiuti",http://lattes.cnpq.br/9211345386050612,2017,"Spatial and temporal distribution of house infestation by Triatoma infestans in the Toro Toro municipality, Potosi, Bolivia","PARASITES & VECTORS",1756-3305,A2,,,2020
"Lileia Gonçalves Diotaiuti",http://lattes.cnpq.br/9211345386050612,2017,"Genetic characterization of residual Triatoma infestans populations from Brazil by microsatellite","GENETICA ('S-GRAVENHAGE)",0016-6707,A3,,,2020
