nome,lattes_url,ano_publicacao,titulo_publicacao,periodico,issn,qualis,pontos,area,ano_base
"Lis Ribeiro do Valle Antonelli",http://lattes.cnpq.br/4929168581709218,2023,"Serum soluble mediators as prognostic biomarkers for morbidity, disease outcome, and late-relapsing hepatitis in yellow fever patients","CLINICAL IMMUNOLOGY",1521-6616,A3,,,2020
"Lis Ribeiro do Valle Antonelli",http://lattes.cnpq.br/4929168581709218,2023,"Adenosine pathway regulates inflammation during Plasmodium vivax infection","FRONTIERS IN IMMUNOLOGY",1664-3224,A2,,,2020
"Lis Ribeiro do Valle Antonelli",http://lattes.cnpq.br/4929168581709218,2023,"Rhythmic profile of memory T and B-cells along childhood and adolescence","SCIENTIFIC REPORTS",2045-2322,A1,,,2020
"Lis Ribeiro do Valle Antonelli",http://lattes.cnpq.br/4929168581709218,2023,"Serotype-associated immune response and network immunoclusters in children and adults during acute Dengue virus infection","CYTOKINE",1043-4666,A4,,,2020
"Lis Ribeiro do Valle Antonelli",http://lattes.cnpq.br/4929168581709218,2022,"Serum soluble mediator waves and networks along healthy ageing","EXPERIMENTAL GERONTOLOGY",0531-5565,A3,,,2020
"Lis Ribeiro do Valle Antonelli",http://lattes.cnpq.br/4929168581709218,2022,"Frequency of CXCR3+ CD8+ T-Lymphocyte Subsets in Peripheral Blood Is Associated With the Risk of Paradoxical Tuberculosis-Associated Immune Reconstitution Inflammatory Syndrome Development in Advanced HIV Disease","FRONTIERS IN IMMUNOLOGY",1664-3224,A2,,,2020
"Lis Ribeiro do Valle Antonelli",http://lattes.cnpq.br/4929168581709218,2022,"Serum Soluble Mediator Profiles and Networks During Acute Infection With Distinct DENV Serotypes","FRONTIERS IN IMMUNOLOGY",1664-3224,A2,,,2020
"Lis Ribeiro do Valle Antonelli",http://lattes.cnpq.br/4929168581709218,2022,"Promotion of neutralizing antibody-independent immunity to wild-type and SARS-CoV-2 variants of concern using an RBD-Nucleocapsid fusion protein","NATURE COMMUNICATIONS",2041-1723,A1,,,2020
"Lis Ribeiro do Valle Antonelli",http://lattes.cnpq.br/4929168581709218,2022,"Author Correction: Effects of Toxoplasma gondii infection on cognition, symptoms, and response to digital cognitive training in schizophrenia","SCHIZOPHRENIA",2754-6993,N,,,
"Lis Ribeiro do Valle Antonelli",http://lattes.cnpq.br/4929168581709218,2022,"Malaria Resilience in South America: Epidemiology, Vector Biology, and Immunology Insights from the Amazonian International Center of Excellence in Malaria Research Network in Peru and Brazil","AMERICAN JOURNAL OF TROPICAL MEDICINE AND HYGIENE",0002-9637,A3,,,2020
"Lis Ribeiro do Valle Antonelli",http://lattes.cnpq.br/4929168581709218,2022,"Chagasic cardiomyopathy is marked by a unique signature of activated CD4+ T cells","JOURNAL OF TRANSLATIONAL MEDICINE",1479-5876,A2,,,2020
"Lis Ribeiro do Valle Antonelli",http://lattes.cnpq.br/4929168581709218,2022,"Effectiveness, safety, and immunogenicity of half dose ChAdOx1 nCoV-19 COVID-19 Vaccine: Viana project","FRONTIERS IN IMMUNOLOGY",1664-3224,A2,,,2020
"Lis Ribeiro do Valle Antonelli",http://lattes.cnpq.br/4929168581709218,2021,"Disrupted Iron Metabolism and Mortality during Co-infection with Malaria and an Intestinal Gram-Negative Extracellular Pathogen","CELL REPORTS",2211-1247,A1,,,2020
"Lis Ribeiro do Valle Antonelli",http://lattes.cnpq.br/4929168581709218,2021,"Schistosoma mansoni Infection Is Impacted by Malnutrition","FRONTIERS IN MICROBIOLOGY",1664-302X,A2,,,2020
"Lis Ribeiro do Valle Antonelli",http://lattes.cnpq.br/4929168581709218,2021,"Plasmodium vivax Infection Alters Mitochondrial Metabolism in Human Monocytes","MBIO",2150-7511,A1,,,2020
"Lis Ribeiro do Valle Antonelli",http://lattes.cnpq.br/4929168581709218,2021,"Long-term impact of congenital toxoplasmosis on phenotypic and functional features of circulating leukocytes from infants one year after treatment onset","CLINICAL IMMUNOLOGY",1521-6616,A3,,,2020
"Lis Ribeiro do Valle Antonelli",http://lattes.cnpq.br/4929168581709218,2021,"Toxoplasma gondii-Induced Neutrophil Extracellular Traps Amplify the Innate and Adaptive Response","MBIO",2150-7511,A1,,,2020
"Lis Ribeiro do Valle Antonelli",http://lattes.cnpq.br/4929168581709218,2021,"Dynamics of T-Lymphocyte Activation Related to Paradoxical Tuberculosis-Associated Immune Reconstitution Inflammatory Syndrome in Persons With Advanced HIV","FRONTIERS IN IMMUNOLOGY",1664-3224,A2,,,2020
"Lis Ribeiro do Valle Antonelli",http://lattes.cnpq.br/4929168581709218,2021,"Asymptomatic Plasmodium vivax malaria in the Brazilian Amazon: Submicroscopic parasitemic blood infects Nyssorhynchus darlingi","PLOS NEGLECTED TROPICAL DISEASES",1935-2735,A1,,,2020
"Lis Ribeiro do Valle Antonelli",http://lattes.cnpq.br/4929168581709218,2021,"IFNs Reset the Differential Capacity of Human Monocyte Subsets to Produce IL-12 in Response to Microbial Stimulation","JOURNAL OF IMMUNOLOGY",0022-1767,A1,,,2020
"Lis Ribeiro do Valle Antonelli",http://lattes.cnpq.br/4929168581709218,2020,"Increased platelet distribution width and reduced IL-2 and IL-12 are associated with thrombocytopenia in Plasmodium vivax malaria","MEMÓRIAS DO INSTITUTO OSWALDO CRUZ",1678-8060,A4,,,2020
"Lis Ribeiro do Valle Antonelli",http://lattes.cnpq.br/4929168581709218,2020,"Circulating inflammatory mediators as biomarkers of ocular toxoplasmosis in acute and in chronic infection","JOURNAL OF LEUKOCYTE BIOLOGY",0741-5400,A2,,,2020
