nome,lattes_url,ano_publicacao,titulo_publicacao,periodico,issn,qualis,pontos,area,ano_base
"Luciano Andrade Moreira",http://lattes.cnpq.br/5832739049925970,2023,"Egg-laying by female Aedes aegypti shapes the bacterial communities of breeding sites","BMC BIOLOGY",1741-7007,A1,,,2020
"Luciano Andrade Moreira",http://lattes.cnpq.br/5832739049925970,2023,"Genomic epidemiology unveils the dynamics and spatial corridor behind the Yellow Fever virus outbreak in Southern Brazil","SCIENCE ADVANCES",2375-2548,A1,,,2020
"Luciano Andrade Moreira",http://lattes.cnpq.br/5832739049925970,2022,"EVITA Dengue: a cluster-randomized controlled trial to EValuate the efficacy of Wolbachia-InfecTed Aedes aegypti mosquitoes in reducing the incidence of Arboviral infection in Brazil","TRIALS",1745-6215,B1,,,2020
"Luciano Andrade Moreira",http://lattes.cnpq.br/5832739049925970,2022,"Wolbachia pipientis modulates metabolism and immunity during Aedes fluviatilis oogenesis","INSECT BIOCHEMISTRY AND MOLECULAR BIOLOGY",0965-1748,A1,,,2020
"Luciano Andrade Moreira",http://lattes.cnpq.br/5832739049925970,2022,"AG129 Mice as a Comprehensive Model for the Experimental Assessment of Mosquito Vector Competence for Arboviruses","PATHOGENS",2076-0817,A3,,,2020
"Luciano Andrade Moreira",http://lattes.cnpq.br/5832739049925970,2022,"Estimating the effect of the wMel release programme on the incidence of dengue and chikungunya in Rio de Janeiro, Brazil: a spatiotemporal modelling study","LANCET INFECTIOUS DISEASES",1473-3099,A1,,,2020
"Luciano Andrade Moreira",http://lattes.cnpq.br/5832739049925970,2021,"The influence of different sources of blood meals on the physiology of Aedes aegypti harboring Wolbachia wMel: mouse blood as an alternative for mosquito rearing","PARASITES & VECTORS",1756-3305,A2,,,2020
"Luciano Andrade Moreira",http://lattes.cnpq.br/5832739049925970,2021,"Mayaro Virus: The Potential Role of Microbiota and Wolbachia","PATHOGENS",2076-0817,A3,,,2020
"Luciano Andrade Moreira",http://lattes.cnpq.br/5832739049925970,2021,"Evaluation of Aedes aegypti, Aedes albopictus, and Culex quinquefasciatus Mosquitoes? Competence to Oropouche virus Infection","VIRUSES-BASEL",1999-4915,A2,,,2020
"Luciano Andrade Moreira",http://lattes.cnpq.br/5832739049925970,2021,"Reduced competence to arboviruses following the sustainable invasion of Wolbachia into native Aedes aegypti from Southeastern Brazil","SCIENTIFIC REPORTS",2045-2322,A1,,,2020
"Luciano Andrade Moreira",http://lattes.cnpq.br/5832739049925970,2021,"Wolbachia as translational science: controlling mosquito-borne pathogens","TRENDS IN PARASITOLOGY",1471-4922,A1,,,2020
