nome,lattes_url,ano_publicacao,titulo_publicacao,periodico,issn,qualis,pontos,area,ano_base
"Luiz Carlos Júnior Alcantara",http://lattes.cnpq.br/7428560072021675,2024,"Exploring the Genomic Dynamics of the Monkeypox Epidemic in Paraguay","VIRUSES-BASEL",1999-4915,A2,,,2020
"Luiz Carlos Júnior Alcantara",http://lattes.cnpq.br/7428560072021675,2024,"MOLECULAR FREQUENCY OF HUMAN GEMYCIRCULARVIRUS (GCYV) DNA AMONG BLOOD DONORS FROM THE BRAZILIAN AMAZON","TRANSFUSION CLINIQUE ET BIOLOGIQUE",1246-7820,B2,,,2020
"Luiz Carlos Júnior Alcantara",http://lattes.cnpq.br/7428560072021675,2024,"Updated Insights into the Phylogenetics, Phylodynamics, and Genetic Diversity of Nipah Virus (NiV)","VIRUSES-BASEL",1999-4915,A2,,,2020
"Luiz Carlos Júnior Alcantara",http://lattes.cnpq.br/7428560072021675,2024,"Evidence of Zika Virus Reinfection by Genome Diversity and Antibody Response Analysis, Brazil","EMERGING INFECTIOUS DISEASES",1080-6040,A1,,,2020
"Luiz Carlos Júnior Alcantara",http://lattes.cnpq.br/7428560072021675,2024,"Shifting patterns of dengue three years after Zika virus emergence in Brazil","NATURE COMMUNICATIONS",2041-1723,A1,,,2020
"Luiz Carlos Júnior Alcantara",http://lattes.cnpq.br/7428560072021675,2024,"A Multiplex Nanopore Sequencing Approach for the Detection of Multiple Arboviral Species","VIRUSES-BASEL",1999-4915,A2,,,2020
"Luiz Carlos Júnior Alcantara",http://lattes.cnpq.br/7428560072021675,2023,"A traveling SARS-CoV-2 laboratory as part of a pandemic response among vulnerable Brazilian populations","BMC PUBLIC HEALTH",1471-2458,A1,,,2020
"Luiz Carlos Júnior Alcantara",http://lattes.cnpq.br/7428560072021675,2023,"Increased interregional virus exchange and nucleotide diversity outline the expansion of chikungunya virus in Brazil","NATURE COMMUNICATIONS",2041-1723,A1,,,2020
"Luiz Carlos Júnior Alcantara",http://lattes.cnpq.br/7428560072021675,2023,"Unveiling the Impact of the Omicron Variant: Insights from Genomic Surveillance in Mato Grosso do Sul, Midwest Brazil","VIRUSES-BASEL",1999-4915,A2,,,2020
"Luiz Carlos Júnior Alcantara",http://lattes.cnpq.br/7428560072021675,2023,"Retrospective Spatio-Temporal Dynamics of Dengue Virus 1, 2 and 4 in Paraguay","VIRUSES-BASEL",1999-4915,A2,,,2020
"Luiz Carlos Júnior Alcantara",http://lattes.cnpq.br/7428560072021675,2023,"Genomic Surveillance of Monkeypox Virus, Minas Gerais, Brazil, 2022","EMERGING INFECTIOUS DISEASES",1080-6040,A1,,,2020
"Luiz Carlos Júnior Alcantara",http://lattes.cnpq.br/7428560072021675,2023,"Phylogenetic Reconstructions Reveal the Circulation of a Novel Dengue Virus-1V Clade and the Persistence of a Dengue Virus-2 III Genotype in Northeast Brazil","VIRUSES-BASEL",1999-4915,A2,,,2020
"Luiz Carlos Júnior Alcantara",http://lattes.cnpq.br/7428560072021675,2023,"Viral metagenomics unveils MW (Malawi) polyomavirus infection in Brazilian pediatric patients with acute respiratory disease","JOURNAL OF MEDICAL VIROLOGY",0146-6615,B1,,,2020
"Luiz Carlos Júnior Alcantara",http://lattes.cnpq.br/7428560072021675,2023,"Advances in preventive vaccine development against HTLV-1 infection: A systematic review of the last 35 years","FRONTIERS IN IMMUNOLOGY",1664-3224,A2,,,2020
"Luiz Carlos Júnior Alcantara",http://lattes.cnpq.br/7428560072021675,2023,"SARS-CoV-2 Spillback to Wild Coatis in Sylvatic-Urban Hotspot, Brazil","EMERGING INFECTIOUS DISEASES",1080-6040,A1,,,2020
"Luiz Carlos Júnior Alcantara",http://lattes.cnpq.br/7428560072021675,2023,"Retrospective Insights of the COVID-19 Epidemic in the Major Latin American City, São Paulo, Southeastern Brazil","VIRUSES-BASEL",1999-4915,A2,,,2020
"Luiz Carlos Júnior Alcantara",http://lattes.cnpq.br/7428560072021675,2023,"Global SARS-CoV-2 genomic surveillance: What we have learned (so far)","INFECTION GENETICS AND EVOLUTION",1567-1348,A2,,,2020
"Luiz Carlos Júnior Alcantara",http://lattes.cnpq.br/7428560072021675,2023,"Molecular Characterization of Salmonella Phage Wara Isolated from River Water in Brazil","MICROORGANISMS",2076-2607,A3,,,2020
"Luiz Carlos Júnior Alcantara",http://lattes.cnpq.br/7428560072021675,2023,"The Importance of Entomo-Virological Investigation of Yellow Fever Virus to Strengthen Surveillance in Brazil","TROPICAL MEDICINE AND INFECTIOUS DISEASE",2414-6366,A2,,,2020
"Luiz Carlos Júnior Alcantara",http://lattes.cnpq.br/7428560072021675,2023,"Epidemiological and Genomic Analysis of Asymptomatic SARS-CoV-2 Infections during the Delta and Omicron Epidemic Waves in São Paulo City, Brazil","VIRUSES-BASEL",1999-4915,A2,,,2020
"Luiz Carlos Júnior Alcantara",http://lattes.cnpq.br/7428560072021675,2023,"Exploring Viral Metagenomics in Pediatric Patients with Acute Respiratory Infections: Unveiling Pathogens beyond SARS-CoV-2","MICROORGANISMS",2076-2607,A3,,,2020
"Luiz Carlos Júnior Alcantara",http://lattes.cnpq.br/7428560072021675,2023,"Human Pegivirus-1 Detection and Genotyping in Brazilian Patients with Fulminant Hepatitis","PATHOGENS",2076-0817,A3,,,2020
"Luiz Carlos Júnior Alcantara",http://lattes.cnpq.br/7428560072021675,2023,"Rapid Epidemic Expansion of Chikungunya Virus East/Central/South African Lineage, Paraguay","EMERGING INFECTIOUS DISEASES",1080-6040,A1,,,2020
"Luiz Carlos Júnior Alcantara",http://lattes.cnpq.br/7428560072021675,2023,"Genomic epidemiology unveils the dynamics and spatial corridor behind the Yellow Fever virus outbreak in Southern Brazil","SCIENCE ADVANCES",2375-2548,A1,,,2020
