nome,lattes_url,ano_publicacao,titulo_publicacao,periodico,issn,qualis,pontos,area,ano_base
"Luzia Helena Carvalho",http://lattes.cnpq.br/5305938120287353,2023,"IgM antibody responses against Plasmodium antigens in neotropical primates in the Brazilian Atlantic Forest","FRONTIERS IN CELLULAR AND INFECTION MICROBIOLOGY",2235-2988,A2,,,2020
"Luzia Helena Carvalho",http://lattes.cnpq.br/5305938120287353,2022,"Impact of Epstein-Barr virus co-infection on natural acquired Plasmodium vivax antibody response","PLOS NEGLECTED TROPICAL DISEASES",1935-2735,A1,,,2020
"Luzia Helena Carvalho",http://lattes.cnpq.br/5305938120287353,2022,"Antibody response to a new member of the DBL family (EBP2) after a brief Plasmodium vivax exposure","PLOS NEGLECTED TROPICAL DISEASES",1935-2735,A1,,,2020
"Luzia Helena Carvalho",http://lattes.cnpq.br/5305938120287353,2022,"Improving the Molecular Diagnosis of Malaria: Droplet Digital PCR-Based Method Using Saliva as a DNA Source","FRONTIERS IN MICROBIOLOGY",1664-302X,A2,,,2020
"Luzia Helena Carvalho",http://lattes.cnpq.br/5305938120287353,2021,"The interface between inflammatory mediators and microRNAs in Plasmodium vivax severe thrombocytopenia","FRONTIERS IN CELLULAR AND INFECTION MICROBIOLOGY",2235-2988,A2,,,2020
"Luzia Helena Carvalho",http://lattes.cnpq.br/5305938120287353,2021,"Profiling humoral immune response against pre-erythrocytic and erythrocytic antigens of malaria parasites among neotropical primates in the Brazilian Atlantic Forest","FRONTIERS IN CELLULAR AND INFECTION MICROBIOLOGY",2235-2988,A2,,,2020
"Luzia Helena Carvalho",http://lattes.cnpq.br/5305938120287353,2021,"Multiplexed Microsphere-Based Flow Cytometric Assay to Assess Strain Transcending Antibodies to Plasmodium vivax Duffy Binding Protein II Reveals an Efficient Tool to Identify Binding-Inhibitory Antibody Responders","FRONTIERS IN IMMUNOLOGY",1664-3224,A2,,,2020
"Luzia Helena Carvalho",http://lattes.cnpq.br/5305938120287353,2021,"Asymptomatic Plasmodium vivax malaria in the Brazilian Amazon: Submicroscopic parasitemic blood infects Nyssorhynchus darlingi","PLOS NEGLECTED TROPICAL DISEASES",1935-2735,A1,,,2020
"Luzia Helena Carvalho",http://lattes.cnpq.br/5305938120287353,2021,"A comprehensive analysis of the genetic diversity of Plasmodium falciparum histidine-rich protein 2 (PfHRP2) in the Brazilian Amazon","FRONTIERS IN CELLULAR AND INFECTION MICROBIOLOGY",2235-2988,A2,,,2020
"Luzia Helena Carvalho",http://lattes.cnpq.br/5305938120287353,2020,"Novel insights into              Plasmodium vivax</i>              therapeutic failure: CYP2D6 activity and time of exposure to malaria modulate the risk of recurrence","ANTIMICROBIAL AGENTS AND CHEMOTHERAPY",0066-4804,A1,,,2020
"Luzia Helena Carvalho",http://lattes.cnpq.br/5305938120287353,2020,"Prospective assessment of malaria infection in a semi-isolated Amazonian indigenous Yanomami community: transmission heterogeneity and predominance of submicroscopic infection","PLOS ONE",1932-6203,A1,,,2020
"Luzia Helena Carvalho",http://lattes.cnpq.br/5305938120287353,2020,"Dynamics of IgM and IgG responses to the next generation of engineered Duffy binding protein II immunogen: Strain-specific and strain-transcending immune responses over a nine-year period","PLOS ONE",1932-6203,A1,,,2020
"Luzia Helena Carvalho",http://lattes.cnpq.br/5305938120287353,2020,"Platelets Fuel the Inflammasome Activation of Innate Immune Cells","CELL REPORTS",2211-1247,A1,,,2020
"Luzia Helena Carvalho",http://lattes.cnpq.br/5305938120287353,2019,"Ribosomal and non-ribosomal PCR targets for the detection of low-density and mixed malaria infections","MALARIA JOURNAL",1475-2875,A2,,,2020
"Luzia Helena Carvalho",http://lattes.cnpq.br/5305938120287353,2019,"Antibodies to Cryptic Epitopes in Distant Homologues Underpin a Mechanism of Heterologous Immunity between PvDBP and VAR2CSA","MBIO",2150-7511,A1,,,2020
"Luzia Helena Carvalho",http://lattes.cnpq.br/5305938120287353,2018,"Evaluating seroprevalence to circumsporozoite protein to estimate exposure to three species of Plasmodium in the Brazilian Amazon","INFECTIOUS DISEASES OF POVERTY",2049-9957,A2,,,2020
"Luzia Helena Carvalho",http://lattes.cnpq.br/5305938120287353,2018,"Susceptibility to Plasmodium vivax malaria associated with DARC (Duffy antigen) polymorphisms is influenced by the time of exposure to malaria","SCIENTIFIC REPORTS",2045-2322,A1,,,2020
"Luzia Helena Carvalho",http://lattes.cnpq.br/5305938120287353,2018,"Cross-Species Immune Recognition Between Plasmodium vivax Duffy Binding Protein Antibodies and the Plasmodium falciparum Surface Antigen VAR2CSA","JOURNAL OF INFECTIOUS DISEASES",0022-1899,A1,,,2020
"Luzia Helena Carvalho",http://lattes.cnpq.br/5305938120287353,2018,"Blood-stage Plasmodium vivax antibody dynamics in a low transmission setting: A nine year follow-up study in the Amazon region","PLOS ONE",1932-6203,A1,,,2020
"Luzia Helena Carvalho",http://lattes.cnpq.br/5305938120287353,2017,"Increased susceptibility of blood type O individuals to develop anemia in Plasmodium vivax infection","INFECTION, GENETICS AND EVOLUTION (PRINT)",1567-1348,A2,,,2020
"Luzia Helena Carvalho",http://lattes.cnpq.br/5305938120287353,2017,"Assessment of copy number variation in genes related to drug resistance in Plasmodium vivax and Plasmodium falciparum isolates from the Brazilian Amazon and a systematic review of the literature","MALARIA JOURNAL",1475-2875,A2,,,2020
"Luzia Helena Carvalho",http://lattes.cnpq.br/5305938120287353,2017,"An engineered vaccine of the Plasmodium vivax Duffy binding protein enhances induction of broadly neutralizing antibodies","SCIENTIFIC REPORTS",2045-2322,A1,,,2020
"Luzia Helena Carvalho",http://lattes.cnpq.br/5305938120287353,2016,"Polymorphisms in B Cell Co-Stimulatory Genes are Associated with IgG Antibody Responses against Blood?Stage Proteins of Plasmodium vivax","PLOS ONE",1932-6203,A1,,,2020
"Luzia Helena Carvalho",http://lattes.cnpq.br/5305938120287353,2016,"Contribution of inflammasome genetics in Plasmodium vivax malaria","INFECTION, GENETICS AND EVOLUTION (PRINT)",1567-1348,A2,,,2020
"Luzia Helena Carvalho",http://lattes.cnpq.br/5305938120287353,2016,"A Novel Erythrocyte Binding Protein of Plasmodium vivax Suggests an Suggests an Alternate Invasion Pathway into Duffy-Positive Reticulocytes","MBIO (ONLINE)",2150-7511,A1,,,2020
"Luzia Helena Carvalho",http://lattes.cnpq.br/5305938120287353,2016,"Variation in Human Cytochrome P-450 Drug-Metabolism Genes: A Gateway to the Understanding of Plasmodium vivax Relapses","PLOS ONE",1932-6203,A1,,,2020
"Luzia Helena Carvalho",http://lattes.cnpq.br/5305938120287353,2016,"The Presence, Persistence and Functional Properties of Plasmodium vivax Duffy Binding Protein II Antibodies Are Influenced by HLA Class II Allelic Variants","PLOS NEGLECTED TROPICAL DISEASES (ONLINE)",1935-2735,A1,,,2020
"Luzia Helena Carvalho",http://lattes.cnpq.br/5305938120287353,2015,"Plasmodium simium, a Plasmodium vivax-Related Malaria Parasite: Genetic Variability of Duffy Binding Protein II and the Duffy Antigen/Receptor for Chemokines","PLOS ONE",1932-6203,A1,,,2020
"Luzia Helena Carvalho",http://lattes.cnpq.br/5305938120287353,2015,"Multiple-clone infections of Plasmodium vivax: definition of a panel of markers for molecular epidemiology","MALARIA JOURNAL (ONLINE)",1475-2875,A2,,,2020
"Luzia Helena Carvalho",http://lattes.cnpq.br/5305938120287353,2014,"Submicroscopic malaria parasite carriage: how reproducible are polymerase chain reaction-based methods?","MEMÓRIAS DO INSTITUTO OSWALDO CRUZ (IMPRESSO)",0074-0276,A4,,,2020
"Luzia Helena Carvalho",http://lattes.cnpq.br/5305938120287353,2014,"The Duffy binding protein as a key target for a Plasmodium vivax vaccine: lessons from the Brazilian Amazon","MEMÓRIAS DO INSTITUTO OSWALDO CRUZ (IMPRESSO)",0074-0276,A4,,,2020
"Luzia Helena Carvalho",http://lattes.cnpq.br/5305938120287353,2014,"Plasmodium simium/Plasmodium vivax infections in southern brown howler monkeys from the Atlantic Forest","MEMÓRIAS DO INSTITUTO OSWALDO CRUZ (IMPRESSO)",0074-0276,A4,,,2020
"Luzia Helena Carvalho",http://lattes.cnpq.br/5305938120287353,2014,"Plasmodium ovale malaria in Brazil: report of an imported case with a prolonged incubation period","JOURNAL OF INFECTION IN DEVELOPING COUNTRIES (ONLINE)",1972-2680,B2,,,2020
"Luzia Helena Carvalho",http://lattes.cnpq.br/5305938120287353,2014,"Duffy Antigen Receptor for Chemokine (DARC) Polymorphisms and Its Involvement in Acquisition of Inhibitory Anti-Duffy Binding Protein II (DBPII) Immunity","PLOS ONE",1932-6203,A1,,,2020
"Luzia Helena Carvalho",http://lattes.cnpq.br/5305938120287353,2013,"Multiple-Clone Activation of Hypnozoites Is the Leading Cause of Relapse in Plasmodium vivax Infection","PLOS ONE",1932-6203,A1,,,2020
"Luzia Helena Carvalho",http://lattes.cnpq.br/5305938120287353,2013,"Genetic Variability in Platelet Integrin  2 1 Density: Possible Contributor to Plasmodium vivax-induced Severe Thrombocytopenia","THE AMERICAN JOURNAL OF TROPICAL MEDICINE AND HYGIENE",0002-9637,A3,,,2020
"Luzia Helena Carvalho",http://lattes.cnpq.br/5305938120287353,2012,"Plasmodium vivax Duffy binding protein: baseline antibody responses and parasite polymorphisms in a well-consolidated settlement of the Amazon Region","TM & IH. TROPICAL MEDICINE AND INTERNATIONAL HEALTH (PRINT)",1360-2276,A1,,,2020
"Luzia Helena Carvalho",http://lattes.cnpq.br/5305938120287353,2012,"Influence of HLA-DRB-1 alleles on the production of antibody against CSP, MSP-1, AMA-1, and DBP in Brazilian individuals naturally infected with Plasmodium vivax","ACTA TROPICA",0001-706X,A2,,,2020
"Luzia Helena Carvalho",http://lattes.cnpq.br/5305938120287353,2012,"Improving N-terminal protein annotation of Plasmodium species based on signal peptide prediction of orthologous proteins","MALARIA JOURNAL (ONLINE)",1475-2875,A2,,,2020
"Luzia Helena Carvalho",http://lattes.cnpq.br/5305938120287353,2011,"Plasma circulating nucleic acids levels increase according to the morbidity of Plasmodium vivax malaria","PLOS ONE",1932-6203,A1,,,2020
"Luzia Helena Carvalho",http://lattes.cnpq.br/5305938120287353,2011,"Worldwide Genetic Variability of the Duffy Binding Protein: Insights into Plasmodium vivax Vaccine Development","PLOS ONE",1932-6203,A1,,,2020
"Luzia Helena Carvalho",http://lattes.cnpq.br/5305938120287353,2011,"Analysis of the genetic variability of PvMSP-3α among Plasmodium vivax in Brazilian field isolates","MEMÓRIAS DO INSTITUTO OSWALDO CRUZ (ONLINE)",1678-8060,A4,,,2020
"Luzia Helena Carvalho",http://lattes.cnpq.br/5305938120287353,2010,"Naturally Acquired Antibodies to Plasmodium vivax Duffy Binding Protein (DBP) in Rural Brazilian Amazon","THE AMERICAN JOURNAL OF TROPICAL MEDICINE AND HYGIENE",0002-9637,A3,,,2020
"Luzia Helena Carvalho",http://lattes.cnpq.br/5305938120287353,2010,"Microsatellite loci: Determining the genetic variability of Plasmodium vivax","TM & IH. TROPICAL MEDICINE AND INTERNATIONAL HEALTH (PRINT)",1360-2276,A1,,,2020
"Luzia Helena Carvalho",http://lattes.cnpq.br/5305938120287353,2010,"Plasmodium vivax circumsporozoite genotypes: a limited variation or new subspecies with major biological consequences?","MALARIA JOURNAL (ONLINE)",1475-2875,A2,,,2020
"Luzia Helena Carvalho",http://lattes.cnpq.br/5305938120287353,2010,"Augmented plasma microparticles during acute Plasmodium vivax infection","MALARIA JOURNAL (ONLINE)",1475-2875,A2,,,2020
"Luzia Helena Carvalho",http://lattes.cnpq.br/5305938120287353,2010,"Genetic variability and natural selection at the ligand domain of the Duffy binding protein in Brazilian Plasmodium vivax populations","MALARIA JOURNAL (ONLINE)",1475-2875,A2,,,2020
"Luzia Helena Carvalho",http://lattes.cnpq.br/5305938120287353,2009,"Analysis of genetic variability of Plasmodium vivax isolates from different Brazilian Amazon areas using tandem repeats","AMERICAN JOURNAL OF TROPICAL MEDICINE AND HYGIENE",0002-9637,A3,,,2020
"Luzia Helena Carvalho",http://lattes.cnpq.br/5305938120287353,2009,"Naturally acquired inhibitory antibodies to              Plasmodium vivax</i>              Duffy binding protein are short-lived and allele-specific following a single malaria infection","CLINICAL AND EXPERIMENTAL IMMUNOLOGY",0009-9104,A3,,,2020
"Luzia Helena Carvalho",http://lattes.cnpq.br/5305938120287353,2008,"Inhibitory Properties of the Antibody Response to Plasmodium vivax Duffy Binding Protein in an Area with Unstable Malaria Transmission","SCANDINAVIAN JOURNAL OF IMMUNOLOGY",0300-9475,A4,,,2020
"Luzia Helena Carvalho",http://lattes.cnpq.br/5305938120287353,2007,"Real-Time multiplex allele-specific PCR for Genotyping of the Duffy antigen, the Plasmodium vivax invasion receptor","VOX SANGUINIS (BASEL)",0042-9007,A4,,,2020
"Luzia Helena Carvalho",http://lattes.cnpq.br/5305938120287353,2007,"Validation of a Plasmodium falciparum parasite transformed with Green Fluorescent Protein for antimalarial drug screening","JOURNAL OF MICROBIOLOGICAL METHODS",0167-7012,B1,,,2020
"Luzia Helena Carvalho",http://lattes.cnpq.br/5305938120287353,2006,"The pattern of major polymorphisms in the Duffy binding protein ligand domain among Plasmodium vivax isolates from the Brazilian Amazon area","MOLECULAR AND BIOCHEMICAL PARASITOLOGY",0166-6851,A4,,,2020
"Luzia Helena Carvalho",http://lattes.cnpq.br/5305938120287353,2006,"Antibodies of P. vivax  apical membrane antigen-1 long-lasting and correlate to the malaria","AMERICAN JOURNAL OF TROPICAL MEDICINE AND HYGIENE",0002-9637,A3,,,2020
"Luzia Helena Carvalho",http://lattes.cnpq.br/5305938120287353,2005,"Anti-Plasmodium vivax Duffy binding protein antibodies measure exposure to malaria in the Brazilian Amazon","AMERICAN JOURNAL OF TROPICAL MEDICINE AND HYGIENE",0002-9637,A3,,,2020
"Luzia Helena Carvalho",http://lattes.cnpq.br/5305938120287353,2005,"IgG isotype to C-terminal 19 kDa of Plasmodium vivax merozoite surface protein 1 among subjects  with different levels of exposure to malaria in Brazil","PARASITOLOGY RESEARCH",0932-0113,A1,,,2020
"Luzia Helena Carvalho",http://lattes.cnpq.br/5305938120287353,2005,"IL-4 receptor expression on CD8+ Tcells is required for the development of protective memory responses against liver stages of malaria parasites","JOURNAL OF EXPERIMENTAL MEDICINE",0022-1007,A1,,,2020
"Luzia Helena Carvalho",http://lattes.cnpq.br/5305938120287353,2004,"Plasmodium berghei parasite transformed with green fluorescent protein (GFP) for screening blood schizontocidal agents","INTERNATIONAL JOURNAL FOR PARASITOLOGY",0020-7519,A1,,,2020
"Luzia Helena Carvalho",http://lattes.cnpq.br/5305938120287353,2004,"Antimalarial activity of phenazines from lapachol, beta-lapachone and its derivatives against Plasmodium falciparum in vitro and Plasmodium berghei in vivo","BIOORGANIC & MEDICINAL CHEMISTRY LETTERS",0960-894X,A2,,,2020
