nome,lattes_url,ano_publicacao,titulo_publicacao,periodico,issn,qualis,pontos,area,ano_base
"Marcelo Antonio Pascoal Xavier",http://lattes.cnpq.br/2430268236881898,2024,"Different profiles of chemokines, cytokines and cell growth factors in plasma samples from patients with leprosy, leprosy reactions and households contacts","MEMÓRIAS DO INSTITUTO OSWALDO CRUZ",1678-8060,A4,,,2020
"Marcelo Antonio Pascoal Xavier",http://lattes.cnpq.br/2430268236881898,2023,"Cd34 Immunostaining Adds Specificity To Microvascular invasion Analysis in Hepatocellular Carcinoma","JOURNAL OF HEPATOCELLULAR CARCINOMA",2253-5969,C,,,2020
"Marcelo Antonio Pascoal Xavier",http://lattes.cnpq.br/2430268236881898,2023,"Açaí (Euterpe oleracea Mart.) byproduct reduces tumor size and modulates inflammation in Ehrlich mice model","JOURNAL OF FUNCTIONAL FOODS",1756-4646,A1,,,2020
"Marcelo Antonio Pascoal Xavier",http://lattes.cnpq.br/2430268236881898,2023,"Characterization and Investigation of Risk Factors for Late-Relapsing Hepatitis After Yellow Fever","CLINICAL INFECTIOUS DISEASES",1058-4838,A1,,,2020
"Marcelo Antonio Pascoal Xavier",http://lattes.cnpq.br/2430268236881898,2023,"Serum soluble mediators as prognostic biomarkers for morbidity, disease outcome, and late-relapsing hepatitis in yellow fever patients","CLINICAL IMMUNOLOGY",1521-6616,A3,,,2020
"Marcelo Antonio Pascoal Xavier",http://lattes.cnpq.br/2430268236881898,2022,"Anti-mitochondrial Tryparedoxin Peroxidase Monoclonal Antibody-Based Immunohistochemistry for Diagnosis of Cutaneous Leishmaniasis","FRONTIERS IN MICROBIOLOGY",1664-302X,A2,,,2020
"Marcelo Antonio Pascoal Xavier",http://lattes.cnpq.br/2430268236881898,2022,"The role of mucosal-associated invariant T cells in visceral leishmaniasis","FRONTIERS IN IMMUNOLOGY",1664-3224,A2,,,2020
"Marcelo Antonio Pascoal Xavier",http://lattes.cnpq.br/2430268236881898,2022,"Occult hepatitis B virus infection in patients with chronic liver disease of different etiology in a Brazilian referral center: comparison of two different hepatitis B virus deoxyribonucleic acid amplification protocols: a cross-sectional study","SAO PAULO MEDICAL JOURNAL",1806-9460,A4,,,2020
"Marcelo Antonio Pascoal Xavier",http://lattes.cnpq.br/2430268236881898,2021,"Caracterização Histológica das Lesões da Valva Mitral de Pacientes com Cardiopatia Reumática","ARQUIVOS BRASILEIROS DE CARDIOLOGIA",0066-782X,B2,,,2020
"Marcelo Antonio Pascoal Xavier",http://lattes.cnpq.br/2430268236881898,2021,"Potential antigenic targets used in immunological tests for diagnosis of tegumentary leishmaniasis: A systematic review","PLOS ONE",1932-6203,A1,,,2020
"Marcelo Antonio Pascoal Xavier",http://lattes.cnpq.br/2430268236881898,2021,"Evidence of Zika virus circulation in asymptomatic pregnant women in Northeast, Brazil","PLOS NEGLECTED TROPICAL DISEASES",1935-2735,A1,,,2020
"Marcelo Antonio Pascoal Xavier",http://lattes.cnpq.br/2430268236881898,2021,"Angiotensin-converting enzyme 2, the SARS-CoV-2 cellular receptor, is widely expressed in human myometrium and uterine leiomyoma","JOURNAL OF ENDOMETRIOSIS AND PELVIC PAIN DISORDERS",2284-0265,B2,,,2020
"Marcelo Antonio Pascoal Xavier",http://lattes.cnpq.br/2430268236881898,2021,"Phenotypic and Functional Signatures of Peripheral Blood and Spleen Compartments of Cynomolgus Macaques Infected With T. cruzi: Associations With Cardiac Histopathological Characteristics","FRONTIERS IN CELLULAR AND INFECTION MICROBIOLOGY",2235-2988,A2,,,2020
"Marcelo Antonio Pascoal Xavier",http://lattes.cnpq.br/2430268236881898,2021,"Corrigendum: Vaccinia virus: shedding and horizontal transmission in a murine model","JOURNAL OF GENERAL VIROLOGY",0022-1317,A2,,,2020
"Marcelo Antonio Pascoal Xavier",http://lattes.cnpq.br/2430268236881898,2020,"Expression of NLRP3 inflammasome in leprosy indicates immune evasion of Mycobacterium leprae","MEMORIAS DO INSTITUTO OSWALDO CRUZ",0074-0276,A4,,,2020
"Marcelo Antonio Pascoal Xavier",http://lattes.cnpq.br/2430268236881898,2020,"Late-Relapsing Hepatitis after Yellow Fever","VIRUSES-BASEL",1999-4915,A2,,,2020
"Marcelo Antonio Pascoal Xavier",http://lattes.cnpq.br/2430268236881898,2020,"Laboratorial algorithm for serological diagnosis of visceral leishmaniasis using rK39-ICT, DAT-LPC and FC-Simplex IgG1","JOURNAL OF IMMUNOLOGICAL METHODS",0022-1759,B2,,,2020
"Marcelo Antonio Pascoal Xavier",http://lattes.cnpq.br/2430268236881898,2020,"Hepatitis Relapse after Yellow Fever Infection: Is There Another Wave?","SOCIEDADE BRASILEIRA DE MEDICINA TROPICAL. REVISTA",1678-9849,B1,,,2020
"Marcelo Antonio Pascoal Xavier",http://lattes.cnpq.br/2430268236881898,2020,"Expression of MAPK and PI3K/AKT/mTOR Proteins according to the Chronic Liver Disease Etiology in Hepatocellular Carcinoma","JOURNAL OF ONCOLOGY",1687-8469,B3,,,2020
"Marcelo Antonio Pascoal Xavier",http://lattes.cnpq.br/2430268236881898,2020,"Prospection of immunological biomarkers for characterization and monitoring of asymptomatic Leishmania</i> ( Leishmania</i> ) infantum</i> infection","PARASITOLOGY",0031-1820,A1,,,2020
"Marcelo Antonio Pascoal Xavier",http://lattes.cnpq.br/2430268236881898,2020,"Liver damage in schistosomiasis is reduced by adipose tissue-derived stem cell therapy after praziquantel treatment","PLOS NEGLECTED TROPICAL DISEASES",1935-2735,A1,,,2020
"Marcelo Antonio Pascoal Xavier",http://lattes.cnpq.br/2430268236881898,2020,"Mitral Regurgitation After Percutaneous Mitral Valvuloplasty","JACC-CARDIOVASCULAR IMAGING",1936-878X,A1,,,2020
"Marcelo Antonio Pascoal Xavier",http://lattes.cnpq.br/2430268236881898,2018,"Accomplishing the genotype-specific serodiagnosis of single and dual Trypanosoma cruzi infections by flow cytometry Chagas-Flow ATE-IgG2a","PLOS NEGLECTED TROPICAL DISEASES",1935-2735,A1,,,2020
"Marcelo Antonio Pascoal Xavier",http://lattes.cnpq.br/2430268236881898,2018,"Helminths and Cancers From the Evolutionary Perspective","FRONTIERS IN MEDICINE",2296-858X,A1,,,2020
"Marcelo Antonio Pascoal Xavier",http://lattes.cnpq.br/2430268236881898,2018,"HIV aspartyl protease inhibitors modify the percentage of activated leukocytes, as well as serum levels of IL-17A and NO during experimental leishmaniasis","INTERNATIONAL IMMUNOPHARMACOLOGY",1567-5769,A2,,,2020
"Marcelo Antonio Pascoal Xavier",http://lattes.cnpq.br/2430268236881898,2018,"Fcγ-RI, Fcγ-RII and IL-10 as predictive biomarkers for post-therapeutic cicatrization time in monocytes from Cutaneous Leishmaniasis patients","PARASITE IMMUNOLOGY",0141-9838,A2,,,2020
"Marcelo Antonio Pascoal Xavier",http://lattes.cnpq.br/2430268236881898,2018,"Usefulness of FC-TRIPLEX Chagas/Leish IgG1 as confirmatory assay for non-negative results in blood bank screening of Chagas disease","JOURNAL OF IMMUNOLOGICAL METHODS",0022-1759,B2,,,2020
"Marcelo Antonio Pascoal Xavier",http://lattes.cnpq.br/2430268236881898,2018,"Disseminated mycosis in a patient with yellow fever","AUTOPSY AND CASE REPORTS",2236-1960,C,,,2020
"Marcelo Antonio Pascoal Xavier",http://lattes.cnpq.br/2430268236881898,2018,"Cardiac Involvement by Yellow Fever(from the PROVAR+ Study)","AMERICAN JOURNAL OF CARDIOLOGY",0002-9149,A2,,,2020
"Marcelo Antonio Pascoal Xavier",http://lattes.cnpq.br/2430268236881898,2018,"Genetic variant strains of Leishmania (Viannia) braziliensis exhibit distinct biological behaviors","PARASITOLOGY RESEARCH",0932-0113,A1,,,2020
"Marcelo Antonio Pascoal Xavier",http://lattes.cnpq.br/2430268236881898,2018,"Anti-serum validation for use in immunohistochemistry for Trypanosoma cruzi detection","SOCIEDADE BRASILEIRA DE MEDICINA TROPICAL. REVISTA",1678-9849,B1,,,2020
"Marcelo Antonio Pascoal Xavier",http://lattes.cnpq.br/2430268236881898,2017,"Flow cytometric-based protocols for assessing anti-MT-2 IgG1 reactivity: High-dimensional data handling to define predictors for clinical follow-up of Human T-cell Leukemia virus type-1 infection","JOURNAL OF IMMUNOLOGICAL METHODS (PRINT)",0022-1759,B2,,,2020
"Marcelo Antonio Pascoal Xavier",http://lattes.cnpq.br/2430268236881898,2017,"Influenza A Virus as a Predisposing Factor for Cryptococcosis","FRONTIERS IN CELLULAR AND INFECTION MICROBIOLOGY",2235-2988,A2,,,2020
"Marcelo Antonio Pascoal Xavier",http://lattes.cnpq.br/2430268236881898,2017,"Performance of TcI/TcVI/TcII Chagas-Flow ATE-IgG2a for universal and genotype-specific serodiagnosis of Trypanosoma cruzi infection","PLOS NEGLECTED TROPICAL DISEASES",1935-2735,A1,,,2020
"Marcelo Antonio Pascoal Xavier",http://lattes.cnpq.br/2430268236881898,2017,"Detection of cytomegalovirus, herpes virus simplex, and parvovirus b19 in spontaneous abortion placentas","JOURNAL OF MATERNAL-FETAL & NEONATAL MEDICINE",1476-7058,A4,,,2020
"Marcelo Antonio Pascoal Xavier",http://lattes.cnpq.br/2430268236881898,2016,"Comparative study of different histologic classifications in the degree of differentiation in endometrial adenocarcinoma","TUMORI",0300-8916,B2,,,2020
"Marcelo Antonio Pascoal Xavier",http://lattes.cnpq.br/2430268236881898,2015,"Immunological signature of the different clinical stages of the HTLV-1 infection: establishing serum biomarkers for HTLV-1-associated disease morbidity","BIOMARKERS (LONDON. PRINT)",1354-750X,B1,,,2020
"Marcelo Antonio Pascoal Xavier",http://lattes.cnpq.br/2430268236881898,2015,"Divergent cerebrospinal fluid cytokine network induced by non-viral and different viral infections on the central nervous system","BMC INFECTIOUS DISEASES (ONLINE)",1471-2334,A3,,,2020
"Marcelo Antonio Pascoal Xavier",http://lattes.cnpq.br/2430268236881898,2015,"RAP1 GTPase Overexpression is Associated with Cervical Intraepithelial Neoplasia","PLOS ONE",1932-6203,A1,,,2020
"Marcelo Antonio Pascoal Xavier",http://lattes.cnpq.br/2430268236881898,2014,"Social and immunological differences among uninfected Brazilians exposed or unexposed to human immunodeficiency virus-infected partners","MEMÓRIAS DO INSTITUTO OSWALDO CRUZ (IMPRESSO)",0074-0276,A4,,,2020
"Marcelo Antonio Pascoal Xavier",http://lattes.cnpq.br/2430268236881898,2014,"Occult hepatitis B virus infection in liver transplant patients in a Brazilian referral center","BRAZILIAN JOURNAL OF MEDICAL AND BIOLOGICAL RESEARCH",1414-431X,A3,,,2020
"Marcelo Antonio Pascoal Xavier",http://lattes.cnpq.br/2430268236881898,2014,"CD11c+CD123Low Dendritic Cell subset and the triad TNF-α/IL-17A/IFN-γ integrate mucosal and peripheral cellular responses in HIV patients with High-grade anal intraepithelial neoplasia - a systems biology approach","JOURNAL OF ACQUIRED IMMUNE DEFICIENCY SYNDROMES (1999)",1525-4135,A2,,,2020
"Marcelo Antonio Pascoal Xavier",http://lattes.cnpq.br/2430268236881898,2014,"Gene expression profile of cytokines and chemokines in skin lesions from Brazilian Indians with localized cutaneous leishmaniasis","MOLECULAR IMMUNOLOGY",0161-5890,A4,,,2020
"Marcelo Antonio Pascoal Xavier",http://lattes.cnpq.br/2430268236881898,2012,"Minichromosome maintenance 7 protein is a reliable biological marker for human cervical progressive disease","J GYNECOL ONCOL",2005-0380,A2,,,2020
