nome,lattes_url,ano_publicacao,titulo_publicacao,periodico,issn,qualis,pontos,area,ano_base
"Marcelo Gustavo Lorenzo",http://lattes.cnpq.br/2529945687863385,2023,"Odor-mediated response of gravid Aedes aegypti to mosquito-associated symbiotic bacteria","ACTA TROPICA",0001-706X,A2,80,Medicina II,quadriênio 2017-2020
"Marcelo Gustavo Lorenzo",http://lattes.cnpq.br/2529945687863385,2022,"Changes in antennal gene expression underlying sensory system maturation in Rhodnius prolixus","INSECT BIOCHEMISTRY AND MOLECULAR BIOLOGY",0965-1748,A1,90,Medicina II,quadriênio 2017-2020
"Marcelo Gustavo Lorenzo",http://lattes.cnpq.br/2529945687863385,2022,"Molecular and functional basis of high-salt avoidance in a blood-sucking insect","ISCIENCE",2589-0042,A2,80,Medicina II,quadriênio 2017-2020
"Marcelo Gustavo Lorenzo",http://lattes.cnpq.br/2529945687863385,2021,"Triggering the proboscis extension reflex (PER) in Rhodnius prolixus","JOURNAL OF INSECT PHYSIOLOGY",0022-1910,A1,90,Medicina II,quadriênio 2017-2020
"Marcelo Gustavo Lorenzo",http://lattes.cnpq.br/2529945687863385,2021,"Evolution of the Insect PPK Gene Family","GENOME BIOLOGY AND EVOLUTION",1759-6653,A1,90,Medicina II,quadriênio 2017-2020
"Marcelo Gustavo Lorenzo",http://lattes.cnpq.br/2529945687863385,2021,"Multi-Omic Analysis of Symbiotic Bacteria Associated With Aedes aegypti Breeding Sites","FRONTIERS IN MICROBIOLOGY",1664-302X,A2,80,Medicina II,quadriênio 2017-2020
"Marcelo Gustavo Lorenzo",http://lattes.cnpq.br/2529945687863385,2021,"Trypanosoma rangeli</i> infection increases the exposure and predation endured by Rhodnius prolixus</i>","PARASITOLOGY",0031-1820,A1,90,Medicina II,quadriênio 2017-2020
"Marcelo Gustavo Lorenzo",http://lattes.cnpq.br/2529945687863385,2021,"Trypanosoma cruzi-infected Rhodnius prolixus endure increased predation facilitating parasite transmission to mammal hosts","PLOS NEGLECTED TROPICAL DISEASES",1935-2735,A1,90,Medicina II,quadriênio 2017-2020
"Marcelo Gustavo Lorenzo",http://lattes.cnpq.br/2529945687863385,2020,"Transcriptomics supports local sensory regulation in the antenna of the kissing-bug Rhodnius prolixus","BMC GENOMICS",1471-2164,A2,80,Medicina II,quadriênio 2017-2020
"Marcelo Gustavo Lorenzo",http://lattes.cnpq.br/2529945687863385,2020,"Co-existing locomotory activity and gene expression profiles in a kissing-bug vector of Chagas disease","JOURNAL OF INSECT PHYSIOLOGY",0022-1910,A1,90,Medicina II,quadriênio 2017-2020
