nome,lattes_url,ano_publicacao,titulo_publicacao,periodico,issn,qualis,pontos,area,ano_base
"Márcio Sobreira Silva Araújo",http://lattes.cnpq.br/2634004612117298,2024,"Immune response induced by standard and fractional doses of 17DD yellow fever vaccine","NPJ VACCINES",2059-0105,A1,,,2020
"Márcio Sobreira Silva Araújo",http://lattes.cnpq.br/2634004612117298,2024,"Different profiles of chemokines, cytokines and cell growth factors in plasma samples from patients with leprosy, leprosy reactions and households contacts","MEMÓRIAS DO INSTITUTO OSWALDO CRUZ",1678-8060,A4,,,2020
"Márcio Sobreira Silva Araújo",http://lattes.cnpq.br/2634004612117298,2023,"Serotype-associated immune response and network immunoclusters in children and adults during acute Dengue virus infection","CYTOKINE",1043-4666,A4,,,2020
"Márcio Sobreira Silva Araújo",http://lattes.cnpq.br/2634004612117298,2022,"Leishmania infantum infection rate in dogs housed in open-admission shelters is higher than of domiciled dogs in an endemic area of canine visceral leishmaniasis. Epidemiological implications","ACTA TROPICA",0001-706X,A2,,,2020
"Márcio Sobreira Silva Araújo",http://lattes.cnpq.br/2634004612117298,2022,"A New Flow Cytometry-Based Single Platform for Universal and Differential Serodiagnosis of HTLV-1/2 Infection","FRONTIERS IN IMMUNOLOGY",1664-3224,A2,,,2020
"Márcio Sobreira Silva Araújo",http://lattes.cnpq.br/2634004612117298,2022,"Serum Soluble Mediator Profiles and Networks During Acute Infection With Distinct DENV Serotypes","FRONTIERS IN IMMUNOLOGY",1664-3224,A2,,,2020
"Márcio Sobreira Silva Araújo",http://lattes.cnpq.br/2634004612117298,2022,"Timeline Kinetics of Systemic and Airway Immune Mediator Storm for Comprehensive Analysis of Disease Outcome in Critically Ill COVID-19 Patients","FRONTIERS IN IMMUNOLOGY",1664-3224,A2,,,2020
"Márcio Sobreira Silva Araújo",http://lattes.cnpq.br/2634004612117298,2022,"Leishmania amazonensis</i> from distinct clinical forms/hosts has polymorphisms in Lipophosphoglycans, displays variations in immunomodulatory properties and, susceptibility to antileishmanial drugs","CELL BIOLOGY INTERNATIONAL",1095-8355,B2,,,2020
"Márcio Sobreira Silva Araújo",http://lattes.cnpq.br/2634004612117298,2022,"The role of mucosal-associated invariant T cells in visceral leishmaniasis","FRONTIERS IN IMMUNOLOGY",1664-3224,A2,,,2020
"Márcio Sobreira Silva Araújo",http://lattes.cnpq.br/2634004612117298,2022,"Methods applied to the Diagnosis of Cattle Trypanosoma Vivax Infection: An Overview of the Current State of The Art","CURRENT PHARMACEUTICAL BIOTECHNOLOGY",1389-2010,A3,,,2020
"Márcio Sobreira Silva Araújo",http://lattes.cnpq.br/2634004612117298,2021,"Alginate-chitosan microcapsules improve vaccine potential of gamma-irradiated Listeria monocytogenes against listeriosis in murine model","INTERNATIONAL JOURNAL OF BIOLOGICAL MACROMOLECULES",0141-8130,A1,,,2020
"Márcio Sobreira Silva Araújo",http://lattes.cnpq.br/2634004612117298,2021,"Autohemotherapy increases phagocytic activity of neutrophils and promotes cytokine production by lymphocytes in horses","REVISTA BRASILEIRA DE MEDICINA VETERINÁRIA",2527-2179,B2,,,2020
"Márcio Sobreira Silva Araújo",http://lattes.cnpq.br/2634004612117298,2021,"Infection by Strongyloides venezuelensis attenuates chronic colitis induced by Dextran Sodium Sulfate ingestion in BALB/c mice","IMMUNOBIOLOGY",0171-2985,A2,,,2020
"Márcio Sobreira Silva Araújo",http://lattes.cnpq.br/2634004612117298,2020,"Toxoplasma gondii: Cytokine responses in mice reinfected with atypical strains","EXPERIMENTAL PARASITOLOGY",0014-4894,A4,,,2020
"Márcio Sobreira Silva Araújo",http://lattes.cnpq.br/2634004612117298,2020,"Addition of caffeine to equine thawed sperm increases motility and decreases nitrite concentration","ANDROLOGIA",0303-4569,B2,,,2020
"Márcio Sobreira Silva Araújo",http://lattes.cnpq.br/2634004612117298,2020,"Higher histone 3 retention on young bulls in a progeny test","ANIMAL REPRODUCTION SCIENCE",0378-4320,A2,,,2020
"Márcio Sobreira Silva Araújo",http://lattes.cnpq.br/2634004612117298,2019,"Phenotypic characterization of swine peripheral blood monocyte-derived macrophages and ex vivo infection with Salmonella enterica serovar Typhimurium","BRAZILIAN JOURNAL OF MICROBIOLOGY",1517-8382,A2,,,2020
"Márcio Sobreira Silva Araújo",http://lattes.cnpq.br/2634004612117298,2019,"Haematological and immunophenotypic evaluation of peripheral blood cells of cattle naturally infected with bovine papillomavirus","VETERINARY JOURNAL",1090-0233,A1,,,2020
