nome,lattes_url,ano_publicacao,titulo_publicacao,periodico,issn,qualis,pontos,area,ano_base
"Marco Antônio da Silva Campos",http://lattes.cnpq.br/1409006491220426,2024,"Impact of Toll-Like Receptors (TLRs) and TLR Signaling Proteins in Trigeminal Ganglia Impairing Herpes Simplex Virus 1 (HSV-1) Progression to Encephalitis: Insights from Mouse Models","FRONTIERS IN BIOSCIENCE-LANDMARK",2768-6701,N,,,
"Marco Antônio da Silva Campos",http://lattes.cnpq.br/1409006491220426,2023,"Cardiac manifestations in children with the multisystem inflammatory syndrome (MISC) associated with SARS-CoV-2 infection: systematic review and meta-anlysis","REVIEWS IN MEDICAL VIROLOGY",1099-1654,A2,,,2020
"Marco Antônio da Silva Campos",http://lattes.cnpq.br/1409006491220426,2023,"Neuro-COVID-19 With or Without the Multisystem Inflammatory Syndrome (MIS-C): A Single-Center Study","JOURNAL OF MOLECULAR NEUROSCIENCE",0895-8696,B1,,,2020
"Marco Antônio da Silva Campos",http://lattes.cnpq.br/1409006491220426,2023,"Dengue virus 3 genotype I (GI) lineage 1 (L1) isolates elicit differential cytopathic effect with syncytium formation in human glioblastoma cells (U251)","VIROLOGY JOURNAL",1743-422X,A3,,,2020
"Marco Antônio da Silva Campos",http://lattes.cnpq.br/1409006491220426,2022,"GUILLAIN-BARRÉ ASSOCIADO À INFECÇÃO POR SARS-COV-2 EM LACTENTE","BRAZILIAN JOURNAL OF INFECTIOUS DISEASES",1413-8670,B1,,,2020
"Marco Antônio da Silva Campos",http://lattes.cnpq.br/1409006491220426,2021,"Brain-derived neurotrophic factor is down regulated after bovine alpha-herpesvirus 5 infection in both wild-type and TLR3/7/9 deficient mice","JOURNAL OF VETERINARY MEDICAL SCIENCE",0916-7250,A2,,,2020
"Marco Antônio da Silva Campos",http://lattes.cnpq.br/1409006491220426,2021,"Case report: hepatitis in a child infected with SARS-CoV-2 presenting toll-like receptor 7 Gln11Leu single nucleotide polymorphism","VIROLOGY JOURNAL",1743-422X,A3,,,2020
"Marco Antônio da Silva Campos",http://lattes.cnpq.br/1409006491220426,2021,"Children with sickle cell disease and severe COVID-19 presenting single nucleotide polymorphisms in innate immune response genes - A case report","EJHAEM",2688-6146,N,,,
"Marco Antônio da Silva Campos",http://lattes.cnpq.br/1409006491220426,2020,"Trypanosoma cruzi-infected human macrophages shed proinflammatory extracellular vesicles that enhance host-cell invasion via Toll Like Receptor 2","FRONTIERS IN CELLULAR AND INFECTION MICROBIOLOGY",2235-2988,A2,,,2020
"Marco Antônio da Silva Campos",http://lattes.cnpq.br/1409006491220426,2020,"Neuroinflammation is associated with reduced SOCS2 and SOCS3 expression during intracranial HSV-1 infection","NEUROSCIENCE LETTERS",0304-3940,B1,,,2020
"Marco Antônio da Silva Campos",http://lattes.cnpq.br/1409006491220426,2018,"Subcutaneous Model for the Study of Dengue Virus Infection in Immune Competent Mice","JOURNAL OF BIOSCIENCES AND MEDICINES",2327-5081,B4,,,2020
"Marco Antônio da Silva Campos",http://lattes.cnpq.br/1409006491220426,2018,"Low welfare impact of noise: assessment in an experimental model of mice infected by Herpes simplex -1","APPLIED ANIMAL BEHAVIOUR SCIENCE",0168-1591,A1,,,2020
"Marco Antônio da Silva Campos",http://lattes.cnpq.br/1409006491220426,2017,"Dendritic cells, macrophages, NK and CD8+ T lymphocytes play pivotal roles in controlling HSV-1 in the trigeminal ganglia by producing IL1-beta, iNOS and granzyme B","VIROLOGY JOURNAL",1743-422X,A3,,,2020
"Marco Antônio da Silva Campos",http://lattes.cnpq.br/1409006491220426,2016,"Platelet Activating Factor (PAF) Receptor Deletion or Antagonism Attenuates Severe HSV-1 Meningoencephalitis","JOURNAL OF NEUROIMMUNE PHARMACOLOGY",1557-1890,A1,,,2020
"Marco Antônio da Silva Campos",http://lattes.cnpq.br/1409006491220426,2016,"Lipophosphoglycans from Leishmania amazonensis Strains Display Immunomodulatory Properties via TLR4 and Do Not Affect Sand Fly Infection","PLOS NEGLECTED TROPICAL DISEASES",1935-2735,A1,,,2020
"Marco Antônio da Silva Campos",http://lattes.cnpq.br/1409006491220426,2016,"Suppressor of cytokine signaling 2 (SOCS2) contributes to encephalitis in a model of Herpes infection in mice","BRAIN RESEARCH BULLETIN",0361-9230,A3,,,2020
"Marco Antônio da Silva Campos",http://lattes.cnpq.br/1409006491220426,2015,"Leishmania enriettii: biochemical characterisation of lipophosphoglycans (LPGs) and glycoinositolphospholipids (GIPLs) and infectivity to Cavia porcellus","PARASITES & VECTORS",1756-3305,A2,,,2020
