nome,lattes_url,ano_publicacao,titulo_publicacao,periodico,issn,qualis,pontos,area,ano_base
"Marina de Moraes Mourão",http://lattes.cnpq.br/0271842903270328,2023,"Schistosoma mansoni Coactivator Associated Arginine Methyltransferase 1 (SmCARM1) effect on parasite reproduction","FRONTIERS IN MICROBIOLOGY",1664-302X,A2,,,2020
"Marina de Moraes Mourão",http://lattes.cnpq.br/0271842903270328,2023,"Identification and characterization of microRNAs in Biomphalaria tenagophila and comparative analysis of their expression in Schistosoma mansoni-resistant and -susceptible snail populations","GENE",0378-1119,A4,,,2020
"Marina de Moraes Mourão",http://lattes.cnpq.br/0271842903270328,2023,"FioSchisto?s expert perspective on implementing WHO guidelines for schistosomiasis control and transmission elimination in Brazil","FRONTIERS IN IMMUNOLOGY",1664-3224,A2,,,2020
"Marina de Moraes Mourão",http://lattes.cnpq.br/0271842903270328,2022,"Effects of Structurally Different HDAC Inhibitors against Trypanosoma Cruzi</i>, Leishmania</i>, and Schistosoma mansoni</i>","ACS INFECTIOUS DISEASES",2373-8227,A1,,,2020
"Marina de Moraes Mourão",http://lattes.cnpq.br/0271842903270328,2022,"Smtal-9, a Member of the Schistosoma mansoni Tegument Allergen-Like Family, Is Important for Parasite Survival and a Putative Target for Drug/Vaccine Development","FRONTIERS IN IMMUNOLOGY",1664-3224,A2,,,2020
"Marina de Moraes Mourão",http://lattes.cnpq.br/0271842903270328,2022,"Hypoxanthine guanine phosphoribosyl transferases SmHGPRTases functional roles in Schistosoma mansoni","FRONTIERS IN MICROBIOLOGY",1664-302X,A2,,,2020
"Marina de Moraes Mourão",http://lattes.cnpq.br/0271842903270328,2022,"Assessment of the accuracy of 11 different diagnostic tests for the detection of Schistosomiasis mansoni in individuals from a Brazilian area of low endemicity using latent class analysis","FRONTIERS IN MICROBIOLOGY",1664-302X,A2,,,2020
"Marina de Moraes Mourão",http://lattes.cnpq.br/0271842903270328,2022,"Docking-Based Virtual Screening Enables Prioritizing Protein Kinase Inhibitors With In Vitro Phenotypic Activity Against Schistosoma mansoni","FRONTIERS IN CELLULAR AND INFECTION MICROBIOLOGY",2235-2988,A2,,,2020
"Marina de Moraes Mourão",http://lattes.cnpq.br/0271842903270328,2021,"Parasitemia Evaluation in Mice Infected with Schistosoma mansoni","BIO-PROTOCOL",2331-8325,B3,,,2020
"Marina de Moraes Mourão",http://lattes.cnpq.br/0271842903270328,2021,"Species-selective targeting of pathogens revealed by the atypical structure and active site of Trypanosoma cruzi histone deacetylase DAC2","CELL REPORTS",2211-1247,A1,,,2020
"Marina de Moraes Mourão",http://lattes.cnpq.br/0271842903270328,2021,"Editorial: Pre-Conference Research Topic: 16th International Symposium on Schistosomiasis","FRONTIERS IN IMMUNOLOGY",1664-3224,A2,,,2020
"Marina de Moraes Mourão",http://lattes.cnpq.br/0271842903270328,2020,"Use of BODIPY-Labeled ATP Analogues in the Development and Validation of a Fluorescence Polarization-Based Assay for Screening of Kinase Inhibitors","ACS OMEGA",2470-1343,A4,,,2020
"Marina de Moraes Mourão",http://lattes.cnpq.br/0271842903270328,2020,"Schistosoma mansoni FES Tyrosine kinase involvement in the mammalian schistosomiasis outcome and miracidia infection capability in Biomphalaria glabrata","FRONTIERS IN MICROBIOLOGY",1664-302X,A2,,,2020
"Marina de Moraes Mourão",http://lattes.cnpq.br/0271842903270328,2020,"Pharmacological inhibition of lysine-specific demethylase 1 (LSD1) induces global transcriptional deregulation and ultrastructural alterations that impair viability in Schistosoma mansoni","PLOS NEGLECTED TROPICAL DISEASES",1935-2735,A1,,,2020
"Marina de Moraes Mourão",http://lattes.cnpq.br/0271842903270328,2020,"Diminished adherence of Biomphalaria glabrata embryonic cell line to sporocysts of Schistosoma mansoni following programmed knockout of the allograft inflammatory factor","PARASITES & VECTORS",1756-3305,A2,,,2020
