nome,lattes_url,ano_publicacao,titulo_publicacao,periodico,issn,qualis,pontos,area,ano_base
"Olindo Assis Martins Filho",http://lattes.cnpq.br/6260226537155026,2024,"Yellow fever virus infection in human hepatocyte cells triggers an imbalance in redox homeostasis with increased reactive oxygen species production, oxidative stress, and decreased antioxidant enzymes","FREE RADICAL BIOLOGY AND MEDICINE",0891-5849,A1,,,2020
"Olindo Assis Martins Filho",http://lattes.cnpq.br/6260226537155026,2024,"Trypanosoma cruzi antigen detection in blood to assess treatment efficacy and cure in mice models of Chagas disease","FRONTIERS IN IMMUNOLOGY",1664-3224,A2,,,2020
"Olindo Assis Martins Filho",http://lattes.cnpq.br/6260226537155026,2023,"Serum biomarkers in patients with unilateral or bilateral active pulmonary tuberculosis: Immunological networks and promising diagnostic applications","CYTOKINE",1043-4666,A4,,,2020
"Olindo Assis Martins Filho",http://lattes.cnpq.br/6260226537155026,2023,"Effect of methylene blue on hemodynamic response in the early phase of septic shock: A case series","MEDICINE",0025-7974,A3,,,2020
"Olindo Assis Martins Filho",http://lattes.cnpq.br/6260226537155026,2023,"Methods Applied to the Diagnosis of Cattle Trypanosoma vivax Infection:An Overview of the Current State of the Art","CURRENT PHARMACEUTICAL BIOTECHNOLOGY",1389-2010,A3,,,2020
"Olindo Assis Martins Filho",http://lattes.cnpq.br/6260226537155026,2023,"Serum soluble mediators as prognostic biomarkers for morbidity, disease outcome, and late-relapsing hepatitis in yellow fever patients","CLINICAL IMMUNOLOGY",1521-6616,A3,,,2020
"Olindo Assis Martins Filho",http://lattes.cnpq.br/6260226537155026,2023,"Vaccination with Formulation of Nanoparticles Loaded with Leishmania amazonensis Antigens Confers Protection against Experimental Visceral Leishmaniasis in Hamster","VACCINES",2076-393X,A3,,,2020
"Olindo Assis Martins Filho",http://lattes.cnpq.br/6260226537155026,2023,"COVID-19 and candiduria: an investigation of the risk factors and immunological aspects","BRAZILIAN JOURNAL OF MICROBIOLOGY",1517-8382,A2,,,2020
"Olindo Assis Martins Filho",http://lattes.cnpq.br/6260226537155026,2023,"Characterization and Investigation of Risk Factors for Late-Relapsing Hepatitis After Yellow Fever","CLINICAL INFECTIOUS DISEASES",1058-4838,A1,,,2020
"Olindo Assis Martins Filho",http://lattes.cnpq.br/6260226537155026,2023,"Neuroimaging assessment of pediatric cerebral changes associated with SARS-CoV-2 infection during pregnancy","FRONTIERS IN PEDIATRICS",2296-2360,A2,,,2020
"Olindo Assis Martins Filho",http://lattes.cnpq.br/6260226537155026,2023,"Serotype-associated immune response and network immunoclusters in children and adults during acute Dengue virus infection","CYTOKINE",1043-4666,A4,,,2020
"Olindo Assis Martins Filho",http://lattes.cnpq.br/6260226537155026,2023,"Adenosine pathway regulates inflammation during Plasmodium vivax infection","FRONTIERS IN IMMUNOLOGY",1664-3224,A2,,,2020
"Olindo Assis Martins Filho",http://lattes.cnpq.br/6260226537155026,2023,"Timeline kinetics of protective immunity to SARS-CoV-2 upon primary vaccination and humoral response to variants after booster dose","VACCINE",0264-410X,A2,,,2020
"Olindo Assis Martins Filho",http://lattes.cnpq.br/6260226537155026,2023,"Panoramic snapshot of serum soluble mediator interplay in pregnant women with convalescent COVID-19: an exploratory study","FRONTIERS IN IMMUNOLOGY",1664-3224,A2,,,2020
"Olindo Assis Martins Filho",http://lattes.cnpq.br/6260226537155026,2023,"The neurotoxic branch of the kynurenine pathway is highly activated in the central nervous system of patients with pneumococcal meningitis","CYTOKINE",1043-4666,A4,,,2020
"Olindo Assis Martins Filho",http://lattes.cnpq.br/6260226537155026,2023,"Half dose ChAdOx1 nCoV-19 vaccine was equivalent to full doses to reduce moderate and severe COVID-19 cases","IJID REGIONS",2772-7076,N,,,
"Olindo Assis Martins Filho",http://lattes.cnpq.br/6260226537155026,2023,"Airway epithelial cells and macrophages trigger IL-6-CD95/CD95L axis and mediate initial immunopathology of COVID-19","ISCIENCE",2589-0042,A2,,,2020
"Olindo Assis Martins Filho",http://lattes.cnpq.br/6260226537155026,2023,"Taming the SARS-CoV-2-mediated proinflammatory response with BromAc®","FRONTIERS IN IMMUNOLOGY",1664-3224,A2,,,2020
"Olindo Assis Martins Filho",http://lattes.cnpq.br/6260226537155026,2023,"Validation study of ultrasonography versus computed tomography for measuring muscle mass loss in critically ill patients: CT mUS study","CRITICAL CARE (LONDON. PRINT)",1364-8535,A1,,,2020
"Olindo Assis Martins Filho",http://lattes.cnpq.br/6260226537155026,2023,"Antibody response and soluble mediator profile in the first six months following acute SARS-CoV-2 infection","SCIENTIFIC REPORTS",2045-2322,A1,,,2020
"Olindo Assis Martins Filho",http://lattes.cnpq.br/6260226537155026,2023,"Polymeric Delivery Systems as a Potential Vaccine against Visceral Leishmaniasis: Formulation Development and Immunogenicity","VACCINES",2076-393X,A3,,,2020
"Olindo Assis Martins Filho",http://lattes.cnpq.br/6260226537155026,2023,"Variant-dependent oxidative and cytokine responses of human neutrophils to SARS-CoV-2 spike protein and anti-spike IgG1 antibodies","FRONTIERS IN IMMUNOLOGY",1664-3224,A2,,,2020
"Olindo Assis Martins Filho",http://lattes.cnpq.br/6260226537155026,2023,"Interplay among differential exposure to Mycobacterium leprae and TLR4 polymorphism impacts the immune response in household contacts of leprosy patients","FRONTIERS IN IMMUNOLOGY",1664-3224,A2,,,2020
"Olindo Assis Martins Filho",http://lattes.cnpq.br/6260226537155026,2023,"Elevated serum IL-6 levels predict treatment interruption in patients with moderate to severe psoriasis: a 6-year real-world cohort study","ANAIS BRASILEIROS DE DERMATOLOGIA",0365-0596,B2,,,2020
"Olindo Assis Martins Filho",http://lattes.cnpq.br/6260226537155026,2023,"Rodrigo Corrêa de Oliveira (-1956 -2023)","SOCIEDADE BRASILEIRA DE MEDICINA TROPICAL. REVISTA",1678-9849,B1,,,2020
"Olindo Assis Martins Filho",http://lattes.cnpq.br/6260226537155026,2023,"Comparison between ultrasonography and computed tomography for measuring skeletal muscle mass in critically ill patients with different body mass index","CLINICAL NUTRITION ESPEN",2405-4577,B1,,,2020
"Olindo Assis Martins Filho",http://lattes.cnpq.br/6260226537155026,2022,"Thromboelastometry demonstrates endogenous coagulation activation in nonsevere and severe COVID-19 patients and has applicability as a decision algorithm for intervention","PLOS ONE",1932-6203,A1,,,2020
"Olindo Assis Martins Filho",http://lattes.cnpq.br/6260226537155026,2022,"Performance of microvesicles as biomarkers of clinical outcome in sepsis and trauma: A pilot study","BIOMEDICINE & PHARMACOTHERAPY",0753-3322,A2,,,2020
