nome,lattes_url,ano_publicacao,titulo_publicacao,periodico,issn,qualis,pontos,area,ano_base
"Paloma Helena Fernandes Shimabukuro",http://lattes.cnpq.br/3508138338414003,2024,"A questionnaire survey of the Brazilian dipterological research Community","ZOOLOGIA",1984-4689,B1,,,2020
"Paloma Helena Fernandes Shimabukuro",http://lattes.cnpq.br/3508138338414003,2023,"DNA barcoding of sand flies (Diptera, Psychodidae, Phlebotominae) from the western Brazilian Amazon","PLOS ONE",1932-6203,A1,,,2020
"Paloma Helena Fernandes Shimabukuro",http://lattes.cnpq.br/3508138338414003,2023,"Molecular and morphometric study of              <scp>Brazilian</scp>              populations of              <scp>                Psychodopygus davisi</i>              </scp>","MEDICAL AND VETERINARY ENTOMOLOGY",0269-283X,A1,,,2020
"Paloma Helena Fernandes Shimabukuro",http://lattes.cnpq.br/3508138338414003,2023,"The SISBIOTA-Diptera Brazilian Network: A long-term survey of Diptera from unexplored Brazilian Western Arc of Amazon, Cerrado, and Pantanal","REVISTA BRASILEIRA DE ENTOMOLOGIA (IMPRESSO)",1806-9665,A4,,,2020
"Paloma Helena Fernandes Shimabukuro",http://lattes.cnpq.br/3508138338414003,2023,"Biodiversity data supports research on human infectious diseases: Global trends, challenges, and opportunities","ONE HEALTH",2352-7714,A1,,,2020
"Paloma Helena Fernandes Shimabukuro",http://lattes.cnpq.br/3508138338414003,2022,"Occurrence records and metadata for sand flies (Diptera, Psychodidae, Phlebotominae) collected in the lands of indigenous people in the Brazilian Amazon","GIGABYTE",2709-4715,C,,,2020
"Paloma Helena Fernandes Shimabukuro",http://lattes.cnpq.br/3508138338414003,2022,"Sand fly (Diptera: Psychodidae: Phlebotominae) records in Acre, Brazil: a dataset","GIGABYTE",2709-4715,C,,,2020
"Paloma Helena Fernandes Shimabukuro",http://lattes.cnpq.br/3508138338414003,2022,"Online catalogue of the Coleção de Flebotomíneos (FIOCRUZ/COLFLEB), a biological collection of American sand flies (Diptera: Psychodidae, Phlebotominae) held at Fiocruz Minas, Brazil","GIGABYTE",2709-4715,C,,,2020
"Paloma Helena Fernandes Shimabukuro",http://lattes.cnpq.br/3508138338414003,2022,"Description of the female and redescription of the male of Sciopemyia sordellii (Shannon & Del Ponte, 1927), including the description of four new species of the genus Sciopemyia Barretto, 1962 (Diptera: Psychodidae: Phlebotominae) from Brazil","ZOOTAXA (ONLINE)",1175-5334,A4,,,2020
"Paloma Helena Fernandes Shimabukuro",http://lattes.cnpq.br/3508138338414003,2022,"<scp>                Sciopemyia sordellii</i>              </scp>              in the Neotropical region: distribution, biology, and ecology","MEDICAL AND VETERINARY ENTOMOLOGY",0269-283X,A1,,,2020
"Paloma Helena Fernandes Shimabukuro",http://lattes.cnpq.br/3508138338414003,2022,"Phlebotomine Fauna (Diptera: Psychodidae) and Infection by Leishmania spp. in Forest Fragments of a University Campus, Western Amazon","JOURNAL OF MEDICAL ENTOMOLOGY",0022-2585,A1,,,2020
"Paloma Helena Fernandes Shimabukuro",http://lattes.cnpq.br/3508138338414003,2022,"Publishing data to support the fight against human vector-borne diseases","GIGASCIENCE",2047-217X,A1,,,2020
"Paloma Helena Fernandes Shimabukuro",http://lattes.cnpq.br/3508138338414003,2021,"Identification of Bloodmeals from Sand Flies (Diptera: Psychodidae) Collected in the Parque Nacional do Viruá, State of Roraima, Brazil","JOURNAL OF MEDICAL ENTOMOLOGY",0022-2585,A1,,,2020
"Paloma Helena Fernandes Shimabukuro",http://lattes.cnpq.br/3508138338414003,2021,"Large-scale Degradation of the Tocantins-Araguaia River Basin","ENVIRONMENTAL MANAGEMENT",0364-152X,A2,,,2020
