nome,lattes_url,ano_publicacao,titulo_publicacao,periodico,issn,qualis,pontos,area,ano_base
"Paulo Filemon Paolucci Pimenta",http://lattes.cnpq.br/4592140991723664,2023,"Vector Competence for Zika Virus Changes Depending on the Aedes aegypti?s Region of Origin in Manaus: A Study of an Endemic Brazilian Amazonian City","VIRUSES-BASEL",1999-4915,A2,,,2020
"Paulo Filemon Paolucci Pimenta",http://lattes.cnpq.br/4592140991723664,2023,"Rosette formation by Plasmodium vivax gametocytes favors the infection in Anopheles aquasalis","FRONTIERS IN CELLULAR AND INFECTION MICROBIOLOGY",2235-2988,A2,,,2020
"Paulo Filemon Paolucci Pimenta",http://lattes.cnpq.br/4592140991723664,2023,"Evolution and assembly of Anopheles aquasalis</i> 's immune genes: primary malaria vector of coastal Central and South America and the Caribbean Islands","OPEN BIOLOGY",2046-2441,A2,,,2020
"Paulo Filemon Paolucci Pimenta",http://lattes.cnpq.br/4592140991723664,2023,"The larval midgut of Anopheles, Aedes, and Toxorhynchites mosquitoes (Diptera, Culicidae): a comparative approach in morphophysiology and evolution","CELL AND TISSUE RESEARCH",0302-766X,A1,,,2020
"Paulo Filemon Paolucci Pimenta",http://lattes.cnpq.br/4592140991723664,2023,"Effect of fluralaner on the biology, survival, and reproductive fitness of the neotropical malaria vector Anopheles aquasalis","MALARIA JOURNAL",1475-2875,A2,,,2020
"Paulo Filemon Paolucci Pimenta",http://lattes.cnpq.br/4592140991723664,2022,"Extract from cladode delays the larval development by inducing an axenic midgut environment","ARCHIVES OF INSECT BIOCHEMISTRY AND PHYSIOLOGY",0739-4462,A3,,,2020
"Paulo Filemon Paolucci Pimenta",http://lattes.cnpq.br/4592140991723664,2022,"Corrigendum to: Morphological Characterization of the Antennal Sensilla of the Afrotropical Sand Fly, (Diptera: Psychodidae)","JOURNAL OF MEDICAL ENTOMOLOGY",0022-2585,A1,,,2020
"Paulo Filemon Paolucci Pimenta",http://lattes.cnpq.br/4592140991723664,2022,"The influence of culture-dependent native microbiota in Zika virus infection in Aedes aegypti","PARASITES & VECTORS",1756-3305,A2,,,2020
"Paulo Filemon Paolucci Pimenta",http://lattes.cnpq.br/4592140991723664,2022,"Dengue Infection Susceptibility of Five Aedes aegypti Populations from Manaus (Brazil) after Challenge with Virus Serotypes 1-4","VIRUSES-BASEL",1999-4915,A2,,,2020
"Paulo Filemon Paolucci Pimenta",http://lattes.cnpq.br/4592140991723664,2022,"Natural vertical cotransmission of Dengue virus and Chikungunya virus from Aedes aegypti in Brumado, Bahia, Brazil","SOCIEDADE BRASILEIRA DE MEDICINA TROPICAL. REVISTA",1678-9849,B1,,,2020
"Paulo Filemon Paolucci Pimenta",http://lattes.cnpq.br/4592140991723664,2022,"Sexual Dimorphism in Immune Responses and Infection Resistance in Aedes aegypti and Other Hematophagous Insect Vectors","FRONTIERS IN TROPICAL DISEASES",2673-7515,N,,,
"Paulo Filemon Paolucci Pimenta",http://lattes.cnpq.br/4592140991723664,2021,"Simultaneous circulation of zakat, dengue, and chikungunya viruses and their vertical co-transmission among Aedes aegypti","ACTA TROPICA",0001-706X,A2,,,2020
"Paulo Filemon Paolucci Pimenta",http://lattes.cnpq.br/4592140991723664,2021,"Brazilian Aedes aegypti</i> as a Competent Vector for Multiple Complex Arboviral Coinfections","JOURNAL OF INFECTIOUS DISEASES",0022-1899,A1,,,2020
"Paulo Filemon Paolucci Pimenta",http://lattes.cnpq.br/4592140991723664,2021,"Plasmodium vivax Gametocytes Adherence to Bone Marrow Endothelial Cells","FRONTIERS IN CELLULAR AND INFECTION MICROBIOLOGY",2235-2988,A2,,,2020
"Paulo Filemon Paolucci Pimenta",http://lattes.cnpq.br/4592140991723664,2021,"Microanatomical and secretory characterization of the salivary gland of the Rhodnius prolixus</i> (Hemiptera, Reduviidae, Triatominae), a main vector of Chagas disease","OPEN BIOLOGY",2046-2441,A2,,,2020
"Paulo Filemon Paolucci Pimenta",http://lattes.cnpq.br/4592140991723664,2021,"Dengue and Zika virus infection patterns vary among Aedes aegypti field populations from Belo Horizonte, a Brazilian endemic city","PLOS NEGLECTED TROPICAL DISEASES",1935-2735,A1,,,2020
"Paulo Filemon Paolucci Pimenta",http://lattes.cnpq.br/4592140991723664,2021,"Phenotypic traits of individuals in a long-term colony of Anopheles (Nyssorhynchus) aquasalis (Diptera: Culicidae) show variable susceptibility to Plasmodium and suggest cryptic speciation","ACTA TROPICA",0001-706X,A2,,,2020
"Paulo Filemon Paolucci Pimenta",http://lattes.cnpq.br/4592140991723664,2020,"Anopheles control is considerably more complicated than Aedes control","SOCIEDADE BRASILEIRA DE MEDICINA TROPICAL. REVISTA",1678-9849,B1,,,2020
"Paulo Filemon Paolucci Pimenta",http://lattes.cnpq.br/4592140991723664,2020,"Exploring Lutzomyia longipalpis sand flies vector competence to Leishmania major parasites","JOURNAL OF INFECTIOUS DISEASES",0022-1899,A1,,,2020
