nome,lattes_url,ano_publicacao,titulo_publicacao,periodico,issn,qualis,pontos,area,ano_base
"Paulo Marcos Zech Coelho",http://lattes.cnpq.br/6831626214829585,2024,"Prevalence of helmintic infections in Brazilian Maxakali indigenous: a repeated cross-sectional design","INTERNATIONAL JOURNAL FOR EQUITY IN HEALTH",1475-9276,A2,,,2020
"Paulo Marcos Zech Coelho",http://lattes.cnpq.br/6831626214829585,2023,"Accuracy of the urine point-of-care circulating cathodic antigen assay for diagnosing Schistosomiasis mansoni infection in Brazil: A multicenter study","SOCIEDADE BRASILEIRA DE MEDICINA TROPICAL. REVISTA",1678-9849,B1,,,2020
"Paulo Marcos Zech Coelho",http://lattes.cnpq.br/6831626214829585,2023,"Emetic Tartar-Loaded Liposomes as a New Strategy for Leishmaniasis Treatment","PHARMACEUTICS",1999-4923,A1,,,2020
"Paulo Marcos Zech Coelho",http://lattes.cnpq.br/6831626214829585,2023,"Evaluation of isotype-based serology for diagnosis of Schistosoma mansoni infection in individuals living in endemic areas with low parasite burden","ACTA TROPICA",0001-706X,A2,,,2020
"Paulo Marcos Zech Coelho",http://lattes.cnpq.br/6831626214829585,2022,"Reliability of point-of-care circulating cathodic antigen assay for diagnosing schistosomiasis mansoni in urine samples from an endemic area of Brazil after one year of storage at -20 degrees Celsius","REVISTA DA SOCIEDADE BRASILEIRA DE MEDICINA TROPICAL",0037-8682,B1,,,2020
"Paulo Marcos Zech Coelho",http://lattes.cnpq.br/6831626214829585,2021,"Potato apyrase reduces granulomatous area and increases presence of multinucleated giant cells in murine schistosomiasis","PARASITOLOGY INTERNATIONAL",1383-5769,A3,,,2020
"Paulo Marcos Zech Coelho",http://lattes.cnpq.br/6831626214829585,2021,"Low specificity of point-of-care circulating cathodic antigen (POC CCA) diagnostic test in a non-endemic area for schistosomiasis mansoni in Brazil","ACTA TROPICA",0001-706X,A2,,,2020
"Paulo Marcos Zech Coelho",http://lattes.cnpq.br/6831626214829585,2020,"The effect of maternal Strongyloides venezuelensis infection on mice offspring susceptibility and immune response","VETERINARY PARASITOLOGY",0304-4017,A1,,,2020
"Paulo Marcos Zech Coelho",http://lattes.cnpq.br/6831626214829585,2020,"Schistosoma mansoni granulomas in the skeletal striated muscles in the murine model of neuroschistosomiasis: histological findings","MEMORIAS DO INSTITUTO OSWALDO CRUZ",0074-0276,A4,,,2020
"Paulo Marcos Zech Coelho",http://lattes.cnpq.br/6831626214829585,2020,"Accuracy of real-time polymerase chain reaction to detect Schistosoma mansoni -</i> infected individuals from an endemic area with low parasite loads","PARASITOLOGY",0031-1820,A1,,,2020
"Paulo Marcos Zech Coelho",http://lattes.cnpq.br/6831626214829585,2020,"Deep sequencing of small RNAs reveals the repertoire of miRNAs and piRNAs in Biomphalaria glabrata","MEMÓRIAS DO INSTITUTO OSWALDO CRUZ",1678-8060,A4,,,2020
"Paulo Marcos Zech Coelho",http://lattes.cnpq.br/6831626214829585,2019,"Serological proteomic screening and evaluation of a recombinant egg antigen for the diagnosis of low-intensity Schistosoma mansoni infections in endemic area in Brazil","PLOS NEGLECTED TROPICAL DISEASES",1935-2735,A1,,,2020
"Paulo Marcos Zech Coelho",http://lattes.cnpq.br/6831626214829585,2019,"IgE antibodies from schistosomiasis patients to recognize epitopes in potato apyrase","SOCIEDADE BRASILEIRA DE MEDICINA TROPICAL. REVISTA",1678-9849,B1,,,2020
"Paulo Marcos Zech Coelho",http://lattes.cnpq.br/6831626214829585,2019,"Diagnosis of Schistosoma mansoni infections: what are the choices in Brazilian low-endemic areas?","MEMÓRIAS DO INSTITUTO OSWALDO CRUZ",1678-8060,A4,,,2020
"Paulo Marcos Zech Coelho",http://lattes.cnpq.br/6831626214829585,2019,"Suitability of commercially available POC-CCA tests for schistosomiasis: Considerations for efficiency, reproducibility and decision making criteria for field application in areas of low endemicity","JOURNAL OF IMMUNOLOGICAL METHODS",0022-1759,B2,,,2020
"Paulo Marcos Zech Coelho",http://lattes.cnpq.br/6831626214829585,2019,"Characterisation of ocular involvement in an experimental model of neuroschistosomiasis mansoni","MEMORIAS DO INSTITUTO OSWALDO CRUZ",0074-0276,A4,,,2020
"Paulo Marcos Zech Coelho",http://lattes.cnpq.br/6831626214829585,2019,"Differential responses of epithelial cells from urinary and biliary tract to eggs of Schistosoma haematobium and S. mansoni","SCIENTIFIC REPORTS",2045-2322,A1,,,2020
"Paulo Marcos Zech Coelho",http://lattes.cnpq.br/6831626214829585,2019,"Genome-wide identification, characterisation and expression profiling of the ubiquitin-proteasome genes in Biomphalaria glabrata","MEMÓRIAS DO INSTITUTO OSWALDO CRUZ",1678-8060,A4,,,2020
"Paulo Marcos Zech Coelho",http://lattes.cnpq.br/6831626214829585,2019,"The alkylaminoalkanethiosulfuric acids exhibit in-vitro</i> antileishmanial activity against Leishmania (Viannia) braziliensis</i> : a new perspective for use of these schistosomicidal agents","JOURNAL OF PHARMACY AND PHARMACOLOGY",0022-3573,A3,,,2020
"Paulo Marcos Zech Coelho",http://lattes.cnpq.br/6831626214829585,2019,"Development of a natural molluscicide prototype kit (MoluSchall) for the control of schistosomiasis mansoni transmission","SOCIEDADE BRASILEIRA DE MEDICINA TROPICAL. REVISTA",1678-9849,B1,,,2020
"Paulo Marcos Zech Coelho",http://lattes.cnpq.br/6831626214829585,2019,"Transmission control of schistosomiasis mansoni in a low endemicity area through a single intervention with rigorous prospection of infected cases treated with praziquantel: evaluation after 7 years of intervention","REVISTA DO INSTITUTO DE MEDICINA TROPICAL DE SÃO PAULO",1678-9946,B1,,,2020
"Paulo Marcos Zech Coelho",http://lattes.cnpq.br/6831626214829585,2018,"Innovative methodology for point-of-care circulating cathodic antigen with rapid urine concentration for use in the field for detecting low Schistosoma mansoni infection and for control of cure with high accuracy","TRANSACTIONS OF THE ROYAL SOCIETY OF TROPICAL MEDICINE AND HYGIENE",0035-9203,A3,,,2020
"Paulo Marcos Zech Coelho",http://lattes.cnpq.br/6831626214829585,2018,"Evaluation of diagnostic methods for the detection of intestinal schistosomiasis in endemic areas with low parasite loads: Saline gradient, Helmintex, Kato-Katz and rapid urine test","PLOS NEGLECTED TROPICAL DISEASES",1935-2735,A1,,,2020
"Paulo Marcos Zech Coelho",http://lattes.cnpq.br/6831626214829585,2018,"Development of a laboratorial platform for diagnosis of schistosomiasis mansoni by PCR-ELISA","BMC RESEARCH NOTES",1756-0500,B1,,,2020
"Paulo Marcos Zech Coelho",http://lattes.cnpq.br/6831626214829585,2018,"Identification of 170 New Long Noncoding RNAs in Schistosoma mansoni</i>","BIOMED RESEARCH INTERNATIONAL",2314-6133,A3,,,2020
