nome,lattes_url,ano_publicacao,titulo_publicacao,periodico,issn,qualis,pontos,area,ano_base
"Pedro Augusto Alves",http://lattes.cnpq.br/6935282825820547,2024,"Yellow fever virus infection in human hepatocyte cells triggers an imbalance in redox homeostasis with increased reactive oxygen species production, oxidative stress, and decreased antioxidant enzymes","FREE RADICAL BIOLOGY AND MEDICINE",0891-5849,A1,,,2020
"Pedro Augusto Alves",http://lattes.cnpq.br/6935282825820547,2023,"Serum soluble mediators as prognostic biomarkers for morbidity, disease outcome, and late-relapsing hepatitis in yellow fever patients","CLINICAL IMMUNOLOGY",1521-6616,A3,,,2020
"Pedro Augusto Alves",http://lattes.cnpq.br/6935282825820547,2023,"Characterization and investigation of risk factors for Late-relapsing hepatitis after yellow fever","CLINICAL INFECTIOUS DISEASES",1058-4838,A1,,,2020
"Pedro Augusto Alves",http://lattes.cnpq.br/6935282825820547,2023,"Comparison of diagnostic performance of RT-qPCR, RT-LAMP and IgM/IgG rapid tests for detection of SARS-CoV-2 among healthcare workers in Brazil","JOURNAL OF INFECTION AND PUBLIC HEALTH",1876-0341,A3,,,2020
"Pedro Augusto Alves",http://lattes.cnpq.br/6935282825820547,2023,"Organotypic hippocampal culture model reveals differential responses to highly similar Zika virus isolates","JOURNAL OF NEUROINFLAMMATION",1742-2094,A1,,,2020
"Pedro Augusto Alves",http://lattes.cnpq.br/6935282825820547,2023,"Longitudinal study of humoral immunity against SARS-CoV-2 of health professionals in Brazil: the impact of booster dose and reinfection on antibody dynamics","FRONTIERS IN IMMUNOLOGY",1664-3224,A2,,,2020
"Pedro Augusto Alves",http://lattes.cnpq.br/6935282825820547,2022,"Absence of yellow fever virus circulation in wildlife rodents from Brazil","BRAZILIAN JOURNAL OF MICROBIOLOGY",1517-8382,A2,,,2020
"Pedro Augusto Alves",http://lattes.cnpq.br/6935282825820547,2022,"Immunogenicity, Effectiveness, and Safety of Inactivated Virus (CoronaVac) Vaccine in a Two-Dose Primary Protocol and BNT162b2 Heterologous Booster in Brazil (Immunita-001): A One Year Period Follow Up Phase 4 Study","FRONTIERS IN IMMUNOLOGY",1664-3224,A2,,,2020
"Pedro Augusto Alves",http://lattes.cnpq.br/6935282825820547,2022,"Molecular detection of omicron SARS-CoV-2 variant is achieved by RT-LAMP despite genomic mutations","MEMORIAS DO INSTITUTO OSWALDO CRUZ",0074-0276,A4,,,2020
"Pedro Augusto Alves",http://lattes.cnpq.br/6935282825820547,2022,"Booster dose of BNT162b2 after two doses of CoronaVac improves neutralization of SARS-CoV-2 Omicron variant","COMMUNICATIONS MEDICINE",2730-664X,N,,,
