nome,lattes_url,ano_publicacao,titulo_publicacao,periodico,issn,qualis,pontos,area,ano_base
"Rafaella Fortini Grenfell e Queiroz",http://lattes.cnpq.br/5508945613911003,2023,"Rapid antigen test as a tool for the identification of SARS-CoV-2 infection and its potential as a self-testing device","SOCIEDADE BRASILEIRA DE MEDICINA TROPICAL. REVISTA",1678-9849,B1,,,2020
"Rafaella Fortini Grenfell e Queiroz",http://lattes.cnpq.br/5508945613911003,2023,"COVID-19 in patients with chronic kidney disease: a 2-year study of incidence and mortality in relation to the variants of concern waves in Brazil","TRANSACTIONS OF THE ROYAL SOCIETY OF TROPICAL MEDICINE AND HYGIENE",0035-9203,A3,,,2020
"Rafaella Fortini Grenfell e Queiroz",http://lattes.cnpq.br/5508945613911003,2023,"Antibody response and soluble mediator profile in the first six months following acute SARS-CoV-2 infection","SCIENTIFIC REPORTS",2045-2322,A1,,,2020
"Rafaella Fortini Grenfell e Queiroz",http://lattes.cnpq.br/5508945613911003,2023,"Pathological Response and Gene Expression in Rectal Cancer Neoadjuvant Therapy","SCIBASE ONCOLOGY",1027-1005,N,,,
"Rafaella Fortini Grenfell e Queiroz",http://lattes.cnpq.br/5508945613911003,2023,"Variant-dependent oxidative and cytokine responses of human neutrophils to SARS-CoV-2 spike protein and anti-spike IgG1 antibodies","FRONTIERS IN IMMUNOLOGY",1664-3224,A2,,,2020
"Rafaella Fortini Grenfell e Queiroz",http://lattes.cnpq.br/5508945613911003,2022,"Diagnostic and therapeutic biomarkers in colorectal cancer: a review","AM J CANCER RES",3526-1794,N,,,
"Rafaella Fortini Grenfell e Queiroz",http://lattes.cnpq.br/5508945613911003,2022,"Tetraspanin co029 expression as a tumor biomarker for monoclonal antibodies preparation: antigenic assessment in colorectal cancer cells","BRAZILIAN JOURNAL OF ONCOLOGY",2526-8732,C,,,2020
"Rafaella Fortini Grenfell e Queiroz",http://lattes.cnpq.br/5508945613911003,2022,"Anti-mitochondrial Tryparedoxin Peroxidase Monoclonal Antibody-Based Immunohistochemistry for Diagnosis of Cutaneous Leishmaniasis","FRONTIERS IN MICROBIOLOGY",1664-302X,A2,,,2020
"Rafaella Fortini Grenfell e Queiroz",http://lattes.cnpq.br/5508945613911003,2022,"COVID-19 Rapid Antigen Test at Hospital Admission Associated to the Knowledge of Individual Risk Factors Allow Overcoming the Difficulty of Managing Suspected Patients in Hospitals","FORTUNE JOURNAL OF HEALTH SCIENCES",2644-2906,N,,,
"Rafaella Fortini Grenfell e Queiroz",http://lattes.cnpq.br/5508945613911003,2022,"Long COVID-19 syndrome: a 14-months longitudinal study during the two first epidemic peaks in Southeast Brazil","TRANSACTIONS OF THE ROYAL SOCIETY OF TROPICAL MEDICINE AND HYGIENE",0035-9203,A3,,,2020
