nome,lattes_url,ano_publicacao,titulo_publicacao,periodico,issn,qualis,pontos,area,ano_base
"Ricardo Tostes Gazzinelli",http://lattes.cnpq.br/9148354106985023,2023,"Differential requirement of neutralizing antibodies and T cells on protective immunity to SARS-CoV-2 variants of concern","NPJ VACCINES",2059-0105,A1,,,2020
"Ricardo Tostes Gazzinelli",http://lattes.cnpq.br/9148354106985023,2023,"ASP-2/Trans-sialidase chimeric protein induces robust protective immunity in experimental models of Chagas? disease","NPJ VACCINES",2059-0105,A1,,,2020
"Ricardo Tostes Gazzinelli",http://lattes.cnpq.br/9148354106985023,2023,"Transmission-blocking activity of antimalarials for Plasmodium vivax malaria in Anopheles darlingi","PLOS NEGLECTED TROPICAL DISEASES",1935-2735,A1,,,2020
"Ricardo Tostes Gazzinelli",http://lattes.cnpq.br/9148354106985023,2023,"Adenosine pathway regulates inflammation during Plasmodium vivax infection","FRONTIERS IN IMMUNOLOGY",1664-3224,A2,,,2020
"Ricardo Tostes Gazzinelli",http://lattes.cnpq.br/9148354106985023,2023,"Quality attributes of CTVad1, a nanoemulsified adjuvant for phase I clinical trial of SpiN COVID-19 vaccine","NANOMEDICINE",1743-5889,A1,,,2020
"Ricardo Tostes Gazzinelli",http://lattes.cnpq.br/9148354106985023,2023,"SARS-CoV-2 Rapid Antigen Test Based on a New Anti-Nucleocapsid Protein Monoclonal Antibody: Development and Real-Time Validation","MICROORGANISMS",2076-2607,A3,,,2020
"Ricardo Tostes Gazzinelli",http://lattes.cnpq.br/9148354106985023,2022,"Previous Infection with SARS-CoV-2 Correlates with Increased Protective Humoral Responses after a Single Dose of an Inactivated COVID-19 Vaccine","VIRUSES-BASEL",1999-4915,A2,,,2020
"Ricardo Tostes Gazzinelli",http://lattes.cnpq.br/9148354106985023,2022,"Disruption of Active Trans-Sialidase Genes Impairs Egress from Mammalian Host Cells and Generates Highly Attenuated Trypanosoma cruzi Parasites","MBIO",2150-7511,A1,,,2020
"Ricardo Tostes Gazzinelli",http://lattes.cnpq.br/9148354106985023,2022,"Why do we still have not a vaccine against Chagas disease?","MEMÓRIAS DO INSTITUTO OSWALDO CRUZ",1678-8060,A4,,,2020
"Ricardo Tostes Gazzinelli",http://lattes.cnpq.br/9148354106985023,2022,"CoronaVac and ChAdOx1 Vaccination and Gamma Infection Elicited Neutralizing Antibodies against the SARS-CoV-2 Delta Variant","VIRUSES-BASEL",1999-4915,A2,,,2020
"Ricardo Tostes Gazzinelli",http://lattes.cnpq.br/9148354106985023,2022,"Automatic detection of the parasite Trypanosoma cruzi</i> in blood smears using a machine learning approach applied to mobile phone images","PEERJ",2167-8359,A2,,,2020
"Ricardo Tostes Gazzinelli",http://lattes.cnpq.br/9148354106985023,2022,"Promotion of neutralizing antibody-independent immunity to wild-type and SARS-CoV-2 variants of concern using an RBD-Nucleocapsid fusion protein","NATURE COMMUNICATIONS",2041-1723,A1,,,2020
"Ricardo Tostes Gazzinelli",http://lattes.cnpq.br/9148354106985023,2022,"Development and validation of an enzyme-linked immunoassay kit for diagnosis and surveillance of COVID-19","JOURNAL OF CLINICAL VIROLOGY PLUS",2667-0380,N,,,
"Ricardo Tostes Gazzinelli",http://lattes.cnpq.br/9148354106985023,2022,"Uptake of Plasmodium chabaudi hemozoin drives Kupffer cell death and fuels superinfections","SCIENTIFIC REPORTS",2045-2322,A1,,,2020
"Ricardo Tostes Gazzinelli",http://lattes.cnpq.br/9148354106985023,2022,"Gluconeogenesis: Adding a new piece to the puzzle of malaria parasitism","CELL METABOLISM",1550-4131,A1,,,2020
"Ricardo Tostes Gazzinelli",http://lattes.cnpq.br/9148354106985023,2022,"The IRAK4 scaffold integrates TLR4-driven TRIF and MYD88 signaling pathways","CELL REPORTS",2211-1247,A1,,,2020
"Ricardo Tostes Gazzinelli",http://lattes.cnpq.br/9148354106985023,2022,"Malaria Resilience in South America: Epidemiology, Vector Biology, and Immunology Insights from the Amazonian International Center of Excellence in Malaria Research Network in Peru and Brazil","AMERICAN JOURNAL OF TROPICAL MEDICINE AND HYGIENE",0002-9637,A3,,,2020
"Ricardo Tostes Gazzinelli",http://lattes.cnpq.br/9148354106985023,2021,"γδ T cells suppress Plasmodium falciparum blood-stage infection by direct killing and phagocytosis","NATURE IMMUNOLOGY",1529-2908,A1,,,2020
"Ricardo Tostes Gazzinelli",http://lattes.cnpq.br/9148354106985023,2021,"Improved Performance of ELISA and Immunochromatographic Tests Using a New Chimeric A2-Based Protein for Human Visceral Leishmaniasis Diagnosis","JOURNAL OF IMMUNOLOGY RESEARCH",2314-7156,A3,,,2020
"Ricardo Tostes Gazzinelli",http://lattes.cnpq.br/9148354106985023,2021,"IFNs Reset the Differential Capacity of Human Monocyte Subsets to Produce IL-12 in Response to Microbial Stimulation","JOURNAL OF IMMUNOLOGY",0022-1767,A1,,,2020
"Ricardo Tostes Gazzinelli",http://lattes.cnpq.br/9148354106985023,2021,"Rapamycin Improves the Response of Effector and Memory CD8+ T Cells Induced by Immunization With ASP2 of Trypanosoma cruzi","FRONTIERS IN CELLULAR AND INFECTION MICROBIOLOGY",2235-2988,A2,,,2020
"Ricardo Tostes Gazzinelli",http://lattes.cnpq.br/9148354106985023,2021,"Disrupted Iron Metabolism and Mortality during Co-infection with Malaria and an Intestinal Gram-Negative Extracellular Pathogen","CELL REPORTS",2211-1247,A1,,,2020
"Ricardo Tostes Gazzinelli",http://lattes.cnpq.br/9148354106985023,2021,"Plasmodium vivax Infection Alters Mitochondrial Metabolism in Human Monocytes","MBIO",2150-7511,A1,,,2020
"Ricardo Tostes Gazzinelli",http://lattes.cnpq.br/9148354106985023,2021,"Toxoplasma gondii-Induced Neutrophil Extracellular Traps Amplify the Innate and Adaptive Response","MBIO",2150-7511,A1,,,2020
"Ricardo Tostes Gazzinelli",http://lattes.cnpq.br/9148354106985023,2021,"α-Gal immunization positively impacts Trypanosoma cruzi colonization of heart tissue in a mouse model","PLOS NEGLECTED TROPICAL DISEASES",1935-2735,A1,,,2020
"Ricardo Tostes Gazzinelli",http://lattes.cnpq.br/9148354106985023,2021,"Asymptomatic Plasmodium vivax malaria in the Brazilian Amazon: Submicroscopic parasitemic blood infects Nyssorhynchus darlingi","PLOS NEGLECTED TROPICAL DISEASES",1935-2735,A1,,,2020
"Ricardo Tostes Gazzinelli",http://lattes.cnpq.br/9148354106985023,2021,"Protective Immunity against Gamma and Zeta Variants after Inactivated SARS-CoV-2 Virus Immunization","VIRUSES-BASEL",1999-4915,A2,,,2020
"Ricardo Tostes Gazzinelli",http://lattes.cnpq.br/9148354106985023,2021,"Correction: CXCR3 chemokine receptor contributes to specific CD8+ T cell activation by pDC during infection with intracellular pathogens","PLOS NEGLECTED TROPICAL DISEASES",1935-2735,A1,,,2020
"Ricardo Tostes Gazzinelli",http://lattes.cnpq.br/9148354106985023,2020,"Periodic Parasites and Daily Host Rhythms","CELL HOST & MICROBE",1931-3128,A1,,,2020
"Ricardo Tostes Gazzinelli",http://lattes.cnpq.br/9148354106985023,2020,"Circulating inflammatory mediators as biomarkers of ocular toxoplasmosis in acute and in chronic infection","JOURNAL OF LEUKOCYTE BIOLOGY",0741-5400,A2,,,2020
"Ricardo Tostes Gazzinelli",http://lattes.cnpq.br/9148354106985023,2020,"Gene expression network analyses during infection with virulent and avirulent Trypanosoma cruzi strains unveil a role for fibroblasts in neutrophil recruitment and activation","PLOS PATHOGENS",1553-7374,A1,,,2020
"Ricardo Tostes Gazzinelli",http://lattes.cnpq.br/9148354106985023,2020,"Caspase-8 mediates inflammation and disease in rodent malaria","NATURE COMMUNICATIONS",2041-1723,A1,,,2020
