nome,lattes_url,ano_publicacao,titulo_publicacao,periodico,issn,qualis,pontos,area,ano_base
"Rita de Cássia Moreira de Souza",http://lattes.cnpq.br/2586445059585013,2023,"Conhecimentos sobre a doença de Chagas entre escolares de dois municípios de Minas Gerais, Brasil","CADERNOS SAÚDE COLETIVA",2358-291X,B1,,,2020
"Rita de Cássia Moreira de Souza",http://lattes.cnpq.br/2586445059585013,2023,"Socio-environmental factors associated with the occurrence of triatomines (Hemiptera: Reduviidae) in an endemic municipality in northern Minas Gerais, Brazil","ZOONOSES AND PUBLIC HEALTH",1863-1959,A1,,,2020
"Rita de Cássia Moreira de Souza",http://lattes.cnpq.br/2586445059585013,2022,"Trypanosoma cruzi iron superoxide dismutases: insights from phylogenetics to chemotherapeutic target assessment","PARASITES & VECTORS",1756-3305,A2,,,2020
"Rita de Cássia Moreira de Souza",http://lattes.cnpq.br/2586445059585013,2022,"High Parasitic Loads Quantified in Sylvatic Triatoma melanica, a Chagas Disease Vector","PATHOGENS",2076-0817,A3,,,2020
"Rita de Cássia Moreira de Souza",http://lattes.cnpq.br/2586445059585013,2022,"Triatoma costalimai, a neglected vector of Trypanosoma cruzi in the Cerrado savannas of South America: A comprehensive review","CURRENT RESEARCH IN PARASITOLOGY & VECTOR-BORNE DISEASES",2667-114X,N,,,
"Rita de Cássia Moreira de Souza",http://lattes.cnpq.br/2586445059585013,2021,"Occurrence of Panstrongylus megistus (Burmeister 1835) in domiciles of an area under entomological surveillance in the Southeast Region of Brazil","REVISTA DA SOCIEDADE BRASILEIRA DE MEDICINA TROPICAL",0037-8682,B1,,,2020
"Rita de Cássia Moreira de Souza",http://lattes.cnpq.br/2586445059585013,2021,"Chagas disease in the context of the 2030 agenda: global warming and vectors","MEMORIAS DO INSTITUTO OSWALDO CRUZ",0074-0276,A4,,,2020
"Rita de Cássia Moreira de Souza",http://lattes.cnpq.br/2586445059585013,2021,"Different profiles and epidemiological scenarios: past, present and future","MEMORIAS DO INSTITUTO OSWALDO CRUZ",0074-0276,A4,,,2020
"Rita de Cássia Moreira de Souza",http://lattes.cnpq.br/2586445059585013,2021,"TriatoDex, an electronic identification key to the Triatominae (Hemiptera: Reduviidae), vectors of Chagas disease: development, description, and performance","PLOS ONE",1932-6203,A1,,,2020
"Rita de Cássia Moreira de Souza",http://lattes.cnpq.br/2586445059585013,2021,"Triatomine and Trypanosoma cruzi discrete typing units distribution in a semi-arid area of northeastern Brazil","ACTA TROPICA",0001-706X,A2,,,2020
"Rita de Cássia Moreira de Souza",http://lattes.cnpq.br/2586445059585013,2021,"Maxicircle architecture and evolutionary insights into Trypanosoma cruzi complex","PLOS NEGLECTED TROPICAL DISEASES",1935-2735,A1,,,2020
"Rita de Cássia Moreira de Souza",http://lattes.cnpq.br/2586445059585013,2021,"Coleção de Vetores de Tripanosomatídeos (Fiocruz/COLVET): diversity of Triatominae (Hemiptera: Reduviidae) and relevance for research, education, and entomological surveillance","ZOOKEYS (ONLINE)",1313-2970,A4,,,2020
"Rita de Cássia Moreira de Souza",http://lattes.cnpq.br/2586445059585013,2020,"Fast recovery of house infestation with Triatoma brasiliensis after residual insecticide spraying in a semiarid region of Northeastern Brazil","PLOS NEGLECTED TROPICAL DISEASES",1935-2735,A1,,,2020
"Rita de Cássia Moreira de Souza",http://lattes.cnpq.br/2586445059585013,2020,"Comparison of phenol-chloroform and a commercial deoxyribonucleic acid extraction kit for identification of bloodmeal sources from triatomines (Hemiptera: Reduviidae)","SOCIEDADE BRASILEIRA DE MEDICINA TROPICAL. REVISTA",1678-9849,B1,,,2020
"Rita de Cássia Moreira de Souza",http://lattes.cnpq.br/2586445059585013,2019,"Dehydration-Stress Resistance in Two Sister, Cryptic                            Species¿                            and                            Genotype I (Hemiptera: Reduviidae)","JOURNAL OF MEDICAL ENTOMOLOGY",0022-2585,A1,,,2020
"Rita de Cássia Moreira de Souza",http://lattes.cnpq.br/2586445059585013,2019,"Transcriptome-based molecular systematics: Rhodnius montenegrensis (Triatominae) and its position within the Rhodnius prolixus-Rhodnius robustus cryptic-species complex","PARASITES & VECTORS",1756-3305,A2,,,2020
"Rita de Cássia Moreira de Souza",http://lattes.cnpq.br/2586445059585013,2019,"Synanthropic triatomines (Hemiptera: Reduviidae): infestation, colonization, and natural infection by trypanosomatids in the State of Rio Grande do Norte, Brazil","SOCIEDADE BRASILEIRA DE MEDICINA TROPICAL. REVISTA",1678-9849,B1,,,2020
"Rita de Cássia Moreira de Souza",http://lattes.cnpq.br/2586445059585013,2019,"Nanopore sequencing significantly improves genome assembly of the protozoan parasite Trypanosoma cruzi","GENOME BIOLOGY AND EVOLUTION",1759-6653,A1,,,2020
"Rita de Cássia Moreira de Souza",http://lattes.cnpq.br/2586445059585013,2018,"First report of Psammolestes tertius Lent & Jurberg, 1965 (Hemiptera, Reduviidae, Triatominae) in Rio Grande do Norte state, Brazil","CHECK LIST, JOURNAL OF SPECIES LIST AND DISTRIBUTION",1809-127X,B2,,,2020
"Rita de Cássia Moreira de Souza",http://lattes.cnpq.br/2586445059585013,2018,"Triatoma brasiliensis Neiva, 1911: food sources and diversity of Trypanosoma cruzi in wild and artificial environments of the semiarid region of Ceará, northeastern Brazil","PARASITES & VECTORS",1756-3305,A2,,,2020
"Rita de Cássia Moreira de Souza",http://lattes.cnpq.br/2586445059585013,2017,"TriatoKey: a web and mobile tool for biodiversity identification of Brazilian triatomine species","DATABASE-THE JOURNAL OF BIOLOGICAL DATABASES AND CURATION",1758-0463,A1,,,2020
"Rita de Cássia Moreira de Souza",http://lattes.cnpq.br/2586445059585013,2017,"Triatoma costalimai (Hemiptera: Reduviidae) in and Around Houses of Tocantins State, Brazil, 2005-2014","JOURNAL OF MEDICAL ENTOMOLOGY",0022-2585,A1,,,2020
