nome,lattes_url,ano_publicacao,titulo_publicacao,periodico,issn,qualis,pontos,area,ano_base
"Roberta Lima Caldeira",http://lattes.cnpq.br/1735242943698067,2024,"Semperula wallacei (Mollusca, Veronicellidae) um hospedeiro natural recém-descoberto de Angiostrongylus cantonensis (Nematoda, Angiostrongylidae) na Bacia do Pacífico","JOURNAL OF HELMINTHOLOGY",0022-149X,A2,,,2020
"Roberta Lima Caldeira",http://lattes.cnpq.br/1735242943698067,2023,"An Integrative Approach for the Identification of Native and Exotic Lymnaeids from Brazil","MALACOLOGIA",0076-2997,A1,,,2020
"Roberta Lima Caldeira",http://lattes.cnpq.br/1735242943698067,2023,"First report of Biomphalaria tenagophila (d?Orbigny, 1835) (Gastropoda/Planorbidae) in Pará State, Amazon region of Brazil","EXPERIMENTAL PARASITOLOGY",0014-4894,A4,,,2020
"Roberta Lima Caldeira",http://lattes.cnpq.br/1735242943698067,2023,"DNA barcoding as a valuable tool for delimiting mollusk species of the genus Biomphalaria Preston, 1910 (Gastropoda: Planorbidae)","FRONTIERS IN CELLULAR AND INFECTION MICROBIOLOGY",2235-2988,A2,,,2020
"Roberta Lima Caldeira",http://lattes.cnpq.br/1735242943698067,2023,"Malacological survey of potentially contaminated waters at outbreaks of transmission of schistosomiasis mansoni in the city of Betim, Minas Gerais, Brazil","REVISTA DE PATOLOGIA TROPICAL (ONLINE)",1980-8178,B4,,,2020
"Roberta Lima Caldeira",http://lattes.cnpq.br/1735242943698067,2023,"Identification and characterization of microRNAs in Biomphalaria tenagophila and comparative analysis of their expression in Schistosoma mansoni-resistant and -susceptible snail populations","GENE",0378-1119,A4,,,2020
"Roberta Lima Caldeira",http://lattes.cnpq.br/1735242943698067,2023,"FioSchisto?s expert perspective on implementing WHO guidelines for schistosomiasis control and transmission elimination in Brazil","FRONTIERS IN IMMUNOLOGY",1664-3224,A2,,,2020
"Roberta Lima Caldeira",http://lattes.cnpq.br/1735242943698067,2023,"Implementation of the QR Code system in the Medical Malacology Collection of the René Rachou Institute, Oswaldo Cruz Foundation","ZOOLOGIA",1984-4689,B1,,,2020
"Roberta Lima Caldeira",http://lattes.cnpq.br/1735242943698067,2022,"Development of real-time and lateral flow recombinase polymerase amplification assays for rapid detection of Schistosoma mansoni","FRONTIERS IN MICROBIOLOGY",1664-302X,A2,,,2020
"Roberta Lima Caldeira",http://lattes.cnpq.br/1735242943698067,2022,"Assessment of the accuracy of 11 different diagnostic tests for the detection of Schistosomiasis mansoni in individuals from a Brazilian area of low endemicity using latent class analysis","FRONTIERS IN MICROBIOLOGY",1664-302X,A2,,,2020
"Roberta Lima Caldeira",http://lattes.cnpq.br/1735242943698067,2022,"Survey on Limnic Gastropods: Relationships between Human Health and Conservation","PATHOGENS",2076-0817,A3,,,2020
"Roberta Lima Caldeira",http://lattes.cnpq.br/1735242943698067,2021,"A loop-mediated isothermal amplification assay for Schistosoma mansoni detection in Biomphalaria spp. from schistosomiasis-endemic areas in Minas Gerais, Brazil","PARASITES & VECTORS",1756-3305,A2,,,2020
"Roberta Lima Caldeira",http://lattes.cnpq.br/1735242943698067,2021,"Identification of Risk Areas for Intestinal Schistosomiasis, Based on Malacological and Environmental Data and on Reported Human Cases","FRONTIERS IN MEDICINE",2296-858X,A1,,,2020
