nome,lattes_url,ano_publicacao,titulo_publicacao,periodico,issn,qualis,pontos,area,ano_base
"Rodrigo Correa de Oliveira",http://lattes.cnpq.br/8712666530716107,2023,"Deletion of MIF gene from live attenuated LdCen−/− parasites enhances protective CD4+ T cell immunity","SCIENTIFIC REPORTS",2045-2322,A1,,,2020
"Rodrigo Correa de Oliveira",http://lattes.cnpq.br/8712666530716107,2023,"A general framework to support cost-efficient fecal egg count methods and study design choices for large-scale STH deworming programs-monitoring of therapeutic drug efficacy as a case study","PLOS NEGLECTED TROPICAL DISEASES",1935-2735,A1,,,2020
"Rodrigo Correa de Oliveira",http://lattes.cnpq.br/8712666530716107,2023,"A randomized, controlled Phase 1b trial of the Sm-TSP-2 Vaccine for intestinal schistosomiasis in healthy Brazilian adults living in an endemic area","PLOS NEGLECTED TROPICAL DISEASES",1935-2735,A1,,,2020
"Rodrigo Correa de Oliveira",http://lattes.cnpq.br/8712666530716107,2022,"The role of environmental enteric dysfunction in the pathogenesis of Schistosoma mansoni-associated morbidity in school-aged children","PLOS NEGLECTED TROPICAL DISEASES",1935-2735,A1,,,2020
"Rodrigo Correa de Oliveira",http://lattes.cnpq.br/8712666530716107,2022,"Modulation of Regulatory T Cells Activity by Distinct CD80 and CD86 Interactions With CD28/CTLA-4 in Chagas Cardiomyopathy","FRONTIERS IN CARDIOVASCULAR MEDICINE",2297-055X,A3,,,2020
"Rodrigo Correa de Oliveira",http://lattes.cnpq.br/8712666530716107,2022,"The Abbott Pandemic Defense Coalition: a unique multi-sector approach adds to global pandemic preparedness efforts","INTERNATIONAL JOURNAL OF INFECTIOUS DISEASES",1201-9712,A2,,,2020
"Rodrigo Correa de Oliveira",http://lattes.cnpq.br/8712666530716107,2021,"Immunotherapy for cancer: effects of iron oxide nanoparticles on polarization of tumor-associated macrophages","NANOMEDICINE",1743-5889,A1,,,2020
"Rodrigo Correa de Oliveira",http://lattes.cnpq.br/8712666530716107,2021,"Individual responses to a single oral dose of albendazole indicate reduced efficacy against soil-transmitted helminths in an area with high drug pressure","PLOS NEGLECTED TROPICAL DISEASES",1935-2735,A1,,,2020
"Rodrigo Correa de Oliveira",http://lattes.cnpq.br/8712666530716107,2021,"CCL2 and IFN-γ serum levels as biomarkers for subclinical infection in household contacts of leprosy patients","MICROBIAL PATHOGENESIS",0882-4010,A3,,,2020
"Rodrigo Correa de Oliveira",http://lattes.cnpq.br/8712666530716107,2021,"Benznidazole Treatment: Time- and Dose-Dependence Varies with the Trypanosoma cruzi Strain","PATHOGENS",2076-0817,A3,,,2020
"Rodrigo Correa de Oliveira",http://lattes.cnpq.br/8712666530716107,2021,"Corrigendum: Kinetics of Phenotypic and Functional Changes in Mouse Models of Sponge Implants: Rational Selection to Optimize Protocols for Specific Biomolecules Screening Purposes","FRONTIERS IN BIOENGINEERING AND BIOTECHNOLOGY",2296-4185,A3,,,2020
"Rodrigo Correa de Oliveira",http://lattes.cnpq.br/8712666530716107,2020,"Hypertension Is Associated With Intestinal Microbiota Dysbiosis and Inflammation in a Brazilian Population","FRONTIERS IN PHARMACOLOGY",1663-9812,A2,,,2020
"Rodrigo Correa de Oliveira",http://lattes.cnpq.br/8712666530716107,2020,"Identifying thresholds to classify moderate-to-heavy soil-transmitted helminth intensity infections for FECPAKG2, McMaster, Mini-FLOTAC and qPCR","PLOS NEGLECTED TROPICAL DISEASES",1935-2735,A1,,,2020
"Rodrigo Correa de Oliveira",http://lattes.cnpq.br/8712666530716107,2020,"Population pharmacokinetics and biodistribution of benznidazole in mice","JOURNAL OF ANTIMICROBIAL CHEMOTHERAPY",0305-7453,A1,,,2020
