nome,lattes_url,ano_publicacao,titulo_publicacao,periodico,issn,qualis,pontos,area,ano_base
"Rodrigo Pedro Pinto Soares",http://lattes.cnpq.br/5557656124686682,2024,"The absence of eosinophils is associated with early metastatic lesions  in Leishmania amazonensis-infected mice","MEMORIAS DO INSTITUTO OSWALDO CRUZ",0074-0276,A4,,,2020
"Rodrigo Pedro Pinto Soares",http://lattes.cnpq.br/5557656124686682,2024,"Trypanosoma sp. infection in Boa constrictor snakes: morphological, hematological, clinical biochemistry, molecular, and phylogenetic characteristics","PARASITOLOGY RESEARCH",0932-0113,A1,,,2020
"Rodrigo Pedro Pinto Soares",http://lattes.cnpq.br/5557656124686682,2023,"Phenotypical differences between Leishmania (Leishmania) amazonensis PH8 and LV79 strains may impact survival in mammal host and in phlebotomine sand flies","PATHOGENS",2076-0817,A3,,,2020
"Rodrigo Pedro Pinto Soares",http://lattes.cnpq.br/5557656124686682,2023,"Increased risk of American Tegumentary Leishmaniasis (ATL) in an urban and rural area of Caratinga, Brazil between 2016-2021","AMERICAN JOURNAL OF TROPICAL MEDICINE AND HYGIENE",0002-9637,A3,,,2020
"Rodrigo Pedro Pinto Soares",http://lattes.cnpq.br/5557656124686682,2023,"First report of putative Leishmania RNA virus 2 (LRV2) in Leishmania infantum strains from canine and human visceral leishmaniasis in the Southeast of Brazil","MEMORIAS DO INSTITUTO OSWALDO CRUZ",0074-0276,A4,,,2020
"Rodrigo Pedro Pinto Soares",http://lattes.cnpq.br/5557656124686682,2023,"Guidelines for the Purification and Characterization of Extracellular Vesicles of Parasites","JOURNAL OF EXTRACELLULAR BIOLOGY",2768-2811,N,,,
"Rodrigo Pedro Pinto Soares",http://lattes.cnpq.br/5557656124686682,2023,"Extracellular vesicles released by Leishmania (Leishmania) amazonensis promastigotes with distinct virulence profile differently modulate the macrophage functions","MICROORGANISMS",2076-2607,A3,,,2020
"Rodrigo Pedro Pinto Soares",http://lattes.cnpq.br/5557656124686682,2023,"Clinical evolution of equine leishmaniasis with self-limiting cutaneous disease caused by Leishmania infantum in northeastern Brazil: A case report","VETERINARY PARASITOLOGY: REGIONAL STUDIES AND REPORTS",2405-9390,A3,,,2020
"Rodrigo Pedro Pinto Soares",http://lattes.cnpq.br/5557656124686682,2022,"Lipophosphoglycan from dermotropic New World Leishmania upregulates interleukin-32 and proinflammatory cytokines through TLR4 and NOD2 receptors","FRONTIERS IN CELLULAR AND INFECTION MICROBIOLOGY",2235-2988,A2,,,2020
"Rodrigo Pedro Pinto Soares",http://lattes.cnpq.br/5557656124686682,2022,"Leishmania enriettii visceralises in the trachea, lungs, and spleen of Cavia porcellus","MEMORIAS DO INSTITUTO OSWALDO CRUZ",0074-0276,A4,,,2020
"Rodrigo Pedro Pinto Soares",http://lattes.cnpq.br/5557656124686682,2022,"Leishmania amazonensis from distinct clinical forms/hosts has polymorphisms in Lipophosphoglycans, displays variations in immunomodulatory properties and, susceptibility to antileishmanial drugs","CELL BIOLOGY INTERNATIONAL",1065-6995,B2,,,2020
