nome,lattes_url,ano_publicacao,titulo_publicacao,periodico,issn,qualis,pontos,area,ano_base
"Roney Santos Coimbra",http://lattes.cnpq.br/3118219944250108,2023,"Vitamin B12 attenuates leukocyte inflammatory signature in COVID-19 via methyl-dependent changes in epigenetic markings","FRONTIERS IN IMMUNOLOGY",1664-3224,A2,,,2020
"Roney Santos Coimbra",http://lattes.cnpq.br/3118219944250108,2023,"The neurotoxic branch of the kynurenine pathway is highly activated in the central nervous system of patients with pneumococcal meningitis","CYTOKINE",1043-4666,A4,,,2020
"Roney Santos Coimbra",http://lattes.cnpq.br/3118219944250108,2023,"Organotypic hippocampal culture model reveals differential responses to highly similar Zika virus isolates","JOURNAL OF NEUROINFLAMMATION",1742-2094,A1,,,2020
"Roney Santos Coimbra",http://lattes.cnpq.br/3118219944250108,2023,"Neurotoxic effects of hallucinogenic drugs 25H-NBOMe and 25H-NBOH in organotypic hippocampal cultures","HELIYON",2405-8440,A4,,,2020
"Roney Santos Coimbra",http://lattes.cnpq.br/3118219944250108,2023,"Uncovering the neuroprotective effect of vitamin B12 in pneumococcal meningitis: insights into its pleiotropic mode of action at the transcriptional level","FRONTIERS IN IMMUNOLOGY",1664-3224,A2,,,2020
"Roney Santos Coimbra",http://lattes.cnpq.br/3118219944250108,2022,"Selective visuoconstructional impairment following mild COVID-19 with inflammatory and neuroimaging correlation findings","MOLECULAR PSYCHIATRY",1359-4184,A1,,,2020
"Roney Santos Coimbra",http://lattes.cnpq.br/3118219944250108,2022,"Neuroinflammation regulates the balance between hippocampal neuron death and neurogenesis in an ex vivo model of thiamine deficiency","JOURNAL OF NEUROINFLAMMATION",1742-2094,A1,,,2020
"Roney Santos Coimbra",http://lattes.cnpq.br/3118219944250108,2021,"Unveiling six potent and highly selective antileishmanial agents via the open source compound collection -Pathogen Box? against antimony-sensitive and -resistant Leishmania braziliensis","BIOMEDICINE & PHARMACOTHERAPY",0753-3322,A2,,,2020
"Roney Santos Coimbra",http://lattes.cnpq.br/3118219944250108,2021,"The Interface Between Inflammatory Mediators and MicroRNAs in Plasmodium vivax Severe Thrombocytopenia","FRONTIERS IN CELLULAR AND INFECTION MICROBIOLOGY",2235-2988,A2,,,2020
"Roney Santos Coimbra",http://lattes.cnpq.br/3118219944250108,2020,"Intestinal microbiota regulates tryptophan metabolism following oral infection with Toxoplasma gondii</i>","PARASITE IMMUNOLOGY",0141-9838,A2,,,2020
"Roney Santos Coimbra",http://lattes.cnpq.br/3118219944250108,2020,"Vitamin B12 is neuroprotective in experimental pneumococcal meningitis through modulation of hippocampal DNA methylation","JOURNAL OF NEUROINFLAMMATION",1742-2094,A1,,,2020
"Roney Santos Coimbra",http://lattes.cnpq.br/3118219944250108,2018,"Comparative Genomic Analysis of a Clinical Isolate of Klebsiella quasipneumoniae subsp. similipneumoniae, a KPC-2 and OKP-B-6 Beta-Lactamases Producer Harboring Two Drug-Resistance Plasmids from Southeast Brazil","FRONTIERS IN MICROBIOLOGY",1664-302X,A2,,,2020
"Roney Santos Coimbra",http://lattes.cnpq.br/3118219944250108,2018,"A new genosensor for meningococcal meningitis diagnosis using biological samples","JOURNAL OF SOLID STATE ELECTROCHEMISTRY",1433-0768,A3,,,2020
"Roney Santos Coimbra",http://lattes.cnpq.br/3118219944250108,2018,"Vitamin B6 Reduces Neurochemical and Long-Term Cognitive Alterations After Polymicrobial Sepsis: Involvement of the Kynurenine Pathway Modulation","MOLECULAR NEUROBIOLOGY",0893-7648,A1,,,2020
"Roney Santos Coimbra",http://lattes.cnpq.br/3118219944250108,2018,"Daily Rhythms of TNFα Expression and Food Intake Regulate Synchrony of Plasmodium Stages with the Host Circadian Cycle","CELL HOST & MICROBE",1931-3128,A1,,,2020
"Roney Santos Coimbra",http://lattes.cnpq.br/3118219944250108,2018,"Resveratrol Acts Anti-Inflammatory and Neuroprotective in an Infant Rat Model of Pneumococcal Meningitis by Modulating the Hippocampal miRNome","MOLECULAR NEUROBIOLOGY",0893-7648,A1,,,2020
"Roney Santos Coimbra",http://lattes.cnpq.br/3118219944250108,2017,"Meningitis Associated with Simultaneous Infection by Multiple Dengue Virus Serotypes in Children, Brazil","EMERGING INFECTIOUS DISEASES (ONLINE)",1080-6059,A1,,,2020
"Roney Santos Coimbra",http://lattes.cnpq.br/3118219944250108,2017,"Etiological agents of viral meningitis in children from a dengue-endemic area, Southeast region of Brazil","JOURNAL OF THE NEUROLOGICAL SCIENCES",0022-510X,A3,,,2020
"Roney Santos Coimbra",http://lattes.cnpq.br/3118219944250108,2017,"The invasive Neisseria meningitidis MenC CC103 from Brazil is characterized by an accessory gene repertoire","SCIENTIFIC REPORTS",2045-2322,A1,,,2020
"Roney Santos Coimbra",http://lattes.cnpq.br/3118219944250108,2017,"The invasive MenC cc103 lineage with penicillin reduced susceptibility persisting in Brazil","INTERNATIONAL JOURNAL OF MEDICAL MICROBIOLOGY",1438-4221,A3,,,2020
"Roney Santos Coimbra",http://lattes.cnpq.br/3118219944250108,2017,"Comparative sequence analysis reveals regulation of genes in developing schistosomula of Schistosoma mansoni exposed to host portal serum","PLOS ONE",1932-6203,A1,,,2020
"Roney Santos Coimbra",http://lattes.cnpq.br/3118219944250108,2017,"MicroRNA profiling reveals dysregulated microRNAs and their target gene regulatory networks in cemento-ossifying fibroma","JOURNAL OF ORAL PATHOLOGY & MEDICINE",0904-2512,A1,,,2020
"Roney Santos Coimbra",http://lattes.cnpq.br/3118219944250108,2017,"Whole genome sequencing of Guzerá cattle reveals genetic variants in candidate genes for production, disease resistance, and heat tolerance","MAMMALIAN GENOME",0938-8990,A4,,,2020
"Roney Santos Coimbra",http://lattes.cnpq.br/3118219944250108,2015,"Revisiting molecular serotyping of Streptococcus pneumoniae","BMC GENOMICS",1471-2164,A2,,,2020
"Roney Santos Coimbra",http://lattes.cnpq.br/3118219944250108,2015,"Comparative proteomics of cerebrospinal fluid reveals a predictive model for differential diagnosis of pneumococcal, meningococcal, and enteroviral meningitis, and novel putative therapeutic targets","BMC GENOMICS",1471-2164,A2,,,2020
"Roney Santos Coimbra",http://lattes.cnpq.br/3118219944250108,2015,"HIV-1 Tropism determines different mutation profiles in proviral DNA","PLOS ONE",1932-6203,A1,,,2020
