nome,lattes_url,ano_publicacao,titulo_publicacao,periodico,issn,qualis,pontos,area,ano_base
"Rosiane Aparecida da Silva Pereira",http://lattes.cnpq.br/6405912413079760,2023,"A review of serological tests available in Brazil for intestinal schistosomiasis diagnosis","MEMORIAS DO INSTITUTO OSWALDO CRUZ",0074-0276,A4,,,2020
"Rosiane Aparecida da Silva Pereira",http://lattes.cnpq.br/6405912413079760,2023,"Comparison of diagnostic performance of RT-qPCR, RT-LAMP and IgM/IgG rapid tests for detection of SARS-CoV-2 among healthcare workers in Brazil","JOURNAL OF INFECTION AND PUBLIC HEALTH",1876-0341,A3,,,2020
"Rosiane Aparecida da Silva Pereira",http://lattes.cnpq.br/6405912413079760,2023,"Longitudinal study of humoral immunity against SARS-CoV-2 of health professionals in Brazil: the impact of booster dose and reinfection on antibody dynamics","FRONTIERS IN IMMUNOLOGY",1664-3224,A2,,,2020
"Rosiane Aparecida da Silva Pereira",http://lattes.cnpq.br/6405912413079760,2022,"Assessment of the accuracy of 11 different diagnostic tests for the detection of Schistosomiasis mansoni in individuals from a Brazilian area of low endemicity using latent class analysis","FRONTIERS IN MICROBIOLOGY",1664-302X,A2,,,2020
"Rosiane Aparecida da Silva Pereira",http://lattes.cnpq.br/6405912413079760,2022,"SmTAL-9, a Member of the Schistosoma mansoni Tegument Allergen-Like Family, Is Important for Parasite Survival and a Putative Target for Drug/Vaccine Development","FRONTIERS IN IMMUNOLOGY",1664-3224,A2,,,2020
"Rosiane Aparecida da Silva Pereira",http://lattes.cnpq.br/6405912413079760,2022,"Serum soluble mediator waves and networks along healthy ageing","EXPERIMENTAL GERONTOLOGY",0531-5565,A3,,,2020
"Rosiane Aparecida da Silva Pereira",http://lattes.cnpq.br/6405912413079760,2019,"The Schistosoma mansoni cyclophilin A epitope 107-121 induces a protective immune response against schistosomiasis","MOLECULAR IMMUNOLOGY",0161-5890,A4,,,2020
"Rosiane Aparecida da Silva Pereira",http://lattes.cnpq.br/6405912413079760,2019,"Leishmania infantum exo-antigens: application toward serological diagnosis of visceral leishmaniasis","PARASITOLOGY RESEARCH",0932-0113,A1,,,2020
"Rosiane Aparecida da Silva Pereira",http://lattes.cnpq.br/6405912413079760,2019,"Sm16, A Immunomodulatory Protein, Fails to Elicit a Protective Immune Response and Does Not Have an Essential Role in Parasite Survival in the Definitive Host","JOURNAL OF IMMUNOLOGY RESEARCH",2314-8861,A3,,,2020
"Rosiane Aparecida da Silva Pereira",http://lattes.cnpq.br/6405912413079760,2018,"Anti-band 3 and anti-spectrin antibodies are increased in Plasmodium vivax infection and are associated with anemia","SCIENTIFIC REPORTS",2045-2322,A1,,,2020
"Rosiane Aparecida da Silva Pereira",http://lattes.cnpq.br/6405912413079760,2018,"Overexpression of eukaryotic initiation factor 5A (eIF5A) affects susceptibility to benznidazole in Trypanosoma cruzi populations","MEMÓRIAS DO INSTITUTO OSWALDO CRUZ",1678-8060,A4,,,2020
"Rosiane Aparecida da Silva Pereira",http://lattes.cnpq.br/6405912413079760,2016,"Genotyping and Descriptive Proteomics of a Potential Zoonotic Canine Strain of Giardia duodenalis, Infective to Mice","PLOS ONE",1932-6203,A1,,,2020
"Rosiane Aparecida da Silva Pereira",http://lattes.cnpq.br/6405912413079760,2015,"Comparative proteomics of cerebrospinal fluid reveals a predictive model for differential diagnosis of pneumococcal, meningococcal, and enteroviral meningitis, and novel putative therapeutic targets","BMC GENOMICS",1471-2164,A2,,,2020
"Rosiane Aparecida da Silva Pereira",http://lattes.cnpq.br/6405912413079760,2014,"Serological Screening of the Schistosoma mansoni Adult Worm Proteome","PLOS NEGLECTED TROPICAL DISEASES (ONLINE)",1935-2735,A1,,,2020
"Rosiane Aparecida da Silva Pereira",http://lattes.cnpq.br/6405912413079760,2013,"Comparative proteomic analysis of antimony-resistant and -susceptible Leishmania braziliensis and Leishmania infantum chagasi lines","MOLECULAR AND BIOCHEMICAL PARASITOLOGY",0166-6851,A4,,,2020
"Rosiane Aparecida da Silva Pereira",http://lattes.cnpq.br/6405912413079760,2011,"Development of a dual reporter system to identify regulatory cis-acting elements in untranslated regions of Trypanosoma cruzi mRNAs","PARASITOLOGY INTERNATIONAL (PRINT)",1383-5769,A3,,,2020
"Rosiane Aparecida da Silva Pereira",http://lattes.cnpq.br/6405912413079760,2011,"Identification of Schistosoma mansoni microRNAs","BMC GENOMICS",1471-2164,A2,,,2020
"Rosiane Aparecida da Silva Pereira",http://lattes.cnpq.br/6405912413079760,2011,"Identification of Schistosoma mansoni candidate antigens for diagnosis of schistosomiasis","MEMÓRIAS DO INSTITUTO OSWALDO CRUZ (IMPRESSO)",0074-0276,A4,,,2020
"Rosiane Aparecida da Silva Pereira",http://lattes.cnpq.br/6405912413079760,2009,"Membrane binding requirements for the cytolytic activity of Leishmania amazonensis leishporin","FEBS LETTERS (PRINT)",0014-5793,A2,,,2020
"Rosiane Aparecida da Silva Pereira",http://lattes.cnpq.br/6405912413079760,2006,"Control mechanisms of tubulin gene expression in Trypanosoma cruzi","INTERNATIONAL JOURNAL FOR PARASITOLOGY",0020-7519,A1,,,2020
"Rosiane Aparecida da Silva Pereira",http://lattes.cnpq.br/6405912413079760,2004,"Expression of exogenous genes in Trypanosoma cruzi : improving vectors and electroporation protocols","PARASITOLOGY RESEARCH (1987. INTERNET)",1432-1955,A1,,,2020
"Rosiane Aparecida da Silva Pereira",http://lattes.cnpq.br/6405912413079760,2002,"Trypanosoma cruzi: RNA structure and post-transcriptional control of tubulin gene expression","EXPERIMENTAL PARASITOLOGY",0014-4894,A4,,,2020
