nome,lattes_url,ano_publicacao,titulo_publicacao,periodico,issn,qualis,pontos,area,ano_base
"Rubens Lima do Monte Neto",http://lattes.cnpq.br/2817016666672297,2024,"Early metastatic lesions in dbl-GATA1 mice infected with Leishmania amazonensis.","MEMÓRIAS DO INSTITUTO OSWALDO CRUZ",1678-8060,A4,,,2020
"Rubens Lima do Monte Neto",http://lattes.cnpq.br/2817016666672297,2024,"In silico Thermodynamic Evaluation of the Effectiveness of RT-LAMP Primers for SARS-CoV-2 Variants Detection","THE OPEN COVID JOURNAL",2666-9587,N,,,
"Rubens Lima do Monte Neto",http://lattes.cnpq.br/2817016666672297,2023,"Next generation leishmanization: revisiting molecular targets for selecting genetically engineered live-attenuated Leishmania","MICROORGANISMS",2076-2607,A3,,,2020
"Rubens Lima do Monte Neto",http://lattes.cnpq.br/2817016666672297,2023,"Comparison of diagnostic performance of RT-qPCR, RT-LAMP and IgM/IgG rapid tests for detection of SARS-CoV-2 among healthcare workers in Brazil","JOURNAL OF INFECTION AND PUBLIC HEALTH",1876-0341,A3,,,2020
"Rubens Lima do Monte Neto",http://lattes.cnpq.br/2817016666672297,2023,"Organogold(III)-dithiocarbamate compounds and their coordination analogues as anti-tumor and anti-leishmanial metallodrugs","JOURNAL OF INORGANIC BIOCHEMISTRY",0162-0134,A2,,,2020
"Rubens Lima do Monte Neto",http://lattes.cnpq.br/2817016666672297,2023,"First report of putative Leishmania RNA virus 2 (LRV2) in Leishmania infantum strains from canine and human visceral leishmaniasis cases in the Southeast of Brazil","MEMÓRIAS DO INSTITUTO OSWALDO CRUZ",1678-8060,A4,,,2020
"Rubens Lima do Monte Neto",http://lattes.cnpq.br/2817016666672297,2023,"Laboratory validation of loop-mediated isothermal amplification (LAMP) assay for Limnoperna fortunei (Dunker 1857) detection","BIOLOGICAL INVASIONS",1387-3547,A1,,,2020
"Rubens Lima do Monte Neto",http://lattes.cnpq.br/2817016666672297,2022,"Simvastatin Resistance of Leishmania amazonensis Induces Sterol Remodeling and Cross-Resistance to Sterol Pathway and Serine Protease Inhibitors","MICROORGANISMS",2076-2607,A3,,,2020
"Rubens Lima do Monte Neto",http://lattes.cnpq.br/2817016666672297,2022,"Antileishmanial metallodrugs and the elucidation of new drug targets linked to post-translational modifications machinery: pitfalls and progress","MEMÓRIAS DO INSTITUTO OSWALDO CRUZ",1678-8060,A4,,,2020
"Rubens Lima do Monte Neto",http://lattes.cnpq.br/2817016666672297,2022,"Recent research brings hope for reshaping the co-evolutionary arms race against parasitic infectious diseases","DRUG DEVELOPMENT RESEARCH",1098-2299,B1,,,2020
"Rubens Lima do Monte Neto",http://lattes.cnpq.br/2817016666672297,2022,"Sex under pressure: stress facilitates Leishmania in vitro hybridization","TRENDS IN PARASITOLOGY",1471-5007,A1,,,2020
"Rubens Lima do Monte Neto",http://lattes.cnpq.br/2817016666672297,2022,"Molecular detection of omicron SARS-CoV-2 variant is achieved by RT-LAMP despite genomic mutations","MEMÓRIAS DO INSTITUTO OSWALDO CRUZ",1678-8060,A4,,,2020
"Rubens Lima do Monte Neto",http://lattes.cnpq.br/2817016666672297,2022,"Validation of a colorimetric LAMP to detect Loxosceles experimental envenomation","TOXICON",0041-0101,A4,,,2020
"Rubens Lima do Monte Neto",http://lattes.cnpq.br/2817016666672297,2022,"Exploring direct and indirect targets of current antileishmanial drugs using a novel thermal proteomics profiling approach","FRONTIERS IN CELLULAR AND INFECTION MICROBIOLOGY",2235-2988,A2,,,2020
"Rubens Lima do Monte Neto",http://lattes.cnpq.br/2817016666672297,2022,"Leishmania amazonensis from distinct clinical forms/hosts has polymorphisms in Lipophosphoglycans, displays variations in immunomodulatory properties and, susceptibility to antileishmanial drugs","CELL BIOLOGY INTERNATIONAL",1095-8355,B2,,,2020
"Rubens Lima do Monte Neto",http://lattes.cnpq.br/2817016666672297,2022,"Changes in antiparasitical activity of gold nanorods according to the chosen synthesis","EXPERIMENTAL PARASITOLOGY",0014-4894,A4,,,2020
"Rubens Lima do Monte Neto",http://lattes.cnpq.br/2817016666672297,2022,"Molecular characterization of a new SARS-CoV-2 recombinant cluster XAG identified in Brazil","FRONTIERS IN MEDICINE",2296-858X,A1,,,2020
"Rubens Lima do Monte Neto",http://lattes.cnpq.br/2817016666672297,2021,"Unveiling six potent and highly selective antileishmanial agents via the open source compound collection -Pathogen Box? against antimony-sensitive and -resistant Leishmania braziliensis","BIOMEDICINE & PHARMACOTHERAPY",0753-3322,A2,,,2020
"Rubens Lima do Monte Neto",http://lattes.cnpq.br/2817016666672297,2021,"The mutation G133D on Leishmania guyanensis AQP1 is highly destabilizing as revealed by molecular modeling and hypo-osmotic shock assay","BIOCHIMICA ET BIOPHYSICA ACTA-BIOMEMBRANES",0005-2736,A1,,,2020
"Rubens Lima do Monte Neto",http://lattes.cnpq.br/2817016666672297,2021,"Three different mutations in the DNA topoisomerase 1B in Leishmania infantum contribute to resistance to antitumor drug topotecan","PARASITES & VECTORS",1756-3305,A2,,,2020
"Rubens Lima do Monte Neto",http://lattes.cnpq.br/2817016666672297,2021,"Network-based approaches reveal potential therapeutic targets for host-directed antileishmanial therapy driving drug repurposing","MICROBIOLOGY SPECTRUM",2165-0497,A1,,,2020
"Rubens Lima do Monte Neto",http://lattes.cnpq.br/2817016666672297,2021,"Optimization and Clinical Validation of Colorimetric Reverse Transcription Loop-Mediated Isothermal Amplification, a Fast, Highly Sensitive and Specific COVID-19 Molecular Diagnostic Tool That Is Robust to Detect SARS-CoV-2 Variants of Concern","FRONTIERS IN MICROBIOLOGY",1664-302X,A2,,,2020
"Rubens Lima do Monte Neto",http://lattes.cnpq.br/2817016666672297,2020,"Therapeutic Efficacy of a Mixed Formulation of Conventional and PEGylated Liposomes Containing Meglumine Antimoniate, Combined with Allopurinol, in Dogs Naturally Infected with Leishmania infantum</i>","ANTIMICROBIAL AGENTS AND CHEMOTHERAPY",0066-4804,A1,,,2020
"Rubens Lima do Monte Neto",http://lattes.cnpq.br/2817016666672297,2020,"Preclinical gold complexes as oral drug candidates to treat leishmaniasis are potent trypanothione reductase inhibitors","ACS INFECTIOUS DISEASES",2373-8227,A1,,,2020
"Rubens Lima do Monte Neto",http://lattes.cnpq.br/2817016666672297,2020,"Of Drugs and Trypanosomatids: New Tools and Knowledge to Reduce Bottlenecks in Drug Discovery","GENES",2073-4425,A3,,,2020
"Rubens Lima do Monte Neto",http://lattes.cnpq.br/2817016666672297,2020,"Anticancer and antileishmanial in vitro activity of gold(I) complexes with 1,3,4¿oxadiazole¿2(              3H</i>              )¿thione ligands derived from δ¿D¿gluconolactone","CHEMICAL BIOLOGY & DRUG DESIGN",1747-0285,A4,,,2020
"Rubens Lima do Monte Neto",http://lattes.cnpq.br/2817016666672297,2019,"Antimony resistance in Leishmania braziliensis clinical isolates from atypical lesions associates with increased ARM56/ARM58 transcripts and reduced drug uptake","MEMÓRIAS DO INSTITUTO OSWALDO CRUZ",1678-8060,A4,,,2020
"Rubens Lima do Monte Neto",http://lattes.cnpq.br/2817016666672297,2018,"First report of the              in vitro</i>              antileishmanial properties of extremophile plants from the Algarve Coast","NATURAL PRODUCT RESEARCH",1478-6419,A3,,,2020
"Rubens Lima do Monte Neto",http://lattes.cnpq.br/2817016666672297,2018,"Growth arrested live-attenuated Leishmania infantum KHARON1 null mutants display cytokinesis defect and protective immunity in mice","SCIENTIFIC REPORTS",2045-2322,A1,,,2020
