nome,lattes_url,ano_publicacao,titulo_publicacao,periodico,issn,qualis,pontos,area,ano_base
"Silvane Maria Fonseca Murta",http://lattes.cnpq.br/8285043752158198,2024,"Anti- Leishmania</i> compounds can be screened using Leishmania</i> spp. expressing red fluorescence ( tdTomato</i> )","ANTIMICROBIAL AGENTS AND CHEMOTHERAPY",0066-4804,A1,,,2020
"Silvane Maria Fonseca Murta",http://lattes.cnpq.br/8285043752158198,2023,"A functional assay using human whole blood and flow cytometry analysis to evaluate cytotoxicity and immunomodulatory effect of anti-Trypanosoma cruzi drugs","EXPERIMENTAL PARASITOLOGY",0014-4894,A4,,,2020
"Silvane Maria Fonseca Murta",http://lattes.cnpq.br/8285043752158198,2023,"Transcriptomic analysis of benznidazole-resistant and susceptible Trypanosoma cruzi populations","PARASITES & VECTORS",1756-3305,A2,,,2020
"Silvane Maria Fonseca Murta",http://lattes.cnpq.br/8285043752158198,2023,"Hit-to-lead optimization of a pyrazinylpiperazine series against Leishmania infantum and Leishmania braziliensis","EUROPEAN JOURNAL OF MEDICINAL CHEMISTRY",0223-5234,A1,,,2020
"Silvane Maria Fonseca Murta",http://lattes.cnpq.br/8285043752158198,2023,"In Vitro Evaluation of Arylsulfonamide Derivatives against Trypanosoma cruzi","DRUGS AND DRUG CANDIDATES",2813-2998,N,,,
"Silvane Maria Fonseca Murta",http://lattes.cnpq.br/8285043752158198,2023,"Novel diamides inspired by protein kinase inhibitors as anti- Trypanosoma cruzi</i> agents: in vitro</i> and in vivo</i> evaluations","FUTURE MEDICINAL CHEMISTRY",1756-8919,A2,,,2020
"Silvane Maria Fonseca Murta",http://lattes.cnpq.br/8285043752158198,2023,"Molecular targets for Chagas disease: validation, challenges and lead compounds for widely exploited targets","EXPERT OPINION ON THERAPEUTIC TARGETS",1472-8222,A1,,,2020
"Silvane Maria Fonseca Murta",http://lattes.cnpq.br/8285043752158198,2023,"Anti-Trypanosoma cruzi Activity, Mutagenicity, Hepatocytotoxicity and Nitroreductase Enzyme Evaluation of 3-Nitrotriazole, 2-Nitroimidazole and Triazole Derivatives","MOLECULES",1420-3049,A2,,,2020
"Silvane Maria Fonseca Murta",http://lattes.cnpq.br/8285043752158198,2022,"Antioxidant defence system as a rational target for Chagas disease and Leishmaniasis chemotherapy","MEMÓRIAS DO INSTITUTO OSWALDO CRUZ",1678-8060,A4,,,2020
"Silvane Maria Fonseca Murta",http://lattes.cnpq.br/8285043752158198,2022,"Impact of Genetic Diversity and Genome Plasticity of Leishmania spp. in Treatment and the Search for Novel Chemotherapeutic Targets","FRONTIERS IN CELLULAR AND INFECTION MICROBIOLOGY",2235-2988,A2,,,2020
"Silvane Maria Fonseca Murta",http://lattes.cnpq.br/8285043752158198,2022,"Novel 2-Nitroimidazole and Imidazooxazole Derivatives and their Activity against Trypanosoma cruzi and Mycobacterium tuberculosis","MEDICINAL CHEMISTRY",1573-4064,B1,,,2020
"Silvane Maria Fonseca Murta",http://lattes.cnpq.br/8285043752158198,2022,"In-Depth Quantitative Proteomics Characterization of In Vitro Selected Miltefosine Resistance in Leishmania infantum","PROTEOMES",2227-7382,A4,,,2020
"Silvane Maria Fonseca Murta",http://lattes.cnpq.br/8285043752158198,2022,"Trypanosoma cruzi iron superoxide dismutases: insights from phylogenetics to chemotherapeutic target assessment","PARASITES & VECTORS",1756-3305,A2,,,2020
"Silvane Maria Fonseca Murta",http://lattes.cnpq.br/8285043752158198,2022,"Pamidronate, a promising repositioning drug to treat leishmaniasis, displays antileishmanial and immunomodulatory potential","INTERNATIONAL IMMUNOPHARMACOLOGY",1567-5769,A2,,,2020
"Silvane Maria Fonseca Murta",http://lattes.cnpq.br/8285043752158198,2022,"Synthesis, Design, and Structure-Activity Relationship of a Benzenesulfonylpiperazine Series Against Trypanosoma Cruzi","CHEMMEDCHEM",1860-7179,A1,,,2020
"Silvane Maria Fonseca Murta",http://lattes.cnpq.br/8285043752158198,2022,"Disruption of multiple copies of the Prostaglandin F2alpha synthase gene affects oxidative stress response and infectivity in Trypanosoma cruzi","PLOS NEGLECTED TROPICAL DISEASES",1935-2735,A1,,,2020
"Silvane Maria Fonseca Murta",http://lattes.cnpq.br/8285043752158198,2021,"Trypanocidal Activity and Increased Solubility of Benznidazole Incorporated in PEG 4000 and Its Derivatives","JOURNAL OF THE BRAZILIAN CHEMICAL SOCIETY",0103-5053,A2,,,2020
"Silvane Maria Fonseca Murta",http://lattes.cnpq.br/8285043752158198,2021,"Perspectives From Systems Biology to Improve Knowledge of Leishmania Drug Resistance","FRONTIERS IN CELLULAR AND INFECTION MICROBIOLOGY",2235-2988,A2,,,2020
"Silvane Maria Fonseca Murta",http://lattes.cnpq.br/8285043752158198,2021,"Downregulation of FeSOD-A expression in Leishmania infantum alters trivalent antimony and miltefosine susceptibility","PARASITES & VECTORS",1756-3305,A2,,,2020
"Silvane Maria Fonseca Murta",http://lattes.cnpq.br/8285043752158198,2021,"Phenoxyacetohydrazones against Trypanosoma cruzi","MEDICINAL CHEMISTRY RESEARCH",1054-2523,A2,,,2020
"Silvane Maria Fonseca Murta",http://lattes.cnpq.br/8285043752158198,2021,"In Vitro Evaluation of Synthetic Flavones Against Trypanosoma cruzi","REVISTA VIRTUAL DE QUÍMICA",1984-6835,B2,,,2020
"Silvane Maria Fonseca Murta",http://lattes.cnpq.br/8285043752158198,2021,"Novel 2-Nitroimidazole and imidazooxazole Derivatives and Their Activity Against Trypanosoma cruzi and Mycobacterium tuberculosis","MEDICINAL CHEMISTRY",1573-4064,B1,,,2020
"Silvane Maria Fonseca Murta",http://lattes.cnpq.br/8285043752158198,2020,"Trypanocidal Activity of Flavanone Derivatives","MOLECULES",1420-3049,A2,,,2020
"Silvane Maria Fonseca Murta",http://lattes.cnpq.br/8285043752158198,2020,"Fungi in glacial ice of Antarctica: diversity, distribution and bioprospecting of bioactive compounds","EXTREMOPHILES",1431-0651,A4,,,2020
"Silvane Maria Fonseca Murta",http://lattes.cnpq.br/8285043752158198,2020,"Leishmania infantum induces high phagocytic capacity and intracellular nitric oxide production by human proinflammatory monocyte","MEMÓRIAS DO INSTITUTO OSWALDO CRUZ",1678-8060,A4,,,2020
"Silvane Maria Fonseca Murta",http://lattes.cnpq.br/8285043752158198,2020,"Diversity, ecology, and bioprospecting of culturable fungi in lakes impacted by anthropogenic activities in Maritime Antarctica","EXTREMOPHILES",1431-0651,A4,,,2020
"Silvane Maria Fonseca Murta",http://lattes.cnpq.br/8285043752158198,2020,"The heterologous expression of Escherichia coli MutT enzyme is involved in the protection against oxidative stress in Leishmania braziliensis","MEMÓRIAS DO INSTITUTO OSWALDO CRUZ",1678-8060,A4,,,2020
"Silvane Maria Fonseca Murta",http://lattes.cnpq.br/8285043752158198,2020,"Diversity and bioprospecting of cultivable fungal assemblages in sediments of lakes in the Antarctic Peninsula","FUNGAL BIOLOGY",1878-6146,A2,,,2020
"Silvane Maria Fonseca Murta",http://lattes.cnpq.br/8285043752158198,2020,"Comparative transcriptomic analysis of antimony resistant and susceptible Leishmania infantum lines","PARASITES & VECTORS",1756-3305,A2,,,2020
"Silvane Maria Fonseca Murta",http://lattes.cnpq.br/8285043752158198,2020,"Synthesis, antitrypanosomal and antimycobacterial activities of coumarinic N-acylhydrazonic derivatives","MEDICINAL CHEMISTRY",1573-4064,B1,,,2020
"Silvane Maria Fonseca Murta",http://lattes.cnpq.br/8285043752158198,2020,"Cultivable fungi present in deep-sea sediments of Antarctica: taxonomy, diversity, and bioprospecting of bioactive compounds","EXTREMOPHILES",1431-0651,A4,,,2020
"Silvane Maria Fonseca Murta",http://lattes.cnpq.br/8285043752158198,2019,"Design, Synthesis, Molecular Modelling and              In Vitro</i>              Evaluation of Tricyclic Coumarins Against              Trypanosoma Cruzi</i>","CHEMICAL BIOLOGY & DRUG DESIGN",1747-0277,A4,,,2020
"Silvane Maria Fonseca Murta",http://lattes.cnpq.br/8285043752158198,2019,"Mannosyltransferase (GPI-14) overexpression protects promastigote and amastigote forms of Leishmania braziliensis against trivalent antimony","PARASITES & VECTORS",1756-3305,A2,,,2020
"Silvane Maria Fonseca Murta",http://lattes.cnpq.br/8285043752158198,2019,"Synthesis of New Thiosemicarbazones and Semicarbazones Containing the 1,2,3-1H-triazole-isatin Scaffold: Trypanocidal, Cytotoxicity, Electrochemical Assays, and Molecular Docking","MEDICINAL CHEMISTRY",1573-4064,B1,,,2020
"Silvane Maria Fonseca Murta",http://lattes.cnpq.br/8285043752158198,2019,"In vitro Trypanocidal and Antibacterial Activities of Essential Oils from Four Species of the Family Annonaceae","CHEMISTRY & BIODIVERSITY",1612-1872,A4,,,2020
"Silvane Maria Fonseca Murta",http://lattes.cnpq.br/8285043752158198,2019,"Trypanocidal Trixikingolides From              Trixis Vauthieri</i>","NATURAL PRODUCT RESEARCH",1478-6419,A3,,,2020
"Silvane Maria Fonseca Murta",http://lattes.cnpq.br/8285043752158198,2019,"Cultivable fungi present in deep-sea sediments of Antarctica: taxonomy, diversity, and bioprospecting of bioactive compounds","EXTREMOPHILES",1431-0651,A4,,,2020
"Silvane Maria Fonseca Murta",http://lattes.cnpq.br/8285043752158198,2019,"Mapping Alterations Induced by Long-Term Axenic Cultivation of Leishmania amazonensis Promastigotes With a Multiplatform Metabolomic Fingerprint Approach","FRONTIERS IN CELLULAR AND INFECTION MICROBIOLOGY",2235-2988,A2,,,2020
"Silvane Maria Fonseca Murta",http://lattes.cnpq.br/8285043752158198,2018,"Cultivable fungi present in Antarctic soils: taxonomy, phylogeny, diversity, and bioprospecting of antiparasitic and herbicidal metabolites","EXTREMOPHILES",1431-0651,A4,,,2020
"Silvane Maria Fonseca Murta",http://lattes.cnpq.br/8285043752158198,2018,"Overexpression of eukaryotic initiation factor 5A (eIF5A) affects susceptibility to benznidazole in Trypanosoma cruzi populations","MEMÓRIAS DO INSTITUTO OSWALDO CRUZ",1678-8060,A4,,,2020
"Silvane Maria Fonseca Murta",http://lattes.cnpq.br/8285043752158198,2018,"Growth arrested live-attenuated Leishmania infantum KHARON1 null mutants display cytokinesis defect and protective immunity in mice","SCIENTIFIC REPORTS",2045-2322,A1,,,2020
"Silvane Maria Fonseca Murta",http://lattes.cnpq.br/8285043752158198,2018,"The in vivo and in vitro roles of Trypanosoma cruzi Rad51 in the repair of DNA double strand breaks and oxidative lesions","PLOS NEGLECTED TROPICAL DISEASES",1935-2735,A1,,,2020
"Silvane Maria Fonseca Murta",http://lattes.cnpq.br/8285043752158198,2018,"Ascorbate peroxidase overexpression protects Leishmania braziliensis against trivalent antimony effects","MEMÓRIAS DO INSTITUTO OSWALDO CRUZ",1678-8060,A4,,,2020
"Silvane Maria Fonseca Murta",http://lattes.cnpq.br/8285043752158198,2018,"Synthesis of new thiosemicarbazones and semicarbazones containing the 1,2,3-1H-triazole-isatin scaffold: trypanocidal, cytotoxicity, electrochemical assays, and molecular docking","MEDICINAL CHEMISTRY",1573-4064,B1,,,2020
"Silvane Maria Fonseca Murta",http://lattes.cnpq.br/8285043752158198,2017,"Ornithine decarboxylase or gamma-glutamylcysteine synthetase overexpression protects Leishmania (Vianna) guyanensis against antimony","EXPERIMENTAL PARASITOLOGY",0014-4894,A4,,,2020
