nome,lattes_url,ano_publicacao,titulo_publicacao,periodico,issn,qualis,pontos,area,ano_base
"Taís Nóbrega de Sousa",http://lattes.cnpq.br/6108351267696165,2023,"Detection of Plasmodium simium gametocytes in non-human primates from the Brazilian Atlantic Forest","MALARIA JOURNAL",1475-2875,A2,,,2020
"Taís Nóbrega de Sousa",http://lattes.cnpq.br/6108351267696165,2023,"Malaria mitochondrial diagnosis: challenges and pitfalls","FRONTIERS IN TROPICAL DISEASES",2673-7515,N,,,
"Taís Nóbrega de Sousa",http://lattes.cnpq.br/6108351267696165,2023,"IgM antibody responses against Plasmodium antigens in neotropical primates in the Brazilian Atlantic Forest","FRONTIERS IN CELLULAR AND INFECTION MICROBIOLOGY",2235-2988,A2,,,2020
"Taís Nóbrega de Sousa",http://lattes.cnpq.br/6108351267696165,2022,"Impact of Epstein-Barr virus co-infection on natural acquired Plasmodium vivax antibody response","PLOS NEGLECTED TROPICAL DISEASES",1935-2735,A1,,,2020
"Taís Nóbrega de Sousa",http://lattes.cnpq.br/6108351267696165,2022,"Improving the Molecular Diagnosis of Malaria: Droplet Digital PCR-Based Method Using Saliva as a DNA Source","FRONTIERS IN MICROBIOLOGY",1664-302X,A2,,,2020
"Taís Nóbrega de Sousa",http://lattes.cnpq.br/6108351267696165,2022,"Antibody response to a new member of the DBL family (EBP2) after a brief Plasmodium vivax exposure","PLOS NEGLECTED TROPICAL DISEASES",1935-2735,A1,,,2020
"Taís Nóbrega de Sousa",http://lattes.cnpq.br/6108351267696165,2022,"An update on pharmacogenetic factors influencing the metabolism and toxicity of artemisinin-based combination therapy in the treatment of malaria","EXPERT OPINION ON DRUG METABOLISM & TOXICOLOGY",1742-5255,A1,,,2020
"Taís Nóbrega de Sousa",http://lattes.cnpq.br/6108351267696165,2021,"Profiling Humoral Immune Response Against Pre-Erythrocytic and Erythrocytic Antigens of Malaria Parasites Among Neotropical Primates in the Brazilian Atlantic Forest","FRONTIERS IN CELLULAR AND INFECTION MICROBIOLOGY",2235-2988,A2,,,2020
"Taís Nóbrega de Sousa",http://lattes.cnpq.br/6108351267696165,2021,"Increased primaquine total dose prevents Plasmodium vivax relapses in patients with impaired CYP2D6 activity: report of three cases","MALARIA JOURNAL",1475-2875,A2,,,2020
"Taís Nóbrega de Sousa",http://lattes.cnpq.br/6108351267696165,2021,"A Comprehensive Analysis of the Genetic Diversity of Plasmodium falciparum Histidine-Rich Protein 2 (PfHRP2) in the Brazilian Amazon","FRONTIERS IN CELLULAR AND INFECTION MICROBIOLOGY",2235-2988,A2,,,2020
"Taís Nóbrega de Sousa",http://lattes.cnpq.br/6108351267696165,2021,"The Interface Between Inflammatory Mediators and MicroRNAs in Plasmodium vivax Severe Thrombocytopenia","FRONTIERS IN CELLULAR AND INFECTION MICROBIOLOGY",2235-2988,A2,,,2020
