nome,lattes_url,ano_publicacao,titulo_publicacao,periodico,issn,qualis,pontos,area,ano_base
"Tânia Maria de Almeida Alves",http://lattes.cnpq.br/5633763429024541,2023,"Analysis of Honeys by Ultra Performance Liquid Chromatography Coupled to Mass Spectrometry","JOURNAL OF CHROMATOGRAPHY AND SEPARATION TECHNIQUES",2157-7064,B4,,,2020
"Tânia Maria de Almeida Alves",http://lattes.cnpq.br/5633763429024541,2023,"Anti- Leishmania</i> compounds can be screened using Leishmania</i> spp. expressing red fluorescence ( tdTomato</i> )","ANTIMICROBIAL AGENTS AND CHEMOTHERAPY (ONLINE)",1098-6596,A1,,,2020
"Tânia Maria de Almeida Alves",http://lattes.cnpq.br/5633763429024541,2022,"Searching for plant-derived antivirals against dengue virus and Zika virus","VIROLOGY JOURNAL",1743-422X,A3,,,2020
"Tânia Maria de Almeida Alves",http://lattes.cnpq.br/5633763429024541,2022,"Natural Occurring Phenolic Derivatives from Mauritia flexuosa</i> (Buriti) Stems and Their Potential Antibacterial Activity against Methicillin-Resistant Staphylococcus aureus</i> (MRSA)","CHEMISTRY & BIODIVERSITY",1612-1872,A4,,,2020
"Tânia Maria de Almeida Alves",http://lattes.cnpq.br/5633763429024541,2022,"Physicochemical Profile, Antioxidant and Antimicrobial Activities of Honeys Produced in Minas Gerais (Brazil)","ANTIBIOTICS-BASEL",2079-6382,A3,,,2020
"Tânia Maria de Almeida Alves",http://lattes.cnpq.br/5633763429024541,2021,"β-Carboline Glucoalkaloids from Psychotria cupularis and Evaluation of Their Antileishmanial Activity","BRAZILIAN JOURNAL OF PHARMACOGNOSY",1981-528X,A3,,,2020
"Tânia Maria de Almeida Alves",http://lattes.cnpq.br/5633763429024541,2021,"Trypanocidal Trixikingolides From Trixis Vauthieri</i>","NATURAL PRODUCT RESEARCH",1478-6419,A3,,,2020
"Tânia Maria de Almeida Alves",http://lattes.cnpq.br/5633763429024541,2020,"Fungi in glacial ice of Antarctica: diversity, distribution and bioprospecting of bioactive compounds","EXTREMOPHILES",1431-0651,A4,,,2020
"Tânia Maria de Almeida Alves",http://lattes.cnpq.br/5633763429024541,2020,"Isolation of caryatin as an Antiplasmodial component of Symphyopappus casarettoi (Asteraceae)","INTERNATIONAL JOURNAL OF HERBAL MEDICINE",2394-0514,N,,,
"Tânia Maria de Almeida Alves",http://lattes.cnpq.br/5633763429024541,2020,"Diversity and bioprospecting of cultivable fungal assemblages in sediments of lakes in the Antarctic Peninsula","FUNGAL BIOLOGY",1878-6146,A2,,,2020
"Tânia Maria de Almeida Alves",http://lattes.cnpq.br/5633763429024541,2020,"Diversity, ecology, and bioprospecting of culturable fungi in lakes impacted by anthropogenic activities in Maritime Antarctica","EXTREMOPHILES",1431-0651,A4,,,2020
"Tânia Maria de Almeida Alves",http://lattes.cnpq.br/5633763429024541,2019,"A new insight into purinergic pharmacology: Three fungal species as natural P2X7R antagonists","PHYTOTHERAPY RESEARCH",0951-418X,A1,,,2020
"Tânia Maria de Almeida Alves",http://lattes.cnpq.br/5633763429024541,2019,"Potent stimulation of eosinopoiesis in murine bone-marrow by myriadenolide is mediated by cysteinyl-leukotriene signaling","INTERNATIONAL IMMUNOPHARMACOLOGY",1567-5769,A2,,,2020
"Tânia Maria de Almeida Alves",http://lattes.cnpq.br/5633763429024541,2019,"Cultivable fungi present in deep-sea sediments of Antarctica: taxonomy, diversity, and bioprospecting of bioactive compounds","EXTREMOPHILES",1431-0651,A4,,,2020
"Tânia Maria de Almeida Alves",http://lattes.cnpq.br/5633763429024541,2018,"Leishmanicidal compounds of Nectria pseudotrichia, an endophytic fungus isolated from the plant Caesalpinia echinata (Brazilwood)","MEMORIAS DO INSTITUTO OSWALDO CRUZ",0074-0276,A4,,,2020
"Tânia Maria de Almeida Alves",http://lattes.cnpq.br/5633763429024541,2018,"Cultivable fungi present in Antarctic soils: taxonomy, phylogeny, diversity, and bioprospecting of antiparasitic and herbicidal metabolites","EXTREMOPHILES",1431-0651,A4,,,2020
"Tânia Maria de Almeida Alves",http://lattes.cnpq.br/5633763429024541,2018,"Two new usnic acid derivatives from the endophytic fungus Mycosphaerella sp.","ZEITSCHRIFT FÜR NATURFORSCHUNG C",1865-7125,B1,,,2020
"Tânia Maria de Almeida Alves",http://lattes.cnpq.br/5633763429024541,2018,"New Insights in Purinergic Therapy: Novel Antagonists for Uridine 5--Triphosphate-Activated P2Y Receptors from Brazilian Flora","JOURNAL OF MEDICINAL FOOD",1096-620X,A4,,,2020
"Tânia Maria de Almeida Alves",http://lattes.cnpq.br/5633763429024541,2018,"Thiosemicarbazone of lapachol acts on cell membrane in Paracoccidioides brasiliensis","MEDICAL MYCOLOGY",1369-3786,A1,,,2020
"Tânia Maria de Almeida Alves",http://lattes.cnpq.br/5633763429024541,2018,"Adapting the roadmapping approach to science-intensive organizations: Lessons from a drug development program for neglected diseases","JOURNAL OF ENGINEERING AND TECHNOLOGY MANAGEMENT",0923-4748,A1,,,2020
"Tânia Maria de Almeida Alves",http://lattes.cnpq.br/5633763429024541,2017,"Flavonol triglycosides of leaves from Maytenus robusta with acetylcholinesterase inhibition","PHYTOCHEMISTRY LETTERS (PRINT)",1874-3900,A3,,,2020
"Tânia Maria de Almeida Alves",http://lattes.cnpq.br/5633763429024541,2017,"In vitro leishmanicidal, antibacterial and antitumour potential of anhydrocochlioquinone A obtained from the fungus Cochliobolus sp.","JOURNAL OF BIOSCIENCES",0250-5991,A3,,,2020
