nome,lattes_url,ano_publicacao,titulo_publicacao,periodico,issn,qualis,pontos,area,ano_base
"Vanessa Peruhype Magalhães Pascoal",http://lattes.cnpq.br/9698329171140813,2024,"Plaque Reduction Neutralization Test (PRNT) Accuracy in Evaluating Humoral Immune Response to SARS-CoV-2","DISEASES",2079-9721,C,,,2020
"Vanessa Peruhype Magalhães Pascoal",http://lattes.cnpq.br/9698329171140813,2023,"Serum biomarkers in patients with unilateral or bilateral active pulmonary tuberculosis: Immunological networks and promising diagnostic applications","CYTOKINE",1043-4666,A4,,,2020
"Vanessa Peruhype Magalhães Pascoal",http://lattes.cnpq.br/9698329171140813,2023,"Serotype-associated immune response and network immunoclusters in children and adults during acute Dengue virus infection","CYTOKINE",1043-4666,A4,,,2020
"Vanessa Peruhype Magalhães Pascoal",http://lattes.cnpq.br/9698329171140813,2023,"Panoramic snapshot of serum soluble mediator interplay in pregnant women with convalescent COVID-19: an exploratory study","FRONTIERS IN IMMUNOLOGY",1664-3224,A2,,,2020
"Vanessa Peruhype Magalhães Pascoal",http://lattes.cnpq.br/9698329171140813,2023,"Serum soluble mediators as prognostic biomarkers for morbidity, disease outcome, and late-relapsing hepatitis in yellow fever patients","CLINICAL IMMUNOLOGY",1521-6616,A3,,,2020
"Vanessa Peruhype Magalhães Pascoal",http://lattes.cnpq.br/9698329171140813,2023,"Rhythmic profile of memory T and B-cells along childhood and adolescence","SCIENTIFIC REPORTS",2045-2322,A1,,,2020
"Vanessa Peruhype Magalhães Pascoal",http://lattes.cnpq.br/9698329171140813,2023,"Timeline kinetics of protective immunity to SARS-CoV-2 upon primary vaccination and humoral response to variants after booster dose","VACCINE",0264-410X,A2,,,2020
"Vanessa Peruhype Magalhães Pascoal",http://lattes.cnpq.br/9698329171140813,2022,"Serum soluble mediator waves and networks along healthy ageing","EXPERIMENTAL GERONTOLOGY",0531-5565,A3,,,2020
"Vanessa Peruhype Magalhães Pascoal",http://lattes.cnpq.br/9698329171140813,2022,"Serum Soluble Mediator Profiles and Networks During Acute Infection With Distinct DENV Serotypes","FRONTIERS IN IMMUNOLOGY",1664-3224,A2,,,2020
"Vanessa Peruhype Magalhães Pascoal",http://lattes.cnpq.br/9698329171140813,2022,"Pamidronate, a promising repositioning drug to treat leishmaniasis, displays antileishmanial and immunomodulatory potential","INTERNATIONAL IMMUNOPHARMACOLOGY",1567-5769,A2,,,2020
"Vanessa Peruhype Magalhães Pascoal",http://lattes.cnpq.br/9698329171140813,2022,"A New Flow Cytometry-Based Single Platform for Universal and Differential Serodiagnosis of HTLV-1/2 Infection","FRONTIERS IN IMMUNOLOGY",1664-3224,A2,,,2020
"Vanessa Peruhype Magalhães Pascoal",http://lattes.cnpq.br/9698329171140813,2022,"Exploratory study of humoral and cellular immunity to 17DD Yellow Fever vaccination in children and adults residents of areas without circulation of Yellow Fever Virus","VACCINE",0264-410X,A2,,,2020
"Vanessa Peruhype Magalhães Pascoal",http://lattes.cnpq.br/9698329171140813,2022,"Timeline Kinetics of Systemic and Airway Immune Mediator Storm for Comprehensive Analysis of Disease Outcome in Critically Ill COVID-19 Patients","FRONTIERS IN IMMUNOLOGY",1664-3224,A2,,,2020
"Vanessa Peruhype Magalhães Pascoal",http://lattes.cnpq.br/9698329171140813,2022,"Previous biological therapy and impairment of the IFN-γ/IL-10 axis are associated with low immune response to 17DD-YF vaccination in patients with spondyloarthritis","VACCINE",0264-410X,A2,,,2020
"Vanessa Peruhype Magalhães Pascoal",http://lattes.cnpq.br/9698329171140813,2022,"Acute kidney injury associated to COVID-19 leads to a strong unbalance of circulant immune mediators","CYTOKINE",1043-4666,A4,,,2020
"Vanessa Peruhype Magalhães Pascoal",http://lattes.cnpq.br/9698329171140813,2022,"Effectiveness, safety, and immunogenicity of half dose ChAdOx1 nCoV-19 COVID-19 Vaccine: Viana project","FRONTIERS IN IMMUNOLOGY",1664-3224,A2,,,2020
"Vanessa Peruhype Magalhães Pascoal",http://lattes.cnpq.br/9698329171140813,2022,"The role of mucosal-associated invariant T cells in visceral leishmaniasis","FRONTIERS IN IMMUNOLOGY",1664-3224,A2,,,2020
"Vanessa Peruhype Magalhães Pascoal",http://lattes.cnpq.br/9698329171140813,2021,"Impact of HIV co-infection on immunological biomarker profile of HTLV-1 infected patients","IMMUNOLOGY LETTERS",0165-2478,A3,,,2020
"Vanessa Peruhype Magalhães Pascoal",http://lattes.cnpq.br/9698329171140813,2021,"A chimeric HLA-A2:β2M:Ig fusion protein for the study of virus-specific CD8+ T-cells","JOURNAL OF IMMUNOLOGICAL METHODS",0022-1759,B2,,,2020
"Vanessa Peruhype Magalhães Pascoal",http://lattes.cnpq.br/9698329171140813,2021,"CCL3, CCL5, IL-15, IL-1Ra and VEGF compose a reliable algorithm to discriminate classes of adverse events following 17DD-YF primary vaccination according to cause-specific definitions","VACCINE",0264-410X,A2,,,2020
"Vanessa Peruhype Magalhães Pascoal",http://lattes.cnpq.br/9698329171140813,2021,"Serum biomarker profile orchestrating the seroconversion status of patients with autoimmune diseases upon planned primary 17DD Yellow fever vaccination","SCIENTIFIC REPORTS",2045-2322,A1,,,2020
"Vanessa Peruhype Magalhães Pascoal",http://lattes.cnpq.br/9698329171140813,2021,"Long-term impact of congenital toxoplasmosis on phenotypic and functional features of circulating leukocytes from infants one year after treatment onset","CLINICAL IMMUNOLOGY",1521-6616,A3,,,2020
"Vanessa Peruhype Magalhães Pascoal",http://lattes.cnpq.br/9698329171140813,2020,"Laboratorial algorithm for serological diagnosis of visceral leishmaniasis using rK39-ICT, DAT-LPC and FC-Simplex IgG1","JOURNAL OF IMMUNOLOGICAL METHODS",0022-1759,B2,,,2020
"Vanessa Peruhype Magalhães Pascoal",http://lattes.cnpq.br/9698329171140813,2020,"Leishmania infantum induces high phagocytic capacity and intracellular NO production by human proinflammatory monocyte","MEMÓRIAS DO INSTITUTO OSWALDO CRUZ",1678-8060,A4,,,2020
"Vanessa Peruhype Magalhães Pascoal",http://lattes.cnpq.br/9698329171140813,2020,"Prospection of immunological biomarkers for characterization and monitoring of asymptomatic ( ) infection","PARASITOLOGY (CAMBRIDGE. ONLINE)",1469-8161,A1,,,2020
"Vanessa Peruhype Magalhães Pascoal",http://lattes.cnpq.br/9698329171140813,2020,"Planned Yellow Fever Primary Vaccination Is Safe and Immunogenic in Patients With Autoimmune Diseases: A Prospective Non-interventional Study","FRONTIERS IN IMMUNOLOGY",1664-3224,A2,,,2020
"Vanessa Peruhype Magalhães Pascoal",http://lattes.cnpq.br/9698329171140813,2020,"An ex vivo multiparametric flow cytometry assay using human whole blood to simultaneously measure cytotoxicity and leishmanicidal activities","EXPERIMENTAL PARASITOLOGY",0014-4894,A4,,,2020
"Vanessa Peruhype Magalhães Pascoal",http://lattes.cnpq.br/9698329171140813,2020,"Chemokines in Leishmaniasis: Map of cell movements highlights the landscape of infection and pathogenesis","CYTOKINE",1043-4666,A4,,,2020
"Vanessa Peruhype Magalhães Pascoal",http://lattes.cnpq.br/9698329171140813,2019,"Mannosyltransferase (GPI-14) overexpression protects promastigote and amastigote forms of Leishmania braziliensis against trivalent antimony","PARASITES & VECTORS",1756-3305,A2,,,2020
"Vanessa Peruhype Magalhães Pascoal",http://lattes.cnpq.br/9698329171140813,2019,"Impact of synthetic and biological immunomodulatory therapy on the duration of 17DD yellow fever vaccine-induced immunity in rheumatoid arthritis","ARTHRITIS RESEARCH & THERAPY (ONLINE)",1478-6362,A2,,,2020
"Vanessa Peruhype Magalhães Pascoal",http://lattes.cnpq.br/9698329171140813,2019,"17DD Yellow Fever Revaccination and Heightened Long-Term Immunity in Populations of Disease-Endemic Areas, Brazil","EMERGING INFECTIOUS DISEASES",1080-6040,A1,,,2020
"Vanessa Peruhype Magalhães Pascoal",http://lattes.cnpq.br/9698329171140813,2019,"Duration of Humoral and Cellular Immunity 8 Years After Administration of Reduced Doses of the 17DD-Yellow Fever Vaccine","FRONTIERS IN IMMUNOLOGY",1664-3224,A2,,,2020
"Vanessa Peruhype Magalhães Pascoal",http://lattes.cnpq.br/9698329171140813,2018,"Usefulness of FC-TRIPLEX Chagas/Leish IgG1 as confirmatory assay for non-negative results in blood bank screening of Chagas disease","JOURNAL OF IMMUNOLOGICAL METHODS",0022-1759,B2,,,2020
"Vanessa Peruhype Magalhães Pascoal",http://lattes.cnpq.br/9698329171140813,2018,"Multi-parameter approach to evaluate the timing of memory status after 17DD-YF primary vaccination","PLOS NEGLECTED TROPICAL DISEASES",1935-2735,A1,,,2020
"Vanessa Peruhype Magalhães Pascoal",http://lattes.cnpq.br/9698329171140813,2018,"Fcγ-RI, Fcγ-RII and IL-10 as predictive biomarkers for post-therapeutic cicatrization time in monocytes from Cutaneous Leishmaniasis patients","PARASITE IMMUNOLOGY",0141-9838,A2,,,2020
"Vanessa Peruhype Magalhães Pascoal",http://lattes.cnpq.br/9698329171140813,2017,"Flow cytometric-based protocols for assessing anti-MT-2 IgG1 reactivity: High-dimensional data handling to define predictors for clinical follow-up of Human T-cell Leukemia virus type-1 infection","JOURNAL OF IMMUNOLOGICAL METHODS (PRINT)",0022-1759,B2,,,2020
"Vanessa Peruhype Magalhães Pascoal",http://lattes.cnpq.br/9698329171140813,2017,"Strategies for serum chemokine/cytokine assessment as biomarkers of therapeutic response in HCV patients as a prototype to monitor immunotherapy of infectious diseases","ANTIVIRAL RESEARCH",0166-3542,A2,,,2020
"Vanessa Peruhype Magalhães Pascoal",http://lattes.cnpq.br/9698329171140813,2017,"Lifewide profile of cytokine production by innate and adaptive immune cells from Brazilian individuals","IMMUNITY & AGEING",1742-4933,A3,,,2020
"Vanessa Peruhype Magalhães Pascoal",http://lattes.cnpq.br/9698329171140813,2017,"Heparin removal by ecteola-cellulose pre-treatment enables the use of plasma samples for accurate measurement of anti-Yellow fever virus neutralizing antibodies","JOURNAL OF IMMUNOLOGICAL METHODS",0022-1759,B2,,,2020
"Vanessa Peruhype Magalhães Pascoal",http://lattes.cnpq.br/9698329171140813,2017,"MAIT-cells: A tailor-made mate in the ancient battle against infectious diseases?","IMMUNOLOGY LETTERS",0165-2478,A3,,,2020
"Vanessa Peruhype Magalhães Pascoal",http://lattes.cnpq.br/9698329171140813,2017,"Distinct patterns of cellular immune response elicited by influenza non-adjuvanted and AS03-adjuvanted monovalent H1N1(pdm09) vaccine","ANTIVIRAL RESEARCH",0166-3542,A2,,,2020
"Vanessa Peruhype Magalhães Pascoal",http://lattes.cnpq.br/9698329171140813,2017,"Infection of hematopoietic stem cells by Leishmania infantum increases erythropoiesis and alters the phenotypic and functional profiles of progeny","CELLULAR IMMUNOLOGY",0008-8749,A3,,,2020
"Vanessa Peruhype Magalhães Pascoal",http://lattes.cnpq.br/9698329171140813,2017,"The 17D-204 and 17DD yellow fever vaccines: an overview of major similarities and subtle differences","EXPERT REVIEW OF VACCINES",1476-0584,A1,,,2020
"Vanessa Peruhype Magalhães Pascoal",http://lattes.cnpq.br/9698329171140813,2016,"Vaccination against canine leishmaniosis increases the phagocytic activity, nitric oxide production and expression of cell activation/migration molecules in neutrophils and monocytes","VETERINARY PARASITOLOGY (PRINT)",0304-4017,A1,,,2020
"Vanessa Peruhype Magalhães Pascoal",http://lattes.cnpq.br/9698329171140813,2016,"Acceptance and potential barriers to effective use of diagnostic tests for visceral leishmaniasis in an urban area in Brazil","SOCIEDADE BRASILEIRA DE MEDICINA TROPICAL. REVISTA",1678-9849,B1,,,2020
"Vanessa Peruhype Magalhães Pascoal",http://lattes.cnpq.br/9698329171140813,2015,"Etiological treatment of Chagas disease patients with Benznidazole lead to a sustained pro-inflammatory profile counterbalanced by modulatory events","IMMUNOBIOLOGY (JENA. 1979)",0171-2985,A2,,,2020
"Vanessa Peruhype Magalhães Pascoal",http://lattes.cnpq.br/9698329171140813,2015,"RAP1 GTPase Overexpression is Associated with Cervical Intraepithelial Neoplasia","PLOS ONE",1932-6203,A1,,,2020
"Vanessa Peruhype Magalhães Pascoal",http://lattes.cnpq.br/9698329171140813,2015,"Protective profile involving CD23/IgE-mediated NO release is a hallmark of cutaneous leishmaniasis patients from the Xakriabá indigenous community in Minas Gerais, Brazil","SCANDINAVIAN JOURNAL OF IMMUNOLOGY (PRINT)",0300-9475,A4,,,2020
"Vanessa Peruhype Magalhães Pascoal",http://lattes.cnpq.br/9698329171140813,2015,"Divergent cerebrospinal fluid cytokine network induced by non-viral and different viral infections on the central nervous system","BMC INFECTIOUS DISEASES (ONLINE)",1471-2334,A3,,,2020
"Vanessa Peruhype Magalhães Pascoal",http://lattes.cnpq.br/9698329171140813,2015,"Study of implementation and direct cost estimates for diagnostic tests for human visceral leishmaniasis in an urban area in Brazil","CADERNOS DE SAÚDE PÚBLICA (ONLINE)",1678-4464,A1,,,2020
"Vanessa Peruhype Magalhães Pascoal",http://lattes.cnpq.br/9698329171140813,2015,"ESTABLISHMENT OF REFERENCE VALUES FOR HEMATOLOGICAL AND BIOCHEMICAL PARAMETERS OF MICE STRAINS PRODUCED IN THE ANIMAL FACILITY AT CENTRO DE PESQUISAS RENÉ RACHOU/FIOCRUZ - MINAS GERAIS","REVISTA DA SOCIEDADE BRASILEIRA DE CIÊNCIA EM ANIMAIS DE LABORATÓRIO",2238-1589,C,,,2020
"Vanessa Peruhype Magalhães Pascoal",http://lattes.cnpq.br/9698329171140813,2015,"Booster dose after 10 years is recommended following 17DD-YF primary vaccination","HUMAN VACCINES & IMMUNOTHERAPEUTICS",2164-5515,A3,,,2020
"Vanessa Peruhype Magalhães Pascoal",http://lattes.cnpq.br/9698329171140813,2014,"Gene expression profile of cytokines and chemokines in skin lesions from Brazilian Indians with localized cutaneous leishmaniasis","MOLECULAR IMMUNOLOGY",0161-5890,A4,,,2020
"Vanessa Peruhype Magalhães Pascoal",http://lattes.cnpq.br/9698329171140813,2014,"Subdoses of 17DD yellow fever vaccine elicit equivalent virological/immunological kinetics timeline","BMC INFECTIOUS DISEASES (ONLINE)",1471-2334,A3,,,2020
"Vanessa Peruhype Magalhães Pascoal",http://lattes.cnpq.br/9698329171140813,2014,"CD11c+CD123Low Dendritic Cell subset and the triad TNF-α/IL-17A/IFN-γ integrate mucosal and peripheral cellular responses in HIV patients with High-grade anal intraepithelial neoplasia - a systems biology approach","JOURNAL OF ACQUIRED IMMUNE DEFICIENCY SYNDROMES (1999)",1525-4135,A2,,,2020
"Vanessa Peruhype Magalhães Pascoal",http://lattes.cnpq.br/9698329171140813,2013,"Dual role of IL-12 in the therapeutic efficacy or failure during combined PEG-Interferon-α2A and ribavirin therapy in patients with chronic hepatitis C","IMMUNOLOGY LETTERS",0165-2478,A3,,,2020
"Vanessa Peruhype Magalhães Pascoal",http://lattes.cnpq.br/9698329171140813,2013,"Immunological Profile of HTLV-1-Infected Patients Associated with Infectious or Autoimmune Dermatological Disorders","PLOS NEGLECTED TROPICAL DISEASES (ONLINE)",1935-2735,A1,,,2020
"Vanessa Peruhype Magalhães Pascoal",http://lattes.cnpq.br/9698329171140813,2013,"High Prevalence of Asymptomatic Leishmania</i> spp. Infection Among Liver Transplant Recipients and Donors From an Endemic Area of Brazil","AMERICAN JOURNAL OF TRANSPLANTATION (PRINT)",1600-6135,A1,,,2020
"Vanessa Peruhype Magalhães Pascoal",http://lattes.cnpq.br/9698329171140813,2012,"Impaired phagocytic capacity driven by downregulation of major phagocytosis-related cell surface molecules elicits an overall modulatory cytokine profile in neutrophils and monocytes from the indeterminate clinical form of Chagas disease","IMMUNOBIOLOGY (JENA. 1979)",0171-2985,A2,,,2020
"Vanessa Peruhype Magalhães Pascoal",http://lattes.cnpq.br/9698329171140813,2012,"Distinct Pattern of Immunophenotypic Features of Innate and Adaptive Immunity as a Putative Signature of Clinical and Laboratorial Status of Patients with Localized Cutaneous Leishmaniasis","SCANDINAVIAN JOURNAL OF IMMUNOLOGY (ONLINE)",1365-3083,A4,,,2020
"Vanessa Peruhype Magalhães Pascoal",http://lattes.cnpq.br/9698329171140813,2012,"Use of the Kala-Azar Detect® and IT-LEISH® rapid tests for the diagnosis of visceral leishmaniasis in Brazil","MEMÓRIAS DO INSTITUTO OSWALDO CRUZ (ONLINE)",1678-8060,A4,,,2020
"Vanessa Peruhype Magalhães Pascoal",http://lattes.cnpq.br/9698329171140813,2011,"Immunological/Virological peripheral blood biomarkers and distinct patterns of sleeping quality in chronic hepatitis C patients.","SCANDINAVIAN JOURNAL OF IMMUNOLOGY (ONLINE)",1365-3083,A4,,,2020
