financiadora,titulo,detalhes,palavras-chave,quantidade
A-T Children's Project,A-T Children's Project - Research Grant Program,"{'elegibilidade': 'Proposals from young investigators, established principal investigators and clinicians, scientists from other disciplines, and individuals with innovative new ideas for A-T research are encouraged, from academia as well as industry.\nScientists from the US and around the globe are welcome to apply for the funding.\nJunior investigators are particularly encouraged to apply for grants, as we are eager to bring new people into the A-T research field who may commit their career and labs to this disease long into the future. We welcome fresh insights.', 'valorfinanciado': 'Provide awards primarily for translational and clinical research grants related to ataxia-telangiectasia. One and two-year projects are funded up to a maximum total direct cost of $75,000 per year. In rare instances, if a project involves the later phases of developing a therapy, we may consider a larger budget for which we would create a specific fundraising campaign.', 'datalimite': 'The A-T Children’s Project reviews Letters of Intent and proposals on a rolling basis.', 'formasolicitacao': 'A Letter of Intent (LOI) is required prior to submission of a full-length proposal. This letter should be submitted at least one month prior to the grant submission deadline. Candidates must download the LOI Form Here and submit the LOI Form as an electronic copy to grants@atcp.org.\nApplicants must submit an electronic copy of their Proposal in either MSWord or PDF formats to grants@atcp.org. Candidates must download the Grant Proposal Application Form Here.', 'descricao': ""The A-T Children's Project is a non-profit organization that raises funds to support and coordinate biomedical research projects, scientific conferences and a clinical center aimed at finding life-improving therapies and a cure for ataxia-telangiectasia (A-T). A-T is a rare, genetic disease that attacks children, causing progressive loss of muscle control, cancer, and immune system problems.\nThe Research Grant Program supports promising research with sound scientific rationale. No idea is too novel for us to consider, as long as it has clear relevance for people with ataxia telangiectasia (A-T) and the potential to lead to a therapy. We welcome applications from academia and industry scientists, small biotechnology and large pharmaceutical companies, and even from venture capital firms that are incubating new technologies which may hold promise for A-T. Our portfolio spans basic, translational and clinical research."", 'homepage': 'https://www.atcp.org/research/grant-guidelines-for-researchers/', 'Nome': ""A-T Children's Project"", 'Endereço': '5300 West Hillsboro Boulevard, Suite 105, Coconut Creek, Florida, 33073, Estados Unidos', 'Telefone': '+1 (954) 481 6611', 'Fax': '+1 (954) 725 1153', 'E-mail': 'info@atcp.org', 'Contato': 'Contact', 'Home Page': 'http://www.atcp.org'}",cancer,55
American Academy of Dermatology (AAD),American Academy of Dermatology - Lila and Murray Gruber Memorial Cancer Research Award and Lectureship 2021,"{'elegibilidade': 'The recipient may be a physician or non-physician scientist of national or international stature whose contributions in the field of cancer research have been outstanding in importance and distinction.\nThe recipient must have excellent and proven communication skills.', 'valorfinanciado': ""A cash award of US$10,000.00 will be made in recognition of the investigator's lifetime achievements in the field of cancer research. Additionally, the recipient will present a lecture during the Plenary session at the Academy's Annual Meeting."", 'datalimite': 'Nominations submitted on or before January 15 will be included in the selection cycle for current year. Nominations submitted after January 15 will be held for the following cycle.', 'formasolicitacao': 'Applications or nominations must be submitted online Here. ', 'descricao': 'The American Academy of Dermatology (AAD) is the largest, most influential and representative dermatology group in the United States. The AAD mission is to promote leadership in dermatology and excellence in patient care through education, research and advocacy.\nThe Lila and Murray Gruber Memorial Cancer Research Award aims to encourage participation in cancer research and to provide a forum for the enrichment of knowledge of dermatologists in this important scientific field. ', 'homepage': 'https://www.aad.org/member/career/awards/gruber', 'Nome': 'American Academy of Dermatology (AAD)', 'Endereço': 'P.O. Box 1968, Des Plaines, Illinois, 60017, Estados Unidos', 'Telefone': '+1 (847) 240 1280', 'Fax': '+1 (847) 240 1859', 'Contato': 'Contact us', 'Home Page': 'http://www.aad.org/'}",cancer,55
American Society of Cytopathology (ASC),ASC - Patient Advocacy Grant,"{'elegibilidade': 'The Patient Advocacy Grant is open to all members of the ASC, patient advocacy groups and neighboring societies.\nGrant awardee(s) will be required to present a progress report of their patient advocacy work in the form of an article for a future edition of\u202fThe\u202fASC Bulletin.\nThe grant awardees will be announced at the Annual Scientific Meeting.', 'valorfinanciado': 'US$10,000.00.', 'datalimite': 'September 15, annually.', 'formasolicitacao': 'Candidates must provide the documents listed in the Instructions and Criteria, and send the file to asc@cytopathology.org.', 'descricao': 'The American Society of Cytopathology (ASC), founded in 1951, is a distinguished national professional society of physicians, cytotechnologists and scientist who are dedicated to the cytologic method of diagnostic pathology. ASC is a unique society that provides a forum where physicians and cytotechnologists can interact and network with each other on both a personal and professional level.\nThe Patient Advocacy Grant is awarded annually for ongoing or new projects for advocacy efforts for patients with gynecologic and other cancers, or to educate patients on the need for effective screening programs.', 'homepage': 'https://cytopathology.org/mpage/FoundationAdvocacy', 'Nome': 'American Society of Cytopathology (ASC)', 'Endereço': '100 West, 10th Street, Suite 605, Wilmington, Delaware, 19801, Estados Unidos', 'Telefone': '+1(302) 543 6583', 'Fax': '+1(302) 543 6597', 'E-mail': 'asc@cytopathology.org', 'Contato': 'Contact us', 'Home Page': 'https://www.cytopathology.org/'}",cancer,55
Cancer Research Institute (CRI),Cancer Research Institute - Clinic and Laboratory Integration Program Grants,"{'elegibilidade': 'Candidates for a CLIP Grant must hold a faculty appointment as a tenure-track assistant professor (or higher rank) at the time of award activation.\nCRI has no citizenship restrictions, and research supported by the award may be conducted at medical schools and research centers in the United States or abroad.', 'valorfinanciado': 'US$100,000.00 per year for two years. The funds may be used for salary, technical assistance, supplies, capital equipment, or scientific travel.', 'datalimite': 'The deadline for the receipt of the Letter of Intent is December 1.', 'formasolicitacao': 'The process for applying for a CLIP Grant consists of two parts:\nLetter of intent;\nInvited application.\nThe letter of intent must be submitted online Here.', 'descricao': ""The Cancer Research Institute (CRI) funds research aimed at furthering the development of immunological approaches to the diagnosis, treatment, and prevention of cancer. The Institute's mission is to bring effective immune system-based therapies to cancer patients sooner.\nCRI offers Clinic and Laboratory Integration Program (CLIP) Grants to qualified scientists who are working to explore clinically relevant questions aimed at improving the effectiveness of cancer immunotherapies. The program supports basic, pre-clinical, and translational research that can be directly applied to optimizing cancer immunotherapy in the clinic."", 'homepage': 'https://www.cancerresearch.org/clip', 'Nome': 'Cancer Research Institute (CRI)', 'Endereço': 'National Headquarters, 29 Broadway, 4th Floor, New York, New York, 10006-3201, Estados Unidos', 'Telefone': '+1 (212) 688 7515', 'Fax': '+1 (212) 832 9376', 'E-mail': 'grants@cancerresearch.org', 'Contato': 'Contact us', 'Home Page': 'http://www.cancerresearch.org/'}",cancer,55
Cancer Research Institute (CRI),Cancer Research Institute - Technology Impact Award,"{'elegibilidade': 'Applicants must hold a faculty appointment as a tenure-track assistant professor (or higher rank) at the time of award activation. If not, documentation from their institution must accompany the Letter of Intent indicating they will hold the position of assistant professor (or higher rank) by the time of award activation.', 'valorfinanciado': 'Technology Impact Awards provide up to US$100,000.00 per year for two years.', 'datalimite': 'Letter of Intent: November 15, annually.', 'formasolicitacao': 'Letters of intent must be submitted electronically Here. ', 'descricao': ""The Cancer Research Institute (CRI) is a nonprofit organization dedicated to harnessing the immune system's power to control and potentially cure all types of cancer. It funds the most innovative clinical and laboratory research around the world, support the next generation of the field's leaders, and serve as the trusted source of information on immunotherapy for cancer patients and their caregivers.\nThe Technology Impact Award provides seed funding to address the gap between technology development and clinical application of cancer immunotherapies. The grants aim to encourage collaboration between technology developers and clinical cancer immunologists and to generate the proof-of-principle of a novel platform technology in bioinformatics, ex vivo or in silico modeling systems, immunological or tumor profiling instrumentation, methods, reagents and assays, or other relevant technologies that can enable clinician scientists to generate deeper insights into the mechanisms of action of effective or ineffective cancer immunotherapies."", 'homepage': 'https://www.cancerresearch.org/scientists/fellowships-grants/technology-impact-award', 'Nome': 'Cancer Research Institute (CRI)', 'Endereço': 'National Headquarters, 29 Broadway, 4th Floor, New York, New York, 10006-3201, Estados Unidos', 'Telefone': '+1 (212) 688 7515', 'Fax': '+1 (212) 832 9376', 'E-mail': 'grants@cancerresearch.org', 'Contato': 'Contact us', 'Home Page': 'http://www.cancerresearch.org/'}",cancer,55
"Fanconi Anemia Research Fund, Inc.",Fanconi Anemia Research Fund - Research Grant Awards,"{'elegibilidade': 'Researchers who hold a PhD, MD, or equivalent degree from both US and international academic, nonprofit, or for-profit institutions are invited to apply. ', 'valorfinanciado': 'Research Grant Awards range from US$25,000.00 - Us$250,000.00 for one- to two-year projects.', 'datalimite': 'Letters of intent can be submitted at any time.', 'formasolicitacao': 'Applicants should use the Letter of Intent (LOI) Template to prepare their LOIs. Completed LOIs must be emailed in a PDF format to grants@fanconi.org.\nFull proposals will be by invite only.', 'descricao': 'The Fanconi Anemia Research Fund (FARF), through the Research Grant Awards, seeks to fund interdisciplinary and translational research efforts that will lead to rapid discovery and development of therapies or strategies that treat, control, or cure Fanconi anemia (FA). Research proposals must address one or more of the following research priorities:\nTop Priority: to define the pathogenesis of cancers including head and neck and anogenital squamous cell carcinomas that affect persons with FA, and to develop strategies for early detection, prevention, treatment, and cure;\nTo understand how alteration of the FA genes and their products lead to the clinical manifestations of the disease;\nTo determine the causes of bone marrow failure, myelodysplasia, and leukemia in individuals with FA, and to develop strategies to prevent, treat and cure these disorders;\nTo identify practical and proactive management strategies that families and persons with FA can use to develop and maintain a high quality of life;\nTo support the creation of shared resources, databases, and technologies for the international FA research community.', 'homepage': 'https://www.fanconi.org/explore/apply-for-grant-funding', 'Nome': 'Fanconi Anemia Research Fund, Inc.', 'Endereço': '1801 Willamette Street, Suite 200, Eugene, Oregon, 97401, Estados Unidos', 'Telefone': '+1(541) 687 4658', 'Fax': '+1(541) 687 0548', 'E-mail': 'info@fanconi.org', 'Contato': 'Contact', 'Home Page': 'http://www.fanconi.org/'}",cancer,55
Focused Ultrasound Surgery Foundation,Focused Ultrasound Surgery Foundation - General Awards Program,"{'elegibilidade': 'The Pre-Clinical Track is geared primarily towards preclinical research and projects targeting one clinical indication or organ. It is meant to fund research that could lead the way to a new reimbursable clinical application for image-guided FUS within five to seven years.\nThe High-Risk Track is intended for early-stage, high-risk, proof-of-concept research that, if successful, could have a profound impact on the field of focused ultrasound and that could change the way many conditions are treated.\nResearchers in the U.S. and abroad. Brazilian citizens are eligible.', 'valorfinanciado': 'The General Awards Program provides funding for investigator-initiated research projects in the form of one-year awards totaling approximately $100,000, paid out in three or more installments tied to progress reports throughout the term of the project.', 'datalimite': 'Application deadlines for full proposals: February 1, May 1, August 1, and November 1.\nNote: A one-page Research Abstract must be submitted at least two weeks prior to the program’s quarterly application deadlines.', 'formasolicitacao': ""Researchers who would like to be considered for an invitation to apply to the Research Awards Program must first submit a brief abstract describing the proposed research project (step 1). If the project outlined in the abstract is deemed to fall within the current scope of the program, the investigator will be invited to submit a full proposal (step 2) for scientific peer review.\nTo submit the proposal, the nominee must complete the online form and send it electronically through the foundation's system."", 'descricao': 'The Focused Ultrasound Surgery Foundation was founded in October, 2006, as a small, tax-exempt organization. But it has a driving, entrepreneurial spirit, and this mission: to develop new applications for focused ultrasound, and accelerate its worldwide adoption.\nThe General Awards Program provides funding for investigator-initiated clinical, preclinical, and early-stage research projects that fall outside our Brain, Cancer Immunotherapy, and Veterinary Programs through a competitive peer-reviewed application process.\nThe program has two tracks:\nThe Pre-Clinical Track is geared primarily towards preclinical studies and research projects that target a particular clinical indication or organ.\nThe High-Risk Track is intended for early-stage, high-risk, proof-of-concept research.', 'homepage': 'https://www.fusfoundation.org/for-researchers/about-our-awards/external-research-awards-program', 'Nome': 'Focused Ultrasound Surgery Foundation', 'Endereço': '1230 Cedars Court, Suite 206, Charlottesville, Virginia, 22903, Estados Unidos', 'Telefone': '+ 1 (434) 220 4993', 'Fax': '434 220 4978', 'E-mail': 'info@fusfoundation.org', 'Contato': 'Contact us', 'Home Page': 'http://www.fusfoundation.org/'}",cancer,55
International Council of Ophthalmology (ICO),ICO-ECF Six-Month Fellowships for Diagnosis and Therapy of Retinoblastoma,"{'elegibilidade': 'Residency training must be completed before applying for the fellowship.\nSpecialist exam in ophthalmology must be successfully passed.\nApplicant must be under 40 years of age at the time of applying.\nApplicants are permanently based and work in a low-resource country.\nApplicant must return to home country after the training, resume previous positions, and apply the knowledge gained during the fellowship.\nApplicant must be reasonably fluent in the language of the fellowship training center.\nThe ICO recommends that candidates pass one or more ICO Exams.  We consider this in the assessment of applications.\nApplicants from countries with ophthalmologic societies that are Members of the ICO will receive special consideration.', 'valorfinanciado': 'US$8,000 (maximum) to help cover living expenses and return travel. The exact amount is subject to actual student-style living expenses in the host country.', 'datalimite': 'Applications are flexible.', 'formasolicitacao': 'The applications must be submitted Online.', 'descricao': 'The International Council of Ophthalmology (ICO) works with ophthalmologic societies and others to enhance ophthalmic education and improve access to the highest quality eye care in order to preserve and restore vision for the people of the world. The ICO is working to build a “World Alliance for Sight” by leading, stimulating, and supporting the efforts of ophthalmologic societies, eye departments, and related organizations worldwide to enhance ophthalmic education and eye care.\nThe ICO and Eye Cancer Foundation (ECF) Six-month Training Opportunity is available for young ophthalmologists from developing countries who wish to gain a deeper insight into Retinoblastoma diagnosis and treatment. The Fellowship will be served at teaching institutions in Mexico, China, Jordan, India, and Iran. Fellows are expected to bring the acquired knowledge and skills back to their home country and take part in programs to preserve and restore vision.', 'homepage': 'https://icoph.org/ico-fellowship/', 'Nome': 'International Council of Ophthalmology (ICO)', 'Endereço': '711 Van Ness Avenue, Suite #445, San Francisco, California, 94102, Estados Unidos', 'Telefone': '+1(415) 521 1651', 'Fax': '+1(415) 521 1649', 'E-mail': 'info@icoph.org', 'Home Page': 'http://www.icoph.org'}",cancer,55
International Council of Ophthalmology (ICO),International Council of Ophthalmology - ICO-Children's Eye Cancer Foundation Three-Month Retinoblastoma Fellowship,"{'elegibilidade': 'The fellowship opportunity is open to any qualified candidates who are interested in gaining skills and experience in Retinoblastoma diagnosis and therapy. \nResidency training must be completed before applying for the fellowship.\nSpecialist exam in ophthalmology must be successfully passed.\nApplicants are permanently based and work in a low-resource country.\nCandidates from India may apply to this Fellowship. Other applicants must return to the home country after the training, resume previous positions, and apply the knowledge gained during the fellowship.\nApplicant must be reasonably fluent in the language of the fellowship training center.\nThe ICO recommends that candidates pass one or more ICO Exams.  We consider this in the assessment of applications.\nApplicants from countries with ophthalmologic societies that are Members of the ICO will receive special consideration.', 'valorfinanciado': 'Award: US$ 6,000.00 (maximum) to help cover living expenses and return travel. The exact amount is subject to actual student-style living expenses in the host country.', 'datalimite': 'The application deadline is 31 March and 30 September each year.', 'formasolicitacao': 'Candidates must Apply Online.', 'descricao': 'The International Council of Ophthalmology (ICO) works with ophthalmologic societies and others to enhance ophthalmic education and improve access to the highest quality eye care in order to preserve and restore vision for the people of the world. The ICO is working to build a “World Alliance for Sight” by leading, stimulating, and supporting the efforts of ophthalmologic societies, eye departments, and related organizations worldwide to enhance ophthalmic education and eye care.\nThis ICO Three-Month Fellowship help promising young ophthalmologists from low-resource countries improve their practical skills and broaden their perspectives of ophthalmology.  Fellows are expected to bring the acquired knowledge and skills back to their home country and take part in programs to preserve and restore vision.', 'homepage': 'https://icoph.org/ico-fellowship/', 'Nome': 'International Council of Ophthalmology (ICO)', 'Endereço': '711 Van Ness Avenue, Suite #445, San Francisco, California, 94102, Estados Unidos', 'Telefone': '+1(415) 521 1651', 'Fax': '+1(415) 521 1649', 'E-mail': 'info@icoph.org', 'Home Page': 'http://www.icoph.org'}",cancer,55
National Institutes of Health (NIH),NIH - Academic-Industrial Partnerships (AIP) to Translate and Validate In Vivo Imaging Systems (R01),"{'elegibilidade': 'Non-domestic (non-U.S.) Entities (Foreign Institutions) are eligible to apply. Foreign (non-US) institutions must follow policies described in the NIH Grants Policy Statement, and procedures for foreign institutions described throughout the Application Guide.\nAny individual(s) with the skills, knowledge, and resources necessary to carry out the proposed research as the Program Director/Principal Investigator (PD/PI) is invited to work with his/her organization to develop an application for support. Individuals from underrepresented racial and ethnic groups as well as individuals with disabilities are always encouraged to apply for NIH support.\nApplicants must have a valid Dun and Bradstreet Universal Numbering System (DUNS) number in order to begin each of the following registrations: Central Contractor Registration (CCR), Grants.gov and eRA Commons.', 'valorfinanciado': 'Application budget is limited to less than $500,000 direct cost per year and must reflect the actual needs of the proposed project.', 'datalimite': 'Letter of Intent Due Date: Not applicable.\nApplication Due Dates: October 05, 2024; February 05, 2025; October 05, 2025; February 05, 2026; October 5, 2026. All applications are due by 5:00 PM local time of applicant organization.\nExpiration Date: January 08, 2027.', 'formasolicitacao': 'There are several options available to submit the application through Grants.gov to NIH and Department of Health and Human Services partners. Candidates must use one of the submission options to access the application forms for the opportunity:\nUse the NIH ASSIST System to prepare, submit and track the application online;\nUse an institutional system-to-system (S2S) solution to prepare and submit the application to Grants.gov and eRA Commons to track the application. Applicants should check with their institutional officials regarding availability;\nUse Grants.gov Workspace to prepare and submit the application and eRA Commons to track the application.\nFor more information on Application Submission and Receipt, applicants must visit Frequently Asked Questions - Application Guide, Electronic Submission of Grant Applications.', 'descricao': 'The National Institutes of Health (NIH), a part of the U.S. Department of Health and Human Services, is the primary Federal agency for conducting and supporting medical research. Composed of 27 Institutes and Centers, the NIH provides leadership and financial support to researchers in every state and throughout the world.\nThrough this Notice of Funding Opportunity (NOFO), the National Cancer Institute (NCI) intends to stimulate translation of scientific discoveries and engineering developments in imaging, data science and/or spectroscopic technologies into methods or tools that address contemporary problems in understanding the fundamental biology, potential risk of development, diagnosis, or treatment of cancer.\nA distinguishing feature of each application to this NOFO will be formation of an academic-industrial partnership: a strategic alliance of academic and industrial investigators who work together as partners to identify and translate a technological solution for mitigation of a cancer (or other disease-related) problem. In this sense, the NOFO acts more as a funding mechanism for driving translational research in imaging than for a specific scientific or clinical research area. These partnerships are expected to solidify pre-existing collaborations or establish new ones that would drive the field of imaging, as a whole, further than if they had not been formed.\nThis NOFO defines innovation as the likelihood to deliver a new capability to end users. This funding announcement will support clinical trials that test functionality or validate performance in the chosen setting. However, this NOFO is not intended to support commercial production, basic research projects, or clinical trials that lack translation as the primary motivation.', 'homepage': 'https://grants.nih.gov/grants/guide/pa-files/PAR-23-259.html', 'Nome': 'National Institutes of Health (NIH)', 'Endereço': '9000 Rockville Pike, Bethesda, Maryland, 20892, Estados Unidos', 'Telefone': '+1(301) 496 4000', 'E-mail': 'nihinfo@od.nih.gov', 'Home Page': 'https://www.nih.gov/'}",cancer,55
