nome_docente,total_artigos_periodo,qte_colaboracao_discente,percentual_colaboracao_discente
Edward José de Oliveira,43,42,97.67
Carlos Eduardo Calzavara Silva,22,21,95.45
Jaquelline Germano de Oliveira,20,19,95.00
Marcelo Antonio Pascoal Xavier,36,33,91.67
Paloma Helena Fernandes Shimabukuro,22,16,72.73
Lis Ribeiro do Valle Antonelli,41,40,97.56
Jeronimo Conceição Ruiz,30,29,96.67
Glaucia Fernandes Cota,54,53,98.15
Cristiana Ferreira Alves de Brito,36,31,86.11
Érica Alessandra Rocha Alves,18,17,94.44
Gustavo Fontes Paz,27,25,92.59
Álvaro Gil Araújo Ferreira,9,8,88.89
Tânia Maria de Almeida Alves,32,30,93.75
Olindo Assis Martins Filho,148,146,98.65
Nagila Francinete Costa Secundino,34,33,97.06
Marco Antônio da Silva Campos,23,21,91.30
Andréa Teixeira de Carvalho,113,109,96.46
Edelberto Santos Dias,16,15,93.75
Rubens Lima do Monte Neto,66,64,96.97
Vanessa Peruhype Magalhães Pascoal,38,36,94.74
Carina Margonari de Souza,26,20,76.92
Ana Lúcia Teles Rabello,34,33,97.06
José Dilermando Andrade Filho,38,37,97.37
Luciano Andrade Moreira,41,39,95.12
Alessandra Aparecida Guarneri,35,31,88.57
Taís Nóbrega de Sousa,36,35,97.22
Flora Satiko Kano,15,14,93.33
Lileia Gonçalves Diotaiuti,31,28,90.32
Paulo Filemon Paolucci Pimenta,52,51,98.08
Roberta Lima Caldeira,27,26,96.30
Soraya Torres Gaze Jangola,10,8,80.00
Roney Santos Coimbra,19,18,94.74
Daniel Moreira de Avelar,18,17,94.44
Alexandre de Magalhaes Vieira Machado,13,12,92.31
Rosiane Aparecida da Silva Pereira,24,23,95.83
Cristiana Couto Garcia,51,42,82.35
Rodrigo Correa de Oliveira,46,45,97.83
Celia Maria Ferreira Gontijo,36,34,94.44
Márcio Sobreira Silva Araújo,30,29,96.67
Pedro Augusto Alves,37,36,97.30
Gabriel da Rocha Fernandes,47,44,93.62
Rafaella Fortini Grenfell e Queiroz,21,20,95.24
Erika Michalsky Monteiro,29,28,96.55
Rita de Cássia Moreira de Souza,23,11,47.83
Rodrigo Pedro Pinto Soares,59,58,98.31
Caroline Furtado Junqueira,20,10,50.00
Marina de Moraes Mourão,52,51,98.08
Silvane Maria Fonseca Murta,55,53,96.36
Ricardo Tostes Gazzinelli,52,51,98.08
Cristina Toscano Fonseca,17,15,88.24
Luzia Helena Carvalho,34,33,97.06
Paulo Marcos Zech Coelho,33,32,96.97
Luiz Carlos Júnior Alcantara,115,111,96.52
Marcelo Gustavo Lorenzo,21,10,47.62
