,CURRÍCULO,CITAÇÕES,AUTORES,TÍTULO,REVISTA,LOCAL,VOLUME,PÁGINAS,ANO_PUB,DOI
0,Alessandra Aparecida Guarneri,   4,"['NEVOA, JESSICA CORAIOLA', 'LATORRE-ESTIVALIS, JOSE MANUEL', 'PAIS, FABIANO SVIATOPOLK-MIRSKY', 'MARLIÉRE, NEWMAR PINTO', 'FERNANDES, GABRIEL DA ROCHA', 'LORENZO, MARCELO GUSTAVO', 'GUARNERI, ALESSANDRA APARECIDA']",Global characterization of gene expression in the brain of starved immature Rhodnius prolixus,PLoS One,,18,e0282490,2023,
1,Alessandra Aparecida Guarneri,   2,"['EBERHARD, FANNY E.', 'KLIMPEL, SVEN', 'Guarneri, Alessandra A.', 'TOBIAS, NICHOLAS J.']",Exposure to Trypanosoma parasites induces changes in the microbiome of the Chagas disease vector Rhodnius prolixus,Microbiome,,10,45,2022,
2,Alessandra Aparecida Guarneri,   5,"['SALCEDO-PORRAS, NICOLAS', 'OLIVEIRA, PEDRO LAGERBLAD', 'GUARNERI, ALESSANDRA APARECIDA', 'LOWENBERGER, CARL']",A fat body transcriptome analysis of the immune responses of Rhodnius prolixus to artificial infections with bacteria,Parasites & Vectors,,15,269,2022,
3,Alessandra Aparecida Guarneri,   3,"['MARLIÉRE, NEWMAR PINTO', 'LORENZO, MARCELO GUSTAVO', 'GUARNERI, ALESSANDRA APARECIDA']",Trypanosoma rangeli infection increases the exposure and predation endured by Rhodnius prolixus,PARASITOLOGY,,149,155-160,2022,
4,Alessandra Aparecida Guarneri,   6,"['DUARTE DA SILVA, BRUNA', 'GUARNERI, ALESSANDRA APARECIDA']",Trypanosoma rangeli infection impairs reproductive success of Rhodnius prolixus,PARASITOLOGY,,.,1-7,2022,
5,Alessandra Aparecida Guarneri,   3,"['ROLANDELLI, AGUSTÍN', 'NASCIMENTO, ADEISA E. C.', 'SILVA, LETICIA S.', 'RIVERA-POMAR, ROLANDO', 'Guarneri, Alessandra A.']","Modulation of IMD, Toll, and Jak/STAT Immune Pathways Genes in the Fat Body of Rhodnius prolixus During Trypanosoma rangeli Infection",Frontiers in Cellular and Infection Microbiology,,10,598526--,2021,
6,Alessandra Aparecida Guarneri,   5,"['PARANAIBA, LARISSA F.', 'SOARES, RODRIGO P.', 'Guarneri, Alessandra A.']",Triatoma infestans susceptibility to different Trypanosoma cruzi strains: parasite development and early escape from anterior midgut,PARASITOLOGY,,148,295-301,2021,
7,Alessandra Aparecida Guarneri,  17,"['EBERHARD, FANNY E.', 'KLIMPEL, SVEN', 'Guarneri, Alessandra A.', 'TOBIAS, NICHOLAS J.']",Metabolites as predictive biomarkers for Trypanosoma cruzi exposure in triatomine bugs,COMPUTATIONAL AND STRUCTURAL BIOTECHNOLOGY JOURNAL,,19,3051-3057,2021,
8,Alessandra Aparecida Guarneri,  10,"['MARLIÉRE, NEWMAR PINTO', 'LORENZO, MARCELO GUSTAVO', 'GUARNERI, ALESSANDRA APARECIDA']",Trypanosoma cruzi-infected Rhodnius prolixus endure increased predation facilitating parasite transmission to mammal hosts,PLoS Neglected Tropical Diseases,,15,e0009570,2021,
9,Alessandra Aparecida Guarneri,   4,"['PINTO MARLIÉRE, NEWMAR', 'GUSTAVO LORENZO, MARCELO', 'EDUARDO MARTÍNEZ VILLEGAS, LUIS', 'APARECIDA GUARNERI, ALESSANDRA']",Co-existing locomotory activity and gene expression profiles in a kissing-bug vector of Chagas disease,JOURNAL OF INSECT PHYSIOLOGY,,122,104021,2020,
10,Alessandra Aparecida Guarneri,   3,"['MELO, RAÍSSA DE FÁTIMA PIMENTEL', 'GUARNERI, ALESSANDRA APARECIDA', 'SILBER, ARIEL MARIANO']",The Influence of Environmental Cues on the Development of Trypanosoma cruzi in Triatominae Vector,Frontiers in Cellular and Infection Microbiology,,10,27,2020,
11,Alessandra Aparecida Guarneri,  25,"['TOBIAS, NICHOLAS J.', 'EBERHARD, FANNY E.', 'Guarneri, Alessandra A.']",Enzymatic biosynthesis of B-complex vitamins is supplied by diverse microbiota in the Rhodnius prolixus anterior midgut following Trypanosoma cruzi infection,COMPUTATIONAL AND STRUCTURAL BIOTECHNOLOGY JOURNAL,,18,3395-3401,2020,
12,Alessandra Aparecida Guarneri,   5,"['TAVARES, THAIS S.', 'MÜGGE, FERNANDA L. B.', 'GRAZIELLE-SILVA, VIVIANE', 'VALENTE, BRUNA M.', 'GOES, WANESSA M.', 'OLIVEIRA, ANTONIO E. R.', 'BELEW, ASHTON T.', 'Guarneri, Alessandra A.', 'PAIS, FABIANO S.', 'EL-SAYED, NAJIB M.', 'TEIXEIRA, SANTUZA M. R.']",A Trypanosoma cruzi zinc finger protein that is implicated in the control of epimastigote specific gene expression and metacyclogenesis,PARASITOLOGY,,--,1-15,2020,
13,Alessandra Aparecida Guarneri,   7,"['FERREIRA, LUCIANA DE LIMA', 'ARAÚJO, FERNANDA FORTES DE', 'MARTINELLI, PATRICIA MASSARA', 'TEIXEIRA-CARVALHO, ANDREA', 'ALVES-SILVA, JULIANA', 'GUARNERI, ALESSANDRA APARECIDA']",New features on the survival of human-infective Trypanosoma rangeli in a murine model: Parasite accumulation is observed in lymphoid organs,PLoS Neglected Tropical Diseases,,14,e0009015,2020,
14,Alessandra Aparecida Guarneri,   6,"['SALCEDO-PORRAS, NICOLAS', 'GUARNERI, ALESSANDRA', 'OLIVEIRA, PEDRO L.', 'LOWENBERGER, CARL']",Rhodnius prolixus: Identification of missing components of the IMD immune signaling pathway and functional characterization of its role in eliminating bacteria,PLoS One,,14,e0214794,2019,
15,Alessandra Aparecida Guarneri,  14,"['FERREIRA, R.A.', 'GUARNERI, A.A.', 'LORENZO, M.G.']",Activity and shelter-related behaviour in Rhodnius prolixus: The role of host odours shelter use in Rhodnius prolixus,ACTA TROPICA,,196,150-154,2019,
16,Alessandra Aparecida Guarneri,  17,"['PARANAIBA, LARISSA F', 'Guarneri, Alessandra A', 'TORRECILHAS, ANA C', 'MELO, MARIA N', 'SOARES, RODRIGO P']",Extracellular vesicles isolated from Trypanosoma cruzi affect early parasite migration in the gut of Rhodnius prolixus but not in Triatoma infestans,Memórias do Instituto Oswaldo Cruz,,114,1-5,2019,
17,Alessandra Aparecida Guarneri,  26,"['ALCANTARA, MONICA VISNIESKI', 'KESSLER, RAFAEL LUIS', 'GONÇALVESA GONÇALVES, ROSANA ELISA', 'MARLIÉRE, NEWMAR PINTO', 'GUARNERI, ALESSANDRA APARECIDA', 'PICCHI, GISELE FERNANDA ASSINE', 'FRAGOSO, STENIO PERDIGÃO']",Knockout of the CCCH zinc finger protein TcZC3H31 blocks Trypanosoma cruzi differentiation into the infective metacyclic form,MOLECULAR AND BIOCHEMICAL PARASITOLOGY,,221,1-9,2018,
18,Alessandra Aparecida Guarneri,  35,"['FERREIRA, R. C.', 'TEIXEIRA, C. F.', 'SOUZA, V. F. A.', 'GUARNERI, A. A.']",Effect of temperature and vector nutrition on the development and multiplication of Trypanosoma rangeli in Rhodnius prolixus,PARASITOLOGY RESEARCH,,117,1737-1744,2018,
19,Alessandra Aparecida Guarneri,  14,"['ALVES, CERES LUCIANA', 'REPOLÊS, BRUNO MARÇAL', 'DA SILVA, MARCELO SANTOS', 'MENDES, ISABELA CECÍLIA', 'MARIN, PAULA ANDREA', 'AGUIAR, PEDRO HENRIQUE NASCIMENTO', 'SANTOS, SELMA DA SILVA', 'FRANCO, GLÓRIA REGINA', 'MACEDO, ANDRÉA MARA', 'PENA, SÉRGIO DANILO JUNHO', 'ANDRADE, LUCIANA DE OLIVEIRA', 'GUARNERI, ALESSANDRA APARECIDA', 'TAHARA, ERICH BIRELLI', 'ELIAS, MARIA CAROLINA', 'MACHADO, CARLOS RENATO']",The recombinase Rad51 plays a key role in events of genetic exchange in Trypanosoma cruzi,Scientific Reports,,8,1-12,2018,
20,Alessandra Aparecida Guarneri,  36,"['LATORRE-ESTIVALIS, JOSE MANUEL', 'ROBERTSON, HUGH M.', 'WALDEN, KIMBERLY K. O.', 'RUIZ, JERÔNIMO', 'GONÇALVES, LEILANE OLIVEIRA', 'Guarneri, Alessandra A.', 'LORENZO, MARCELO GUSTAVO']",The molecular sensory machinery of a Chagas disease vector: expression changes through imaginal moult and sexually dimorphic features,Scientific Reports,,7,40049,2017,
21,Alessandra Aparecida Guarneri,  24,"['KESSLER, RAFAEL LUIS', 'CONTRERAS, V?CTOR TULIO', 'MARLI?RE, NEWMAR PINTO', 'APARECIDA GUARNERI, ALESSANDRA', 'VILLAMIZAR SILVA, LUZ HELENA', 'MAZZAROTTO, GIOVANNY AUGUSTO CAMACHO ANTEVERE', 'BATISTA, MICHEL', 'SOCCOL, VANETE THOMAZ', 'KRIEGER, MARCO AURELIO', 'PROBST, CHRISTIAN MACAGNAN']",Recently differentiated epimastigotes from are infective to the mammalian host,MOLECULAR MICROBIOLOGY,,104,712-736,2017,
22,Alessandra Aparecida Guarneri,   9,"['FREIRE, A. C. G.', 'ALVES, C. L.', 'GOES, G. R.', 'RESENDE, B. C.', 'MORETTI, N. S.', 'NUNES, V. S.', 'AGUIAR, P. H. N.', 'TAHARA, E. B.', 'FRANCO, G. R.', 'MACEDO, A. M.', 'PENA, S. D. J.', 'GADELHA, F. R.', 'GUARNERI, A. A.', 'SCHENKMAN, S.', 'VIEIRA, L. Q.', 'MACHADO, C. R.']",Catalase expression impairs oxidative stress-mediated signalling in Trypanosoma cruzi,PARASITOLOGY,,,1-13,2017,
23,Alessandra Aparecida Guarneri,  46,"['GUARNERI, ALESSANDRA APARECIDA', 'LORENZO, MARCELO GUSTAVO']",Triatomine physiology in the context of trypanosome infection,JOURNAL OF INSECT PHYSIOLOGY,,97,66-76,2017,
24,Alessandra Aparecida Guarneri,  10,"['BUARQUE, DIEGO S.', 'GOMES, CÍCERA M.', 'ARAÚJO, RICARDO N.', 'Pereira, Marcos H.', 'FERREIRA, ROBERTA C.', 'Guarneri, Alessandra A.', 'TANAKA, APARECIDA S.']",A new antimicrobial protein from the anterior midgut of Triatoma infestans mediates Trypanosoma cruzi establishment by controlling the microbiota,Biochimie (Paris Print),,123,138-143,2016,
25,Alessandra Aparecida Guarneri,  53,"['RODRIGUES, JULIANA DE O.', 'Lorenzo, Marcelo G.', 'MARTINS-FILHO, OLINDO A.', 'Elliot, Simon L.', 'Guarneri, Alessandra A.']",Temperature and parasite life-history are important modulators of the outcome of Trypanosoma rangeli-Rhodnius prolixus interactions,Parasitology (London Print),,143,1459-1468,2016,
26,Alessandra Aparecida Guarneri,  35,"['FERREIRA, ROBERTA CARVALHO', 'KESSLER, RAFAEL LUIS', 'LORENZO, MARCELO GUSTAVO', 'PAIM, RAFAELA MAGALHÃES MACEDO', 'FERREIRA, LUCIANA DE LIMA', 'PROBST, CHRISTIAN MACAGNAN', 'ALVES-SILVA, JULIANA', 'GUARNERI, ALESSANDRA APARECIDA']",Colonization of Rhodnius prolixus gut by Trypanosoma cruzi involves an extensive parasite killing,PARASITOLOGY,,143,434-443,2016,
27,Alessandra Aparecida Guarneri,  41,"['GARCIA, ALINE R. M.', 'ROCHA, ADRIANA DE PAULA', 'MOREIRA, CAMILA C.', 'ROCHA, SILMA L.', 'Guarneri, Alessandra A.', 'Elliot, Simon L.']",Screening of Fungi for Biological Control of a Triatomine Vector of Chagas Disease: Temperature and Trypanosome Infection as Factors,PLoS Neglected Tropical Diseases,,10,e0005128,2016,
28,Alessandra Aparecida Guarneri,  15,"['ELLIOT, S. L.', 'RODRIGUES, J. O.', 'LORENZO, M. G.', 'MARTINS-FILHO, O. A.', 'GUARNERI, A. A.']","Trypanosoma cruzi, Etiological Agent of Chagas Disease, Is Virulent to Its Triatomine Vector Rhodnius prolixus in a Temperature-Dependent Manner",PLoS Neglected Tropical Diseases (Online),,9,e0003646,2015,
