idLattes,nome,tipo,titulo_do_capitulo,idioma,titulo_do_livro,ano,doi,pais_de_publicacao,isbn,nome_da_editora,numero_da_edicao_revisao,organizadores,paginas,autores,autores-endogeno,autores-endogeno-nome,tags,Hash,tipo_producao,natureza,titulo,nome_do_evento,ano_do_trabalho,pais_do_evento,cidade_do_evento,classificacao,periodico,volume,issn,estrato_qualis,editora,numero_de_paginas,numero_de_volumes
5832739049925970,Luciano Andrade Moreira,,,Inglês,,2021,10.1186/s13071-020-04465-9,,,,,,000 - 000,"FARNESI, LUANA CRISTINA; CARVALHO, FABIANO DIAS; LACERDA, ANNA PAULA CANUTO; Moreira, Luciano Andrade; BRUNO, RAFAELA VIEIRA",,,,,PERIODICO,,The influence of different sources of blood meals on the physiology of Aedes aegypti harboring Wolbachia wMel: mouse blood as an alternative for mosquito rearing,,,,,,Parasites & Vectors,14,17563305,A1,,,
5832739049925970,Luciano Andrade Moreira,,,Inglês,,2021,10.3390/pathogens10050525,,,,,,00 - 00,"PEREIRA, T. N.; CARVALHO, F. D.; Rugani, J.N.; Carvalho, V.R.; Jarusevicius, J.; Souza-Neto J. A; MOREIRA, L.A.",,,,,PERIODICO,,Mayaro Virus: The Potential Role of Microbiota and Wolbachia,,,,,,PATHOGENS,10,20760817,A2,,,
5832739049925970,Luciano Andrade Moreira,,,Inglês,,2021,10.1038/s41598-021-89409-8,,,,,,10039 - ,"GESTO, JOÃO SILVEIRA MOLEDO; RIBEIRO, GABRIEL SYLVESTRE; ROCHA, MARCELE NEVES; DIAS, FERNANDO BRAGA STEHLING; PEIXOTO, JULIA; CARVALHO, FABIANO DUARTE; PEREIRA, THIAGO NUNES; Moreira, Luciano Andrade",,,,,PERIODICO,,Reduced competence to arboviruses following the sustainable invasion of Wolbachia into native Aedes aegypti from Southeastern Brazil,,,,,,Scientific Reports,11,20452322,A2,,,
5832739049925970,Luciano Andrade Moreira,,,Inglês,,2021,10.1371/journal.pntd.0009556,,,,,,e0009556 - ,"PINTO, SOFIA B.; RYAN, PETER A.; O?NEILL, SCOTT L.; MUZZI, FREDERICO C.; KUTCHER, SIMON; MONTGOMERY, JACQUI; GREEN, BENJAMIN R.; SMITHYMAN, RUTH; EPPINGHAUS, ANA; SARACENI, VALERIA; DUROVNI, BETINA; RIBACK, THAIS I. S.; ANDERS, KATHERINE L.; Moreira, Luciano A.; SYLVESTRE, GABRIEL; COSTA, GUILHERME; PEIXOTO, JULIA; Dias, Fernando B. S.; TANAMAS, STEPHANIE K.; SIMMONS, CAMERON P.; DUFAULT, SUZANNE M.",,,,,PERIODICO,,"Effectiveness of Wolbachia-infected mosquito deployments in reducing the incidence of dengue and other Aedes-borne diseases in Niterói, Brazil: A quasi-experimental study",,,,,,PLoS Neglected Tropical Diseases,15,19352735,,,,
5832739049925970,Luciano Andrade Moreira,,,Português,,2021,10.3389/fmicb.2021.711107,,,,,,00 - ,"GESTO, JOÃO SILVEIRA MOLEDO; RYAN, PETER A.; SIMMONS, CAMERON P.; O?NEILL, SCOTT L.; Moreira, Luciano Andrade; PINTO, SOFIA B.; DIAS, FERNANDO BRAGA STEHLING; PEIXOTO, JULIA; COSTA, GUILHERME; KUTCHER, SIMON; MONTGOMERY, JACQUI; GREEN, BENJAMIN R.; ANDERS, KATHERINE L.",,,,,PERIODICO,,"Large-Scale Deployment and Establishment of Wolbachia Into the Aedes aegypti Population in Rio de Janeiro, Brazil",,,,,,Frontiers in Microbiology,12,1664302X,A1,,,
5832739049925970,Luciano Andrade Moreira,,,Inglês,,2021,10.1038/s41598-021-98738-7,,,,,,00 - 00,"CONCEIÇÃO, CHRISTIANO CALIXTO; DA SILVA, RENATO MARTINS; DA SILVA VAZ, ITABAJARA; Moreira, Luciano Andrade; LOGULLO, CARLOS; DA SILVA, JHENIFER NASCIMENTO; ARCANJO, ANGÉLICA; NOGUEIRA, CÍNTIA LOPES; DE ABREU, LEONARDO ARAUJO; DE OLIVEIRA, PEDRO LAGERBLAD; GONDIM, KATIA C.; MORAES, BRUNO; DE CARVALHO, STEPHANIE SERAFIM",,,,,PERIODICO,,Aedes fluviatilis cell lines as new tools to study metabolic and immune interactions in mosquito-Wolbachia symbiosis,,,,,,Scientific Reports,11,20452322,A2,,,
3508138338414003,Paloma Helena Fernandes Shimabukuro,,,Inglês,,2021,10.1093/jme/tjab068,,,,,,1 - 7,"RODRIGUES, BRUNO LEITE; COSTA, GLAUCILENE DA SILVA; SHIMABUKURO, Paloma Helena Fernandes",,,,,PERIODICO,,"Identification of Bloodmeals from Sand Flies (Diptera: Psychodidae) Collected in the Parque Nacional do Viruá, State of Roraima, Brazil",,,,,,JOURNAL OF MEDICAL ENTOMOLOGY,58,00222585,A2,,,
1735242943698067,Roberta Lima Caldeira,,,Português,,2021,10.3389/fmed.2021.642348,,,,,,642348 - 642348,"COELHO, PAULO R. S.; KER, FABRÍCIO T. O.; ARAÚJO, AMANDA D.; GUIMARÃES, RICARDO. J. P. S.; NEGRÃO-CORRÊA, DEBORAH A.; Caldeira, Roberta L.; GEIGER, STEFAN M.",,,,,PERIODICO,,"Identification of Risk Areas for Intestinal Schistosomiasis, Based on Malacological and Environmental Data and on Reported Human Cases",,,,,,FRONTIERS IN MEDICINE,8,2296858X,C,,,
4929168581709218,Lis Ribeiro do Valle Antonelli,,,Português,,2021,10.3389/fimmu.2021.757843,,,,,,12:757843 - ,"TIBÚRCIO, RAFAEL; SATAGOPAN, KUMAR; ANBALAGAN, KOMATHI; PORTER, BRIAN O.; Sher, Alan; SWAMINATHAN, SOUMYA; SERETI, IRINI; ANDRADE, BRUNO B.; BARRETO-DUARTE, BEATRIZ; NAREDREN, GOPOLAN; QUEIROZ, ARTUR T. L.; ANBALAGAN, SELVARAJ; NAYAK, KAUSTUV; RAVICHANDRAN, NARAYANAN; SUBRAMANI, RAJASEKARAN; ANTONELLI, LIS R. V.",,,,,PERIODICO,,Dynamics of T-Lymphocyte Activation Related to Paradoxical Tuberculosis-Associated Immune Reconstitution Inflammatory Syndrome in Persons With Advanced HIV,,,,,,Frontiers in Immunology,12,16643224,A1,,,
7004385035447880,Celia Maria Ferreira Gontijo,,,Inglês,,2021,10.1371/journal.pntd.0009429,,,,,,e0009429 - ,"NEVES, RAFAEL L.; CARDOSO, DIOGO T.; Rêgo, Felipe D.; Gontijo, Célia M. F.; BARBOSA, DAVID S.; SOARES, RODRIGO P.",,,,,PERIODICO,,"A follow-up study (2007-2018) on American Tegumentary Leishmaniasis in the municipality of Caratinga, Minas Gerais State, Brazil: Spatial analyses and sand fly collection",,,,,,PLoS Neglected Tropical Diseases,15,19352735,,,,
7004385035447880,Celia Maria Ferreira Gontijo,,,Inglês,,2021,10.1016/j.cimid.2021.101692,,,,,,101692 - ,"FERREIRA, AMANDA CARVALHO ROSADO; VIEIRA, THALLYTA MARIA; CUSTÓDIO, DIRCÉIA APARECIDA DA COSTA; Melo, Maria Norma; Gontijo, Célia Maria Ferreira; LAGE, ANDREY PEREIRA; DORNELES, ELAINE MARIA SELES",,,,,PERIODICO,,"Cross-sectional study on Brucella spp., Leptospira spp. and Salmonella spp. in bats from Montes Claros, Minas Gerais, Brazil",,,,,,COMPARATIVE IMMUNOLOGY MICROBIOLOGY AND INFECTIOUS DISEASES,78,01479571,A1,,,
3544791535477213,Daniel Moreira de Avelar,,,Português,,2021,10.33448/rsd-v10i14.22480,,,,,,e596101422480 - ,"VARIZA, PAULA FASSICOLO; Gontijo, Célia Maria Ferreira; PROPHIRO, JOSIANE SOMARIVA; PEREIRA, THIAGO NUNES; OLIVEIRA, JOICE GUILHERME DE; FERNANDES, MILLENA; AVELAR, DANIEL MOREIRA DE; MILAGRES, TARCÍSIO DE FREITAS; SILVA, WELLINGTON JUNIOR DA; CARDOSO, DIOGO TAVARES; SILVA, ONILDA SANTOS DA",,,,,PERIODICO,,Notes on the sand fly fauna (Diptera: Psychodidae) in a region of Brazil,,,,,,"RESEARCH, SOCIETY AND DEVELOPMENT",10,25253409,A3,,,
5804297852066640,Alexandre de Magalhaes Vieira Machado,,,Inglês,,2021,10.1016/j.phrs.2020.105292,,,,,,105292 - ,"MELO, ELIZA M.; CASSALI, GEOVANNI D.; PINHO, VANESSA; SOUSA, LIRLÂNDIA P.; A-GONZALEZ, NOELIA; CAMPAGNOLE-SANTOS, MARIA JOSÉ; BADER, MICHAEL; SANTOS, ROBSON A.S.; MACHADO, Alexandre V.; LUDWIG, STEPHAN; Teixeira, Mauro M.; DEL SARTO, JULIANA; VAGO, JULIANA P.; TAVARES, LUCIANA P.; RAGO, FLÁVIA; GONÇALVES, ANA PAULA F.; MACHADO, MARINA G.; ARANDA-PARDOS, IRENE; VALIATE, BRUNO V.S.",,,,,PERIODICO,,Relevance of angiotensin-(1-7) and its receptor Mas in pneumonia caused by influenza virus and post-influenza pneumococcal infection,,,,,,PHARMACOLOGICAL RESEARCH,163,10436618,A1,,,
5804297852066640,Alexandre de Magalhaes Vieira Machado,,,Inglês,,2021,10.1007/s42770-021-00550-y,,,,,,2421 - 2430,"FRAIHA, ANA LUIZA SOARES; MACHADO, ALEXANDRE DE MAGALHÃES VIEIRA; COSTA, ERICA AZEVEDO; LOBATO, ZÉLIA INÊS PORTELA; MATOS, ANA CAROLINA DINIZ; CUNHA, JOÃO LUIS REIS; SANTOS, BEATRIZ SENRA ÁLVARES DA SILVA; PEIXOTO, MARIA VITÓRIA CHAVES; OLIVEIRA, ANNA GABRIELLA GUIMARÃES; GALINARI, GRAZIELLE COSSENZO FLORENTINO; NASCIMENTO, HELOÍZA IRTES DE JESUS; GUEDES, MARIA ISABEL MALDONADO COELHO",,,,,PERIODICO,,Swine influenza A virus subtypes circulating in Brazilian commercial pig herds from 2012 to 2019,,,,,,BRAZILIAN JOURNAL OF MICROBIOLOGY,52,15178382,,,,
5832739049925970,Luciano Andrade Moreira,,,Inglês,,2021,10.3390/v13050755,,,,,,755 - ,"DE MENDONÇA, SILVANA F.; ROCHA, MARCELE N.; FERREIRA, FLÁVIA V.; LEITE, THIAGO H. J. F; AMADOU, SIAD C. G.; SUCUPIRA, PEDRO H. F.; MARQUES, JOÃO T.; FERREIRA, ALVARO G. A.; MOREIRA, LUCIANO A.",,,,,PERIODICO,,"Evaluation of Aedes aegypti, Aedes albopictus, and Culex quinquefasciatus Mosquitoes Competence to Oropouche virus Infection",,,,,,Viruses-Basel,13,19994915,A1,,,
