idLattes,nome,tipo,titulo_do_capitulo,idioma,titulo_do_livro,ano,doi,pais_de_publicacao,isbn,nome_da_editora,numero_da_edicao_revisao,organizadores,paginas,autores,autores-endogeno,autores-endogeno-nome,tags,Hash,tipo_producao,natureza,titulo,nome_do_evento,ano_do_trabalho,pais_do_evento,cidade_do_evento,classificacao,periodico,volume,issn,estrato_qualis,editora,numero_de_paginas,numero_de_volumes
5832739049925970,Luciano Andrade Moreira,,,Inglês,,2017,10.1186/s12864-016-3441-4,,,,,,6 - ,"CARAGATA, E. P.; PAIS, F. S.; BATON, L. A.; SILVA, J. B. L.; SORGINE, M. H. F.; MOREIRA, L. A.",,,,,PERIODICO,,"The transcriptome of the mosquito Aedes fluviatilis (Diptera: Culicidae), and transcriptional changes associated with its native Wolbachia infection",,,,,,BMC Genomics,18,14712164,,,,
5832739049925970,Luciano Andrade Moreira,,,Inglês,,2017,10.1007/s13744-017-0520-4,,,,,,001 - ,"CARVALHO, F D; MOREIRA, L A",,,,,PERIODICO,,Why is Aedes aegypti Linnaeus so Successful as a Species?,,,,,,NEOTROPICAL ENTOMOLOGY,46,1519566X,,,,
5832739049925970,Luciano Andrade Moreira,,,Inglês,,2017,10.1186/s13071-017-2236-z,,,,,,296 - ,"PACID?NIO, ETIENE CASAGRANDE; CARAGATA, ERIC PEARCE; ALVES, DEBORA MAGALH?ES; MARQUES, JO?O TRINDADE; Moreira, Luciano Andrade",,,,,PERIODICO,,The impact of Wolbachia infection on the rate of vertical transmission of dengue virus in Brazilian Aedes aegypti,,,,,,Parasites & Vectors,10,17563305,,,,
5832739049925970,Luciano Andrade Moreira,,,Inglês,,2017,10.1016/j.ibmb.2017.06.010,,,,,,65 - 74,"PIMENTA DE OLIVEIRA, SOFIA; DANTAS DE OLIVEIRA, CAROLINE; VIANA SANT?ANNA, MAURICIO ROBERTO; CARNEIRO DUTRA, HEVERTON LEANDRO; CARAGATA, ERIC PEARCE; Moreira, Luciano Andrade",,,,,PERIODICO,,Wolbachia infection in Aedes aegypti mosquitoes alters blood meal excretion and delays oviposition without affecting trypsin activity,,,,,,INSECT BIOCHEMISTRY AND MOLECULAR BIOLOGY,87,09651748,,,,
5832739049925970,Luciano Andrade Moreira,,,Inglês,,2017,10.1371/journal.pone.0181678,,,,,,e0181678 - ,"SILVA, JÉSSICA BARRETO LOPES; MAGALHÃES ALVES, DEBORA; BOTTINO-ROJAS, VANESSA; PEREIRA, THIAGO NUNES; SORGINE, MARCOS HENRIQUE FERREIRA; CARAGATA, ERIC PEARCE; Moreira, Luciano Andrade",,,,,PERIODICO,,Wolbachia and dengue virus infection in the mosquito Aedes fluviatilis (Diptera: Culicidae),,,,,,PLoS One,12,19326203,,,,
5832739049925970,Luciano Andrade Moreira,,,Inglês,,2017,10.1371/journal.pntd.0005947,,,,,,e0005947 - ,"DE OLIVEIRA, SUELLEN; VILLELA, DANIEL ANTUNES MACIEL; DIAS, FERNANDO BRAGA STEHLING; Moreira, Luciano Andrade; MACIEL DE FREITAS, RAFAEL",,,,,PERIODICO,,How does competition among wild type mosquitoes influences the performance of Aedes aegypti and dissemination of Wolbachia pipientis?,,,,,,PLoS Neglected Tropical Diseases,11,19352735,,,,
5832739049925970,Luciano Andrade Moreira,,,Inglês,,2017,10.1038/s41598-017-16045-6,,,,,,15687 - ,"DUTRA, HEVERTON LEANDRO CARNEIRO; RODRIGUES, SILVIA LOMEU; MANSUR, SIMONE BRUTMAN; DE OLIVEIRA, SOFIA PIMENTA; CARAGATA, ERIC PEARCE; Moreira, Luciano Andrade",,,,,PERIODICO,,Development and physiological effects of an artificial diet for Wolbachia-infected Aedes aegypti,,,,,,Scientific Reports,7,20452322,,,,
3508138338414003,Paloma Helena Fernandes Shimabukuro,,,Inglês,,2017,10.3897/zookeys.660.10508,,,,,,67 - 106,"SHIMABUKURO, Paloma Helena Fernandes; ANDRADE, A. J.; GALATI, E. A. B.",,,,,PERIODICO,,"Checklist of American sand flies (Diptera, Psychodidae, Phlebotominae): genera, species, and their distribution",,,,,,ZooKeys (Online),660,13132970,,,,
8641629843495094,Antonio Mauro Rezende,,,Inglês,,2017,10.1016/j.ijantimicag.2017.03.001,,,,,,1 - ,"ROCHA, IGOR VASCONCELOS; DAS NEVES ANDRADE, CARLOS ALBERTO; DE LIMA CAMPOS, TÚLIO; REZENDE, ANTONIO MAURO; LEAL, NILMA CINTRA; DE LACERDA VIDAL, CLÁUDIA FERNANDA; XAVIER, DANILO ELIAS",,,,,PERIODICO,,Ciprofloxacin-resistant and extended-spectrum &#946;-lactamase-producing Escherichia coli ST410 strain carrying the mcr-1 gene associated with bloodstream infection,,,,,,International Journal of Antimicrobial Agents (Print),1,09248579,,,,
8641629843495094,Antonio Mauro Rezende,,,Inglês,,2017,10.1186/s12866-017-1089-0,,,,,,179 - ,"SILVA, LÍVIA CHRISTINA ALVES DA; LEAL-BALBINO, TEREZA CRISTINA; MELO, BEATRIZ SOUZA TOSCANO DE; MENDES-MARQUES, CARINA LUCENA; REZENDE, ANTONIO MAURO; ALMEIDA, ALZIRA MARIA PAIVA DE; LEAL, NILMA CINTRA",,,,,PERIODICO,,Genetic diversity and virulence potential of clinical and environmental Aeromonas spp. isolates from a diarrhea outbreak,,,,,,BMC MICROBIOLOGY,17,14712180,,,,
