idLattes,nome,tipo,titulo_do_capitulo,idioma,titulo_do_livro,ano,doi,pais_de_publicacao,isbn,nome_da_editora,numero_da_edicao_revisao,organizadores,paginas,autores,autores-endogeno,autores-endogeno-nome,tags,Hash,tipo_producao,natureza,titulo,nome_do_evento,ano_do_trabalho,pais_do_evento,cidade_do_evento,classificacao,periodico,volume,issn,estrato_qualis,editora,numero_de_paginas,numero_de_volumes
5832739049925970,Luciano Andrade Moreira,,,Inglês,,2000,,,,,,,10895 - 10898,"MOREIRA, L. A.;MOREIRA, L.;MOREIRA, L;Moreira, Luciano A.;Moreira, Luciano A;Moreira, Luciano Andrade;MOREIRA, L.A.;MOREIRA, LUCIANO;MOREIRA, L A;ANDRADE MOREIRA, LUCIANO;A. MOREIRA, LUCIANO; EDWARDS, M. J.; JASINSKIENE, N.; JAMES, A. A.",,,,,PERIODICO,,Robust gut-specific gene expression in transgenic Aedes aegypti mosquitoes.,,,,,,Proceedings of the National Academy of Sciences of the United States of America,97,00278424,A1,,,
1735242943698067,Roberta Lima Caldeira,,,Inglês,,2000,10.1590/S0074-02762000000200007,,,,,,171 - 177,"CALDEIRA, R; VIDIGAL, T. H. D. A.; MARTINELA, L.; SIMPSON, A. J. G.; CARVALHO, O. S.",,,,,PERIODICO,,Identification of planorbids from Venezuela by polymerase chain reaction amplification and restriction fragment length polymorphism of internal transcriber spacer of the RNA ribosomal gene,,,,,,Memórias do Instituto Oswaldo Cruz (Impresso),95,00740276,A4,,,
1735242943698067,Roberta Lima Caldeira,,,Inglês,,2000,10.1017/s0031182000006831,,,,,,611 - 620,"VIDIGAL, T.H.D.A.; KISSINGER, J.C.; CALDEIRA, R.L.; PIRES, E.C.R.; MONTEIRO, E.; SIMPSON, A.J.G.; Carvalho, O.S.",,,,,PERIODICO,,Phylogenetic relationships among Brazilian Biomphalaria species (Mollusca: Planorbidae) based upon analysis of ribosomal ITS2 sequences,,,,,,PARASITOLOGY,121,00311820,A1,,,
1735242943698067,Roberta Lima Caldeira,,,Inglês,,2000,10.1590/s0074-02762000000100009,,,,,,57 - 66,"VIDIGAL, TEOFÂNIA HDA; Caldeira, Roberta Lima; SIMPSON, ANDREW JG; Carvalho, Omar S",,,,,PERIODICO,,Further studies on the molecular systematics of Biomphalaria snails from Brazil,,,,,,MEMORIAS DO INSTITUTO OSWALDO CRUZ,95,00740276,A4,,,
1735242943698067,Roberta Lima Caldeira,,,Português,,2000,10.1590/s0037-86822000000500004,,,,,,431 - 436,"ROCHA, ROBERTO SENA; SILVA, JANAÍNA GUERNICA; PEIXOTO, SÉRGIO VIANA; Caldeira, Roberta Lima; FIRMO, JOSÉLIA OLIVEIRA ARAÚJO; CARVALHO, Omar dos Santos; KATZ, NAFTALE",,,,,PERIODICO,,"Avaliação da esquistossomose e de outras parasitoses intestinais, em escolares do município de Bambuí, Minas Gerais, Brasil",,,,,,Revista da Sociedade Brasileira de Medicina Tropical,33,00378682,B1,,,
3118219944250108,Roney Santos Coimbra,,,Inglês,,2000,10.1016/S0923-2508(00)00134-0,,,,,,639 - 654,"COIMBRA, R; Grimont, F.; Burguière, P.; Lenormand, P.; Beutin, L.; Grimont, P. A. D.",,,,,PERIODICO,,Identification of Escherichia coli O-serogroups by restrictionof the amplified O-antigen gene cluster (rfb-RFLP),,,,,,RESEARCH IN MICROBIOLOGY,151,09232508,A3,,,
7004385035447880,Celia Maria Ferreira Gontijo,,,Inglês,,2000,,,,,,,421 - 422,"SILVA, E. S.; PIRMEZ, C.; GONTIJO, C. M. F.;Gontijo, Célia Maria Ferreira;Gontijo, Célia M. F.;Gontijo, Célia M.F.;Gontijo, Célia M.F. Ferreira;Gontijo, CÃ©lia M.F.;Célia Maria Gontijo;GONTIJO, CÉLIA MARIA;GONTIJO, C.M.F.;GONTIJO, Célia M.;GONTIJO, CELIA M.;GONTIJO, CELIA;Gontijo, Célia F.;GONTIJO, CELIA MARIA;Gontijo, C M F; FERNANDES, O.; BRAZIL, R. P.",,,,,PERIODICO,,Visceral leishmaniasis in the crab-eating fox (Cerdocyun thous) in south-east Brazil.,,,,,,Veterynary Record,147,,,,,
9211345386050612,Lileia Gonçalves Diotaiuti,,,Inglês,,2000,,Brasil,,,,,247 - 252,"DIOTAIUTI, Lileia;DIOTAIUTI, LILÉIA;DIOTAIUTI, LILÉIA GONCALVES;DIOTAIUT, LILÉIA;GONÇALVES DIOTAIUTI, LILÉIA;DIOTAIUTI, LILÉIA GONÇALVES;DIOTAIUTI, LILEIA GONÇALVES; PENIDO, C. M.; ARAÚJO, H. S.; SCHOFIELD, C. J.; PINTO, C. T.",,,,,PERIODICO,,Excito-repellency effect of deltamethrin on triatomines under laboratory conditions.,,,,,,Revista da Sociedade Brasileira de Medicina Tropical,33,00378682,B1,,,
9211345386050612,Lileia Gonçalves Diotaiuti,,,Inglês,,2000,,Brasil,,,,,883 - 888,"PIRES, H. H. R.; BARBOSA, Silvia Ermelinda; DIOTAIUTI, Lileia;DIOTAIUTI, LILÉIA;DIOTAIUTI, LILÉIA GONCALVES;DIOTAIUT, LILÉIA;GONÇALVES DIOTAIUTI, LILÉIA;DIOTAIUTI, LILÉIA GONÇALVES;DIOTAIUTI, LILEIA GONÇALVES",,,,,PERIODICO,,Comparative developmental and susceptibility to insecticide of Bolivian and Brazilian populations of Triatoma infestans.,,,,,,Memórias do Instituto Oswaldo Cruz,95,00740276,A4,,,
9211345386050612,Lileia Gonçalves Diotaiuti,,,Inglês,,2000,,Estados Unidos,,,,,872 - 877,"BORGES, É. C.; DUJARDIN, Jean Pierre; SCHOFIELD, C. J.; ROMANHA, Alvaro José; DIOTAIUTI, Lileia;DIOTAIUTI, LILÉIA;DIOTAIUTI, LILÉIA GONCALVES;DIOTAIUT, LILÉIA;GONÇALVES DIOTAIUTI, LILÉIA;DIOTAIUTI, LILÉIA GONÇALVES;DIOTAIUTI, LILEIA GONÇALVES",,,,,PERIODICO,,"Genetic variability of Triatoma brasiliensis Neiva, 1911 (Hemiptera: Reduviidae: Triatominae) populations.",,,,,,Journal of Medical Entomology,37,00222585,A1,,,
9211345386050612,Lileia Gonçalves Diotaiuti,,,Português,,2000,,Brasil,,,,,4 - ,"DIAS, João Carlos Pinto; DIOTAIUTI, Lileia;DIOTAIUTI, LILÉIA;DIOTAIUTI, LILÉIA GONCALVES;DIOTAIUT, LILÉIA;GONÇALVES DIOTAIUTI, LILÉIA;DIOTAIUTI, LILÉIA GONÇALVES;DIOTAIUTI, LILEIA GONÇALVES",,,,,PERIODICO,,Editorial.,,,,,,Cadernos de Saúde Pública (FIOCRUZ),16,0102311X,A1,,,
9211345386050612,Lileia Gonçalves Diotaiuti,,,Português,,2000,,Brasil,,,,,61 - 67,"DIOTAIUTI, Lileia;DIOTAIUTI, LILÉIA;DIOTAIUTI, LILÉIA GONCALVES;DIOTAIUT, LILÉIA;GONÇALVES DIOTAIUTI, LILÉIA;DIOTAIUTI, LILÉIA GONÇALVES;DIOTAIUTI, LILEIA GONÇALVES; FARIA JUNIOR, O. F.; CARNEIRO, F. C. E.; DIAS, João Carlos Pinto; PIRES, Herton Helder Rocha; SCHOFIELD, C. J.",,,,,PERIODICO,,Operational aspects of Triatoma brasiliensis control.,,,,,,Cadernos de Saúde Pública (FIOCRUZ),16,0102311X,A1,,,
9211345386050612,Lileia Gonçalves Diotaiuti,,,Inglês,,2000,,Brasil,,,,,83 - 88,"PANZERA, F.; PÉREZ, R.; NICOLINI, P.; HORNOS, S.; COSTA, J.; BORGES, É. C.; DIOTAIUTI, Lileia;DIOTAIUTI, LILÉIA;DIOTAIUTI, LILÉIA GONCALVES;DIOTAIUT, LILÉIA;GONÇALVES DIOTAIUTI, LILÉIA;DIOTAIUTI, LILÉIA GONÇALVES;DIOTAIUTI, LILEIA GONÇALVES; SCHOFIELD, C. J.",,,,,PERIODICO,,Chromosome homogeneity in populations of Triatoma brasiliensis Neiva 1911 (Hemiptera - Reduviidae - Triatominae).,,,,,,Cadernos de Saúde Pública (FIOCRUZ),16,0102311X,A1,,,
9211345386050612,Lileia Gonçalves Diotaiuti,,,Português,,2000,,Brasil,,,,,97 - 100,"BORGES, E. C.; ROMANHA, Alvaro José; DIOTAIUTI, Lileia;DIOTAIUTI, LILÉIA;DIOTAIUTI, LILÉIA GONCALVES;DIOTAIUT, LILÉIA;GONÇALVES DIOTAIUTI, LILÉIA;DIOTAIUTI, LILÉIA GONÇALVES;DIOTAIUTI, LILEIA GONÇALVES",,,,,PERIODICO,,"Use of Random Amplified Polymorphic DNA (RAPD) in the populational study of Triatoma brasiliensis Neiva, 1911.",,,,,,Cadernos de Saúde Pública (FIOCRUZ),16,0102311X,A1,,,
