DOI,TIPO,DATE,TITLE,ABSTRACT,INTERESSE
10.25205/1818-7900-2022-20-4-24-38,journal-article,2023-06-14,Domain Ontology Representation Model Based on Graph Databases,"The article presents an approach to modeling domain ontologies based on graph databases. Ontology is traditionally considered as a means of studying and formalizing the subject area. Based on ontologies, knowledge bases of information systems are formed, which can later be replenished and used to study certain applied aspects of the subject area. At the same time, with the development of NoSQL technologies and graph databases aimed at optimizing work with related data, it becomes possible to design a data warehouse without a strict pre-established domain model. Due to the obvious graph nature of ontologies, graph databases are a promising solution for storing and working with ontologies. However, with all the similarities, the ontology and data models used in graph DBMSs are not so easy to combine. The paper proposes an approach to the integration of ontological and graph models of knowledge representation and considers its application in creating a database for a prototype of a web ontology editor. Visual tools for editing ontologies are described, an algorithm for layer-by-layer rendering of a directed graph is given, a mechanism for generating dynamic forms for editing classes and ontology instances is described, and basic support for ontological design patterns is implemented.",
10.3923/itj.2010.825.831,journal-article,2010-10-08,A Semantic-Aware Algorithm to Rank Concepts in an OWL Ontology Graph,,Dentro do Escopo
10.7717/peerj.2990,journal-article,2017-03-02,Exploring biomedical ontology mappings with graph theory methods,"<jats:sec><jats:title>Background</jats:title>In the era of semantic web, life science ontologies play an important role in tasks such as annotating biological objects, linking relevant data pieces, and verifying data consistency. Understanding ontology structures and overlapping ontologies is essential for tasks such as ontology reuse and development. We present an exploratory study where we examine structure and look for patterns in BioPortal, a comprehensive publicly available repository of live science ontologies.</jats:sec><jats:sec><jats:title>Methods</jats:title>We report an analysis of biomedical ontology mapping data over time. We apply graph theory methods such as Modularity Analysis and Betweenness Centrality to analyse data gathered at five different time points. We identify communities, i.e., sets of overlapping ontologies, and define similar and closest communities. We demonstrate evolution of identified communities over time and identify core ontologies of the closest communities. We use BioPortal project and category data to measure community coherence. We also validate identified communities with their mutual mentions in scientific literature.</jats:sec><jats:sec><jats:title>Results</jats:title>With comparing mapping data gathered at five different time points, we identified similar and closest communities of overlapping ontologies, and demonstrated evolution of communities over time. Results showed that anatomy and health ontologies tend to form more isolated communities compared to other categories. We also showed that communities contain all or the majority of ontologies being used in narrower projects. In addition, we identified major changes in mapping data after migration to BioPortal Version 4.</jats:sec>",Dentro do Escopo
10.1142/s1793351x24300024,journal-article,2023-12-17,Semantic Knowledge Graph Generator and Ontology Recommender: Industry Use Cases,,Dentro do Escopo
10.1016/j.eswa.2023.120239,journal-article,2023-05-09,KNIT: Ontology reusability through knowledge graph exploration,,Dentro do Escopo
10.4218/etrij.2021-0261,journal-article,2021-12-08,GOMS: Large‐scale ontology management system using graph databases,,Dentro do Escopo
10.1089/cmb.2021.0069,journal-article,2021-12-01,GoVec: Gene Ontology Representation Learning Using Weighted Heterogeneous Graph and Meta-Path,,Dentro do Escopo
10.1016/j.cogsys.2018.12.011,journal-article,2018-12-31,Graph-based ontology reasoning for formal verification of BREEAM rules,,Dentro do Escopo
10.3390/app7060543,journal-article,2017-05-30,DegoViz: An Interactive Visualization Tool for a Differentially Expressed Genes Heatmap and Gene Ontology Graph,,Dentro do Escopo
10.22376/ijpbs.2017.8.2.b183-192,journal-article,2017-04-06,Gene ontology based functional analysis and graph theory for partitioning gene interaction networks,,Dentro do Escopo
