DOI,TIPO,DATE,TITLE,ABSTRACT,INTERESSE,LINK_PDF
10.2991/978-94-6463-262-0_118,Chapter ConferencePaper,2023-10-06,The Method of Constructing Knowledge Graph Based on the Trajectory of Counterfeit Cigarette and Wine Sales Data,"In recent years, knowledge graph has gradually developed from the traditional knowledge analysis application to the application of social entities and relationships. In this paper, the application of knowledge graph to sales data relationships is studied, and the data source is obtained by taking the sales data relationship related to counterfeit tobacco and alcohol as an example. We built the relationship between sales data related to fake cigarettes and alcohol through data pre-processing, data governance, population identification of fake cigarettes and alcohol, information extraction, etc. We used the Neo4j database for storage and built the knowledge graph of the relationship between sales data related to fake cigarettes and alcohol. The experimental verification shows that based on the real information of fake cigarettes and alcohol, we can achieve a visual display of sales data and relationship information.",Dentro do Escopo,https://www.atlantis-press.com/article/125992349.pdf
10.2991/978-94-6463-264-4_80,Chapter ConferencePaper,2023-09-28,Research on Enterprise Risk Prediction Path Based on Knowledge Graph,"Identifying risk information from enterprise big data is the top priority of enterprise risk management. Based on the literature research of enterprise risk early warning, the task of risk identification and risk evaluation in early warning research is summarized as enterprise risk prediction, and its realization path is divided into three parts: risk information mining, risk knowledge base construction and risk evaluation. The knowledge graph can realize the digitalization of enterprise risk prediction research, more accurately evaluate and predict enterprise risks, and improve the efficiency of enterprise risk early warning.",Fora do Escopo,Fora do Escopo
10.1007/s42979-023-02399-4,Article,2023-12-19,A Semantic Enhanced Course Recommender System via Knowledge Graphs for Limited User Information Scenarios,"The Universal Declaration of Human Rights states that “everyone has the right to education” and it must be “equally accessible to all”. Aligned with these principles are online learning platforms that offer free online courses that require no or minimal information from their students to democratize learning. Despite the benefits, the lack of user information challenges traditional recommendation systems and, when applied to education, impacts student experiences. This paper addresses the problem of limited student information in course recommendation systems. We tackle the problem by generating a semantically enriched vector-based representation of course content using an Open Knowledge Graph (DBpedia) and Topic Modeling methods, such as LDA and LSA and by collecting tracking events from log systems (Google Analytics) to create a hybrid recommendation system using content-based and collaborative filtering strategies for low-information scenarios. Our experiments use GCFGlobal.org, an online learning platform offering free self-paced online courses to 100 million people, to validate our approach. Results indicate that the proposed approach outperforms the previous works in the field contributing to the creation of fairer recommendation systems.",Fora do Escopo,Fora do Escopo
10.1186/s12859-023-05611-7,Article,2023-12-14,Predicting potential microbe-disease associations based on auto-encoder and graph convolution network,"The increasing body of research has consistently demonstrated the intricate correlation between the human microbiome and human well-being. Microbes can impact the efficacy and toxicity of drugs through various pathways, as well as influence the occurrence and metastasis of tumors. In clinical practice, it is crucial to elucidate the association between microbes and diseases. Although traditional biological experiments accurately identify this association, they are time-consuming, expensive, and susceptible to experimental conditions. Consequently, conducting extensive biological experiments to screen potential microbe-disease associations becomes challenging. The computational methods can solve the above problems well, but the previous computational methods still have the problems of low utilization of node features and the prediction accuracy needs to be improved. To address this issue, we propose the DAEGCNDF model predicting potential associations between microbes and diseases. Our model calculates four similar features for each microbe and disease. These features are fused to obtain a comprehensive feature matrix representing microbes and diseases. Our model first uses the graph convolutional network module to extract low-rank features with graph information of microbes and diseases, and then uses a deep sparse Auto-Encoder to extract high-rank features of microbe-disease pairs, after which the low-rank and high-rank features are spliced to improve the utilization of node features. Finally, Deep Forest was used for microbe-disease potential relationship prediction. The experimental results show that combining low-rank and high-rank features helps to improve the model performance and Deep Forest has better classification performance than the baseline model.",Dentro do Escopo,https://bmcbioinformatics.biomedcentral.com/counter/pdf/10.1186/s12859-023-05611-7.pdf
10.1007/s11116-023-10451-8,Article,2023-12-08,Mobility knowledge graph: review and its application in public transport,"Understanding human mobility in urban areas is crucial for transportation planning, operations, and online control. The availability of large-scale and diverse mobility data (e.g., smart card data, GPS data), provides valuable insights into human mobility patterns. However, organizing and analyzing such data pose significant challenges. Knowledge graph (KG), a graph-based knowledge representation method, has been successfully applied in various domains but has limited applications in urban mobility. This paper aims to address this gap by reviewing existing KG studies, introducing the concept of a mobility knowledge graph (MKG), and proposing a general learning framework to construct MKG from smart card data. The MKG represents hidden travel activities between public transport stations, with stations as nodes and their relations as edges. Two decomposition approaches, rule-based and neural network-based models, are developed to extract MKG relations from smart card data, capturing latent spatiotemporal travel dependencies. The case study is conducted using smart card data from a heavily used urban railway system to validate the effectiveness of MKG in predicting individual trip destinations. The results demonstrate the significance of establishing an MKG database, as it assists in a typical problem of predicting individual trip destinations for public transport systems with only tap-in records. Additionally, the MKG framework offers potential for efficient data management and applications such as individual mobility prediction and personalized travel recommendations.",Fora do Escopo,Fora do Escopo
10.1007/s11280-023-01221-8,Article,2023-11-29,Entity alignment via graph neural networks: a component-level study,"Entity alignment plays an essential role in the integration of knowledge graphs (KGs) as it seeks to identify entities that refer to the same real-world objects across different KGs. Recent research has primarily centred on embedding-based approaches. Among these approaches, there is a growing interest in graph neural networks (GNNs) due to their ability to capture complex relationships and incorporate node attributes within KGs. Despite the presence of several surveys in this area, they often lack comprehensive investigations specifically targeting GNN-based approaches. Moreover, they tend to evaluate overall performance without analysing the impact of individual components and methods. To bridge these gaps, this paper presents a framework for GNN-based entity alignment that captures the key characteristics of these approaches. We conduct a fine-grained analysis of individual components and assess their influences on alignment results. Our findings highlight specific module options that significantly affect the alignment outcomes. By carefully selecting suitable methods for combination, even basic GNN networks can achieve competitive alignment results.",Dentro do Escopo,https://link.springer.com/content/pdf/10.1007/s11280-023-01221-8.pdf
10.1038/s41598-023-46392-6,Article,2023-11-10,Graph-based multi-modality integration for prediction of cancer subtype and severity,"Personalised cancer screening before therapy paves the way toward improving diagnostic accuracy and treatment outcomes. Most approaches are limited to a single data type and do not consider interactions between features, leaving aside the complementary insights that multimodality and systems biology can provide. In this project, we demonstrate the use of graph theory for data integration via individual networks where nodes and edges are individual-specific. We showcase the consequences of early, intermediate, and late graph-based fusion of RNA-Seq data and histopathology whole-slide images for predicting cancer subtypes and severity. The methodology developed is as follows: (1) we create individual networks; (2) we compute the similarity between individuals from these graphs; (3) we train our model on the similarity matrices; (4) we evaluate the performance using the macro F1 score. Pros and cons of elements of the pipeline are evaluated on publicly available real-life datasets. We find that graph-based methods can increase performance over methods that do not study interactions. Additionally, merging multiple data sources often improves classification compared to models based on single data, especially through intermediate fusion. The proposed workflow can easily be adapted to other disease contexts to accelerate and enhance personalized healthcare.",Dentro do Escopo,https://www.nature.com/articles/s41598-023-46392-6.pdf
10.1186/s13326-023-00297-5,Article,2023-11-02,Data management plans as linked open data: exploiting ARGOS FAIR and machine actionable outputs in the OpenAIRE research graph,"Background Open Science Graphs (OSGs) are scientific knowledge graphs representing different entities of the research lifecycle (e.g. projects, people, research outcomes, institutions) and the relationships among them. They present a contextualized view of current research that supports discovery, re-use, reproducibility, monitoring, transparency and omni-comprehensive assessment. A Data Management Plan (DMP) contains information concerning both the research processes and the data collected, generated and/or re-used during a project’s lifetime. Automated solutions and workflows that connect DMPs with the actual data and other contextual information (e.g., publications, fundings) are missing from the landscape. DMPs being submitted as deliverables also limit their findability. In an open and FAIR-enabling research ecosystem information linking between research processes and research outputs is essential. ARGOS tool for FAIR data management contributes to the OpenAIRE Research Graph (RG) and utilises its underlying services and trusted sources to progressively automate validation and automations of Research Data Management (RDM) practices. Results A comparative analysis was conducted between the data models of ARGOS and OpenAIRE Research Graph against the DMP Common Standard. Following this, we extended ARGOS with export format converters and semantic tagging, and the OpenAIRE RG with a DMP entity and semantics between existing entities and relationships. This enabled the integration of ARGOS machine actionable DMPs (ma-DMPs) to the OpenAIRE OSG, enriching and exposing DMPs as FAIR outputs. Conclusions This paper, to our knowledge, is the first to introduce exposing ma-DMPs in OSGs and making the link between OSGs and DMPs, introducing the latter as entities in the research lifecycle. Further, it provides insight to ARGOS DMP service interoperability practices and integrations to populate the OpenAIRE Research Graph with DMP entities and relationships and strengthen both FAIRness of outputs as well as information exchange in a standard way.",Dentro do Escopo,https://jbiomedsem.biomedcentral.com/counter/pdf/10.1186/s13326-023-00297-5.pdf
10.1007/s10462-023-10465-9,Article,2023-04-03,Knowledge Graphs: Opportunities and Challenges,"With the explosive growth of artificial intelligence (AI) and big data, it has become vitally important to organize and represent the enormous volume of knowledge appropriately. As graph data, knowledge graphs accumulate and convey knowledge of the real world. It has been well-recognized that knowledge graphs effectively represent complex information; hence, they rapidly gain the attention of academia and industry in recent years. Thus to develop a deeper understanding of knowledge graphs, this paper presents a systematic overview of this field. Specifically, we focus on the opportunities and challenges of knowledge graphs. We first review the opportunities of knowledge graphs in terms of two aspects: (1) AI systems built upon knowledge graphs; (2) potential application fields of knowledge graphs. Then, we thoroughly discuss severe technical challenges in this field, such as knowledge graph embeddings, knowledge acquisition, knowledge graph completion, knowledge fusion, and knowledge reasoning. We expect that this survey will shed new light on future research and the development of knowledge graphs.",Dentro do Escopo,https://link.springer.com/content/pdf/10.1007/s10462-023-10465-9.pdf
10.1186/s12911-023-02325-x,Article,2023-10-30,KAMPNet: multi-source medical knowledge augmented medication prediction network with multi-level graph contrastive learning,"Backgrounds Predicting medications is a crucial task in intelligent healthcare systems, aiding doctors in making informed decisions based on electronic medical records (EMR). However, medication prediction faces challenges due to complex relations within heterogeneous medical data. Existing studies primarily focus on the supervised mining of hierarchical relations between homogeneous codes in medical ontology graphs, such as diagnosis codes. Few studies consider the valuable relations, including synergistic relations between medications, concurrent relations between diseases, and therapeutic relations between medications and diseases from historical EMR. This limitation restricts prediction performance and application scenarios. Methods To address these limitations, we propose KAMPNet, a multi-sourced medical knowledge augmented medication prediction network. KAMPNet captures diverse relations between medical codes using a multi-level graph contrastive learning framework. Firstly, unsupervised graph contrastive learning with a graph attention network encoder captures implicit relations within homogeneous medical codes from the medical ontology graph, generating knowledge augmented medical code embedding vectors. Then, unsupervised graph contrastive learning with a weighted graph convolutional network encoder captures correlative relations between homogeneous or heterogeneous medical codes from the constructed medical codes relation graph, producing relation augmented medical code embedding vectors. Finally, the augmented medical code embedding vectors, along with supervised medical code embedding vectors, are fed into a sequential learning network to capture temporal relations of medical codes and predict medications for patients. Results Experimental results on the public MIMIC-III dataset demonstrate the superior performance of our KAMPNet model over several baseline models, as measured by Jaccard, F1 score, and PR-AUC for medication prediction. Conclusions Our KAMPNet model can effectively capture the valuable relations between medical codes inherent in multi-sourced medical knowledge using the proposed multi-level graph contrastive learning framework. Moreover, The multi-channel sequence learning network facilitates capturing temporal relations between medical codes, enabling comprehensive patient representations for downstream tasks such as medication prediction.",Dentro do Escopo,https://bmcmedinformdecismak.biomedcentral.com/counter/pdf/10.1186/s12911-023-02325-x.pdf
