letter	frequency
Alessandra Aparecida Guarneri	.08167
Alexandre de Magalhães Vieira Machado	.01492
Andrea Teixeira de Carvalho	.02782
Carlos Eduardo Calzavara Silva	.04253
Caroline Furtado Junqueira	.12702
Célia Maria Ferreira Gontijo	.02288
Cristiana Ferreira Alves de Brito	.02015
Cristina Toscano Fonseca	.06094
Edelberto Santos Dias	.06966
Edward José de Oliveira	.00153
Flora Satiko Kano	.00772
Gláucia Fernandes Cota	.04025
Jaquelline Germano de Oliveira	.02406
Jerônimo Conceição Ruiz	.06749
José Dilermando Andrade Filho	.07507
Liléia Gonçalves Diotaiuti	.01929
Lis Ribeiro do Valle Antonelli	.00095
Luciano Andrade Moreira	.05987
Luzia Helena Carvalho	.06327
Marcelo Antônio Pascoal Xavier	.09056
Marcelo Gustavo Lorenzo	.02758
Márcio Sobreira Silva Araújo	.00978
Marco Antônio da Silva Campos	.02360
Marina de Moraes Mourão	.00150
Nágila Francinete Costa Secundino	.01974
Olindo Assis Martins Filho	.00074
Paulo Filemon Paolucci Pimenta	.08167
Paulo Marcos Zech Coelho	.01492
Ricardo Tostes Gazzinelli	.02782
Roberta Lima Caldeira	.04253
Rodrigo Corrêa de Oliveira	.12702
Rodrigo Pedro Pinto Soares	.02288
Rubens Lima do Monte Neto	.02015
Silvane Maria Fonseca Murta	.06094
Taís Nóbrega de Sousa	.06966
Vanessa Peruhype Magalhães Pascoal	.00153
Alvaro Gil Araujo Ferreira	.00772
Carina Margonari de Souza	.04025
Cristiana Couto Garcia	.02406
Daniel Moreira de Avelar	.06749
Érica Alessandra Rocha Alves	.07507
Erika Michalsky Monteiro	.01929
Gabriel da Rocha Fernandes	.00095
Gustavo Fontes Paz	.05987
Luiz Carlos Júnior Alcantara	.06327
Paloma Helena Fernandes Shimabukuro	.09056
Pedro Augusto Alves	.02758
Rafaella Fortini Queiroz Grenfell	.00978
Rita de Cassia Moreira de Souza	.02360
Rosiane Aparecida da Silva Pereira	.00150
Roney Santos Coimbra	.01974
Soraya Torres Gaze Jangola	.00074
Tânia Maria de Almeida Alves	.00075
